,Player,#,Nation,Pos,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos,Date,Team,Opponent
36,Sam Surridge,44.0,eng ENG,"RW,CM",9,8,0,1,1,6,1,8,0,0,,0,0,3,13,2,9,6,66.7,2,0,07/19/20,Bournemouth,Southampton
37,David Brooks,20.0,wal WAL,CM,45,14,0,3,3,9,0,13,0,0,,0,0,6,40,29,18,9,50.0,0,0,07/19/20,Bournemouth,Southampton
38,Harry Wilson,22.0,wal WAL,"CM,WB",45,27,4,8,10,11,2,25,3,3,100.0,3,0,15,89,64,10,7,70.0,0,1,07/19/20,Bournemouth,Southampton
39,Diego Rico,21.0,es ESP,"LB,CB",90,73,2,16,35,24,0,53,0,0,,0,0,18,99,43,23,22,95.7,0,1,07/19/20,Bournemouth,Southampton
40,Lloyd Kelly,26.0,eng ENG,CB,90,42,7,20,15,9,4,35,0,0,,0,0,18,181,38,14,11,78.6,2,0,07/19/20,Bournemouth,Southampton
41,Steve Cook,3.0,eng ENG,CB,90,35,2,15,15,5,2,35,0,0,,0,0,9,74,36,18,13,72.2,0,0,07/19/20,Bournemouth,Southampton
42,Jack Stacey,17.0,eng ENG,"RB,WB",90,47,2,11,27,9,2,32,0,2,0.0,0,0,12,61,23,16,13,81.3,0,0,07/19/20,Bournemouth,Southampton
43,Aaron Ramsdale,12.0,eng ENG,GK,90,35,28,34,1,0,0,27,0,0,,0,0,14,73,37,13,13,100.0,0,0,07/19/20,Bournemouth,Southampton
44,Danny Ings,9.0,eng ENG,FW,89,32,1,6,17,10,4,31,3,6,50.0,4,1,22,122,75,43,24,55.8,0,0,07/19/20,Southampton,Bournemouth
45,Michael Obafemi,20.0,ie IRL,FW,1,3,0,0,0,3,1,3,0,0,,0,0,2,13,7,3,3,100.0,0,0,07/19/20,Southampton,Bournemouth
46,Shane Long,7.0,ie IRL,FW,65,27,2,5,12,10,2,27,0,1,0.0,0,0,12,53,30,42,19,45.2,3,0,07/19/20,Southampton,Bournemouth
47,Che Adams,10.0,eng ENG,FW,25,18,2,3,8,7,5,18,1,1,100.0,1,0,8,39,21,22,11,50.0,1,0,07/19/20,Southampton,Bournemouth
48,Nathan Redmond,22.0,eng ENG,CM,90,50,0,7,21,25,7,50,4,7,57.1,5,1,45,256,144,54,34,63.0,3,5,07/19/20,Southampton,Bournemouth
49,Oriol Romeu,14.0,es ESP,CM,76,50,5,15,29,8,1,49,0,0,,0,0,27,95,50,30,27,90.0,0,0,07/19/20,Southampton,Bournemouth
50,Pierre-Emile Hojbjerg,23.0,dk DEN,CM,14,13,1,2,6,5,2,12,0,0,,0,0,9,63,7,6,6,100.0,0,0,07/19/20,Southampton,Bournemouth
51,James Ward-Prowse,16.0,eng ENG,CM,90,62,6,16,30,18,1,55,0,0,,0,0,32,99,46,31,28,90.3,0,0,07/19/20,Southampton,Bournemouth
52,Stuart Armstrong,17.0,sco SCO,CM,90,44,7,14,21,14,2,44,1,2,50.0,1,1,34,235,136,44,30,68.2,1,2,07/19/20,Southampton,Bournemouth
53,Ryan Bertrand,21.0,eng ENG,LB,90,65,2,28,19,20,2,50,2,3,66.7,2,0,33,193,97,36,28,77.8,0,0,07/19/20,Southampton,Bournemouth
54,Jannik Vestergaard,4.0,dk DEN,CB,90,71,13,45,25,3,2,71,0,0,,0,0,26,127,25,30,28,93.3,1,0,07/19/20,Southampton,Bournemouth
55,Jack Stephens,5.0,eng ENG,CB,90,54,11,37,17,2,1,53,0,0,,0,0,24,70,31,26,25,96.2,0,0,07/19/20,Southampton,Bournemouth
56,Kyle Walker-Peters,24.0,eng ENG,RB,90,60,6,25,33,6,1,49,3,3,100.0,3,0,35,159,121,26,24,92.3,1,2,07/19/20,Southampton,Bournemouth
57,Alex McCarthy,1.0,eng ENG,GK,90,45,35,45,0,0,0,32,0,0,,0,0,20,80,48,20,20,100.0,0,0,07/19/20,Southampton,Bournemouth
58,Harry Kane,10.0,eng ENG,FW,90,23,1,2,10,11,3,23,0,0,,0,0,14,112,51,31,17,54.8,2,0,07/19/20,Tottenham,Leicester City
59,Son Heung-Min,7.0,kr KOR,LW,88,28,3,10,11,11,2,26,2,2,100.0,2,0,21,198,131,23,14,60.9,3,4,07/19/20,Tottenham,Leicester City
60,Gedson Fernandes,30.0,pt POR,LW,2,3,0,0,2,1,0,3,0,0,,0,0,3,13,7,3,3,100.0,1,0,07/19/20,Tottenham,Leicester City
61,Lucas Moura,27.0,br BRA,RW,76,22,3,9,11,5,1,22,2,3,66.7,2,0,15,166,110,14,9,64.3,1,1,07/19/20,Tottenham,Leicester City
62,Steven Bergwijn,23.0,nl NED,RW,14,10,0,3,5,3,0,10,0,0,,0,0,6,61,37,7,6,85.7,1,0,07/19/20,Tottenham,Leicester City
63,Giovani Lo Celso,18.0,ar ARG,CM,76,41,1,7,26,14,0,36,2,2,100.0,2,0,23,212,133,24,19,79.2,3,1,07/19/20,Tottenham,Leicester City
64,Erik Lamela,11.0,ar ARG,CM,14,7,0,1,4,2,0,7,0,0,,0,0,3,14,5,9,6,66.7,1,1,07/19/20,Tottenham,Leicester City
