,Player,#,Nation,Pos,Min,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out.1,Int,Blocks,Date,Team,Opponent
29,Lewis Cook,16.0,eng ENG,"CM,FW",22,10,10,0,0,0,1,0,0,0,0,0,0,4,3,3,0,8,1,0,0,8,0,0,0,1,07/19/20,Bournemouth,Southampton
30,Callum Wilson,13.0,eng ENG,"FW,LW",90,18,18,0,0,0,8,0,1,0,0,0,0,8,6,4,2,9,1,0,1,10,0,0,0,2,07/19/20,Bournemouth,Southampton
31,Junior Stanislas,19.0,eng ENG,CM,69,23,20,3,0,0,4,1,4,2,2,0,0,10,5,8,7,12,2,1,0,13,0,0,0,4,07/19/20,Bournemouth,Southampton
32,Dominic Solanke,9.0,eng ENG,"FW,CM",21,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,07/19/20,Bournemouth,Southampton
33,Philip Billing,29.0,dk DEN,CM,86,31,26,5,0,0,11,0,2,0,0,0,0,12,5,14,16,4,4,5,0,16,1,0,0,2,07/19/20,Bournemouth,Southampton
34,Dan Gosling,4.0,eng ENG,CM,4,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,07/19/20,Bournemouth,Southampton
35,Jefferson Lerma,8.0,co COL,CM,81,28,28,0,0,0,3,0,0,0,0,0,0,6,6,16,5,15,6,0,0,18,0,0,0,2,07/19/20,Bournemouth,Southampton
36,Sam Surridge,44.0,eng ENG,"RW,CM",9,4,4,0,0,0,2,0,1,0,0,0,0,1,1,2,0,1,1,0,0,0,1,0,0,0,07/19/20,Bournemouth,Southampton
37,David Brooks,20.0,wal WAL,CM,45,11,10,1,0,0,3,0,2,1,1,0,0,6,3,2,8,3,0,0,0,4,0,1,1,1,07/19/20,Bournemouth,Southampton
38,Harry Wilson,22.0,wal WAL,"CM,WB",45,15,13,2,0,0,4,0,2,0,0,0,0,6,2,7,12,1,1,0,0,8,0,1,2,0,07/19/20,Bournemouth,Southampton
39,Diego Rico,21.0,es ESP,"LB,CB",90,64,44,20,5,1,4,4,15,9,7,2,0,15,10,39,43,2,11,6,0,37,0,3,0,2,07/19/20,Bournemouth,Southampton
40,Lloyd Kelly,26.0,eng ENG,CB,90,28,21,7,2,0,7,0,0,0,0,0,0,13,5,10,16,3,3,5,0,16,0,3,1,2,07/19/20,Bournemouth,Southampton
