,Player,#,Nation,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PrgDist,Carries,PrgDist.1,Succ,Att.1,Date,Team,Opponent
31,Felipe Anderson,8,br BRA,RW,65,0,0,0,0,0,0,1,0,27,16,0,0,0,0,0,0,0,0,15,22,68.2,146,24,74,1,2,8/10/19,West Ham,Manchester City
32,Javier HernÃ¡ndez,9,mx MEX,"FW,RW",25,0,0,0,0,2,1,0,0,11,3,0,0,0,0.4,0.4,0,2,0,8,8,100,4,5,2,0,0,8/10/19,West Ham,Manchester City
33,Manuel Lanzini,10,ar ARG,"AM,CM",90,0,0,0,0,1,1,0,0,59,38,1,0,1,0.1,0.1,0,1,0,41,48,85.4,135,51,142,1,2,8/10/19,West Ham,Manchester City
34,Declan Rice,41,eng ENG,"CM,DM",90,0,0,0,0,0,0,0,0,49,30,1,2,0,0,0,0,0,0,39,44,88.6,143,39,45,2,3,8/10/19,West Ham,Manchester City
35,Jack Wilshere,19,eng ENG,CM,55,0,0,0,0,0,0,0,0,31,18,1,0,3,0,0,0,0,0,19,21,90.5,63,21,30,0,1,8/10/19,West Ham,Manchester City
36,Robert Snodgrass,11,sco SCO,"DM,CM",35,0,0,0,0,0,0,0,0,20,8,0,0,0,0,0,0.2,2,0,13,18,72.2,66,15,40,0,1,8/10/19,West Ham,Manchester City
37,Aaron Cresswell,3,eng ENG,LB,90,0,0,0,0,0,0,0,0,48,12,1,0,2,0,0,0,1,0,33,40,82.5,186,33,80,0,2,8/10/19,West Ham,Manchester City
38,Issa Diop,23,fr FRA,CB,90,0,0,0,0,1,0,0,0,45,5,2,2,1,0.2,0.2,0,0,0,32,36,88.9,252,28,88,0,0,8/10/19,West Ham,Manchester City
39,Fabian Balbuena,4,py PAR,CB,90,0,0,0,0,0,0,1,0,44,12,0,0,2,0,0,0,0,0,29,38,76.3,243,30,52,0,0,8/10/19,West Ham,Manchester City
40,Ryan Fredericks,24,eng ENG,RB,90,0,0,0,0,0,0,0,0,64,11,4,1,1,0,0,0,1,0,39,50,78,268,36,55,0,2,8/10/19,West Ham,Manchester City
