,Player,#,Nation,Pos,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xA,KP,1/3,PPA,CrsPA,Prog,Date,Team,Opponent
140,Nabil Bentaleb,42.0,dz ALG,DM,90,32,42,76.2,719,58,0,2,0.0,23,29,79.3,9,11,81.8,0,0.0,0,0,0,0,0,07/20/20,Newcastle Utd,Brighton
141,Matt Ritchie,11.0,sco SCO,WB,90,41,64,64.1,812,371,0,2,0.0,33,40,82.5,8,22,36.4,0,0.4,4,4,2,0,11,07/20/20,Newcastle Utd,Brighton
142,Javier Manquillo,19.0,es ESP,WB,90,28,36,77.8,410,172,0,0,,24,28,85.7,4,8,50.0,0,0.0,0,2,0,0,5,07/20/20,Newcastle Utd,Brighton
143,Danny Rose,28.0,eng ENG,CB,90,37,41,90.2,857,350,0,1,0.0,28,29,96.6,9,11,81.8,0,0.0,1,2,1,0,5,07/20/20,Newcastle Utd,Brighton
144,Federico Fernandez,18.0,ar ARG,CB,90,20,28,71.4,590,131,0,0,,7,9,77.8,13,19,68.4,0,0.0,0,0,0,0,0,07/20/20,Newcastle Utd,Brighton
145,Emil Krafth,17.0,se SWE,CB,90,28,33,84.8,636,226,1,1,100.0,19,23,82.6,8,9,88.9,0,0.0,0,2,0,0,2,07/20/20,Newcastle Utd,Brighton
146,Martin DÃºbravka,1.0,sk SVK,GK,90,14,21,66.7,751,571,0,0,,3,3,100.0,11,18,61.1,0,0.0,0,1,0,0,0,07/20/20,Newcastle Utd,Brighton
147,Raul Jimenez,9.0,mx MEX,FW,90,14,23,60.9,184,39,2,6,33.3,11,13,84.6,1,4,25.0,0,0.0,0,0,0,0,0,07/20/20,Wolves,Crystal Palace
148,Daniel Podence,10.0,pt POR,AM,71,14,20,70.0,207,25,1,2,50.0,12,15,80.0,1,3,33.3,0,0.1,1,0,1,0,1,07/20/20,Wolves,Crystal Palace
149,Diogo Jota,18.0,pt POR,AM,19,4,6,66.7,71,18,0,1,0.0,3,3,100.0,1,2,50.0,0,0.0,0,1,0,0,1,07/20/20,Wolves,Crystal Palace
150,Adama Traore,37.0,es ESP,AM,80,18,27,66.7,283,46,1,4,25.0,15,17,88.2,2,6,33.3,0,0.1,2,1,1,1,2,07/20/20,Wolves,Crystal Palace
151,Pedro Neto,7.0,pt POR,AM,10,5,5,100.0,95,22,0,0,,4,4,100.0,1,1,100.0,0,0.0,1,0,1,1,1,07/20/20,Wolves,Crystal Palace
152,Joao Moutinho,28.0,pt POR,DM,90,56,69,81.2,1241,205,0,1,0.0,37,41,90.2,19,27,70.4,0,0.1,1,4,1,0,4,07/20/20,Wolves,Crystal Palace
153,Ruben Neves,8.0,pt POR,DM,90,57,71,80.3,1345,344,0,1,0.0,32,37,86.5,25,33,75.8,0,0.1,2,6,0,0,6,07/20/20,Wolves,Crystal Palace
154,Jonny,19.0,es ESP,WB,90,41,54,75.9,612,212,0,1,0.0,37,44,84.1,4,9,44.4,0,0.0,0,2,0,0,5,07/20/20,Wolves,Crystal Palace
155,Matt Doherty,2.0,ie IRL,WB,90,55,67,82.1,791,263,1,2,50.0,49,57,86.0,5,8,62.5,1,0.7,1,5,0,0,4,07/20/20,Wolves,Crystal Palace
156,Willy Boly,15.0,fr FRA,CB,90,35,42,83.3,578,270,1,1,100.0,30,34,88.2,4,7,57.1,0,0.0,0,3,0,0,2,07/20/20,Wolves,Crystal Palace
157,Conor Coady,16.0,eng ENG,CB,90,40,45,88.9,1293,527,0,0,,20,22,90.9,20,23,87.0,0,0.0,0,7,0,0,3,07/20/20,Wolves,Crystal Palace
158,Leander Dendoncker,32.0,be BEL,CB,90,46,49,93.9,969,245,0,0,,34,36,94.4,12,13,92.3,0,0.0,0,1,0,0,0,07/20/20,Wolves,Crystal Palace
159,Rui PatrÃ­cio,11.0,pt POR,GK,90,14,21,66.7,731,570,0,0,,1,1,100.0,13,20,65.0,0,0.0,0,0,0,0,0,07/20/20,Wolves,Crystal Palace
160,Jordan Ayew,9.0,gh GHA,FW,90,24,27,88.9,312,32,1,2,50.0,22,24,91.7,1,1,100.0,0,0.0,1,1,1,0,2,07/20/20,Crystal Palace,Wolves
161,Wilfried Zaha,11.0,ci CIV,FW,90,14,16,87.5,291,30,0,0,,9,11,81.8,5,5,100.0,0,0.1,1,1,1,0,2,07/20/20,Crystal Palace,Wolves
162,Jeffrey Schlupp,15.0,gh GHA,CM,72,20,30,66.7,248,35,0,2,0.0,19,25,76.0,1,3,33.3,0,0.0,0,1,0,0,0,07/20/20,Crystal Palace,Wolves
163,Jairo Riedewald,44.0,nl NED,CM,18,8,11,72.7,130,28,0,1,0.0,7,7,100.0,1,3,33.3,0,0.0,0,0,1,1,1,07/20/20,Crystal Palace,Wolves
164,James McArthur,18.0,sco SCO,CM,90,43,59,72.9,781,189,1,5,20.0,34,39,87.2,8,15,53.3,0,0.0,0,4,0,0,3,07/20/20,Crystal Palace,Wolves
165,James McCarthy,22.0,ie IRL,CM,90,42,63,66.7,949,197,0,1,0.0,30,32,93.8,12,30,40.0,0,0.0,0,3,1,0,4,07/20/20,Crystal Palace,Wolves
166,Andros Townsend,10.0,eng ENG,CM,90,18,26,69.2,328,136,0,2,0.0,15,17,88.2,3,7,42.9,0,0.0,0,0,2,2,3,07/20/20,Crystal Palace,Wolves
167,Tyrick Mitchell,39.0,eng ENG,LB,90,39,47,83.0,589,333,0,1,0.0,34,37,91.9,5,9,55.6,0,0.1,2,2,1,1,6,07/20/20,Crystal Palace,Wolves
168,Mamadou Sakho,12.0,fr FRA,CB,22,11,12,91.7,253,71,0,0,,8,8,100.0,3,4,75.0,0,0.0,0,0,0,0,0,07/20/20,Crystal Palace,Wolves
169,Cheikhou Kouyate,8.0,sn SEN,CB,68,26,29,89.7,572,197,0,0,,15,16,93.8,11,13,84.6,0,0.0,0,1,0,0,0,07/20/20,Crystal Palace,Wolves
170,Scott Dann,6.0,eng ENG,CB,90,46,50,92.0,926,485,1,1,100.0,34,35,97.1,11,14,78.6,0,0.0,0,4,0,0,3,07/20/20,Crystal Palace,Wolves
171,Joel Ward,2.0,eng ENG,RB,90,42,52,80.8,529,269,4,4,100.0,36,43,83.7,2,5,40.0,0,0.1,1,1,0,0,3,07/20/20,Crystal Palace,Wolves
172,Vicente Guaita,31.0,es ESP,GK,90,16,23,69.6,518,372,0,0,,8,8,100.0,8,15,53.3,0,0.0,0,1,0,0,0,07/20/20,Crystal Palace,Wolves
173,Troy Deeney,9.0,eng ENG,FW,66,15,25,60.0,193,66,0,1,0.0,14,19,73.7,1,5,20.0,0,0.1,1,2,1,0,3,07/21/20,Watford,Manchester City
174,Danny Welbeck,10.0,eng ENG,FW,24,3,7,42.9,49,13,0,1,0.0,3,6,50.0,0,0,,0,0.0,0,1,0,0,0,07/21/20,Watford,Manchester City
175,Roberto Pereyra,37.0,ar ARG,LW,86,16,17,94.1,269,94,0,0,,13,13,100.0,3,4,75.0,0,0.0,0,0,0,0,0,07/21/20,Watford,Manchester City
176,Adam Masina,11.0,it ITA,LW,4,1,2,50.0,17,0,0,1,0.0,1,1,100.0,0,0,,0,0.0,0,0,0,0,0,07/21/20,Watford,Manchester City
177,Ismaila Sarr,23.0,sn SEN,RW,90,8,10,80.0,127,10,0,0,,7,9,77.8,1,1,100.0,0,0.0,0,0,0,0,0,07/21/20,Watford,Manchester City
178,Will Hughes,19.0,eng ENG,CM,90,17,20,85.0,216,57,1,2,50.0,15,15,100.0,1,3,33.3,0,0.0,0,1,0,0,1,07/21/20,Watford,Manchester City
179,Abdoulaye Doucoure,16.0,fr FRA,CM,81,21,28,75.0,287,56,1,3,33.3,19,23,82.6,1,2,50.0,0,0.0,0,0,0,0,0,07/21/20,Watford,Manchester City
180,Nathaniel Chalobah,14.0,eng ENG,CM,9,2,2,100.0,45,19,0,0,,1,1,100.0,1,1,100.0,0,0.0,0,0,1,0,1,07/21/20,Watford,Manchester City
181,Tom Cleverley,8.0,eng ENG,DM,90,13,25,52.0,292,100,0,0,,10,16,62.5,3,9,33.3,0,0.0,0,1,0,0,1,07/21/20,Watford,Manchester City
182,Kiko Femenia,21.0,es ESP,LB,90,32,40,80.0,472,245,0,0,,29,31,93.5,3,9,33.3,0,0.0,0,0,0,0,5,07/21/20,Watford,Manchester City
183,Craig Dawson,4.0,eng ENG,CB,90,13,23,56.5,307,98,1,1,100.0,7,9,77.8,5,13,38.5,0,0.0,0,2,0,0,0,07/21/20,Watford,Manchester City
184,Christian Kabasele,27.0,be BEL,CB,90,7,16,43.8,173,86,0,0,,4,7,57.1,3,9,33.3,0,0.0,0,0,0,0,0,07/21/20,Watford,Manchester City
185,Adrian Mariappa,6.0,jm JAM,RB,90,11,16,68.8,235,195,0,1,0.0,8,9,88.9,3,6,50.0,0,0.0,0,1,0,0,1,07/21/20,Watford,Manchester City
186,Ben Foster,26.0,eng ENG,GK,90,10,31,32.3,654,580,0,0,,0,0,,10,31,32.3,0,0.0,0,0,0,0,0,07/21/20,Watford,Manchester City
187,Gabriel Jesus,9.0,br BRA,FW,90,17,19,89.5,261,5,0,0,,15,17,88.2,2,2,100.0,0,0.1,1,0,0,0,0,07/21/20,Manchester City,Watford
188,Raheem Sterling,7.0,eng ENG,"LW,RW",63,31,37,83.8,423,68,0,0,,31,35,88.6,0,2,0.0,0,0.0,0,0,2,0,2,07/21/20,Manchester City,Watford
189,Riyad Mahrez,26.0,dz ALG,RW,27,13,15,86.7,285,38,0,0,,8,10,80.0,5,5,100.0,0,0.0,0,2,1,0,1,07/21/20,Manchester City,Watford
190,Phil Foden,47.0,eng ENG,"LW,RW",90,39,51,76.5,677,138,0,3,0.0,33,38,86.8,6,10,60.0,0,0.1,1,2,1,0,4,07/21/20,Manchester City,Watford
191,Bernardo Silva,20.0,pt POR,CM,90,69,74,93.2,1123,290,1,1,100.0,58,61,95.1,10,12,83.3,0,0.3,4,7,0,0,5,07/21/20,Manchester City,Watford
192,Kevin De Bruyne,17.0,be BEL,CM,90,62,92,67.4,1252,289,0,6,0.0,45,52,86.5,17,34,50.0,1,0.5,5,6,1,0,7,07/21/20,Manchester City,Watford
193,Rodrigo,16.0,es ESP,DM,90,123,129,95.3,2505,459,1,2,50.0,89,91,97.8,33,36,91.7,0,0.1,2,14,4,0,13,07/21/20,Manchester City,Watford
194,Joao Cancelo,27.0,pt POR,"LB,RB",90,82,90,91.1,1473,458,0,0,,68,72,94.4,14,18,77.8,0,0.2,2,14,3,0,10,07/21/20,Manchester City,Watford
195,Aymeric Laporte,14.0,fr FRA,CB,73,61,65,93.8,1388,458,1,1,100.0,40,42,95.2,20,22,90.9,0,0.0,0,11,1,0,6,07/21/20,Manchester City,Watford
196,John Stones,5.0,eng ENG,CB,17,18,19,94.7,439,130,0,0,,11,11,100.0,7,8,87.5,0,0.0,0,1,0,0,1,07/21/20,Manchester City,Watford
197,Eric Garcia,50.0,es ESP,CB,90,70,75,93.3,1443,489,3,4,75.0,44,47,93.6,23,24,95.8,0,0.0,0,12,0,0,10,07/21/20,Manchester City,Watford
198,Kyle Walker,2.0,eng ENG,RB,63,66,73,90.4,1510,280,0,1,0.0,43,46,93.5,23,26,88.5,1,0.1,1,10,1,0,6,07/21/20,Manchester City,Watford
199,Oleksandr Zinchenko,11.0,ua UKR,LB,27,23,25,92.0,440,133,0,0,,19,19,100.0,4,6,66.7,0,0.1,2,3,1,1,4,07/21/20,Manchester City,Watford
200,Ederson,31.0,br BRA,GK,90,19,21,90.5,417,299,0,0,,15,15,100.0,4,6,66.7,0,0.0,0,0,0,0,0,07/21/20,Manchester City,Watford
201,Mbwana Samatta,20.0,tz TAN,FW,71,8,17,47.1,154,20,0,2,0.0,6,12,50.0,2,3,66.7,0,0.0,0,1,0,0,1,07/21/20,Aston Villa,Arsenal
202,Keinan Davis,39.0,eng ENG,FW,19,5,8,62.5,66,28,0,1,0.0,5,6,83.3,0,1,0.0,0,0.0,0,0,1,0,1,07/21/20,Aston Villa,Arsenal
203,Jack Grealish,10.0,eng ENG,LW,90,28,36,77.8,561,175,0,2,0.0,21,24,87.5,7,10,70.0,0,0.3,3,2,2,0,4,07/21/20,Aston Villa,Arsenal
204,Trezeguet,17.0,eg EGY,RW,90,9,14,64.3,141,33,1,2,50.0,7,10,70.0,1,2,50.0,0,0.0,1,0,0,0,1,07/21/20,Aston Villa,Arsenal
205,Conor Hourihane,14.0,ie IRL,CM,72,20,34,58.8,417,102,1,1,100.0,13,19,68.4,6,14,42.9,0,0.0,0,1,1,0,4,07/21/20,Aston Villa,Arsenal
206,Marvelous Nakamba,11.0,zw ZIM,CM,18,4,4,100.0,39,19,0,0,,4,4,100.0,0,0,,0,0.0,0,0,0,0,1,07/21/20,Aston Villa,Arsenal
207,John McGinn,7.0,sco SCO,CM,89,11,13,84.6,222,64,0,0,,9,10,90.0,2,3,66.7,0,0.0,0,1,1,0,2,07/21/20,Aston Villa,Arsenal
208,Henri Lansbury,8.0,eng ENG,CM,1,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0,0,0,0,0,07/21/20,Aston Villa,Arsenal
209,Douglas Luiz,6.0,br BRA,DM,90,22,29,75.9,434,138,0,0,,17,21,81.0,5,8,62.5,0,0.0,0,1,0,0,2,07/21/20,Aston Villa,Arsenal
210,Matt Targett,18.0,eng ENG,LB,90,15,22,68.2,289,131,0,1,0.0,10,10,100.0,5,11,45.5,0,0.0,0,1,0,0,1,07/21/20,Aston Villa,Arsenal
211,Tyrone Mings,40.0,eng ENG,CB,90,30,39,76.9,764,237,0,1,0.0,16,20,80.0,14,18,77.8,1,0.1,1,1,0,0,3,07/21/20,Aston Villa,Arsenal
212,Ezri Konsa Ngoyo,15.0,eng ENG,CB,90,17,20,85.0,354,61,1,1,100.0,11,13,84.6,5,6,83.3,0,0.1,1,0,0,0,0,07/21/20,Aston Villa,Arsenal
213,Ahmed El Mohamady,27.0,eg EGY,RB,24,10,14,71.4,223,95,0,0,,7,7,100.0,3,7,42.9,0,0.1,1,1,1,0,3,07/21/20,Aston Villa,Arsenal
214,Frederic Guilbert,24.0,fr FRA,RB,66,13,21,61.9,272,116,0,2,0.0,8,10,80.0,5,9,55.6,0,0.0,0,0,0,0,2,07/21/20,Aston Villa,Arsenal
215,Pepe Reina,29.0,es ESP,GK,90,23,36,63.9,1128,871,0,1,0.0,7,7,100.0,16,28,57.1,0,0.0,0,2,0,0,0,07/21/20,Aston Villa,Arsenal
216,Alexandre Lacazette,9.0,fr FRA,FW,90,19,24,79.2,259,50,1,1,100.0,16,20,80.0,2,3,66.7,0,0.0,0,1,0,0,1,07/21/20,Arsenal,Aston Villa
217,Pierre-Emerick Aubameyang,14.0,ga GAB,LW,90,17,26,65.4,259,71,0,0,,14,21,66.7,3,5,60.0,0,0.0,0,2,0,0,2,07/21/20,Arsenal,Aston Villa
218,Eddie Nketiah,30.0,eng ENG,RW,90,16,22,72.7,226,66,1,3,33.3,14,17,82.4,1,2,50.0,0,0.0,0,1,1,0,1,07/21/20,Arsenal,Aston Villa
219,Lucas Torreira,11.0,uy URU,DM,45,39,39,100.0,891,116,0,0,,26,26,100.0,13,13,100.0,0,0.0,0,3,1,0,3,07/21/20,Arsenal,Aston Villa
220,Granit Xhaka,34.0,ch SUI,DM,45,40,45,88.9,874,167,0,0,,26,28,92.9,14,17,82.4,0,0.0,0,4,0,0,1,07/21/20,Arsenal,Aston Villa
221,Dani Ceballos,8.0,es ESP,DM,90,94,110,85.5,2148,389,1,2,50.0,57,64,89.1,36,44,81.8,0,0.0,1,11,1,0,11,07/21/20,Arsenal,Aston Villa
222,Bukayo Saka,77.0,eng ENG,WB,59,27,35,77.1,394,82,1,3,33.3,24,29,82.8,2,3,66.7,0,0.0,1,2,1,0,3,07/21/20,Arsenal,Aston Villa
223,Kieran Tierney,3.0,sco SCO,WB,31,17,23,73.9,395,134,0,2,0.0,11,12,91.7,6,9,66.7,0,0.0,0,1,0,0,0,07/21/20,Arsenal,Aston Villa
224,Cedric Soares,17.0,pt POR,"WB,CB",78,41,56,73.2,683,217,1,2,50.0,34,40,85.0,6,14,42.9,0,0.0,1,1,1,0,6,07/21/20,Arsenal,Aston Villa
225,Joseph Willock,28.0,eng ENG,CB,12,7,9,77.8,141,46,0,0,,4,6,66.7,3,3,100.0,0,0.0,0,1,0,0,0,07/21/20,Arsenal,Aston Villa
226,Sead Kolasinac,31.0,ba BIH,CB,90,73,85,85.9,1269,323,1,2,50.0,63,72,87.5,9,11,81.8,0,0.0,0,9,0,0,5,07/21/20,Arsenal,Aston Villa
227,David Luiz,23.0,br BRA,CB,59,42,45,93.3,1144,256,0,0,,19,19,100.0,23,26,88.5,0,0.0,0,4,0,0,3,07/21/20,Arsenal,Aston Villa
228,Nicolas Pepe,19.0,ci CIV,"WB,CB",31,18,23,78.3,311,93,0,0,,14,18,77.8,4,5,80.0,0,0.3,2,1,1,0,2,07/21/20,Arsenal,Aston Villa
229,Rob Holding,16.0,eng ENG,CB,90,75,80,93.8,1691,422,0,0,,52,52,100.0,23,28,82.1,0,0.0,0,5,0,0,4,07/21/20,Arsenal,Aston Villa
230,Emiliano MartÃ­nez,26.0,ar ARG,GK,90,26,26,100.0,599,288,0,0,,17,17,100.0,9,9,100.0,0,0.0,0,0,0,0,0,07/21/20,Arsenal,Aston Villa
231,Anthony Martial,9.0,fr FRA,FW,90,25,37,67.6,366,70,1,7,14.3,21,26,80.8,3,4,75.0,1,0.1,2,2,1,0,2,07/22/20,Manchester Utd,West Ham
232,Marcus Rashford,10.0,eng ENG,LW,84,30,39,76.9,531,115,0,2,0.0,26,32,81.3,4,5,80.0,0,0.0,0,3,2,0,4,07/22/20,Manchester Utd,West Ham
233,Odion Ighalo,25.0,ng NGA,LW,6,3,3,100.0,22,0,0,0,,3,3,100.0,0,0,,0,0.0,0,0,0,0,0,07/22/20,Manchester Utd,West Ham
234,Mason Greenwood,26.0,eng ENG,RW,90,35,37,94.6,435,88,1,1,100.0,33,34,97.1,1,2,50.0,0,0.1,1,1,2,0,4,07/22/20,Manchester Utd,West Ham
235,Bruno Fernandes,18.0,pt POR,AM,90,62,76,81.6,1122,301,2,4,50.0,49,55,89.1,11,17,64.7,0,0.1,3,10,0,0,8,07/22/20,Manchester Utd,West Ham
236,Nemanja Matic,31.0,rs SRB,CM,90,87,95,91.6,1730,425,2,4,50.0,64,66,97.0,21,25,84.0,0,0.0,1,13,1,0,10,07/22/20,Manchester Utd,West Ham
237,Paul Pogba,6.0,fr FRA,CM,90,78,82,95.1,1433,431,0,0,,62,66,93.9,16,16,100.0,0,0.0,0,13,2,0,15,07/22/20,Manchester Utd,West Ham
238,Brandon Williams,53.0,eng ENG,LB,90,66,74,89.2,1134,346,0,0,,54,60,90.0,12,14,85.7,0,0.1,1,4,4,2,10,07/22/20,Manchester Utd,West Ham
239,Harry Maguire,5.0,eng ENG,CB,90,59,67,88.1,1163,354,2,2,100.0,45,49,91.8,12,16,75.0,0,0.0,1,8,0,0,5,07/22/20,Manchester Utd,West Ham
240,Victor Lindelof,2.0,se SWE,CB,90,54,62,87.1,867,348,2,2,100.0,48,50,96.0,4,10,40.0,0,0.0,0,2,0,0,1,07/22/20,Manchester Utd,West Ham
241,Timothy Fosu-Mensah,24.0,nl NED,RB,45,13,19,68.4,201,77,0,2,0.0,13,16,81.3,0,1,0.0,0,0.0,0,1,0,0,2,07/22/20,Manchester Utd,West Ham
242,Aaron Wan-Bissaka,29.0,eng ENG,RB,45,14,16,87.5,161,75,0,1,0.0,13,13,100.0,1,2,50.0,0,0.1,1,1,1,0,2,07/22/20,Manchester Utd,West Ham
243,David de Gea,1.0,es ESP,GK,90,22,25,88.0,457,260,0,0,,18,18,100.0,4,7,57.1,0,0.0,0,0,0,0,0,07/22/20,Manchester Utd,West Ham
244,Michail Antonio,30.0,eng ENG,FW,77,14,26,53.8,178,39,1,4,25.0,13,20,65.0,0,2,0.0,0,0.0,0,0,1,0,1,07/22/20,West Ham,Manchester Utd
245,Sebastien Haller,22.0,fr FRA,FW,13,7,9,77.8,86,2,0,1,0.0,7,8,87.5,0,0,,0,0.0,0,0,0,0,0,07/22/20,West Ham,Manchester Utd
246,Pablo Fornals,18.0,es ESP,LW,90,35,48,72.9,552,206,0,4,0.0,32,37,86.5,3,7,42.9,0,0.0,0,2,0,0,3,07/22/20,West Ham,Manchester Utd
247,Jarrod Bowen,17.0,eng ENG,RW,89,29,38,76.3,646,144,2,6,33.3,20,23,87.0,7,9,77.8,0,0.1,2,3,0,0,4,07/22/20,West Ham,Manchester Utd
248,Andriy Yarmolenko,7.0,ua UKR,RW,1,3,4,75.0,42,21,0,0,,3,3,100.0,0,1,0.0,0,0.0,0,0,0,0,1,07/22/20,West Ham,Manchester Utd
249,Mark Noble,16.0,eng ENG,AM,90,58,69,84.1,1133,384,1,3,33.3,43,50,86.0,14,16,87.5,0,0.3,5,6,1,0,9,07/22/20,West Ham,Manchester Utd
250,Tomas Soucek,28.0,cz CZE,CM,90,28,33,84.8,481,74,1,2,50.0,22,24,91.7,5,7,71.4,0,0.0,0,1,1,0,2,07/22/20,West Ham,Manchester Utd
251,Declan Rice,41.0,eng ENG,CM,90,41,47,87.2,794,247,1,3,33.3,32,33,97.0,8,11,72.7,0,0.0,0,6,1,0,5,07/22/20,West Ham,Manchester Utd
252,Aaron Cresswell,3.0,eng ENG,LB,74,38,48,79.2,754,406,1,3,33.3,32,36,88.9,5,9,55.6,0,0.0,0,3,0,0,6,07/22/20,West Ham,Manchester Utd
253,Arthur Masuaku,26.0,cd COD,LB,16,9,10,90.0,198,50,0,0,,7,8,87.5,2,2,100.0,0,0.0,0,0,0,0,0,07/22/20,West Ham,Manchester Utd
254,Angelo Ogbonna,21.0,it ITA,CB,90,30,34,88.2,723,152,0,1,0.0,17,17,100.0,13,16,81.3,0,0.0,0,0,0,0,1,07/22/20,West Ham,Manchester Utd
255,Issa Diop,23.0,fr FRA,CB,90,31,36,86.1,642,183,0,1,0.0,22,23,95.7,9,12,75.0,0,0.1,1,1,1,0,1,07/22/20,West Ham,Manchester Utd
256,Ben Johnson,53.0,eng ENG,RB,90,37,62,59.7,654,333,0,4,0.0,35,42,83.3,2,16,12.5,0,0.0,0,5,0,0,7,07/22/20,West Ham,Manchester Utd
257,Åukasz FabiaÅski,1.0,pl POL,GK,90,20,30,66.7,688,411,0,0,,8,8,100.0,12,22,54.5,0,0.0,0,0,0,0,0,07/22/20,West Ham,Manchester Utd
258,Roberto Firmino,9.0,br BRA,FW,86,20,27,74.1,298,52,3,4,75.0,13,19,68.4,4,4,100.0,0,0.2,1,3,0,0,1,07/22/20,Liverpool,Chelsea
259,Takumi Minamino,18.0,jp JPN,FW,4,1,2,50.0,17,14,0,0,,1,2,50.0,0,0,,0,0.0,0,0,0,0,0,07/22/20,Liverpool,Chelsea
260,Sadio Mane,10.0,sn SEN,LW,86,35,40,87.5,507,101,3,4,75.0,30,33,90.9,2,3,66.7,0,0.0,0,2,1,0,3,07/22/20,Liverpool,Chelsea
261,Divock Origi,27.0,be BEL,LW,4,0,1,0.0,0,0,0,0,,0,1,0.0,0,0,,0,0.0,0,0,0,0,0,07/22/20,Liverpool,Chelsea
262,Mohamed Salah,11.0,eg EGY,RW,78,22,31,71.0,304,95,1,2,50.0,21,28,75.0,0,1,0.0,1,0.1,1,0,2,0,4,07/22/20,Liverpool,Chelsea
263,Alex Oxlade-Chamberlain,15.0,eng ENG,RW,12,1,3,33.3,6,0,0,0,,1,3,33.3,0,0,,0,0.0,0,0,0,0,0,07/22/20,Liverpool,Chelsea
264,Georginio Wijnaldum,5.0,nl NED,CM,65,31,33,93.9,507,97,1,1,100.0,26,28,92.9,4,4,100.0,0,0.0,0,1,1,0,2,07/22/20,Liverpool,Chelsea
265,James Milner,7.0,eng ENG,CM,25,8,12,66.7,135,35,1,4,25.0,5,6,83.3,2,2,100.0,0,0.0,0,0,0,0,1,07/22/20,Liverpool,Chelsea
266,Naby Keita,8.0,gn GUI,CM,65,43,49,87.8,718,99,0,0,,37,41,90.2,6,8,75.0,0,0.0,0,5,0,0,0,07/22/20,Liverpool,Chelsea
267,Curtis Jones,48.0,eng ENG,CM,25,6,11,54.5,113,0,0,1,0.0,4,8,50.0,2,2,100.0,0,0.0,0,0,0,0,0,07/22/20,Liverpool,Chelsea
268,Fabinho,3.0,br BRA,DM,90,46,56,82.1,879,167,2,3,66.7,34,40,85.0,10,13,76.9,0,0.0,0,5,0,0,3,07/22/20,Liverpool,Chelsea
269,Andrew Robertson,26.0,sco SCO,LB,90,67,85,78.8,1291,514,1,3,33.3,47,56,83.9,19,26,73.1,1,0.4,3,5,1,1,7,07/22/20,Liverpool,Chelsea
270,Virgil van Dijk,4.0,nl NED,CB,90,63,76,82.9,1430,404,0,0,,42,46,91.3,21,30,70.0,0,0.0,0,2,0,0,6,07/22/20,Liverpool,Chelsea
271,Joseph Gomez,12.0,eng ENG,CB,90,59,69,85.5,1296,428,2,3,66.7,34,38,89.5,23,28,82.1,0,0.0,0,6,0,0,3,07/22/20,Liverpool,Chelsea
272,Trent Alexander-Arnold,66.0,eng ENG,RB,90,55,77,71.4,1309,625,1,2,50.0,33,41,80.5,21,34,61.8,1,0.2,2,6,3,1,11,07/22/20,Liverpool,Chelsea
273,Alisson,1.0,br BRA,GK,90,33,44,75.0,976,538,1,1,100.0,15,15,100.0,17,28,60.7,0,0.0,0,0,0,0,0,07/22/20,Liverpool,Chelsea
274,Olivier Giroud,18.0,fr FRA,FW,58,14,19,73.7,191,1,0,0,,13,17,76.5,1,2,50.0,0,0.0,0,0,0,0,0,07/22/20,Chelsea,Liverpool
275,Tammy Abraham,9.0,eng ENG,FW,32,1,3,33.3,37,0,0,0,,0,2,0.0,1,1,100.0,0,0.0,0,0,0,0,0,07/22/20,Chelsea,Liverpool
276,Mason Mount,19.0,eng ENG,LW,58,17,23,73.9,297,11,0,1,0.0,15,16,93.8,2,6,33.3,0,0.0,0,0,0,0,0,07/22/20,Chelsea,Liverpool
277,Callum Hudson-Odoi,20.0,eng ENG,"RW,LW",32,8,11,72.7,211,38,0,0,,4,6,66.7,4,5,80.0,1,0.1,1,2,0,0,2,07/22/20,Chelsea,Liverpool
278,Willian,10.0,br BRA,RW,58,19,28,67.9,277,9,0,2,0.0,18,22,81.8,1,4,25.0,0,0.0,0,1,0,0,0,07/22/20,Chelsea,Liverpool
279,Christian Pulisic,22.0,us USA,"LW,RW",32,6,7,85.7,117,22,0,1,0.0,5,5,100.0,1,1,100.0,1,0.5,1,0,0,0,1,07/22/20,Chelsea,Liverpool
280,Mateo Kovacic,17.0,hr CRO,DM,90,39,46,84.8,683,113,2,3,66.7,31,35,88.6,6,8,75.0,0,0.0,0,2,0,0,3,07/22/20,Chelsea,Liverpool
281,Jorginho,5.0,it ITA,DM,90,58,64,90.6,1201,257,0,0,,45,49,91.8,13,15,86.7,0,0.0,1,9,0,0,6,07/22/20,Chelsea,Liverpool
282,Marcos Alonso,3.0,es ESP,WB,87,50,61,82.0,1004,344,1,1,100.0,36,42,85.7,13,18,72.2,0,0.3,1,4,0,0,9,07/22/20,Chelsea,Liverpool
283,Emerson,33.0,it ITA,WB,3,2,3,66.7,37,1,0,0,,1,2,50.0,1,1,100.0,0,0.0,0,0,0,0,0,07/22/20,Chelsea,Liverpool
284,Reece James,24.0,eng ENG,WB,90,52,66,78.8,943,440,0,2,0.0,44,50,88.0,8,14,57.1,0,0.7,3,5,5,2,12,07/22/20,Chelsea,Liverpool
285,Antonio Rudiger,2.0,de GER,CB,90,45,58,77.6,1140,310,0,0,,25,29,86.2,20,29,69.0,0,0.0,0,3,0,0,0,07/22/20,Chelsea,Liverpool
