,Player,#,Nation,Pos,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xA,KP,1/3,PPA,CrsPA,Prog,Date,Team,Opponent
32,Dominic Solanke,9.0,eng ENG,"FW,CM",21,1,1,100.0,3,1,1,1,100.0,0,0,,0,0,,0,0.0,0,0,0,0,0,07/19/20,Bournemouth,Southampton
33,Philip Billing,29.0,dk DEN,CM,86,16,31,51.6,304,93,0,1,0.0,13,18,72.2,3,12,25.0,0,0.1,2,0,2,1,3,07/19/20,Bournemouth,Southampton
34,Dan Gosling,4.0,eng ENG,CM,4,1,1,100.0,9,0,0,0,,1,1,100.0,0,0,,0,0.0,0,0,0,0,0,07/19/20,Bournemouth,Southampton
35,Jefferson Lerma,8.0,co COL,CM,81,18,28,64.3,376,208,0,2,0.0,13,21,61.9,5,5,100.0,0,0.0,1,5,1,0,1,07/19/20,Bournemouth,Southampton
36,Sam Surridge,44.0,eng ENG,"RW,CM",9,0,4,0.0,0,0,0,0,,0,3,0.0,0,1,0.0,0,0.0,0,0,0,0,0,07/19/20,Bournemouth,Southampton
37,David Brooks,20.0,wal WAL,CM,45,4,11,36.4,81,48,0,2,0.0,3,7,42.9,1,2,50.0,0,0.0,0,0,2,1,3,07/19/20,Bournemouth,Southampton
38,Harry Wilson,22.0,wal WAL,"CM,WB",45,8,15,53.3,173,79,0,1,0.0,7,11,63.6,1,3,33.3,0,0.0,0,1,1,0,3,07/19/20,Bournemouth,Southampton
39,Diego Rico,21.0,es ESP,"LB,CB",90,37,64,57.8,965,502,2,4,50.0,15,25,60.0,20,35,57.1,0,0.1,2,7,2,0,14,07/19/20,Bournemouth,Southampton
40,Lloyd Kelly,26.0,eng ENG,CB,90,16,28,57.1,453,147,0,1,0.0,5,9,55.6,11,18,61.1,0,0.0,0,1,0,0,2,07/19/20,Bournemouth,Southampton
41,Steve Cook,3.0,eng ENG,CB,90,15,24,62.5,330,179,0,0,,11,15,73.3,4,9,44.4,0,0.0,0,1,0,0,2,07/19/20,Bournemouth,Southampton
42,Jack Stacey,17.0,eng ENG,"RB,WB",90,20,38,52.6,359,232,0,3,0.0,16,27,59.3,4,8,50.0,0,0.0,0,4,0,0,5,07/19/20,Bournemouth,Southampton
43,Aaron Ramsdale,12.0,eng ENG,GK,90,15,30,50.0,641,523,0,0,,5,5,100.0,10,25,40.0,0,0.0,0,1,0,0,0,07/19/20,Bournemouth,Southampton
44,Danny Ings,9.0,eng ENG,FW,89,13,21,61.9,239,111,1,2,50.0,10,15,66.7,2,4,50.0,0,0.1,1,5,1,0,5,07/19/20,Southampton,Bournemouth
45,Michael Obafemi,20.0,ie IRL,FW,1,1,3,33.3,14,5,0,1,0.0,1,2,50.0,0,0,,1,0.2,1,0,0,0,0,07/19/20,Southampton,Bournemouth
46,Shane Long,7.0,ie IRL,FW,65,10,19,52.6,103,46,2,4,50.0,8,15,53.3,0,0,,0,0.0,0,0,0,0,2,07/19/20,Southampton,Bournemouth
47,Che Adams,10.0,eng ENG,FW,25,4,8,50.0,76,31,0,1,0.0,3,6,50.0,1,1,100.0,0,0.4,1,1,0,0,2,07/19/20,Southampton,Bournemouth
48,Nathan Redmond,22.0,eng ENG,CM,90,24,33,72.7,376,75,1,5,20.0,19,22,86.4,4,6,66.7,1,0.1,2,0,1,0,3,07/19/20,Southampton,Bournemouth
49,Oriol Romeu,14.0,es ESP,CM,76,23,37,62.2,494,125,0,3,0.0,16,21,76.2,7,13,53.8,0,0.3,3,4,2,0,3,07/19/20,Southampton,Bournemouth
50,Pierre-Emile Hojbjerg,23.0,dk DEN,CM,14,9,12,75.0,189,49,0,0,,6,7,85.7,3,5,60.0,0,0.0,0,1,1,0,3,07/19/20,Southampton,Bournemouth
51,James Ward-Prowse,16.0,eng ENG,CM,90,41,52,78.8,762,285,2,3,66.7,30,34,88.2,9,15,60.0,0,0.2,2,3,3,1,9,07/19/20,Southampton,Bournemouth
52,Stuart Armstrong,17.0,sco SCO,CM,90,24,34,70.6,381,117,2,4,50.0,19,22,86.4,3,8,37.5,0,0.1,1,4,1,0,5,07/19/20,Southampton,Bournemouth
53,Ryan Bertrand,21.0,eng ENG,LB,90,43,56,76.8,726,240,1,3,33.3,33,42,78.6,9,11,81.8,0,0.1,1,1,1,1,3,07/19/20,Southampton,Bournemouth
54,Jannik Vestergaard,4.0,dk DEN,CB,90,27,42,64.3,594,256,1,2,50.0,17,26,65.4,9,14,64.3,0,0.0,0,2,0,0,2,07/19/20,Southampton,Bournemouth
55,Jack Stephens,5.0,eng ENG,CB,90,30,38,78.9,645,238,0,1,0.0,22,24,91.7,8,13,61.5,0,0.0,0,1,1,0,1,07/19/20,Southampton,Bournemouth
56,Kyle Walker-Peters,24.0,eng ENG,RB,90,37,46,80.4,652,223,2,2,100.0,29,34,85.3,6,10,60.0,0,0.0,0,2,0,0,2,07/19/20,Southampton,Bournemouth
57,Alex McCarthy,1.0,eng ENG,GK,90,21,40,52.5,945,704,0,0,,5,5,100.0,16,35,45.7,0,0.0,0,2,0,0,0,07/19/20,Southampton,Bournemouth
58,Harry Kane,10.0,eng ENG,FW,90,6,12,50.0,157,78,1,3,33.3,2,4,50.0,3,5,60.0,0,0.1,1,3,0,0,2,07/19/20,Tottenham,Leicester City
59,Son Heung-Min,7.0,kr KOR,LW,88,12,15,80.0,174,49,1,1,100.0,9,10,90.0,2,4,50.0,0,0.0,1,0,0,0,1,07/19/20,Tottenham,Leicester City
60,Gedson Fernandes,30.0,pt POR,LW,2,2,2,100.0,33,17,0,0,,2,2,100.0,0,0,,0,0.0,0,0,0,0,1,07/19/20,Tottenham,Leicester City
