,Player,#,Nation,Pos,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Past,Press,Succ,%,Def 3rd.1,Mid 3rd.1,Att 3rd.1,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Date,Team,Opponent
33,Philip Billing,29.0,dk DEN,CM,86,1,1,0,1,0,0,3,0.0,3,26,7,26.9,4,15,7,6,1,0,5,1,,2,0,07/19/20,Bournemouth,Southampton
34,Dan Gosling,4.0,eng ENG,CM,4,0,0,0,0,0,0,0,,0,4,1,25.0,0,3,1,0,0,0,0,0,,1,0,07/19/20,Bournemouth,Southampton
35,Jefferson Lerma,8.0,co COL,CM,81,4,2,0,4,0,1,2,50.0,1,26,10,38.5,6,16,4,1,0,0,1,1,,3,0,07/19/20,Bournemouth,Southampton
36,Sam Surridge,44.0,eng ENG,"RW,CM",9,0,0,0,0,0,0,0,,0,7,1,14.3,0,3,4,1,0,0,1,1,,0,0,07/19/20,Bournemouth,Southampton
37,David Brooks,20.0,wal WAL,CM,45,0,0,0,0,0,0,0,,0,6,0,0.0,3,1,2,1,0,0,1,2,,1,0,07/19/20,Bournemouth,Southampton
38,Harry Wilson,22.0,wal WAL,"CM,WB",45,2,0,2,0,0,1,3,33.3,2,11,3,27.3,7,3,1,3,1,0,2,3,,1,0,07/19/20,Bournemouth,Southampton
39,Diego Rico,21.0,es ESP,"LB,CB",90,1,0,0,1,0,1,5,20.0,4,18,4,22.2,3,12,3,1,0,0,1,1,,3,0,07/19/20,Bournemouth,Southampton
40,Lloyd Kelly,26.0,eng ENG,CB,90,2,2,1,1,0,1,3,33.3,2,9,5,55.6,6,3,0,4,2,0,2,0,,3,0,07/19/20,Bournemouth,Southampton
41,Steve Cook,3.0,eng ENG,CB,90,0,0,0,0,0,0,0,,0,8,3,37.5,4,4,0,2,1,0,1,1,,5,0,07/19/20,Bournemouth,Southampton
42,Jack Stacey,17.0,eng ENG,"RB,WB",90,1,1,0,0,1,0,1,0.0,1,10,5,50.0,1,6,3,2,0,0,2,2,,3,0,07/19/20,Bournemouth,Southampton
43,Aaron Ramsdale,12.0,eng ENG,GK,90,0,0,0,0,0,0,0,,0,2,1,50.0,2,0,0,0,0,0,0,0,,0,0,07/19/20,Bournemouth,Southampton
44,Danny Ings,9.0,eng ENG,FW,89,0,0,0,0,0,0,0,,0,14,2,14.3,3,6,5,1,0,0,1,0,,1,0,07/19/20,Southampton,Bournemouth
45,Michael Obafemi,20.0,ie IRL,FW,1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,0,07/19/20,Southampton,Bournemouth
