,Player,#,Nation,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PrgDist,Carries,PrgDist.1,Succ,Att.1,Date,Team,Opponent
29,Lewis Cook,16.0,eng ENG,"CM,FW",22,0,0,0,0,0,0,1,0,13,7,1,0,0,0.0,0.0,0.0,0,0,8,10,80.0,48,9,9,2,2,07/19/20,Bournemouth,Southampton
30,Callum Wilson,13.0,eng ENG,"FW,LW",90,0,0,0,0,2,0,0,0,32,19,1,0,2,0.3,0.3,0.1,1,0,10,18,55.6,69,13,34,1,2,07/19/20,Bournemouth,Southampton
31,Junior Stanislas,19.0,eng ENG,CM,69,0,0,0,0,0,0,0,0,29,13,2,1,0,0.0,0.0,0.2,3,0,13,23,56.5,105,14,64,0,0,07/19/20,Bournemouth,Southampton
32,Dominic Solanke,9.0,eng ENG,"FW,CM",21,0,0,0,0,2,0,0,0,8,7,0,0,1,0.4,0.4,0.0,2,0,1,1,100.0,1,5,22,0,0,07/19/20,Bournemouth,Southampton
33,Philip Billing,29.0,dk DEN,CM,86,0,0,0,0,0,0,1,0,44,26,1,1,6,0.0,0.0,0.1,4,0,16,31,51.6,93,15,58,0,0,07/19/20,Bournemouth,Southampton
34,Dan Gosling,4.0,eng ENG,CM,4,0,0,0,0,0,0,0,0,4,4,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,1,2,0,0,07/19/20,Bournemouth,Southampton
35,Jefferson Lerma,8.0,co COL,CM,81,0,0,0,0,1,0,0,0,42,26,4,1,1,0.0,0.0,0.0,2,0,18,28,64.3,208,10,19,0,0,07/19/20,Bournemouth,Southampton
36,Sam Surridge,44.0,eng ENG,"RW,CM",9,0,0,0,0,0,0,0,0,8,7,0,1,1,0.0,0.0,0.0,0,0,0,4,0.0,0,3,2,0,0,07/19/20,Bournemouth,Southampton
37,David Brooks,20.0,wal WAL,CM,45,0,0,0,0,0,0,0,0,14,6,0,2,1,0.0,0.0,0.0,0,0,4,11,36.4,48,6,29,0,0,07/19/20,Bournemouth,Southampton
38,Harry Wilson,22.0,wal WAL,"CM,WB",45,0,0,0,0,4,2,0,0,27,11,2,3,3,0.3,0.3,0.0,1,0,8,15,53.3,79,15,64,3,3,07/19/20,Bournemouth,Southampton
39,Diego Rico,21.0,es ESP,"LB,CB",90,0,0,0,0,1,0,0,0,73,18,1,1,1,0.0,0.0,0.1,3,0,37,64,57.8,502,18,43,0,0,07/19/20,Bournemouth,Southampton
40,Lloyd Kelly,26.0,eng ENG,CB,90,0,0,0,0,1,0,0,0,42,9,2,0,4,0.0,0.0,0.0,0,0,16,28,57.1,147,18,38,0,0,07/19/20,Bournemouth,Southampton
41,Steve Cook,3.0,eng ENG,CB,90,0,0,0,0,1,1,0,0,35,8,0,1,2,0.1,0.1,0.0,0,0,15,24,62.5,179,9,36,0,0,07/19/20,Bournemouth,Southampton
42,Jack Stacey,17.0,eng ENG,"RB,WB",90,0,0,0,0,0,0,0,0,47,10,1,2,2,0.0,0.0,0.0,0,0,20,38,52.6,232,12,23,0,2,07/19/20,Bournemouth,Southampton
43,Aaron Ramsdale,12.0,eng ENG,GK,90,0,0,0,0,0,0,0,0,35,2,0,0,0,0.0,0.0,0.0,0,0,15,30,50.0,523,14,37,0,0,07/19/20,Bournemouth,Southampton
44,Danny Ings,9.0,eng ENG,FW,89,1,0,0,1,2,1,0,0,32,14,0,0,1,0.8,0.1,0.1,2,0,13,21,61.9,111,22,75,3,6,07/19/20,Southampton,Bournemouth
45,Michael Obafemi,20.0,ie IRL,FW,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0.0,0.0,0.2,1,1,1,3,33.3,5,2,7,0,0,07/19/20,Southampton,Bournemouth
46,Shane Long,7.0,ie IRL,FW,65,0,0,0,0,0,0,0,0,27,8,2,0,1,0.0,0.0,0.0,0,0,10,19,52.6,46,12,30,0,1,07/19/20,Southampton,Bournemouth
47,Che Adams,10.0,eng ENG,FW,25,1,0,0,0,3,2,0,0,18,2,0,0,3,0.4,0.4,0.4,2,1,4,8,50.0,31,8,21,1,1,07/19/20,Southampton,Bournemouth
48,Nathan Redmond,22.0,eng ENG,CM,90,0,1,0,0,2,2,0,0,50,10,1,0,1,0.4,0.4,0.1,5,1,24,33,72.7,75,45,144,4,7,07/19/20,Southampton,Bournemouth
49,Oriol Romeu,14.0,es ESP,CM,76,0,0,0,0,1,0,0,0,50,13,2,1,4,0.0,0.0,0.3,5,0,23,37,62.2,125,27,50,0,0,07/19/20,Southampton,Bournemouth
