,Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Date,Team,Opponent
36,Christian Atsu,30.0,gh GHA,RM,26-213,22,0,0,0,0,1,1,2,0,0,0,0,0,5,0,1,0.0,08/11/2018,Newcastle Utd,Tottenham
37,Paul Dummett,3.0,wal WAL,LB,26-319,90,0,0,0,0,1,0,0,0,1,0,0,0,15,2,1,66.7,08/11/2018,Newcastle Utd,Tottenham
38,Ciaran Clark,2.0,ie IRL,CB,28-319,90,0,0,0,1,0,0,0,0,0,0,0,0,16,3,1,75.0,08/11/2018,Newcastle Utd,Tottenham
39,Jamaal Lascelles,6.0,eng ENG,CB,24-273,90,0,0,0,1,1,0,0,0,2,0,0,0,18,2,1,66.7,08/11/2018,Newcastle Utd,Tottenham
40,DeAndre Yedlin,22.0,us USA,RB,25-033,90,0,0,0,1,0,0,0,0,0,0,0,0,10,0,2,0.0,08/11/2018,Newcastle Utd,Tottenham
41,Martin DÃºbravka,12.0,sk SVK,GK,29-208,90,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,,08/11/2018,Newcastle Utd,Tottenham
42,Harry Kane,10.0,eng ENG,FW,25-014,90,1,0,0,1,3,0,0,1,0,0,0,0,5,1,1,50.0,08/11/2018,Tottenham,Newcastle Utd
43,Dele Alli,20.0,eng ENG,"LW,FW",22-122,79,0,0,0,0,2,0,1,1,1,0,0,0,7,0,0,,08/11/2018,Tottenham,Newcastle Utd
44,Son Heung-min,7.0,kr KOR,FW,26-034,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,08/11/2018,Tottenham,Newcastle Utd
45,Lucas Moura,27.0,br BRA,RW,25-363,67,0,0,0,1,1,0,0,0,0,0,0,0,5,0,2,0.0,08/11/2018,Tottenham,Newcastle Utd
46,Mousa DembÃ©lÃ©,19.0,be BEL,LM,31-026,23,0,0,0,0,0,0,0,1,0,0,0,0,5,1,0,100.0,08/11/2018,Tottenham,Newcastle Utd
47,Christian Eriksen,23.0,dk DEN,"AM,FW",26-178,90,0,0,0,0,1,0,1,1,0,0,0,0,11,0,2,0.0,08/11/2018,Tottenham,Newcastle Utd
48,Eric Dier,15.0,eng ENG,CM,24-208,87,1,0,0,2,1,0,0,0,1,0,0,0,11,1,0,100.0,08/11/2018,Tottenham,Newcastle Utd
49,Luke Amos,40.0,eng ENG,CM,21-169,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,08/11/2018,Tottenham,Newcastle Utd
50,Moussa Sissoko,17.0,fr FRA,"CM,RM",28-360,90,0,0,0,2,1,0,0,1,0,0,0,0,6,1,0,100.0,08/11/2018,Tottenham,Newcastle Utd
51,Ben Davies,33.0,wal WAL,LB,25-109,90,0,0,0,3,1,0,2,1,2,0,0,0,14,3,3,50.0,08/11/2018,Tottenham,Newcastle Utd
52,Jan Vertonghen,5.0,be BEL,CB,31-109,90,0,0,0,0,0,0,0,3,3,0,0,0,16,1,4,20.0,08/11/2018,Tottenham,Newcastle Utd
53,Davinson SÃ¡nchez,6.0,co COL,CB,22-060,90,0,0,0,0,0,0,0,2,0,0,0,0,13,2,2,50.0,08/11/2018,Tottenham,Newcastle Utd
54,Serge Aurier,24.0,ci CIV,RB,25-230,90,0,0,0,3,0,0,3,2,2,0,0,0,10,1,0,100.0,08/11/2018,Tottenham,Newcastle Utd
55,Hugo Lloris,1.0,fr FRA,GK,31-228,90,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,,08/11/2018,Tottenham,Newcastle Utd
56,Troy Deeney,9.0,eng ENG,FW,30-043,90,0,0,0,1,2,0,1,0,1,0,0,0,5,0,7,0.0,08/11/2018,Watford,Brighton
57,Andre Gray,18.0,eng ENG,FW,27-046,73,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,0.0,08/11/2018,Watford,Brighton
58,Isaac Success,10.0,ng NGA,FW,22-216,17,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0,100.0,08/11/2018,Watford,Brighton
59,Roberto Pereyra,37.0,ar ARG,LW,27-216,86,0,0,0,0,3,0,0,1,0,0,0,0,11,0,2,0.0,08/11/2018,Watford,Brighton
60,Kiko FemenÃ­a,21.0,es ESP,RM,27-190,4,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,,08/11/2018,Watford,Brighton
61,Will Hughes,19.0,eng ENG,RW,23-116,80,0,0,0,1,3,0,1,0,4,0,0,0,10,3,2,60.0,08/11/2018,Watford,Brighton
62,Ken Sema,12.0,se SWE,"RW,LM",24-315,10,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,,08/11/2018,Watford,Brighton
63,Ãtienne Capoue,29.0,fr FRA,CM,30-031,90,1,0,0,4,3,0,0,1,2,0,0,0,17,2,1,66.7,08/11/2018,Watford,Brighton
64,Abdoulaye DoucourÃ©,16.0,fr FRA,CM,25-222,90,0,0,0,1,0,0,0,2,0,0,0,0,17,5,1,83.3,08/11/2018,Watford,Brighton
65,Christian Kabasele,27.0,be BEL,"CB,LB",27-168,90,0,0,0,0,1,0,0,1,0,0,0,0,11,0,3,0.0,08/11/2018,Watford,Brighton
66,JosÃ© Holebas,25.0,gr GRE,"LB,CB",34-045,90,1,0,0,1,1,0,5,1,1,0,0,0,8,0,0,,08/11/2018,Watford,Brighton
67,Craig Cathcart,15.0,nir NIR,CB,29-186,90,0,0,0,1,0,0,0,0,1,0,0,0,10,0,2,0.0,08/11/2018,Watford,Brighton
68,Daryl Janmaat,2.0,nl NED,RB,29-020,90,0,0,0,1,0,0,5,2,0,0,0,0,21,1,0,100.0,08/11/2018,Watford,Brighton
69,Ben Foster,26.0,eng ENG,GK,35-130,90,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,,08/11/2018,Watford,Brighton
70,Glenn Murray,17.0,eng ENG,FW,34-320,90,0,0,0,2,3,2,0,0,1,0,0,0,1,2,2,50.0,08/11/2018,Brighton,Watford
71,Solly March,20.0,eng ENG,LW,24-022,70,0,0,0,0,1,0,2,0,0,0,0,0,10,0,0,,08/11/2018,Brighton,Watford
72,Alireza Jahanbakhsh,16.0,ir IRN,LW,25-000,20,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,,08/11/2018,Brighton,Watford
73,Pascal GroÃ,13.0,de GER,FW,27-057,59,0,0,0,0,1,0,2,0,0,0,0,0,1,0,3,0.0,08/11/2018,Brighton,Watford
74,Yves Bissouma,8.0,ml MLI,FW,21-346,31,0,0,0,2,3,1,0,1,0,0,0,0,2,1,0,100.0,08/11/2018,Brighton,Watford
75,Anthony Knockaert,11.0,fr FRA,RW,26-264,90,0,0,0,1,0,0,1,0,2,0,0,0,5,1,0,100.0,08/11/2018,Brighton,Watford
76,Davy PrÃ¶pper,24.0,nl NED,CM,26-343,90,0,0,0,3,1,0,0,1,1,0,0,0,14,1,2,33.3,08/11/2018,Brighton,Watford
77,Dale Stephens,6.0,eng ENG,CM,29-060,90,1,0,0,2,0,0,0,2,1,0,0,0,11,2,3,40.0,08/11/2018,Brighton,Watford
78,Bernardo,30.0,br BRA,"LB,RB",23-089,90,1,0,0,2,0,0,1,3,1,0,0,0,13,1,0,100.0,08/11/2018,Brighton,Watford
79,Lewis Dunk,5.0,eng ENG,CB,26-263,90,0,0,0,1,1,0,0,1,1,0,0,0,15,4,0,100.0,08/11/2018,Brighton,Watford
80,Shane Duffy,4.0,ie IRL,CB,26-222,90,0,0,0,2,0,0,0,1,0,0,0,0,16,7,1,87.5,08/11/2018,Brighton,Watford
81,Bruno,2.0,es ESP,RB,37-314,25,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,08/11/2018,Brighton,Watford
82,GaÃ«tan Bong,3.0,cm CMR,"LB,RB",30-108,65,0,0,0,0,1,0,2,0,0,0,0,0,9,1,1,50.0,08/11/2018,Brighton,Watford
83,Mathew Ryan,1.0,au AUS,GK,26-125,90,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,,08/11/2018,Brighton,Watford
84,Steve MouniÃ©,24.0,bj BEN,FW,23-316,90,0,0,0,0,0,1,0,1,1,0,0,0,9,5,1,83.3,08/11/2018,Huddersfield,Chelsea
85,Alex Pritchard,21.0,eng ENG,FW,25-100,45,0,0,0,1,0,0,2,1,1,0,0,0,1,0,1,0.0,08/11/2018,Huddersfield,Chelsea
86,Laurent Depoitre,20.0,be BEL,FW,29-247,45,0,0,0,1,1,0,0,0,0,0,0,0,4,0,2,0.0,08/11/2018,Huddersfield,Chelsea
87,Chris LÃ¶we,15.0,de GER,LM,29-117,70,0,0,0,0,0,1,4,0,0,0,0,0,2,1,0,100.0,08/11/2018,Huddersfield,Chelsea
88,Adama Diakhaby,11.0,fr FRA,LM,22-037,20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,08/11/2018,Huddersfield,Chelsea
89,Philip Billing,8.0,dk DEN,CM,22-061,90,0,0,0,0,2,0,4,2,2,0,0,0,9,1,0,100.0,08/11/2018,Huddersfield,Chelsea
90,Jonathan Hogg,6.0,eng ENG,CM,29-248,90,0,0,0,2,2,0,0,4,1,0,0,0,17,1,1,50.0,08/11/2018,Huddersfield,Chelsea
91,Aaron Mooy,10.0,au AUS,CM,27-330,90,0,0,0,1,2,0,4,3,3,0,0,0,14,1,0,100.0,08/11/2018,Huddersfield,Chelsea
92,Florent Hadergjonaj,33.0,xk KVX,RM,24-011,90,0,0,0,0,1,0,5,0,2,0,0,0,15,0,1,0.0,08/11/2018,Huddersfield,Chelsea
