,Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Date,Team,Opponent
1747,Cyrus Christie,22.0,ie IRL,RB,25-364,83,1,0,0,3,0,0,2,0,1,0,0,0,12,3,1,75.0,09/29/2018,Fulham,Everton
1748,Marcus Bettinelli,1.0,eng ENG,GK,26-128,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,09/29/2018,Fulham,Everton
1749,Alexandre Lacazette,9.0,fr FRA,FW,27-124,90,0,0,0,2,3,1,2,1,1,0,0,0,5,2,6,25.0,09/29/2018,Arsenal,Watford
1750,Pierre-Emerick Aubameyang,14.0,ga GAB,"AM,LW",29-103,76,0,0,0,1,1,0,0,0,0,0,0,0,5,0,1,0.0,09/29/2018,Arsenal,Watford
1751,Danny Welbeck,23.0,eng ENG,LW,27-307,14,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,,09/29/2018,Arsenal,Watford
1752,Aaron Ramsey,8.0,wal WAL,AM,27-277,62,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,33.3,09/29/2018,Arsenal,Watford
1753,Alex Iwobi,17.0,ng NGA,AM,22-149,28,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,,09/29/2018,Arsenal,Watford
1754,Mesut Ãzil,10.0,de GER,"RW,AM",29-349,90,0,0,0,0,2,0,2,0,1,0,0,0,11,0,0,,09/29/2018,Arsenal,Watford
1755,Granit Xhaka,34.0,ch SUI,CM,26-002,90,0,0,0,1,2,0,0,1,2,0,0,0,6,2,2,50.0,09/29/2018,Arsenal,Watford
1756,Lucas Torreira,11.0,uy URU,CM,22-230,90,1,0,0,3,5,0,0,2,2,0,0,0,8,0,0,,09/29/2018,Arsenal,Watford
1757,Nacho Monreal,18.0,es ESP,LB,32-215,90,0,0,0,0,1,0,1,1,2,0,0,0,9,3,0,100.0,09/29/2018,Arsenal,Watford
1758,Rob Holding,16.0,eng ENG,CB,23-009,90,0,0,0,0,0,0,0,2,1,0,0,0,12,3,1,75.0,09/29/2018,Arsenal,Watford
1759,Shkodran Mustafi,20.0,de GER,CB,26-165,90,1,0,0,3,0,0,1,1,0,0,0,0,13,5,3,62.5,09/29/2018,Arsenal,Watford
1760,HÃ©ctor BellerÃ­n,2.0,es ESP,RB,23-194,90,0,0,0,0,2,0,4,2,0,0,0,0,11,1,1,50.0,09/29/2018,Arsenal,Watford
1761,Petr Äech,1.0,cz CZE,GK,36-132,44,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,,09/29/2018,Arsenal,Watford
1762,Bernd Leno,19.0,de GER,GK,26-209,46,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,09/29/2018,Arsenal,Watford
1763,Troy Deeney,9.0,eng ENG,FW,30-092,90,1,0,0,4,2,0,1,0,1,0,0,0,2,4,1,80.0,09/29/2018,Watford,Arsenal
1764,Andre Gray,18.0,eng ENG,FW,27-095,71,0,0,0,1,1,2,0,1,1,0,0,0,4,1,4,20.0,09/29/2018,Watford,Arsenal
1765,Isaac Success,10.0,ng NGA,FW,22-265,19,0,0,0,1,1,1,0,0,1,0,0,0,1,0,1,0.0,09/29/2018,Watford,Arsenal
1766,Roberto Pereyra,37.0,ar ARG,LW,27-265,90,0,0,0,3,3,0,5,0,1,0,0,0,8,0,0,,09/29/2018,Watford,Arsenal
1767,Will Hughes,19.0,eng ENG,RW,23-165,90,0,0,0,3,3,0,0,2,2,0,0,0,8,0,1,0.0,09/29/2018,Watford,Arsenal
1768,Ãtienne Capoue,29.0,fr FRA,DM,30-080,90,0,0,0,1,0,0,1,7,1,0,0,0,14,2,2,50.0,09/29/2018,Watford,Arsenal
1769,Abdoulaye DoucourÃ©,16.0,fr FRA,DM,25-271,90,1,0,0,1,0,0,0,2,1,0,0,0,14,1,4,20.0,09/29/2018,Watford,Arsenal
1770,JosÃ© Holebas,25.0,gr GRE,LB,34-094,90,0,0,0,1,0,0,8,1,0,0,0,0,15,5,0,100.0,09/29/2018,Watford,Arsenal
1771,Christian Kabasele,27.0,be BEL,CB,27-217,90,0,0,0,1,0,0,0,1,1,0,0,0,10,3,1,75.0,09/29/2018,Watford,Arsenal
1772,Craig Cathcart,15.0,nir NIR,CB,29-235,90,0,0,0,1,0,0,0,0,0,0,0,1,6,0,1,0.0,09/29/2018,Watford,Arsenal
1773,Marc Navarro,23.0,es ESP,RB,23-089,83,0,0,0,1,0,0,4,0,1,0,0,0,7,0,2,0.0,09/29/2018,Watford,Arsenal
1774,Kiko FemenÃ­a,21.0,es ESP,RB,27-239,7,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,,09/29/2018,Watford,Arsenal
1775,Ben Foster,26.0,eng ENG,GK,35-179,90,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,,09/29/2018,Watford,Arsenal
1776,Joselu,21.0,es ESP,FW,28-186,90,0,0,0,2,1,0,0,0,0,0,0,0,7,2,4,33.3,09/29/2018,Newcastle Utd,Leicester City
1777,Ayoze PÃ©rez,17.0,es ESP,AM,25-068,68,0,0,0,1,0,0,0,1,0,0,0,0,3,0,2,0.0,09/29/2018,Newcastle Utd,Leicester City
1778,Yoshinori MutÅ,13.0,jp JPN,AM,26-076,22,0,0,0,0,1,1,1,0,1,0,0,0,1,0,1,0.0,09/29/2018,Newcastle Utd,Leicester City
1779,Christian Atsu,30.0,gh GHA,LM,26-262,90,0,0,0,0,1,0,1,0,3,0,0,0,4,0,3,0.0,09/29/2018,Newcastle Utd,Leicester City
1780,Jonjo Shelvey,8.0,eng ENG,CM,26-214,90,0,0,0,1,1,0,2,2,2,0,0,0,9,0,0,,09/29/2018,Newcastle Utd,Leicester City
1781,Mohamed DiamÃ©,10.0,sn SEN,CM,31-107,90,0,0,0,2,0,0,0,1,1,0,0,0,13,2,1,66.7,09/29/2018,Newcastle Utd,Leicester City
1782,Matt Ritchie,11.0,sco SCO,RM,29-019,64,0,0,0,1,0,0,3,0,1,0,0,0,3,0,5,0.0,09/29/2018,Newcastle Utd,Leicester City
1783,Jacob Murphy,7.0,eng ENG,RM,23-217,26,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,,09/29/2018,Newcastle Utd,Leicester City
1784,Kenedy,15.0,br BRA,LB,22-233,90,0,0,0,0,1,0,0,1,1,0,0,0,14,2,2,50.0,09/29/2018,Newcastle Utd,Leicester City
1785,Ciaran Clark,2.0,ie IRL,CB,29-003,90,0,0,0,0,0,0,0,2,1,0,0,0,17,3,5,37.5,09/29/2018,Newcastle Utd,Leicester City
1786,Jamaal Lascelles,6.0,eng ENG,CB,24-322,90,0,0,0,0,0,0,0,3,2,0,0,0,29,6,1,85.7,09/29/2018,Newcastle Utd,Leicester City
1787,DeAndre Yedlin,22.0,us USA,RB,25-082,79,0,0,0,3,0,0,1,0,0,0,1,0,8,1,2,33.3,09/29/2018,Newcastle Utd,Leicester City
1788,Javier Manquillo,19.0,es ESP,RB,24-147,11,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0.0,09/29/2018,Newcastle Utd,Leicester City
1789,Martin DÃºbravka,12.0,sk SVK,GK,29-257,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,09/29/2018,Newcastle Utd,Leicester City
1790,Jamie Vardy,9.0,eng ENG,FW,31-261,73,0,0,0,0,1,0,0,0,0,0,0,0,2,1,1,50.0,09/29/2018,Leicester City,Newcastle Utd
1791,Marc Albrighton,11.0,eng ENG,"LW,FW",28-315,17,0,0,0,0,1,0,2,0,1,0,0,0,0,1,0,100.0,09/29/2018,Leicester City,Newcastle Utd
1792,James Maddison,10.0,eng ENG,"LW,AM",21-310,84,0,0,0,1,2,0,1,0,0,0,0,0,6,1,1,50.0,09/29/2018,Leicester City,Newcastle Utd
1793,Vicente Iborra,21.0,es ESP,AM,30-256,6,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,100.0,09/29/2018,Leicester City,Newcastle Utd
1794,Ricardo Pereira,14.0,pt POR,RW,24-358,90,0,0,0,0,0,0,3,1,3,0,0,0,11,2,4,33.3,09/29/2018,Leicester City,Newcastle Utd
1795,Kelechi Iheanacho,8.0,ng NGA,"AM,FW",21-361,90,0,0,0,0,0,0,0,0,3,0,0,0,7,2,5,28.6,09/29/2018,Leicester City,Newcastle Utd
1796,Wilfred Ndidi,25.0,ng NGA,CM,21-287,90,0,0,0,1,1,0,1,0,3,0,0,0,14,7,1,87.5,09/29/2018,Leicester City,Newcastle Utd
1797,Nampalys Mendy,24.0,fr FRA,CM,26-098,90,0,0,0,0,1,0,0,2,1,0,0,0,14,1,1,50.0,09/29/2018,Leicester City,Newcastle Utd
1798,Ben Chilwell,3.0,eng ENG,LB,21-282,90,0,0,0,1,2,0,4,0,2,0,0,0,8,2,1,66.7,09/29/2018,Leicester City,Newcastle Utd
1799,Harry Maguire,15.0,eng ENG,CB,25-208,90,0,0,0,0,1,0,0,1,0,0,0,0,18,7,0,100.0,09/29/2018,Leicester City,Newcastle Utd
1800,Wes Morgan,5.0,jm JAM,CB,34-251,90,0,0,0,1,0,0,0,2,0,0,0,0,16,1,1,50.0,09/29/2018,Leicester City,Newcastle Utd
1801,Daniel Amartey,18.0,gh GHA,RB,23-282,90,0,0,0,1,0,0,1,0,2,0,0,0,8,1,1,50.0,09/29/2018,Leicester City,Newcastle Utd
1802,Kasper Schmeichel,1.0,dk DEN,GK,31-328,90,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,,09/29/2018,Leicester City,Newcastle Utd
1803,Sergio AgÃ¼ero,10.0,ar ARG,FW,30-119,65,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,09/29/2018,Manchester City,Brighton
1804,Gabriel Jesus,33.0,br BRA,FW,21-179,25,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,,09/29/2018,Manchester City,Brighton
1805,Leroy SanÃ©,19.0,de GER,LW,22-261,70,0,0,0,0,0,1,4,2,3,0,0,0,3,0,1,0.0,09/29/2018,Manchester City,Brighton
1806,Riyad Mahrez,26.0,dz ALG,"RW,LW",27-220,20,0,0,0,1,1,0,2,1,0,0,0,0,2,0,0,,09/29/2018,Manchester City,Brighton
1807,Raheem Sterling,7.0,eng ENG,"RW,LW",23-295,90,0,0,0,2,3,0,4,0,1,0,0,0,8,0,1,0.0,09/29/2018,Manchester City,Brighton
1808,David Silva,21.0,es ESP,CM,32-264,87,0,0,0,0,1,0,2,1,2,0,0,0,7,0,0,,09/29/2018,Manchester City,Brighton
1809,Phil Foden,47.0,eng ENG,CM,18-124,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,09/29/2018,Manchester City,Brighton
1810,Fernandinho,25.0,br BRA,CM,33-148,90,0,0,0,0,0,0,0,1,0,0,0,0,9,2,1,66.7,09/29/2018,Manchester City,Brighton
1811,Bernardo Silva,20.0,pt POR,CM,24-050,90,0,0,0,1,2,0,1,0,3,0,0,0,5,0,0,,09/29/2018,Manchester City,Brighton
1812,Oleksandr Zinchenko,35.0,ua UKR,LB,21-288,90,0,0,0,0,1,0,3,3,0,0,0,0,15,0,0,,09/29/2018,Manchester City,Brighton
1813,Aymeric Laporte,14.0,fr FRA,CB,24-125,90,0,0,0,0,1,0,0,2,0,0,0,0,13,2,0,100.0,09/29/2018,Manchester City,Brighton
1814,NicolÃ¡s Otamendi,30.0,ar ARG,CB,30-229,90,0,0,0,0,0,0,1,1,0,0,0,0,8,2,0,100.0,09/29/2018,Manchester City,Brighton
1815,Kyle Walker,2.0,eng ENG,RB,28-124,90,0,0,0,0,0,0,3,0,2,0,0,0,9,0,1,0.0,09/29/2018,Manchester City,Brighton
1816,Ederson,31.0,br BRA,GK,25-043,90,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,09/29/2018,Manchester City,Brighton
1817,JÃ¼rgen Locadia,9.0,nl NED,FW,24-326,72,0,0,0,2,0,2,0,0,1,0,0,0,3,0,1,0.0,09/29/2018,Brighton,Manchester City
1818,Glenn Murray,17.0,eng ENG,FW,35-004,18,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,100.0,09/29/2018,Brighton,Manchester City
1819,Solly March,20.0,eng ENG,LM,24-071,82,0,0,0,0,1,0,1,0,1,0,0,0,3,0,0,,09/29/2018,Brighton,Manchester City
1820,JosÃ© Izquierdo,19.0,co COL,LM,26-084,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,09/29/2018,Brighton,Manchester City
1821,Yves Bissouma,8.0,ml MLI,CM,22-030,90,0,0,0,2,3,0,0,1,1,0,0,0,5,0,0,,09/29/2018,Brighton,Manchester City
1822,Beram Kayal,7.0,il ISR,CM,30-150,90,0,0,0,0,0,0,1,2,3,0,0,0,9,0,2,0.0,09/29/2018,Brighton,Manchester City
1823,Anthony Knockaert,11.0,fr FRA,RM,26-313,77,1,0,0,1,0,0,0,1,0,0,0,0,8,1,0,100.0,09/29/2018,Brighton,Manchester City
1824,Alireza Jahanbakhsh,16.0,ir IRN,RM,25-049,13,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,,09/29/2018,Brighton,Manchester City
1825,Davy PrÃ¶pper,24.0,nl NED,DM,27-027,90,0,0,0,1,0,0,0,2,3,0,0,0,3,0,0,,09/29/2018,Brighton,Manchester City
1826,GaÃ«tan Bong,3.0,cm CMR,LB,30-157,90,0,0,0,0,0,0,1,0,1,0,0,0,5,0,0,,09/29/2018,Brighton,Manchester City
1827,Lewis Dunk,5.0,eng ENG,CB,26-312,90,0,0,0,0,0,0,0,2,1,0,0,0,2,0,1,0.0,09/29/2018,Brighton,Manchester City
1828,Shane Duffy,4.0,ie IRL,CB,26-271,90,1,0,0,1,0,0,0,2,0,0,0,0,4,1,1,50.0,09/29/2018,Brighton,Manchester City
1829,MartÃ­n Montoya,22.0,es ESP,RB,27-168,90,1,0,0,1,0,0,0,4,1,0,0,0,8,1,1,50.0,09/29/2018,Brighton,Manchester City
1830,Mathew Ryan,1.0,au AUS,GK,26-174,90,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,09/29/2018,Brighton,Manchester City
1831,RaÃºl JimÃ©nez,9.0,mx MEX,FW,27-147,89,0,0,0,0,0,0,2,1,0,0,0,0,4,1,2,33.3,09/29/2018,Wolves,Southampton
1832,LÃ©o Bonatini,33.0,br BRA,FW,24-185,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,09/29/2018,Wolves,Southampton
1833,Diogo Jota,18.0,pt POR,LW,21-299,76,1,0,0,1,3,0,0,1,0,0,0,0,5,0,0,,09/29/2018,Wolves,Southampton
1834,Ivan Cavaleiro,7.0,pt POR,LW,24-346,14,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0.0,09/29/2018,Wolves,Southampton
1835,HÃ©lder Costa,10.0,pt POR,RW,24-260,52,0,0,0,0,1,0,0,0,1,0,0,0,4,0,0,,09/29/2018,Wolves,Southampton
1836,Adama TraorÃ©,37.0,es ESP,RW,22-247,38,1,0,0,2,1,0,1,2,0,0,0,0,4,0,1,0.0,09/29/2018,Wolves,Southampton
1837,Jonny Castro,19.0,es ESP,LM,24-210,90,1,0,0,1,0,0,0,0,1,0,0,0,12,1,2,33.3,09/29/2018,Wolves,Southampton
1838,Matt Doherty,2.0,ie IRL,RM,26-256,90,0,0,0,0,0,0,4,0,1,0,0,0,10,0,0,,09/29/2018,Wolves,Southampton
1839,RÃºben Neves,8.0,pt POR,DM,21-200,90,0,0,0,1,0,0,1,0,2,0,0,0,8,0,0,,09/29/2018,Wolves,Southampton
1840,JoÃ£o Moutinho,28.0,pt POR,DM,32-021,90,0,0,0,4,2,0,1,1,2,0,0,0,12,0,0,,09/29/2018,Wolves,Southampton
1841,Willy Boly,15.0,ci CIV,CB,27-238,90,0,0,0,1,0,0,0,1,0,0,0,0,14,4,0,100.0,09/29/2018,Wolves,Southampton
1842,Conor Coady,16.0,eng ENG,CB,25-216,90,0,0,0,0,0,0,0,0,1,0,0,0,12,1,0,100.0,09/29/2018,Wolves,Southampton
1843,Ryan Bennett,5.0,eng ENG,CB,28-207,90,0,0,0,1,0,0,0,0,2,0,0,0,6,4,3,57.1,09/29/2018,Wolves,Southampton
1844,Rui PatrÃ­cio,11.0,pt POR,GK,30-226,90,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,,09/29/2018,Wolves,Southampton
1845,Danny Ings,9.0,eng ENG,FW,26-068,90,0,0,0,0,4,1,1,2,0,0,0,0,1,0,0,,09/29/2018,Southampton,Wolves
1846,Charlie Austin,10.0,eng ENG,FW,29-086,76,0,0,0,0,0,1,0,0,1,0,0,0,5,1,3,25.0,09/29/2018,Southampton,Wolves
1847,Manolo Gabbiadini,20.0,it ITA,FW,26-307,14,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0.0,09/29/2018,Southampton,Wolves
1848,Nathan Redmond,22.0,eng ENG,"LM,RM",24-207,90,0,0,0,0,3,0,2,0,1,0,0,0,11,1,0,100.0,09/29/2018,Southampton,Wolves
1849,Pierre HÃ¸jbjerg,23.0,dk DEN,CM,23-055,90,0,0,0,1,2,0,0,1,4,0,0,0,14,0,0,,09/29/2018,Southampton,Wolves
1850,Mario Lemina,18.0,ga GAB,CM,25-028,90,0,0,0,1,1,0,0,0,3,0,0,0,17,0,0,,09/29/2018,Southampton,Wolves
1851,Mohamed Elyounoussi,11.0,no NOR,RM,24-056,70,0,0,0,0,1,0,3,0,2,0,0,0,5,1,1,50.0,09/29/2018,Southampton,Wolves
1852,Stuart Armstrong,17.0,sco SCO,"LM,RM",26-183,20,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0.0,09/29/2018,Southampton,Wolves
1853,Ryan Bertrand,21.0,eng ENG,LB,29-055,90,1,0,0,2,0,0,0,1,3,0,0,0,12,0,0,,09/29/2018,Southampton,Wolves
1854,Wesley Hoedt,6.0,nl NED,CB,24-207,90,0,0,0,1,0,0,2,1,2,0,0,0,15,1,0,100.0,09/29/2018,Southampton,Wolves
1855,Jannik Vestergaard,4.0,dk DEN,CB,26-057,90,0,0,0,3,0,0,0,1,0,0,0,0,14,4,3,57.1,09/29/2018,Southampton,Wolves
1856,CÃ©dric Soares,2.0,pt POR,RB,27-029,90,0,0,0,0,0,0,3,1,1,0,0,0,11,1,2,33.3,09/29/2018,Southampton,Wolves
1857,Alex McCarthy,1.0,eng ENG,GK,28-300,90,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,,09/29/2018,Southampton,Wolves
1858,Olivier Giroud,18.0,fr FRA,FW,31-364,64,0,0,0,1,0,1,0,0,0,0,0,0,1,3,2,60.0,09/29/2018,Chelsea,Liverpool
1859,Ãlvaro Morata,29.0,es ESP,FW,25-341,26,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,100.0,09/29/2018,Chelsea,Liverpool
1860,Eden Hazard,10.0,be BEL,LW,27-265,90,0,0,0,1,3,0,4,2,1,0,0,0,8,2,0,100.0,09/29/2018,Chelsea,Liverpool
1861,Willian,22.0,br BRA,RW,30-051,72,0,0,0,2,0,0,1,1,1,0,0,0,4,1,2,33.3,09/29/2018,Chelsea,Liverpool
1862,Victor Moses,15.0,ng NGA,RW,27-291,18,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,100.0,09/29/2018,Chelsea,Liverpool
1863,Mateo KovaÄiÄ,17.0,hr CRO,CM,24-146,80,0,0,0,1,1,0,0,0,1,0,0,0,9,0,0,,09/29/2018,Chelsea,Liverpool
1864,Ross Barkley,8.0,eng ENG,CM,24-298,10,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,09/29/2018,Chelsea,Liverpool
1865,N'Golo KantÃ©,7.0,fr FRA,CM,27-184,90,0,0,0,0,0,0,0,2,2,0,0,0,6,0,2,0.0,09/29/2018,Chelsea,Liverpool
1866,Jorginho,5.0,it ITA,DM,26-283,90,0,0,0,0,0,0,1,0,1,0,0,0,10,0,1,0.0,09/29/2018,Chelsea,Liverpool
1867,Marcos Alonso,3.0,es ESP,LB,27-275,90,0,0,0,0,1,0,2,4,2,0,0,0,15,1,0,100.0,09/29/2018,Chelsea,Liverpool
1868,David Luiz,30.0,br BRA,CB,31-160,90,0,0,0,1,2,0,0,4,0,0,0,0,10,0,1,0.0,09/29/2018,Chelsea,Liverpool
1869,Antonio RÃ¼diger,2.0,de GER,CB,25-210,90,0,0,0,1,0,0,0,0,1,0,0,0,9,1,0,100.0,09/29/2018,Chelsea,Liverpool
1870,CÃ©sar Azpilicueta,28.0,es ESP,RB,29-032,90,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0.0,09/29/2018,Chelsea,Liverpool
1871,Kepa Arrizabalaga,1.0,es ESP,GK,23-361,90,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,,09/29/2018,Chelsea,Liverpool
1872,Roberto Firmino,9.0,br BRA,FW,26-362,90,0,0,0,2,0,0,0,0,2,0,0,0,5,0,0,,09/29/2018,Liverpool,Chelsea
1873,Sadio ManÃ©,10.0,sn SEN,LW,26-172,90,1,0,0,1,2,1,1,1,1,0,0,0,4,3,0,100.0,09/29/2018,Liverpool,Chelsea
1874,Mohamed Salah,11.0,eg EGY,RW,26-106,65,0,0,0,1,0,1,2,0,1,0,0,0,10,0,0,,09/29/2018,Liverpool,Chelsea
1875,Xherdan Shaqiri,23.0,ch SUI,RW,26-354,25,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,,09/29/2018,Liverpool,Chelsea
1876,James Milner,7.0,eng ENG,CM,32-268,85,1,0,0,1,1,0,1,0,1,0,0,0,8,0,1,0.0,09/29/2018,Liverpool,Chelsea
1877,Daniel Sturridge,15.0,eng ENG,FW,29-028,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,09/29/2018,Liverpool,Chelsea
1878,Jordan Henderson,14.0,eng ENG,CM,28-104,77,0,0,0,0,0,0,0,2,3,0,0,0,11,0,1,0.0,09/29/2018,Liverpool,Chelsea
1879,Naby KeÃ¯ta,8.0,gn GUI,CM,23-231,13,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,100.0,09/29/2018,Liverpool,Chelsea
1880,Georginio Wijnaldum,5.0,nl NED,CM,27-322,90,0,0,0,2,0,0,1,0,0,0,0,0,15,1,0,100.0,09/29/2018,Liverpool,Chelsea
1881,Andrew Robertson,26.0,sco SCO,LB,24-202,90,0,0,0,0,0,0,5,2,1,0,0,0,9,1,1,50.0,09/29/2018,Liverpool,Chelsea
1882,Virgil van Dijk,4.0,nl NED,CB,27-083,90,0,0,0,0,1,0,0,2,2,0,0,0,14,3,2,60.0,09/29/2018,Liverpool,Chelsea
1883,Joe Gomez,12.0,eng ENG,CB,21-129,90,0,0,0,0,1,0,0,5,0,0,0,0,11,0,3,0.0,09/29/2018,Liverpool,Chelsea
1884,Trent Alexander-Arnold,66.0,eng ENG,RB,19-357,90,0,0,0,2,2,0,3,2,0,0,0,0,11,0,2,0.0,09/29/2018,Liverpool,Chelsea
1885,Alisson,13.0,br BRA,GK,25-362,90,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,,09/29/2018,Liverpool,Chelsea
1886,Kenneth Zohore,10.0,dk DEN,FW,24-242,70,0,0,0,1,1,1,0,0,0,0,0,0,1,0,5,0.0,09/30/2018,Cardiff City,Burnley
1887,Danny Ward,9.0,eng ENG,FW,26-293,20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,09/30/2018,Cardiff City,Burnley
1888,Callum Paterson,13.0,sco SCO,FW,23-352,90,0,0,0,1,1,1,3,0,0,0,0,0,8,19,6,76.0,09/30/2018,Cardiff City,Burnley
1889,Josh Murphy,11.0,eng ENG,LM,23-218,90,0,0,0,1,5,1,4,0,0,0,0,0,5,0,3,0.0,09/30/2018,Cardiff City,Burnley
1890,Joe Ralls,8.0,eng ENG,CM,24-352,78,0,0,0,0,1,0,0,2,2,0,0,0,10,0,2,0.0,09/30/2018,Cardiff City,Burnley
1891,Gary Madine,24.0,eng ENG,"CM,FW",28-037,12,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,50.0,09/30/2018,Cardiff City,Burnley
1892,Harry Arter,7.0,ie IRL,CM,28-276,90,0,0,0,0,2,0,3,1,0,0,0,0,18,1,1,50.0,09/30/2018,Cardiff City,Burnley
1893,VÃ­ctor Camarasa,21.0,es ESP,RM,24-125,90,0,0,0,2,1,0,6,2,0,0,0,0,14,2,0,100.0,09/30/2018,Cardiff City,Burnley
1894,Greg Cunningham,18.0,ie IRL,LB,27-242,90,1,0,0,2,1,0,3,1,0,0,0,0,12,1,2,33.3,09/30/2018,Cardiff City,Burnley
1895,Sol Bamba,22.0,ci CIV,CB,33-260,90,0,0,0,0,1,0,0,1,1,0,0,0,16,11,1,91.7,09/30/2018,Cardiff City,Burnley
1896,Sean Morrison,4.0,eng ENG,CB,27-265,90,0,0,0,2,1,0,7,1,0,0,0,0,29,16,3,84.2,09/30/2018,Cardiff City,Burnley
1897,Bruno Ecuele Manga,5.0,ga GAB,RB,30-076,90,0,0,0,0,0,0,2,0,1,0,0,0,21,0,0,,09/30/2018,Cardiff City,Burnley
1898,Neil Etheridge,1.0,ph PHI,GK,28-235,90,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,,09/30/2018,Cardiff City,Burnley
1899,Sam Vokes,9.0,wal WAL,FW,28-344,90,0,0,0,4,1,1,0,0,0,0,0,0,2,5,15,25.0,09/30/2018,Burnley,Cardiff City
1900,Aaron Lennon,25.0,eng ENG,LW,31-167,90,1,0,0,1,1,0,1,1,1,0,0,0,6,0,1,0.0,09/30/2018,Burnley,Cardiff City
1901,MatÄj Vydra,27.0,cz CZE,FW,26-152,71,0,0,0,0,0,0,0,1,0,0,0,0,5,1,3,25.0,09/30/2018,Burnley,Cardiff City
1902,Chris Wood,11.0,nz NZL,FW,26-297,19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,33.3,09/30/2018,Burnley,Cardiff City
1903,JÃ³hann Berg GuÃ°mundsson,7.0,is ISL,RW,27-338,90,0,0,0,0,1,0,1,0,0,0,0,0,12,3,1,75.0,09/30/2018,Burnley,Cardiff City
1904,Ashley Westwood,18.0,eng ENG,CM,28-182,90,1,0,0,1,0,0,1,0,2,0,0,0,9,2,2,50.0,09/30/2018,Burnley,Cardiff City
1905,Jack Cork,4.0,eng ENG,CM,29-097,90,0,0,0,0,1,0,0,2,0,0,0,0,14,0,8,0.0,09/30/2018,Burnley,Cardiff City
1906,Charlie Taylor,3.0,eng ENG,LB,25-012,90,0,0,0,2,2,0,2,0,0,0,0,0,9,2,7,22.2,09/30/2018,Burnley,Cardiff City
1907,Ben Mee,6.0,eng ENG,CB,29-007,90,0,0,0,2,1,0,0,2,0,0,0,0,15,6,6,50.0,09/30/2018,Burnley,Cardiff City
1908,James Tarkowski,5.0,eng ENG,CB,25-315,26,0,0,0,1,0,0,0,0,1,0,0,0,5,0,0,,09/30/2018,Burnley,Cardiff City
1909,Kevin Long,28.0,ie IRL,CB,28-043,64,0,0,0,0,1,0,1,1,0,0,0,0,8,1,3,25.0,09/30/2018,Burnley,Cardiff City
1910,Matthew Lowton,2.0,eng ENG,RB,29-113,90,1,0,0,4,3,0,1,2,3,0,0,0,17,4,3,57.1,09/30/2018,Burnley,Cardiff City
1911,Joe Hart,20.0,eng ENG,GK,31-164,90,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,09/30/2018,Burnley,Cardiff City
1912,Callum Wilson,13.0,eng ENG,FW,26-216,90,0,0,0,2,4,1,3,0,2,0,0,0,3,0,1,0.0,10/01/2018,Bournemouth,Crystal Palace
1913,Joshua King,17.0,no NOR,FW,26-259,83,0,0,0,1,0,1,1,0,0,0,0,0,8,1,1,50.0,10/01/2018,Bournemouth,Crystal Palace
