,Pos,avg_war_won,total_war_won,pos_war_lost,total_war_lost,total_player_war
Shkodran Mustafi,D,0.0050000000000000044,0.05500000000000005,-0.027000000000000024,-0.7290000000000006,-0.6740000000000006
Jonjo Shelvey,M,-0.01100000000000001,-0.27500000000000024,-0.031000000000000028,-0.40300000000000036,-0.6780000000000006
Jarrod Bowen,F,0.013000000000000012,0.13000000000000012,-0.029000000000000026,-0.8120000000000007,-0.6820000000000006
Olivier Giroud,F,0.006000000000000005,0.07200000000000006,-0.029000000000000026,-0.7540000000000007,-0.6820000000000006
Oliver Norwood,M,-0.017000000000000015,-0.5950000000000005,-0.031000000000000028,-0.09300000000000008,-0.6880000000000006
Aymeric Laporte,D,-0.0020000000000000018,-0.026000000000000023,-0.027000000000000024,-0.6750000000000006,-0.7010000000000006
Dwight McNeil,F,-0.019000000000000017,-0.7220000000000006,-0.029000000000000026,-0.0,-0.7220000000000006
Davy Propper,M,-0.017000000000000015,-0.5440000000000005,-0.031000000000000028,-0.18600000000000017,-0.7300000000000006
Dominic Calvert-Lewin,F,-0.017000000000000015,-0.5100000000000005,-0.029000000000000026,-0.2320000000000002,-0.7420000000000007
Ruben Vinagre,D,0.020000000000000018,0.1200000000000001,-0.027000000000000024,-0.8640000000000008,-0.7440000000000007
Tariq Lamptey,D,0.013000000000000012,0.09100000000000008,-0.027000000000000024,-0.8370000000000007,-0.7460000000000007
Jack Stacey,D,-0.01100000000000001,-0.18700000000000017,-0.027000000000000024,-0.5670000000000005,-0.7540000000000007
Andros Townsend,M,-0.0010000000000000009,-0.014000000000000012,-0.031000000000000028,-0.7440000000000007,-0.7580000000000007
Frederic Guilbert,D,-0.015000000000000013,-0.3300000000000003,-0.027000000000000024,-0.4320000000000004,-0.7620000000000007
Nicolas Otamendi,D,-0.013000000000000012,-0.2340000000000002,-0.027000000000000024,-0.5400000000000005,-0.7740000000000007
Moussa Djenepo,M,0.009000000000000008,0.09000000000000008,-0.031000000000000028,-0.8680000000000008,-0.7780000000000007
Harry Kane,F,-0.018000000000000016,-0.5220000000000005,-0.029000000000000026,-0.26100000000000023,-0.7830000000000007
Jordan Henderson,M,-0.016000000000000014,-0.41600000000000037,-0.031000000000000028,-0.37200000000000033,-0.7880000000000007
Ayoze Perez,F,-0.017000000000000015,-0.4420000000000004,-0.029000000000000026,-0.3480000000000003,-0.7900000000000007
Miguel Almiron,M,-0.020000000000000018,-0.7000000000000006,-0.031000000000000028,-0.09300000000000008,-0.7930000000000007
Fabian Schar,D,-0.015000000000000013,-0.27000000000000024,-0.027000000000000024,-0.5400000000000005,-0.8100000000000007
Seamus Coleman,D,-0.017000000000000015,-0.3570000000000003,-0.027000000000000024,-0.4590000000000004,-0.8160000000000007
Jetro Willems,D,-0.016000000000000014,-0.28800000000000026,-0.027000000000000024,-0.5400000000000005,-0.8280000000000007
Shane Long,F,-0.01100000000000001,-0.16500000000000015,-0.029000000000000026,-0.6670000000000006,-0.8320000000000007
Jonny Evans,D,-0.02200000000000002,-0.8360000000000007,-0.027000000000000024,-0.0,-0.8360000000000007
Andreas Christensen,D,-0.018000000000000016,-0.37800000000000034,-0.027000000000000024,-0.4590000000000004,-0.8370000000000007
Kyle Walker,D,-0.020000000000000018,-0.5400000000000005,-0.027000000000000024,-0.29700000000000026,-0.8370000000000007
