"","Player","Team.x","Position","n","min_total","mean_minutes","mean_xFpts","sd_xFpts","median_xFpts","mean_fpts","sd_fpts","median_ftps","total_xFpts","total_fpts","mean_xCS","xCS","CS"
"234","Marvelous Nakamba","AVL","M",18,1546,85.8888888888889,5.49222222222222,2.99025978717088,4.75,5.22222222222222,2.89635786616379,4.75,98.86,94,0.142222222222222,2.56,1
"235","Mason Greenwood","MUN","F",12,959,79.9166666666667,9.96666666666667,5.6716733675238,9.35,13.9166666666667,9.17217465374422,16,119.6,167,0.496666666666667,5.96,6
"236","Mason Holgate","EVE","D",22,1980,90,7.20409090909091,5.75623360581164,6.115,6.03409090909091,6.69278905424901,3.5,158.49,132.75,0.283636363636364,6.24,5
"237","Mason Mount","CHE","M",31,2649,85.4516129032258,10.8135483870968,6.20528245308629,8.5,11.1612903225806,8.17454086047467,8.5,335.22,346,0.487741935483871,15.12,10
"238","Matej Vydra","BUR","F",6,487,81.1666666666667,10.1166666666667,8.10614992870639,8.7,9.16666666666667,8.96474576698451,5.25,60.7,55,0.306666666666667,1.84,5
"239","Mateo Kovacic","CHE","M",21,1792,85.3333333333333,10.9885714285714,5.98854430201054,11,11.1666666666667,7.47885909302571,10,230.76,234.5,0.455238095238095,9.56,4
"240","Matt Doherty","WOL","D",29,2559,88.2413793103448,14.6962068965517,5.28408217046598,14.38,15.1810344827586,7.80393002862184,13.25,426.19,440.25,0.580689655172414,16.84,12
"241","Matt Ritchie","NEW","M",15,1261,84.0666666666667,10.476,4.10712412418088,10.8,10.2666666666667,6.76352260994507,8,157.14,154,0.362666666666667,5.44,8
"242","Matt Targett","AVL","D",24,2186,91.0833333333333,7.77916666666667,6.79758391646983,6.225,9.22916666666667,9.05836049887264,7.25,186.7,221.5,0.166666666666667,4,5
"243","Matteo Guendouzi","ARS","M",18,1648,91.5555555555556,6.75333333333333,3.43310526560225,5.7,6.83333333333333,3.88057000058133,5.5,121.56,123,0.186666666666667,3.36,3
"244","Matthew Longstaff","NEW","M",6,539,89.8333333333333,3.79,3.71179202003561,4,6.16666666666667,7.5608641481425,3.5,22.74,37,0.24,1.44,1
"245","Matthew Lowton","BUR","D",17,1530,90,7.50176470588235,6.35203337059689,9.76,6.36764705882353,8.05067817749828,8.5,127.53,108.25,0.310588235294118,5.28,6
"246","Max Aarons","NOR","D",36,3240,90,5.86194444444444,6.65974337534089,5.68,3.82638888888889,7.46176430794364,3.75,211.03,137.75,0.213333333333333,7.68,5
"247","Max Meyer","CRY","M",7,517,73.8571428571429,5.47142857142857,2.93527641271612,3.58,4.28571428571429,2.01777812740365,3.5,38.3,30,0.171428571428571,1.2,1
"248","Mbwana Samatta","AVL","F",10,817,81.7,7.19,3.36070429126594,6.55,6.05,4.81577269674002,4.5,71.9,60.5,0.32,3.2,4
"249","Mesut Ozil","ARS","M",16,1334,83.375,9.12625,5.68383306698335,7.85,9.3125,6.2419948734359,7.5,146.02,149,0.22,3.52,5
"250","Michael Keane","EVE","D",28,2520,90,8.29464285714286,6.53615329285696,8.005,7.34821428571429,8.48864690764973,5.875,232.25,205.75,0.278571428571429,7.8,7
"251","Michael Obafemi","SOU","F",5,379,75.8,10.32,4.98317168076718,7.8,12.6,3.74833296279826,14.5,51.6,63,0.4,2,3
"252","Michail Antonio","WHU","M",17,1475,86.7647058823529,20.0423529411765,10.3355475964095,19.2,19.8529411764706,14.4846521207388,16.5,340.72,337.5,0.207058823529412,3.52,3
"253","Miguel Almiron","NEW","M",35,2976,85.0285714285714,8.67142857142857,4.93430318273611,8.4,8.05714285714286,5.52902957735143,7,303.5,282,0.228571428571429,8,12
"254","Mohamed Salah","LIV","F",33,2858,86.6060606060606,16.3363636363636,7.01002934113948,15.9,17,10.2148788539072,17,539.1,561,0.424242424242424,14,16
"255","Moise Kean","EVE","F",6,442,73.6666666666667,15.1666666666667,10.6285778289791,13.7,13.9166666666667,9.52584204501978,9.25,91,83.5,0.3,1.8,1
"256","Morgan Schneiderlin","EVE","M",9,781,86.7777777777778,4.75111111111111,4.54985836165381,5.4,4.22222222222222,4.28012201279875,5,42.76,38,0.373333333333333,3.36,1
"257","Moritz Leitner","NOR","M",7,607,86.7142857142857,7.01714285714286,2.91665170064188,5.9,6.42857142857143,2.3528098702858,5.5,49.12,45,0.217142857142857,1.52,1
"258","Moussa Djenepo","SOU","M",8,661,82.625,14.57,11.4607055379925,11.27,14.6875,12.4697849105061,9.75,116.56,117.5,0.32,2.56,2
"259","Moussa Sissoko","TOT","M",28,2448,87.4285714285714,6.67857142857143,5.48290792965552,5.61,6.5,5.73326873348619,5.5,187,182,0.342857142857143,9.6,7
"260","N'Golo Kante","CHE","M",19,1677,88.2631578947368,10.5589473684211,5.83814838867488,9,10.4473684210526,6.24031413214401,9,200.62,198.5,0.490526315789474,9.32,3
"261","Nabil Bentaleb","NEW","M",6,536,89.3333333333333,7.82,4.52148648123601,5.66,7.66666666666667,4.4007575105505,5.5,46.92,46,0.12,0.72,1
"262","Nabil Bentaleb","TOT/NEW","M",1,90,90,7.72,NA,7.72,8,NA,8,7.72,8,0.72,0.72,1
"263","Naby Keita","LIV","M",8,606,75.75,12.755,7.59141432333735,14.49,14.1875,8.7461726323167,14.25,102.04,113.5,0.58,4.64,5
"264","Nathan Ake","BOU","D",27,2430,90,6.49074074074074,3.72564596972631,6.95,5.32407407407407,4.87231919130862,4.75,175.25,143.75,0.237037037037037,6.4,4
"265","Nathan Redmond","SOU","M",30,2666,88.8666666666667,12.3973333333333,6.84466212023865,12.66,12.1166666666667,8.50525530575608,10.5,371.92,363.5,0.324,9.72,7
"266","Nathaniel Chalobah","WAT","M",8,670,83.75,6.4325,3.16204160991868,6.15,6.3125,2.17021230034562,6.5,51.46,50.5,0.22,1.76,2
"267","Neal Maupay","BHA","F",29,2517,86.7931034482759,8.61034482758621,6.07514519682958,8.5,8.46551724137931,6.45303228070057,8,249.7,245.5,0.270344827586207,7.84,8
"268","Neil Taylor","AVL","D",11,979,89,3.63181818181818,5.9879375717885,1.93,1.70454545454545,6.0661130283508,0.25,39.95,18.75,0.254545454545455,2.8,2
"269","Nemanja Matic","MUN","M",18,1522,84.5555555555556,7.35444444444444,5.31021570651072,6.8,7.55555555555556,5.51705614406198,6.5,132.38,136,0.504444444444444,9.08,10
"270","Nicolas Otamendi","MCI","D",18,1593,88.5,9.41888888888889,6.70317474291003,7.815,7.77777777777778,8.28885187221229,4.375,169.54,140,0.524444444444444,9.44,7
"271","Nicolas Pepe","ARS","F",22,1798,81.7272727272727,13.0090909090909,8.42054794568784,9.75,14.1136363636364,9.95098920445531,13.5,286.2,310.5,0.269090909090909,5.92,5
"272","Oleksandr Zinchenko","MCI","M",13,1127,86.6923076923077,7.48307692307692,5.0528661579599,6.9,6.69230769230769,4.35669246456176,6.5,97.28,87,0.544615384615385,7.08,7
"273","Oliver McBurnie","SHU","F",21,1739,82.8095238095238,11,6.76912106554462,8.6,10,6.82825014187383,7,231,210,0.281904761904762,5.92,9
"274","Oliver Norwood","SHU","M",34,2991,87.9705882352941,7.84235294117647,5.09387692967626,7.42,7.69117647058824,4.85551031222845,7.5,266.64,261.5,0.348235294117647,11.84,13
"275","Olivier Giroud","CHE","F",11,808,73.4545454545455,11.4454545454545,5.30572589498621,10.6,12.4545454545455,5.65444314435359,14.5,125.9,137,0.596363636363636,6.56,6
"276","Ondrej Duda","NOR","M",8,660,82.5,11.1175,5.74357218363027,11.54,10.1875,5.33812099097479,10.25,88.94,81.5,0.33,2.64,3
"277","Onel Hernandez","NOR","M",14,1164,83.1428571428571,11.2385714285714,5.38375027587341,10.69,10.2857142857143,5.34111154418933,9,157.34,144,0.274285714285714,3.84,1
"278","Oriol Romeu","SOU","M",20,1708,85.4,6.618,4.04897335915635,5.49,6.175,3.71793307037519,4.75,132.36,123.5,0.228,4.56,5
"279","Pablo Fornals","WHU","M",23,1844,80.1739130434783,6.09913043478261,4.25881536350136,5.5,6.78260869565217,6.14008085332559,4.5,140.28,156,0.229565217391304,5.28,6
