"","Player","Team.x","Position","n","min_total","mean_minutes","mean_xFpts","sd_xFpts","median_xFpts","mean_fpts","sd_fpts","median_ftps","total_xFpts","total_fpts","mean_xCS","xCS","CS"
"261","Nathan Redmond","SOU","M",30,2666,88.8666666666667,9.864,5.43454442464576,9.91,9.58333333333333,7.10764927109657,8.5,295.92,287.5,0.324,9.72,7
"262","Nathaniel Chalobah","WAT","M",8,670,83.75,5.9325,3.21979480268985,5.65,5.8125,2.15369284187482,6,47.46,46.5,0.22,1.76,2
"263","Neal Maupay","BHA","F",29,2517,86.7931034482759,7.88620689655172,5.77072192425641,8.4,7.74137931034483,6.19132557012397,7,228.7,224.5,0.270344827586207,7.84,8
"264","Neil Taylor","AVL","D",11,979,89,3.54090909090909,5.79488300925127,1.93,1.61363636363636,5.96066652770858,0.25,38.95,17.75,0.254545454545455,2.8,2
"265","Nemanja Matic","MUN","M",18,1522,84.5555555555556,6.24333333333333,4.77128790111162,5.69,6.44444444444444,5.15320827791344,5.75,112.38,116,0.504444444444444,9.08,10
"266","Nicolas Otamendi","MCI","D",18,1593,88.5,9.25222222222222,6.64895706598858,7.815,7.61111111111111,8.2253295223738,4.375,166.54,137,0.524444444444444,9.44,7
"267","Nicolas Pepe","ARS","F",22,1798,81.7272727272727,10.1909090909091,7.66817225946743,7.4,11.2954545454545,9.60116447663299,10.5,224.2,248.5,0.269090909090909,5.92,5
"268","Oleksandr Zinchenko","MCI","D",13,1127,86.6923076923077,9.96,5.87906880381579,10.3,8.96153846153846,5.9989983138213,9.25,129.48,116.5,0.544615384615385,7.08,7
"269","Oliver McBurnie","SHU","F",20,1574,78.7,10.075,6.12869652149881,8.2,9.025,6.4654445851937,6.25,201.5,180.5,0.296,5.92,8
"270","Oliver Norwood","SHU","M",33,2811,85.1818181818182,7.68606060606061,4.91217488707519,7,7.5,4.68041130671226,7.5,253.64,247.5,0.358787878787879,11.84,12
"271","Olivier Giroud","CHE","F",11,808,73.4545454545455,11.1727272727273,5.15908730476446,10.6,12.1818181818182,5.47390503787163,12.5,122.9,134,0.596363636363636,6.56,6
"272","Ondrej Duda","NOR","M",8,660,82.5,10.2425,5.61885028910974,10.04,9.3125,5.37146893981791,8.75,81.94,74.5,0.33,2.64,3
"273","Onel Hernandez","NOR","M",14,1164,83.1428571428571,8.88142857142857,4.45837130859182,7.89,7.92857142857143,4.4629118765199,7.5,124.34,111,0.274285714285714,3.84,1
"274","Oriol Romeu","SOU","M",20,1708,85.4,6.118,3.83673051602945,5.24,5.675,3.51790532771092,4.75,122.36,113.5,0.228,4.56,5
"275","Pablo Fornals","WHU","M",23,1844,80.1739130434783,5.62086956521739,3.82447371666824,4.9,6.30434782608696,5.61802927764059,4.5,129.28,145,0.229565217391304,5.28,6
"276","Pablo Zabaleta","WHU","D",6,522,87,3.11,5.850299137651,1.95,2.08333333333333,6.26631204670392,3.125,18.66,12.5,0.0266666666666667,0.16,0
"277","Pascal Gross","BHA","M",19,1511,79.5263157894737,10.1,6.78760307881623,9.2,9.89473684210526,6.77532071272157,8,191.9,188,0.315789473684211,6,3
"278","Patrick van Aanholt","CRY","D",28,2482,88.6428571428571,7.63607142857143,7.52218907228165,5.76,7.09821428571429,8.75418928436295,5,213.81,198.75,0.298571428571429,8.36,8
"279","Paul Dummett","NEW","D",14,1212,86.5714285714286,3.96357142857143,4.41257923379348,2.53,5.125,8.00285405820468,4.875,55.49,71.75,0.16,2.24,5
"280","Paul Pogba","MUN","M",13,1107,85.1538461538462,9.29846153846154,5.68608512973242,10.16,9.34615384615385,7.52048484525382,7.5,120.88,121.5,0.483076923076923,6.28,6
"281","Pedro","CHE","F",8,650,81.25,12.975,6.17315617353531,12.8,12.1875,7.81453544913031,9.5,103.8,97.5,0.41,3.28,2
"282","Pedro Neto","WOL","F",6,468,78,7.68333333333333,2.72500764524921,7.45,9.08333333333333,3.95495469843419,8.5,46.1,54.5,0.48,2.88,1
"283","Phil Bardsley","BUR","D",21,1890,90,7.07571428571429,5.01499209513691,4.54,8.01190476190476,6.27319505439423,7.75,148.59,168.25,0.344761904761905,7.24,9
"284","Phil Foden","MCI","M",6,504,84,13.3966666666667,4.61738309723881,12.26,12.0833333333333,8.54058936295773,9.25,80.38,72.5,0.413333333333333,2.48,3
"285","Philip Billing","BOU","M",24,2143,89.2916666666667,8.79583333333333,5.07843173042424,9.22,8.29166666666667,5.64515310892348,7.5,211.1,199,0.275,6.6,5
"286","Pierre-Emerick Aubameyang","ARS","F",33,2926,88.6666666666667,10.0454545454545,5.34240646321317,9.3,12.3181818181818,9.54333715693358,9.5,331.5,406.5,0.283636363636364,9.36,10
"287","Pierre-Emile Hojbjerg","SOU","M",30,2699,89.9666666666667,8.8,4.41659878499125,7.6,8.11666666666667,4.59700677227779,7,264,243.5,0.326666666666667,9.8,7
"288","Raheem Sterling","MCI","F",28,2436,87,13.5,6.83222213187329,11.7,13.875,10.9836789694393,14,378,388.5,0.481428571428571,13.48,12
"289","Raul Jimenez","WOL","F",37,3226,87.1891891891892,12.0216216216216,6.32868843420952,10.2,12.6621621621622,7.59482101871442,12,444.8,468.5,0.48972972972973,18.12,15
"290","Reece James","CHE","D",16,1402,87.625,14.0575,4.20156558122485,14.075,12,6.0614904657738,13,224.92,192,0.47,7.52,5
