"","Team.y","game_week","Player","Team.x","Position","Rk","Status","Opponent.x","FPts","FP/G","% Owned","+/-","GP","Min.x","G","GOF","A2","KP","ABS","AFKG","AHW","AOG","APL","APKG","AR","ASOP","AT","S","SOT","SA","SOP","SB","TkW","TLM","DIS","PLC","FC","FS","ErS","ErG","YC","SYC","RC","HB","Pen","DP","6S","Off","PA","AP","PC%","SFTP","C","ACNC","CF","CK","CIB","CF_1","CC","FKS","Int.x","IntB","CLRA","CLR","CoA","CoS","CoSF","BC","BS","DW","DL","AER","AERL","BCC","BCM","BCS","BR","FKG","FKM","PL","LB","LBA","SubOn","SubOff","PKG","PKA","PKM","PKD","OG","GAD","CS","MCS","Date","X1","#","Nation","Pos","Min.y","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Press","Tkl","Int.y","Blocks","xG","npxG","xA","SCA","GCA","Cmp","Att","Cmp%","PrgDist","Carries","PrgDist.1","Succ","Att.1","Opponent.y","xG_against","GAD_against","xCS","xPts","CLRpts","xGpts","xApts","KPpts","SOTpts","DISpts","YCpts","RCpts","OGpts","xGADpts","xCSpts","defPts","offPts"
"303","Bournemouth",20,"Steve Cook","BOU","D",232,"FA","BOU 0<br/>@BHA 2 F",2.5,2.5,"21%","-3.40%",1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,15,1,1,0,0,1,0,0,0,0,0,0,0,52,38,73.1,3,0,0,0,0,0,0,0,0,3,1,4,4,0,0,1,0,0,7,3,6,1,0,0,0,1,0,0,15,12,5,0,0,0,0,0,0,0,2,0,0,"12/28/19",5224,3,"eng ENG","CB",90,0,0,0,0,1,0,1,0,56,5,0,3,0,0,0,0,0,0,39,48,81.3,425,31,129,0,0,"Brighton",0.9,0.65,0.48,8.08,1,0,0,0,0,-0.5,0,0,0,-1.3,2.88,5.58,-0.5
"304","Bournemouth",20,"Chris Mepham","BOU","D",478,"FA","BOU 0<br/>@BHA 2 F",6,6,"0%","-2.20%",1,90,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,48,44,91.7,0,0,0,0,0,0,0,3,0,1,0,8,8,1,1,2,0,2,7,4,3,2,0,0,0,5,0,0,4,2,2,0,0,0,0,0,0,0,2,0,0,"12/28/19",5223,33,"wal WAL","CB",90,0,0,0,0,1,0,0,0,64,13,2,1,4,0,0,0.1,2,0,44,48,91.7,222,34,183,0,0,"Brighton",0.9,0.65,0.48,12.38,2,0,0.8,2,0,0,0,0,0,-1.3,2.88,5.58,3.8
"306","Bournemouth",21,"Chris Mepham","BOU","D",478,"FA","BOU 0<br/>@WHU 4 F",4,4,"0%","-2.20%",1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,2,0,0,0,0,0,0,0,0,0,0,0,90,79,87.8,0,0,0,0,0,0,0,1,0,2,0,4,4,0,0,0,0,2,12,5,8,3,0,0,0,8,0,0,13,5,1,0,0,0,0,0,0,0,4,0,0,"01/01/20",5635,33,"wal WAL","CB",90,0,0,0,0,0,0,0,0,98,17,3,2,2,0,0,0,0,0,75,88,85.2,413,66,236,0,0,"West Ham",1.9,1.65,0,8.7,1,0,0,0,0,0,0,0,0,-3.3,0,0.7,0
"307","Bournemouth",21,"Steve Cook","BOU","D",232,"FA","BOU 0<br/>@WHU 4 F",-4,-4,"21%","-3.40%",1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,97,92,94.8,3,0,0,0,0,0,0,1,0,0,0,4,4,0,0,0,0,0,4,5,3,4,0,0,0,3,0,0,6,4,2,0,0,0,0,0,0,0,4,0,0,"01/01/20",5636,3,"eng ENG","CB",90,0,0,0,0,0,0,0,0,105,13,1,0,1,0,0,0,0,0,89,95,93.7,512,76,230,0,0,"West Ham",1.9,1.65,0,0.7,1,0,0,0,0,0,0,0,0,-3.3,0,-2.3,0
"309","Bournemouth",22,"Steve Cook","BOU","D",232,"FA","WAT 3<br/>@BOU 0 F",5.25,5.25,"21%","-3.40%",1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,63,48,76.2,6,0,0,0,0,0,0,2,0,2,0,5,5,0,0,0,0,1,8,7,8,5,0,0,0,6,0,0,15,11,4,0,0,0,0,0,0,0,3,0,0,"01/12/20",5973,3,"eng ENG","CB",90,0,0,0,0,0,0,0,0,73,9,0,2,2,0,0,0,0,0,50,58,86.2,405,37,159,0,0,"Watford",1.9,1.65,0,7.95,1.25,0,0,0,0,0,0,0,0,-3.3,0,-0.0499999999999998,0
"313","Bournemouth",23,"Nathan Ake","BOU","D",75,"FA","BOU 0<br/>@NOR 1 F",4.25,4.25,"89%","30.90%",1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0.5,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,36,33,91.7,3,0,0,0,0,0,1,0,0,1,1,5,5,0,0,0,0,1,3,2,2,1,0,0,0,5,0,0,4,5,3,0,0,0,0,0,0,0,1,0,0,"01/18/20",6177,5,"nl NED","CB",90,0,0,0,0,2,1,0,0,48,9,1,1,2,0.5,0.5,0,0,0,35,39,89.7,249,23,42,0,0,"Norwich City",2.1,1.85,0,7.55,1.25,5,0,0,2,0,0,0,0,-3.7,0,-1.45,7
"317","Bournemouth",24,"Simon Francis","BOU","D",317,"FA","BHA 1<br/>@BOU 3 F",2,2,"5%","4.20%",1,90,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,25,20,80,3,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,1,3,2,3,1,0,0,0,0,0,0,6,6,4,0,0,0,0,0,0,0,1,0,0,"01/21/20",6354,2,"eng ENG","CB",90,0,0,0,0,0,0,0,0,30,7,2,0,1,0,0,0,0,0,19,23,82.6,181,15,47,0,0,"Brighton",1.3,1.05,0.16,2.86,1,0,0,0,0,0,0,0,0,-2.1,0.96,-0.140000000000001,0
"318","Bournemouth",24,"Nathan Ake","BOU","D",75,"FA","BHA 1<br/>@BOU 3 F",2.5,2.5,"89%","30.90%",1,90,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,22,18,81.8,0,0,0,0,0,0,0,1,0,3,2,6,6,0,0,1,0,3,1,3,0,3,0,0,0,2,0,0,4,2,0,0,0,0,0,0,0,0,1,0,0,"01/21/20",6353,5,"nl NED","CB",90,0,0,0,0,1,0,0,0,39,4,1,3,4,0,0,0,0,0,19,22,86.4,121,12,21,0,0,"Brighton",1.3,1.05,0.16,3.36,1.5,0,0,0,0,0,0,0,0,-2.1,0.96,3.36,0
"322","Bournemouth",25,"Nathan Ake","BOU","D",75,"FA","AVL 1<br/>@BOU 2 F",17.25,17.25,"89%","30.90%",1,90,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,20,17,85,0,0,0,0,0,0,0,0,0,3,1,5,5,0,0,0,0,0,3,4,3,3,0,0,1,3,0,0,3,5,3,0,0,0,0,0,0,0,1,0,0,"02/01/20",6621,5,"nl NED","CB",90,1,0,0,0,1,1,0,0,32,6,0,3,1,0.5,0.5,0,0,0,15,16,93.8,120,11,20,0,0,"Aston Villa",1.5,1.25,0,11.75,1.25,5,0,0,2,0,0,0,0,-2.5,0,1.75,7
"323","Bournemouth",25,"Simon Francis","BOU","D",317,"FA","AVL 1<br/>@BOU 2 F",11.75,11.75,"5%","4.20%",1,90,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,21,10,47.6,2,1,1,0,0,0,0,2,0,6,1,7,7,0,0,0,0,2,5,3,5,2,0,0,0,8,0,0,11,9,3,0,0,0,0,0,0,0,1,0,0,"02/01/20",6622,2,"eng ENG","CB",90,0,0,0,0,0,0,0,0,36,12,1,6,2,0,0,0,1,1,12,18,66.7,100,9,5,0,0,"Aston Villa",1.5,1.25,0,11.25,1.75,0,0,0,0,0,0,0,0,-2.5,0,5.25,1
"324","Bournemouth",26,"Nathan Ake","BOU","D",75,"FA","BOU 1<br/>@SHU 2 F",4,4,"89%","30.90%",1,90,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,8,1,0,0,0,0,0,0,0,0,0,0,0,37,32,86.5,3,0,0,0,0,0,0,2,0,0,0,10,10,0,0,0,0,2,7,11,5,7,0,0,0,9,0,0,8,4,2,0,0,0,0,0,0,0,2,0,0,"02/09/20",6937,5,"nl NED","CB",90,0,0,0,0,2,0,0,0,57,8,1,0,2,0.2,0.2,0,0,0,31,38,81.6,219,19,75,0,0,"Sheffield Utd",1.8,1.55,0,6.9,2.5,2,0,0,0,-0.5,0,0,0,-3.1,0,0.4,1.5
"327","Bournemouth",26,"Simon Francis","BOU","D",317,"FA","BOU 1<br/>@SHU 2 F",4.5,4.5,"5%","4.20%",1,90,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,1,0,0,0,0,0,0,0,40,29,72.5,4,0,0,0,0,0,0,2,0,2,0,14,14,1,0,0,0,2,5,7,4,5,0,0,0,14,0,0,12,10,4,0,0,0,0,0,0,0,2,0,0,"02/09/20",6938,2,"eng ENG","CB",90,0,0,0,0,0,0,1,0,62,9,0,2,4,0,0,0.1,1,0,29,42,69,312,25,16,0,1,"Sheffield Utd",1.8,1.55,0,6.2,3.5,0,0.8,2,0,0,0,0,0,-3.1,0,2.4,2.8
"328","Bournemouth",27,"Steve Cook","BOU","D",232,"FA","BOU 0<br/>@BUR 3 F",-1.75,-1.75,"21%","-3.40%",1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1,0,0,0,0,0,0,0,50,40,80,3,0,0,0,0,0,0,2,0,1,0,9,9,0,0,0,0,0,4,3,4,2,0,0,0,3,0,0,10,8,4,0,0,0,0,0,0,0,3,0,0,"02/22/20",7185,3,"eng ENG","CB",90,0,0,0,0,0,0,1,0,61,2,0,1,0,0,0,0,0,0,39,47,83,298,30,162,0,0,"Burnley",2.6,2.35,0,-0.45,2.25,0,0,0,0,0,0,0,0,-4.7,0,-1.45,0
"329","Bournemouth",27,"Simon Francis","BOU","D",317,"FA","BOU 0<br/>@BUR 3 F",2.25,2.25,"5%","4.20%",1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17,1,0,0,0,1,0,0,0,0,0,0,0,46,30,65.2,2,0,0,0,0,0,0,1,0,2,1,9,9,1,1,1,0,1,8,6,5,4,0,0,0,2,0,0,17,7,0,0,0,0,0,0,0,0,3,0,0,"02/22/20",7186,2,"eng ENG","CB",90,0,0,0,0,0,0,1,0,63,11,4,2,2,0,0,0,0,0,29,44,65.9,265,29,48,0,0,"Burnley",2.6,2.35,0,3.55,2.25,0,0,0,0,0,0,0,0,-4.7,0,0.55,1
"334","Bournemouth",28,"Steve Cook","BOU","D",232,"FA","CHE 2<br/>@BOU 2 F",1.25,1.25,"21%","-3.40%",1,90,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,30,22,73.3,1,0,0,0,0,0,0,0,0,1,0,9,9,0,0,0,0,0,2,7,2,7,0,0,0,4,0,0,8,6,3,0,0,0,0,0,0,0,2,0,0,"02/29/20",7475,3,"eng ENG","CB",90,0,0,0,0,0,0,0,0,42,6,0,1,2,0,0,0,0,0,22,30,73.3,193,16,25,0,0,"Chelsea",1.9,1.65,0,1.95,2.25,0,0,0,0,0,0,0,0,-3.3,0,-0.0499999999999998,0
"335","Bournemouth",28,"Nathan Ake","BOU","D",75,"FA","CHE 2<br/>@BOU 2 F",6.25,6.25,"89%","30.90%",1,90,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,31,26,83.9,2,0,0,0,0,0,0,3,0,0,0,13,13,0,0,0,2,1,5,3,5,1,0,0,0,5,0,0,6,4,3,0,0,0,0,0,0,0,2,0,0,"02/29/20",7474,5,"nl NED","CB",90,0,0,0,0,1,0,0,0,49,11,0,0,5,0,0,0,1,0,24,28,85.7,242,17,59,0,0,"Chelsea",1.9,1.65,0,6.95,3.25,0,0,2,0,0,0,0,0,-3.3,0,-0.0499999999999998,2
"337","Bournemouth",29,"Nathan Ake","BOU","D",75,"FA","BOU 1<br/>@LIV 2 F",4.75,4.75,"89%","30.90%",1,90,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,13,7,53.8,0,0,0,0,0,0,1,3,0,0,0,15,15,0,0,0,0,2,3,2,3,2,0,1,0,6,0,0,6,1,0,0,0,0,0,0,0,0,2,0,0,"03/07/20",7649,5,"nl NED","CB",90,0,0,0,0,1,1,0,0,32,3,0,0,3,0,0,0,0,0,8,16,50,49,6,1,0,0,"Liverpool",1.2,0.95,0.24,8.29,3.75,0,0,0,2,0,0,0,0,-1.9,1.44,3.29,2
"340","Bournemouth",3,"Steve Cook","BOU","D",232,"FA","MCI 3<br/>@BOU 1 F",1.75,1.75,"21%","-3.40%",1,90,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,25,16,64,4,0,0,0,0,0,0,1,0,0,0,7,7,1,1,1,0,2,4,1,3,1,0,0,0,5,0,0,13,5,1,0,0,0,0,0,0,0,3,0,0,"08/25/19",753,3,"eng ENG","CB",90,0,0,0,0,0,0,0,0,39,4,0,0,2,0,0,0.1,1,0,17,29,58.6,122,19,53,1,1,"Manchester City",2.4,2.15,0,4.25,1.75,0,0.8,2,0,0,0,0,0,-4.3,0,-2.55,3.8
"341","Bournemouth",3,"Chris Mepham","BOU","D",478,"FA","MCI 3<br/>@BOU 1 F",-1.5,-1.5,"0%","-2.20%",1,90,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,1,0,0,0,0,0,0,0,0,0,0,1,20,18,90,5,1,0,1,0,0,0,0,0,1,0,6,6,1,0,0,0,1,2,3,0,1,0,0,0,6,0,0,5,4,2,0,0,0,0,0,0,0,3,0,0,"08/25/19",754,33,"wal WAL","CB",90,0,0,0,0,0,0,0,0,38,22,4,1,3,0,0,0,0,0,21,23,91.3,218,16,29,0,1,"Manchester City",2.4,2.15,0,0.2,1.5,0,0,0,0,0,0,0,0,-4.3,0,0.2,0
"342","Bournemouth",3,"Nathan Ake","BOU","D",75,"FA","MCI 3<br/>@BOU 1 F",3.75,3.75,"89%","30.90%",1,90,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0.5,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,24,21,87.5,2,0,0,0,0,0,0,3,0,6,0,3,3,1,1,3,1,5,3,2,0,0,0,0,0,6,0,0,4,1,0,0,0,0,0,0,0,0,3,0,0,"08/25/19",752,5,"nl NED","CB",90,0,0,0,0,2,1,0,0,40,15,0,6,7,0.1,0.1,0,1,0,20,22,90.9,136,18,65,1,1,"Manchester City",2.4,2.15,0,6.45,0.75,1,0,0,2,0,0,0,0,-4.3,0,2.45,4
"345","Bournemouth",30,"Steve Cook","BOU","D",126,"W (Tue)","CRY 2<br/>@BOU 0 F",6.25,6.25,"22%","-0.20%",1,90,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,16,1,0,0,0,1,0,0,0,0,0,0,0,64,49,76.6,3,0,0,0,0,0,0,1,0,4,0,1,1,0,0,0,0,0,7,4,7,2,0,0,0,3,0,0,16,8,1,0,0,0,0,0,0,0,2,0,0,"06/20/20",8124,3,"eng ENG","CB",90,0,0,0,0,1,0,1,0,73,6,0,4,1,0,0,0,0,0,52,64,81.3,366,43,130,0,0,"Crystal Palace",0.6,0.35,0.72,13.87,0.25,0,0,2,0,0,0,0,0,-0.7,4.32,7.87,2
"346","Bournemouth",30,"Nathan Ake","BOU","D",129,"W (Tue)","CRY 2<br/>@BOU 0 F",6,6,"52%","-4.10%",1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0.5,0,0,3,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,64,59,92.2,8,0,0,0,0,0,1,1,0,0,0,4,4,0,0,0,0,1,9,5,5,3,0,0,0,2,0,0,7,7,5,0,0,0,0,0,0,0,2,0,0,"06/20/20",8123,5,"nl NED","CB",90,0,0,0,0,2,1,0,0,76,6,3,0,1,0.1,0.1,0,0,0,58,62,93.5,395,47,261,1,1,"Crystal Palace",0.6,0.35,0.72,14.62,1,1,0,0,2,-1,0,0,0,-0.7,4.32,7.62,2
"347","Bournemouth",31,"Nathan Ake","BOU","D",123,"W (Tue)","BOU 0<br/>@WOL 1 F",4.75,4.75,"52%","-4.10%",1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,42,38,90.5,1,0,0,0,0,0,0,0,0,1,0,3,3,0,0,0,0,0,5,3,2,3,0,0,0,6,0,0,4,5,1,0,0,0,0,0,0,0,1,0,0,"06/24/20",8343,5,"nl NED","CB",90,0,0,0,0,0,0,0,0,52,7,3,1,0,0,0,0,0,0,39,44,88.6,251,30,77,0,0,"Wolves",1.1,0.85,0.32,6.97,0.75,0,0,0,0,0,0,0,0,-1.7,1.92,4.97,0
"348","Bournemouth",31,"Steve Cook","BOU","D",227,"W (Tue)","BOU 0<br/>@WOL 1 F",0.25,0.25,"22%","-0.20%",1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,2,2,0,0,1,0,0,1,0,0,0,0,41,33,80.5,3,0,0,0,0,0,0,2,0,0,0,1,1,0,0,2,0,0,8,3,4,1,0,0,0,3,0,0,8,7,3,0,0,0,0,0,0,0,1,0,0,"06/24/20",8344,3,"eng ENG","CB",90,0,0,0,0,0,0,1,0,43,9,3,0,2,0,0,0,0,0,31,37,83.8,219,26,59,0,0,"Wolves",1.1,0.85,0.32,2.47,0.25,0,0,0,0,0,0,0,0,-1.7,1.92,1.47,0
"353","Bournemouth",32,"Steve Cook","BOU","D",547,"W (Tue)","NEW 4<br/>@BOU 1 F",-1,-1,"22%","-0.20%",1,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,50,44,88,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,6,0,3,0,0,0,0,2,0,0,6,5,1,0,1,0,0,0,0,0,4,0,0,"07/01/20",8744,3,"eng ENG","CB",79,0,0,0,0,0,0,0,0,55,5,2,3,0,0,0,0,0,0,44,50,88,362,42,128,0,0,"Newcastle Utd",1.4,1.15,0.0800000000000001,5.18,0,0,0,0,0,0,0,0,0,-2.3,0.48,2.18,0
"354","Bournemouth",32,"Nathan Ake","BOU","D",140,"W (Tue)","NEW 4<br/>@BOU 1 F",3.5,3.5,"52%","-4.10%",1,90,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,7,1,1,0,0,1,0,0,0,0,0,0,0,67,60,89.6,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,6,2,3,1,0,0,0,7,0,0,7,7,4,0,0,0,0,0,0,0,4,0,0,"07/01/20",8743,5,"nl NED","CB",90,0,1,0,0,1,0,1,0,73,9,2,0,0,0.1,0.1,0,2,1,61,68,89.7,298,53,255,0,0,"Newcastle Utd",1.4,1.15,0.0800000000000001,2.68,0.5,1,0,2,0,0,0,0,0,-2.3,0.48,-0.319999999999999,3
"357","Bournemouth",33,"Lloyd Kelly","BOU","D",572,"W (Tue)","BOU 2<br/>@MUN 5 F",-7.5,-7.5,"1%","0%",1,90,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,22,17,77.3,1,2,1,1,0,0,1,1,0,1,1,2,2,0,0,0,0,1,2,3,0,1,0,0,0,4,0,0,8,4,1,0,0,0,0,0,0,0,5,0,0,"07/04/20",8909,26,"eng ENG","CB",90,0,0,0,0,0,0,0,0,31,12,2,1,1,0,0,0,0,0,16,23,69.6,150,16,38,0,0,"Manchester Utd",2.3,2.05,0,-1.6,0.5,0,0,0,0,0,0,0,0,-4.1,0,-2.6,1
"358","Bournemouth",33,"Nathan Ake","BOU","D",570,"W (Tue)","BOU 2<br/>@MUN 5 F",-6.5,-6.5,"52%","-4.10%",1,90,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,20,14,70,1,0,0,0,0,0,0,2,0,1,0,6,6,0,0,0,0,3,1,2,1,1,0,0,0,6,0,0,6,3,0,0,0,0,0,0,0,0,5,0,0,"07/04/20",8910,5,"nl NED","CB",90,0,0,0,0,0,0,0,0,30,6,0,1,5,0,0,0,0,0,14,20,70,48,15,85,0,0,"Manchester Utd",2.3,2.05,0,-0.6,1.5,0,0,0,0,0,0,0,0,-4.1,0,-1.6,0
"360","Bournemouth",34,"Lloyd Kelly","BOU","D",36,"W (Tue)","TOT 0<br/>@BOU 0 F",14.75,14.75,"1%","0%",1,90,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,12,1,0,0,0,0,0,0,0,0,0,0,0,31,24,77.4,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,4,4,3,2,0,0,0,3,0,0,12,4,0,0,0,0,0,0,0,0,0,1,90,"07/09/20",9383,26,"eng ENG","CB",90,0,0,0,0,0,0,0,0,39,8,1,1,0,0,0,0.2,2,0,28,35,80,148,18,22,0,0,"Tottenham",0.6,0.35,0.72,13.97,0.25,0,1.6,4,0,-0.5,0,0,0,-0.7,4.32,5.87,5.1
"362","Bournemouth",34,"Nathan Ake","BOU","D",65,"W (Tue)","TOT 0<br/>@BOU 0 F",10.25,10.25,"52%","-4.10%",1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,16,10,62.5,0,0,0,0,0,0,0,2,0,1,0,5,5,0,0,0,0,3,2,3,2,3,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,1,90,"07/09/20",9384,5,"nl NED","CB",90,0,0,0,0,0,0,0,0,24,10,0,1,4,0,0,0,0,0,11,15,73.3,86,11,53,0,0,"Tottenham",0.6,0.35,0.72,7.87,1.25,0,0,0,0,0,0,0,0,-0.7,4.32,5.87,0
"364","Bournemouth",35,"Lloyd Kelly","BOU","D",203,"W (Tue)","LEI 1<br/>@BOU 4 F",0.75,0.75,"1%","0%",1,90,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,37,33,89.2,2,0,0,0,0,0,0,0,0,0,0,3,3,0,0,1,0,1,3,0,1,0,0,0,0,7,0,0,5,5,3,0,0,0,0,0,0,0,1,0,0,"07/12/20",9683,26,"eng ENG","CB",90,0,0,0,0,0,0,0,0,40,10,0,0,2,0,0,0,1,1,33,37,89.2,420,21,73,0,0,"Leicester City",1.4,1.15,0.0800000000000001,0.930000000000001,0.75,0,0,0,0,0,0,0,0,-2.3,0.48,-0.0699999999999994,0
"367","Bournemouth",36,"Lloyd Kelly","BOU","D",571,"W (Tue)","BOU 1<br/>@MCI 2 F",-5,-5,"1%","0%",1,90,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,1,1,0,0,1,0,0,0,0,0,0,0,16,8,50,2,1,0,1,0,0,0,1,0,0,0,2,2,2,2,3,0,0,3,2,0,0,0,0,0,6,0,0,13,6,0,0,0,0,0,0,0,0,2,0,0,"07/15/20",9790,26,"eng ENG","CB",90,0,0,0,0,0,0,1,0,26,7,0,0,0,0,0,0,1,0,9,21,42.9,74,14,31,1,1,"Manchester City",0.7,0.45,0.64,1.94,0.5,0,0,0,0,-0.5,0,0,0,-0.9,3.84,3.44,1.5
"368","Bournemouth",36,"Steve Cook","BOU","D",190,"W (Tue)","BOU 1<br/>@MCI 2 F",1.75,1.75,"22%","-0.20%",1,90,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,30,19,63.3,2,0,0,0,0,0,0,0,0,1,1,3,3,0,0,0,0,0,5,5,4,4,0,0,0,5,0,0,11,10,3,0,0,0,0,0,0,0,2,0,0,"07/15/20",9791,3,"eng ENG","CB",90,0,0,0,0,0,0,0,0,34,3,1,1,1,0,0,0,0,0,21,27,77.8,174,13,0,0,0,"Manchester City",0.7,0.45,0.64,8.69,0.75,0,0,0,0,0,0,0,0,-0.9,3.84,4.69,0
"370","Bournemouth",4,"Chris Mepham","BOU","D",478,"FA","BOU 1<br/>@LEI 3 F",2.25,2.25,"0%","-2.20%",1,90,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,8,0,0,0,1,0,0,0,0,0,0,0,0,37,33,89.2,1,1,0,1,0,0,0,2,0,4,1,7,7,1,0,0,0,1,4,5,2,3,0,0,0,7,0,0,8,5,2,0,0,0,0,0,0,0,3,0,0,"08/31/19",934,33,"wal WAL","CB",90,0,0,0,0,0,0,0,0,53,15,2,4,2,0,0,0,0,0,30,35,85.7,287,26,33,0,1,"Leicester City",1.9,1.65,0,4.95,1.75,0,0,0,0,-0.5,0,0,0,-3.3,0,3.45,-0.5
"371","Bournemouth",4,"Steve Cook","BOU","D",232,"FA","BOU 1<br/>@LEI 3 F",5,5,"21%","-3.40%",1,90,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,35,29,82.9,0,1,0,1,0,0,0,0,0,6,1,4,4,0,0,0,1,1,5,0,3,0,0,0,0,7,0,0,7,5,3,0,0,0,0,0,0,0,3,0,0,"08/31/19",933,3,"eng ENG","CB",90,0,0,0,0,0,0,0,0,52,7,2,6,4,0,0,0,0,0,31,40,77.5,260,18,12,0,0,"Leicester City",1.9,1.65,0,7.7,1,0,0,0,0,0,0,0,0,-3.3,0,4.7,0
