"","X","Team.y","game_week","Player","Team.x","Position","Rk","Status","Opponent.x","FPts","FP.G","X..Owned","X...","GP","Min.x","G","GOF","A2","KP","ABS","AFKG","AHW","AOG","APL","APKG","AR","ASOP","AT","S","SOT","SA","SOP","SB","TkW","TLM","DIS","PLC","FC","FS","ErS","ErG","YC","SYC","RC","HB","Pen","DP","X6S","Off","PA","AP","PC.","SFTP","C","ACNC","CF","CK","CIB","CF_1","CC","FKS","Int.x","IntB","CLRA","CLR","CoA","CoS","CoSF","BC","BS","DW","DL","AER","AERL","BCC","BCM","BCS","BR","FKG","FKM","PL","LB","LBA","SubOn","SubOff","PKG","PKA","PKM","PKD","OG","GAD","CS","MCS","Date","X1","X.","Nation","Pos","Min.y","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Press","Tkl","Int.y","Blocks","xG","npxG","xA","SCA","GCA","Cmp","Att","Cmp.","PrgDist","Carries","PrgDist.1","Succ","Att.1","Opponent.y","xG_against","GAD_against","xCS","xPts","CLRpts","xGpts","xApts","KPpts","SOTpts","DISpts","YCpts","RCpts","OGpts","xGADpts","xCSpts","AER_prop","defPts","offPts"
"283",283,"Bournemouth",15,"Diego Rico","BOU","D",157,"FA","BOU 0<br/>@CRY 1 F",14,14,"58%","10.40%",1,64,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,50,44,88,18,8,3,4,4,1,1,0,0,1,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,4,0,0,11,0,0,0,1,0,0,0,0,0,0,1,0,"12/03/19",3876,21,"es ESP","LB",63,0,0,0,0,0,0,0,0,70,7,2,1,0,0,0,0.1,2,0,55,64,85.9,321,50,72,0,0,"Crystal Palace",0.3,0.05,0.96,14.46,0,0,0.8,2,0,0,0,0,0,-0.1,5.76,0,8.66,5.8
"285",285,"Bournemouth",16,"Simon Francis","BOU","D",317,"FA","LIV 3<br/>@BOU 0 F",-3.25,-3.25,"5%","4.20%",1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,30,22,73.3,2,0,0,0,0,0,0,1,0,0,0,3,3,0,0,0,1,1,2,4,0,1,0,0,0,4,0,0,8,5,1,0,0,0,0,0,0,0,3,0,0,"12/07/19",4198,2,"eng ENG","RB",90,0,0,0,0,0,0,0,0,45,9,2,0,4,0,0,0,0,0,29,36,80.6,184,20,15,0,0,"Liverpool",2.4,2.15,0,-1.55,0.75,0,0,0,0,0,0,0,0,-4.3,0,0,-1.55,0
"287",287,"Bournemouth",16,"Diego Rico","BOU","D",157,"FA","LIV 3<br/>@BOU 0 F",1,1,"58%","10.40%",1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,19,0,0,0,0,0,0,0,0,0,0,0,1,31,16,51.6,4,1,0,1,0,0,0,0,0,1,0,4,4,1,0,0,1,2,6,1,3,0,0,0,0,10,0,0,19,9,4,0,0,0,0,0,0,0,3,0,0,"12/07/19",4194,21,"es ESP","LB",90,0,0,0,0,0,0,0,0,50,13,2,1,7,0,0,0.1,1,0,22,37,59.5,227,14,14,0,1,"Liverpool",2.4,2.15,0,3.5,1,0,0.8,0,0,0,0,0,0,-4.3,0,1,-0.3,0.8
"288",288,"Bournemouth",17,"Diego Rico","BOU","D",157,"FA","BOU 1<br/>@CHE 0 F",16.5,16.5,"58%","10.40%",1,90,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,18,14,77.8,5,4,0,2,2,2,0,5,0,3,0,2,2,0,0,1,2,1,5,1,0,1,0,0,0,1,0,0,8,1,0,0,0,0,0,0,0,0,0,1,90,"12/14/19",4455,21,"es ESP","LB",90,0,0,0,0,0,0,0,0,44,25,4,3,8,0,0,0,0,0,17,27,63,187,16,21,0,0,"Chelsea",1.7,1.45,0,7.6,0.5,0,0,4,0,0,0,0,0,-2.9,0,0,3.6,4
"290",290,"Bournemouth",17,"Jack Stacey","BOU","D",351,"FA","BOU 1<br/>@CHE 0 F",17.5,17.5,"5%","3.50%",1,90,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,29,1,0,0,0,0,0,0,0,0,0,0,0,34,16,47.1,5,3,0,3,0,0,1,1,0,3,0,8,8,1,1,1,0,1,7,5,5,3,0,0,0,1,0,0,29,9,2,0,0,0,0,0,0,0,0,1,90,"12/14/19",4458,17,"eng ENG","RB",90,0,0,0,0,0,0,0,0,72,11,1,3,5,0,0,0.1,1,0,31,55,56.4,288,22,98,0,0,"Chelsea",1.7,1.45,0,9.4,2,0,0.8,0,0,-0.5,0,0,0,-2.9,0,0.625,3.1,1.3
"294",294,"Bournemouth",18,"Diego Rico","BOU","D",157,"FA","BUR 1<br/>@BOU 0 F",-1.5,-1.5,"58%","10.40%",1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,2,0,0,1,0,0,0,0,0,0,0,51,38,74.5,11,10,1,9,3,0,2,0,0,2,0,2,2,0,0,2,0,0,2,2,0,2,0,0,0,4,0,0,25,8,2,0,0,0,0,0,0,0,1,0,0,"12/21/19",4793,21,"es ESP","LB",90,0,0,0,0,0,0,1,0,81,3,0,2,4,0,0,0,1,0,47,72,65.3,434,46,84,0,1,"Burnley",0.2,0,1,6.5,0.5,0,0,0,0,0,0,0,0,0,6,0,8.5,1
"295",295,"Bournemouth",18,"Jack Stacey","BOU","D",351,"FA","BUR 1<br/>@BOU 0 F",2.75,2.75,"5%","3.50%",1,90,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,16,1,2,0,0,0,0,0,0,0,0,0,0,42,30,71.4,5,1,0,1,0,0,1,1,0,0,0,5,5,0,0,2,1,0,4,4,1,1,0,0,0,6,0,0,16,6,0,0,0,0,0,0,0,0,1,0,0,"12/21/19",4796,17,"eng ENG","RB",90,0,0,0,0,0,0,0,0,65,12,1,0,4,0,0,0,1,0,40,52,76.9,239,32,98,0,0,"Burnley",0.2,0,1,10.75,1.25,0,0,2,0,-0.5,0,0,0,0,6,0.5,8.25,1.5
"298",298,"Bournemouth",19,"Jack Stacey","BOU","D",351,"FA","ARS 1<br/>@BOU 1 F",12.25,12.25,"5%","3.50%",1,90,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,12,0,1,0,0,0,0,0,0,0,0,0,0,33,27,81.8,6,3,0,3,0,0,1,0,0,2,1,3,3,0,0,1,2,2,3,1,1,0,1,0,0,9,0,0,12,2,0,0,0,0,0,0,0,0,1,0,0,"12/26/19",4987,17,"eng ENG","RB",90,0,1,0,0,1,0,0,0,58,21,3,2,3,0.1,0.1,0.3,1,1,36,44,81.8,225,34,216,0,0,"Arsenal",1.7,1.45,0,6.75,0.75,1,2.4,2,0,-0.5,0,0,0,-2.9,0,1,0.85,4.9
"299",299,"Bournemouth",2,"Adam Smith","BOU","D",144,"FA","BOU 2<br/>@AVL 1 F",3.75,3.75,"5%","1.30%",1,90,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,14,0,1,0,0,0,0,0,0,0,0,0,0,23,11,47.8,5,1,0,1,0,0,1,0,0,0,0,3,3,0,0,1,1,0,6,4,2,4,0,0,0,4,0,0,14,10,1,0,0,0,0,0,0,0,1,0,0,"08/17/19",406,15,"eng ENG","RB",90,0,0,0,0,0,0,0,0,40,14,2,0,3,0,0,0,1,0,19,33,57.6,205,22,74,0,0,"Aston Villa",1.8,1.55,0,2.65,0.75,0,0,0,0,0,0,0,0,-3.1,0,0.333333333333333,0.65,0
"302",302,"Bournemouth",20,"Diego Rico","BOU","D",157,"FA","BOU 0<br/>@BHA 2 F",3.5,3.5,"58%","10.40%",1,90,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,21,1,2,0,0,0,0,0,0,0,0,0,0,41,25,61,4,4,0,4,1,0,0,2,0,4,0,2,2,0,0,2,0,1,3,3,0,1,0,0,0,5,0,0,21,3,1,0,0,0,0,0,0,0,2,0,0,"12/28/19",5222,21,"es ESP","LB",90,0,0,0,0,0,0,0,0,65,10,2,4,3,0,0,0.1,1,0,38,56,67.9,309,31,66,0,0,"Brighton",0.9,0.65,0.48,9.88,0.5,0,0.8,2,0,0,0,0,0,-1.3,2.88,0,7.08,2.8
"314",314,"Bournemouth",23,"Adam Smith","BOU","D",350,"FA","BOU 0<br/>@NOR 1 F",10.75,10.75,"5%","1.30%",1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,17,2,1,0,0,1,0,0,0,0,0,0,0,28,19,67.9,7,3,1,2,0,0,0,1,0,5,0,7,7,3,2,3,0,1,10,9,5,1,0,0,0,7,0,0,17,3,2,0,0,0,0,0,0,0,1,0,0,"01/18/20",6179,15,"eng ENG","RB",90,0,0,0,0,0,0,1,0,57,27,2,5,3,0,0,0,0,0,26,41,63.4,126,24,114,0,2,"Norwich City",2.1,1.85,0,9.05,1.75,0,0,0,0,-1,0,0,0,-3.7,0,0.833333333333333,5.05,2
"315",315,"Bournemouth",23,"Diego Rico","BOU","D",157,"FA","BOU 0<br/>@NOR 1 F",8.25,8.25,"58%","10.40%",1,90,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,26,2,1,0,0,0,0,0,0,0,0,0,0,45,27,60,6,7,1,5,2,1,1,1,0,3,0,3,3,1,1,2,2,0,8,4,2,1,0,0,0,9,0,0,26,12,4,0,0,0,0,0,0,0,1,0,0,"01/18/20",6176,21,"es ESP","LB",90,0,0,0,0,0,0,0,0,73,20,3,3,4,0,0,0.1,2,0,36,59,61,386,35,94,2,2,"Norwich City",2.1,1.85,0,7.35,0.75,0,0.8,2,0,-0.5,0,0,0,-3.7,0,0.666666666666667,1.05,4.3
"316",316,"Bournemouth",24,"Diego Rico","BOU","D",157,"FA","BHA 1<br/>@BOU 3 F",11.5,11.5,"58%","10.40%",1,90,0,3,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,2,21,0,0,0,0,0,0,0,0,0,0,0,0,35,24,68.6,5,2,0,2,1,0,0,0,0,2,1,2,2,2,1,1,1,0,5,6,3,2,0,0,0,10,0,0,21,4,2,0,0,0,0,0,0,0,1,0,0,"01/21/20",6352,21,"es ESP","LB",90,0,0,0,0,1,0,0,0,54,14,2,2,2,0.1,0.1,0,2,1,28,41,68.3,265,25,95,1,3,"Brighton",1.3,1.05,0.16,5.36,0.5,1,0,0,0,-1,0,0,0,-2.1,0.96,0.6,1.36,1
"319",319,"Bournemouth",24,"Adam Smith","BOU","D",350,"FA","BHA 1<br/>@BOU 3 F",3,3,"5%","1.30%",1,90,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,11,0,2,0,0,0,0,0,0,0,0,0,0,20,15,75,3,1,0,1,0,0,0,1,0,2,0,0,0,3,1,3,2,0,6,3,0,1,0,0,0,4,0,0,11,6,1,0,0,0,0,0,0,0,1,0,0,"01/21/20",6355,15,"eng ENG","RB",90,0,0,0,0,0,0,0,0,36,23,4,2,4,0,0,0,0,0,15,25,60,100,19,61,1,3,"Brighton",1.3,1.05,0.16,3.86,0,0,0,0,0,0,0,0,0,-2.1,0.96,0,2.86,1
"320",320,"Bournemouth",25,"Diego Rico","BOU","D",157,"FA","AVL 1<br/>@BOU 2 F",12.75,12.75,"58%","10.40%",1,90,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,30,20,66.7,4,1,1,0,1,0,0,2,0,8,0,3,3,2,2,3,2,0,6,2,2,0,0,0,0,6,0,0,10,5,1,0,0,0,0,0,0,0,1,0,0,"02/01/20",6620,21,"es ESP","LB",90,0,0,0,0,0,0,0,0,52,12,0,8,5,0,0,0,0,0,27,34,79.4,229,18,58,2,3,"Aston Villa",1.5,1.25,0,12.25,0.75,0,0,0,0,0,0,0,0,-2.5,0,1,7.25,3
"321",321,"Bournemouth",25,"Adam Smith","BOU","D",350,"FA","AVL 1<br/>@BOU 2 F",3.75,3.75,"5%","1.30%",1,90,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,1,0,0,0,0,0,0,0,0,0,0,1,24,19,79.2,13,3,0,3,0,0,1,0,0,0,0,3,3,1,1,1,0,1,3,3,1,1,0,0,0,0,0,0,12,3,0,0,0,0,0,0,0,0,1,0,0,"02/01/20",6623,15,"eng ENG","RB",90,0,0,0,0,0,0,0,0,48,16,1,0,4,0,0,0,1,0,28,34,82.4,216,24,114,0,3,"Aston Villa",1.5,1.25,0,3.25,0.75,0,0,2,0,0,0,0,0,-2.5,0,0.5,-0.75,3
"325",325,"Bournemouth",26,"Diego Rico","BOU","D",157,"FA","BOU 1<br/>@SHU 2 F",6.75,6.75,"58%","10.40%",1,90,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,24,0,1,0,0,0,0,0,0,0,0,0,0,50,33,66,17,4,0,3,1,1,1,0,0,3,0,3,3,1,1,2,3,0,6,9,3,6,0,0,0,2,0,0,24,9,2,0,0,0,0,0,0,0,2,0,0,"02/09/20",6936,21,"es ESP","LB",90,0,0,0,0,0,0,0,0,75,12,1,3,3,0,0,0.1,1,0,42,62,67.7,475,37,90,1,1,"Sheffield Utd",1.8,1.55,0,8.45,0.75,0,0.8,2,0,0,0,0,0,-3.1,0,0.333333333333333,1.65,3.8
"326",326,"Bournemouth",26,"Adam Smith","BOU","D",350,"FA","BOU 1<br/>@SHU 2 F",2.25,2.25,"5%","1.30%",1,90,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,16,0,2,0,0,0,0,0,0,0,0,0,0,36,26,72.2,8,0,0,0,0,0,1,1,0,1,0,7,7,2,1,3,1,1,6,5,1,1,0,0,0,3,0,0,16,4,1,0,0,0,0,0,0,0,2,0,0,"02/09/20",6939,15,"eng ENG","RB",90,0,0,0,0,1,0,0,0,66,13,2,1,4,0,0,0,1,0,37,48,77.1,262,31,230,2,3,"Sheffield Utd",1.8,1.55,0,3.15,1.75,0,0,0,0,-0.5,0,0,0,-3.1,0,0.5,1.65,0.5
"330",330,"Bournemouth",27,"Adam Smith","BOU","D",350,"FA","BOU 0<br/>@BUR 3 F",-5.25,-5.25,"5%","1.30%",1,90,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,3,0,0,0,1,0,0,1,1,0,0,0,58,50,86.2,26,1,0,1,0,0,1,0,0,1,0,1,1,2,1,1,0,1,3,8,1,1,0,0,0,5,0,0,17,4,0,0,0,0,0,0,0,0,3,0,0,"02/22/20",7184,15,"eng ENG","LB",90,0,0,0,0,0,0,1,0,84,15,0,1,3,0,0,0,2,0,60,72,83.3,331,54,284,2,3,"Burnley",2.6,2.35,0,-3.95,0.25,0,0,2,0,-1.5,0,0,0,-4.7,0,0.5,-3.45,1.5
"331",331,"Bournemouth",27,"Jack Stacey","BOU","D",351,"FA","BOU 0<br/>@BUR 3 F",3.25,3.25,"5%","3.50%",1,90,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,50,41,82,12,3,1,2,0,0,1,1,0,1,0,3,3,2,1,1,0,0,3,4,0,2,1,1,0,10,0,0,14,6,2,0,0,0,0,0,0,0,3,0,0,"02/22/20",7187,17,"eng ENG","RB",90,0,0,0,0,1,1,0,0,69,11,1,1,2,0.1,0.1,0.6,2,0,46,59,78,334,43,138,1,1,"Burnley",2.6,2.35,0,10.35,0.75,1,4.8,4,2,-0.5,0,0,0,-4.7,0,0,-2.95,13.3
"332",332,"Bournemouth",28,"Jack Stacey","BOU","D",351,"FA","CHE 2<br/>@BOU 2 F",14.75,14.75,"5%","3.50%",1,90,0,2,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,21,15,71.4,5,3,1,2,0,0,2,3,0,1,0,9,9,1,1,1,1,2,1,1,0,0,2,0,0,4,0,0,12,4,4,0,0,0,0,0,0,0,2,0,0,"02/29/20",7476,17,"eng ENG","RB",90,0,1,0,0,1,0,0,0,49,14,0,1,3,0,0,1,2,1,20,33,60.6,197,18,43,1,3,"Chelsea",1.9,1.65,0,15.45,2.25,0,8,6,0,-0.5,0,0,0,-3.3,0,0,-0.0499999999999998,15.5
"333",333,"Bournemouth",28,"Adam Smith","BOU","D",350,"FA","CHE 2<br/>@BOU 2 F",-7,-7,"5%","1.30%",1,90,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,2,2,0,0,1,0,0,0,0,0,0,0,31,21,67.7,7,0,0,0,0,0,0,1,0,0,0,2,2,1,1,3,1,0,4,8,0,1,0,0,0,3,0,0,13,5,1,0,0,0,0,0,0,0,2,0,0,"02/29/20",7473,15,"eng ENG","LB",90,0,0,0,0,0,0,1,0,44,23,2,0,2,0,0,0,1,0,25,33,75.8,189,21,141,1,1,"Chelsea",1.9,1.65,0,-6.3,0.5,0,0,0,0,-1.5,0,0,0,-3.3,0,0,-2.8,-0.5
"336",336,"Bournemouth",29,"Adam Smith","BOU","D",350,"FA","BOU 1<br/>@LIV 2 F",5,5,"5%","1.30%",1,90,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,2,2,0,0,0,0,0,0,0,0,0,0,23,14,60.9,1,1,1,0,0,0,1,2,0,3,2,2,2,1,1,3,0,0,5,7,2,2,0,0,0,3,0,0,14,5,3,0,0,0,0,0,0,0,2,0,0,"03/07/20",7648,15,"eng ENG","LB",90,0,0,0,0,0,0,0,0,40,16,2,3,1,0,0,0,1,0,17,30,56.7,221,21,68,1,2,"Liverpool",1.2,0.95,0.24,8.54,0.5,0,0,2,0,-0.5,0,0,0,-1.9,1.44,0.5,3.04,3.5
"338",338,"Bournemouth",29,"Jack Stacey","BOU","D",351,"FA","BOU 1<br/>@LIV 2 F",-1,-1,"5%","3.50%",1,90,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,1,0,0,0,0,0,0,0,0,0,1,23,14,60.9,3,0,0,0,0,0,0,0,0,1,0,8,8,0,0,1,1,0,2,5,0,1,0,0,0,4,0,0,11,8,2,0,0,0,0,0,0,0,2,0,0,"03/07/20",7652,17,"eng ENG","RB",90,0,0,0,0,0,0,0,0,45,14,0,1,2,0,0,0,0,0,23,36,63.9,183,14,27,0,0,"Liverpool",1.2,0.95,0.24,2.54,2,0,0,0,0,0,0,0,0,-1.9,1.44,0,2.54,0
"339",339,"Bournemouth",3,"Adam Smith","BOU","D",350,"FA","MCI 3<br/>@BOU 1 F",-3.75,-3.75,"5%","1.30%",1,68,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,12,8,66.7,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,1,0,4,0,0,9,2,0,0,1,0,0,0,0,0,3,0,0,"08/25/19",750,15,"eng ENG","WB",67,0,0,0,0,1,1,0,0,22,20,0,0,2,0.4,0.4,0,1,0,11,15,73.3,71,12,53,0,1,"Manchester City",2.4,2.15,0,1.95,0.25,4,0,0,2,0,0,0,0,-4.3,0,0,-4.05,6
"343",343,"Bournemouth",30,"Adam Smith","BOU","D",554,"W (Tue)","CRY 2<br/>@BOU 0 F",-1.25,-1.25,"3%","-0.10%",1,90,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,13,2,3,0,0,1,0,0,0,0,0,0,0,44,39,88.6,18,1,0,1,0,0,0,2,0,0,0,1,1,4,1,4,2,0,8,7,0,2,0,0,0,3,0,0,13,0,0,0,0,0,0,0,0,0,2,0,0,"06/20/20",8122,15,"eng ENG","LB",90,0,0,0,0,0,0,1,0,72,21,2,0,2,0,0,0,1,0,51,58,87.9,228,49,284,1,4,"Crystal Palace",0.6,0.35,0.72,6.37,0.25,0,0,2,0,-0.5,0,0,0,-0.7,4.32,0,6.87,2.5
"344",344,"Bournemouth",30,"Jack Stacey","BOU","D",556,"W (Tue)","CRY 2<br/>@BOU 0 F",-1.5,-1.5,"1%","0%",1,90,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,1,0,0,0,0,0,0,0,0,0,0,0,49,43,87.8,15,1,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,6,0,0,13,4,2,0,0,0,0,0,0,0,2,0,0,"06/20/20",8125,17,"eng ENG","RB",90,0,0,0,0,0,0,0,0,63,18,0,1,0,0,0,0.1,1,0,51,57,89.5,268,37,197,0,0,"Crystal Palace",0.6,0.35,0.72,6.92,0,0,0.8,2,0,-0.5,0,0,0,-0.7,4.32,0,4.62,2.3
"349",349,"Bournemouth",31,"Adam Smith","BOU","D",89,"W (Tue)","BOU 0<br/>@WOL 1 F",7.25,7.25,"3%","-0.10%",1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,34,31,91.2,8,0,0,0,0,0,0,2,0,1,0,1,1,5,2,4,2,0,10,5,2,1,0,0,0,3,0,0,6,2,2,0,0,0,0,0,0,0,1,0,0,"06/24/20",8342,15,"eng ENG","LB",90,0,0,0,0,0,0,0,0,58,21,7,1,1,0,0,0,0,0,36,43,83.7,194,36,192,4,8,"Wolves",1.1,0.85,0.32,9.47,0.25,0,0,0,0,0,0,0,0,-1.7,1.92,0.666666666666667,5.47,2
"350",350,"Bournemouth",31,"Jack Stacey","BOU","D",111,"W (Tue)","BOU 0<br/>@WOL 1 F",5.5,5.5,"1%","0%",1,82,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,22,2,0,0,0,0,0,0,0,0,0,0,0,35,25,71.4,6,3,0,3,0,0,1,0,0,0,0,2,2,5,4,4,1,0,5,5,0,1,0,0,0,5,0,0,22,4,0,0,1,0,0,0,0,0,1,0,0,"06/24/20",8345,17,"eng ENG","RB",81,0,0,0,0,0,0,0,0,64,19,2,0,1,0,0,0.1,2,0,38,55,69.1,239,36,216,2,4,"Wolves",1.1,0.85,0.32,8.52,0.5,0,0.8,2,0,0,0,0,0,-1.7,1.92,0,1.72,6.8
"351",351,"Bournemouth",32,"Lloyd Kelly","BOU","D",570,"W (Tue)","NEW 4<br/>@BOU 1 F",-7.25,-7.25,"1%","0%",1,90,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,10,2,0,0,0,1,0,0,0,0,0,0,0,43,38,88.4,8,1,0,1,0,0,0,2,0,2,0,1,1,0,0,0,0,0,4,7,0,4,0,0,0,7,0,0,10,4,2,0,0,0,0,0,0,0,4,0,0,"07/01/20",8742,26,"eng ENG","LB",90,0,0,0,0,0,0,1,0,62,14,3,2,2,0,0,0,1,0,44,52,84.6,255,35,58,0,0,"Newcastle Utd",1.4,1.15,0.0800000000000001,-1.07,0.25,0,0,0,0,-0.5,0,0,0,-2.3,0.48,0,2.43,-0.5
"352",352,"Bournemouth",32,"Adam Smith","BOU","D",213,"W (Tue)","NEW 4<br/>@BOU 1 F",0.75,0.75,"3%","-0.10%",1,90,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,11,0,2,0,0,0,0,0,0,0,0,0,0,45,40,88.9,8,1,0,1,0,0,0,0,0,1,0,1,1,2,1,3,1,0,10,5,3,2,1,0,0,4,0,0,11,3,2,0,0,0,0,0,0,0,4,0,0,"07/01/20",8746,15,"eng ENG","RB",90,0,0,0,0,0,0,0,0,69,16,2,1,1,0,0,0.2,1,0,53,59,89.8,310,49,124,1,1,"Newcastle Utd",1.4,1.15,0.0800000000000001,8.53,0.25,0,1.6,2,0,-0.5,0,0,0,-2.3,0.48,0.6,1.43,4.1
"355",355,"Bournemouth",33,"Diego Rico","BOU","D",561,"W (Tue)","BOU 2<br/>@MUN 5 F",-3,-3,"57%","8%",1,90,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,0,0,0,0,0,0,0,0,0,0,0,30,19,63.3,6,3,1,2,2,0,0,0,0,4,1,4,4,0,0,0,0,0,3,3,1,0,0,0,0,1,0,0,16,3,0,0,0,0,0,0,0,0,5,0,0,"07/04/20",8908,21,"es ESP","LB",90,0,0,0,0,0,0,0,0,50,13,1,4,1,0,0,0,0,0,27,42,64.3,215,24,64,0,0,"Manchester Utd",2.3,2.05,0,2.9,1,0,0,0,0,0,0,0,0,-4.1,0,1,0.9,1
"356",356,"Bournemouth",33,"Adam Smith","BOU","D",571,"W (Tue)","BOU 2<br/>@MUN 5 F",-7.25,-7.25,"3%","-0.10%",1,77,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,1,0,0,0,0,0,0,1,1,0,0,0,18,16,88.9,6,1,0,1,0,0,1,0,0,2,1,1,1,1,0,0,0,0,1,2,1,0,0,0,0,1,0,0,7,3,2,0,1,0,0,0,0,0,5,0,0,"07/04/20",8911,15,"eng ENG","RB",76,0,0,0,0,0,0,0,0,32,5,0,2,2,0,0,0,0,0,21,25,84,195,20,44,0,1,"Manchester Utd",2.3,2.05,0,-1.35,0.25,0,0,0,0,-0.5,0,0,0,-4.1,0,1,-1.85,-0.5
"359",359,"Bournemouth",34,"Diego Rico","BOU","D",15,"W (Tue)","TOT 0<br/>@BOU 0 F",19.75,19.75,"57%","8%",1,90,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,22,0,2,0,0,0,0,0,0,0,0,0,0,36,23,63.9,4,4,0,4,2,0,0,3,0,4,2,1,1,0,0,2,2,0,10,5,2,2,0,0,0,10,0,0,22,4,2,0,0,0,0,0,0,0,0,1,90,"07/09/20",9382,21,"es ESP","LB",90,0,0,0,0,0,0,0,0,69,23,7,4,3,0,0,0.1,2,0,36,51,70.6,348,36,84,0,2,"Tottenham",0.6,0.35,0.72,18.17,0.25,0,0.8,2,0,-0.5,0,0,0,-0.7,4.32,0.5,13.87,2.3
"361",361,"Bournemouth",34,"Adam Smith","BOU","D",78,"W (Tue)","TOT 0<br/>@BOU 0 F",8.75,8.75,"3%","-0.10%",1,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0,18,13,72.2,7,1,0,1,0,0,0,1,0,0,0,3,3,1,0,1,0,1,3,2,1,1,0,0,0,3,0,0,11,2,1,0,1,0,0,0,0,0,0,1,63,"07/09/20",9385,15,"eng ENG","RB",62,0,0,0,0,0,0,0,0,34,10,0,0,2,0,0,0,0,0,16,26,61.5,158,17,39,0,1,"Tottenham",0.6,0.35,0.72,6.37,0.75,0,0,0,0,0,0,0,0,-0.7,4.32,0.5,5.37,0
