WAR_Rank,Player,Pos,games_started,games_not_started,pWAS,ww_pWAS,pWAR,WAR,,,,,
335,Kiko Femenia,D,26,12,-0.060888167,-0.0280835,-0.032804667,-0.852921333,,,,,
336,Jamaal Lascelles,D,24,14,-0.064273667,-0.0280835,-0.036190167,-0.868564,,,,,
337,Toby Alderweireld,D,33,5,-0.055115167,-0.0280835,-0.027031667,-0.892045,,,,,
338,Jack Cork,M,30,8,-0.057119833,-0.027370167,-0.029749667,-0.89249,,,,,
339,Jeff Hendrick,M,22,16,-0.0695035,-0.027370167,-0.042133333,-0.926933333,,,,,
340,Aaron Cresswell,D,31,7,-0.059475667,-0.0280835,-0.031392167,-0.973157167,,,,,
341,Tom Davies,M,23,15,-0.069761833,-0.027370167,-0.042391667,-0.975008333,,,,,
342,Leander Dendoncker,M,32,6,-0.057946,-0.027370167,-0.030575833,-0.978426667,,,,,
343,Adrian Mariappa,D,15,23,-0.0934515,-0.0280835,-0.065368,-0.98052,,,,,
344,Georginio Wijnaldum,M,35,3,-0.055544833,-0.027370167,-0.028174667,-0.986113333,,,,,
345,Davinson Sanchez,D,27,11,-0.066975,-0.0280835,-0.0388915,-1.0500705,,,,,
346,Federico Fernandez,D,29,9,-0.064918333,-0.0280835,-0.036834833,-1.068210167,,,,,
347,Jefferson Lerma,M,31,7,-0.062792833,-0.027370167,-0.035422667,-1.098102667,,,,,
348,Issa Diop,D,31,7,-0.063910833,-0.0280835,-0.035827333,-1.110647333,,,,,
349,Angelo Ogbonna,D,31,7,-0.064598833,-0.0280835,-0.036515333,-1.131975333,,,,,
350,Craig Cathcart,D,28,10,-0.069823833,-0.0280835,-0.041740333,-1.168729333,,,,,
351,Jamal Lewis,D,25,13,-0.079529833,-0.0280835,-0.051446333,-1.286158333,,,,,
352,Harry Winks,M,26,12,-0.077252667,-0.027370167,-0.0498825,-1.296945,,,,,
353,Granit Xhaka,M,29,9,-0.074398833,-0.027370167,-0.047028667,-1.363831333,,,,,
354,Alexander Tettey,M,28,10,-0.076730167,-0.027370167,-0.04936,-1.38208,,,,,
355,Max Aarons,D,36,2,-0.066931833,-0.0280835,-0.038848333,-1.39854,,,,,
356,Tyrone Mings,D,31,7,-0.074498333,-0.0280835,-0.046414833,-1.438859833,,,,,
357,Conor Coady,D,38,0,-0.066331833,-0.0280835,-0.038248333,-1.453436667,,,,,
358,David Luiz,D,32,6,-0.077775167,-0.0280835,-0.049691667,-1.590133333,,,,,
359,Ben Godfrey,M,30,8,-0.087997667,-0.027370167,-0.0606275,-1.818825,,,,,
