"","Team","Pos","n","num_diff_players","min_total","sd_emp_pts","sd_xpts","mean_emp_pts","mean_xPts","med_emp_pts","med_xPts","total_emp_fpts","total_xPts","mean_minutes"
"99","NOR","AM",23,3,1905,4.84054026318609,5.40232712263159,6.89130434782609,7.88260869565217,5.5,6,158.5,181.3,82.8260869565217
"100","NOR","CB",49,4,4394,5.18682634344035,5.09692095595885,1.8469387755102,2.53265306122449,2.25,2.5,90.5,124.1,89.6734693877551
"101","NOR","CM",34,6,2971,4.04696140495443,3.56096008404231,6.02941176470588,5.96764705882353,5,5.5,205,202.9,87.3823529411765
"102","NOR","DM",16,4,1371,2.22462543663722,2.46413439839091,3.53125,3.94375,3.75,4,56.5,63.1,85.6875
"103","NOR","FW",26,1,2305,9.96285408597664,6.79207230187122,9.03846153846154,9.22307692307692,5.5,8.85,235,239.8,88.6538461538462
"104","NOR","LB",26,2,2261,7.22088983436252,5.4105220137745,4.625,5.71730769230769,3,5.255,120.25,148.65,86.9615384615385
"105","NOR","LW",19,3,1594,5.57589842759477,4.83023494155753,8.42105263157895,9.06842105263158,6.5,7.8,160,172.3,83.8947368421053
"106","NOR","RB",26,2,2340,6.76125841723383,4.86584011245746,4.01923076923077,5.65,3,5.54,104.5,146.9,90
"107","NOR","RW",19,2,1642,8.04201321860311,7.6987657551095,15.4210526315789,15.3105263157895,15,13.9,293,290.9,86.4210526315789
"108","SHU","CB",79,3,7033,5.35630234824634,4.79865637975439,8.42088607594937,8.64088607594937,8.5,8.97,665.25,682.63,89.0253164556962
"109","SHU","CM",40,2,3526,8.21681115621645,6.02159787444649,10.43125,8.98475,8,8.67,417.25,359.39,88.15
"110","SHU","DM",26,1,2207,4.58106470661066,4.77858202334606,7.61538461538461,7.92692307692308,7.25,7.35,198,206.1,84.8846153846154
"111","SHU","FW",40,4,3060,6.95957880762099,6.44790564288027,8.1375,9.12,5.5,8.65,325.5,364.8,76.5
"112","SHU","WB",35,2,3121,4.82544028556771,4.93103871989897,10.9571428571429,7.31428571428571,11.25,8.62,383.5,256,89.1714285714286
"113","SHU","WBLB",10,1,900,4.1436028338204,3.87000373241279,10.35,9.882,9.5,9.42,103.5,98.82,90
"114","SOU","CB",57,3,5117,6.88061971275691,5.42743162994656,6.34210526315789,7.43578947368421,5,7.2,361.5,423.84,89.7719298245614
"115","SOU","CM",53,7,4614,6.50562166188191,5.43124861688926,8.76415094339623,8.9,7.5,8.1,464.5,471.7,87.0566037735849
"116","SOU","DM",28,3,2486,5.61681503265962,5.33759130623364,9.125,8.61071428571429,7.5,6.8,255.5,241.1,88.7857142857143
"117","SOU","FW",39,4,3141,6.33199254221417,5.19946275642643,10.8461538461538,10.4076923076923,10.5,9.6,423,405.9,80.5384615384615
"118","SOU","LB",16,1,1440,5.64985250544944,5.16411835005099,6.4375,9.08875,6.125,9.12,103,145.42,90
"119","TOT","AM",15,3,1231,9.08190246484471,5.96147952233656,13.1333333333333,10.2933333333333,9,9.2,197,154.4,82.0666666666667
"120","TOT","CB",59,5,5269,5.11633724256533,5.15435096770729,4.47033898305085,5.22728813559322,2.75,4.76,263.75,308.41,89.3050847457627
"121","TOT","CM",26,7,2185,5.07937003968012,3.74940610681827,5.5,5.37307692307692,4.5,4.8,143,139.7,84.0384615384615
"122","TOT","DM",19,4,1561,3.25702120571895,2.77633061718276,4.94736842105263,4.66315789473684,5,5,94,88.6,82.1578947368421
"123","TOT","FW",30,5,2636,9.51721066545102,6.54852883364328,13.4833333333333,11.4233333333333,12.5,10.9,404.5,342.7,87.8666666666667
"124","TOT","LB",10,3,869,9.22872929738675,6.47987688497586,9.4,8.104,6.5,6.775,94,81.04,86.9
"125","TOT","LW",13,4,1146,8.75924420109172,7.09095668204698,14.8461538461538,13.3,13,11.3,193,172.9,88.1538461538462
"126","TOT","RB",16,2,1422,9.92093745570448,7.28146184956473,12.375,10.0725,11,10.855,198,161.16,88.875
"127","TOT","RW",10,2,776,7.63198678079451,7.1715797113018,10.45,10.84,7.5,12,104.5,108.4,77.6
"128","WAT","AM",13,5,1107,8.6159140176173,6.00033118744077,11.7692307692308,10.4307692307692,9.5,11.8,153,135.6,85.1538461538462
"129","WAT","CB",62,5,5555,6.70562292168652,5.76630257611059,4.47177419354839,5.16854838709677,4,4.79,277.25,320.45,89.5967741935484
"130","WAT","CM",29,6,2525,4.85935185931322,5.01955290140957,4.94827586206897,5.76551724137931,4.5,5,143.5,167.2,87.0689655172414
"131","WAT","DM",34,5,2960,4.74822886578289,4.60382697507186,6.69117647058824,7.15882352941177,6,6,227.5,243.4,87.0588235294118
"132","WAT","FW",26,4,2192,8.72945940700004,7.63839391092535,11.2115384615385,11.1884615384615,7.75,8.85,291.5,290.9,84.3076923076923
"133","WAT","LB",19,3,1668,7.72721135479271,6.18347912061549,6.59210526315789,7.20157894736842,5.5,6.9,125.25,136.83,87.7894736842105
"134","WAT","LW",12,2,1026,10.4948580483275,9.89595877113481,11.625,12.25,9.75,10.9,139.5,147,85.5
"135","WAT","RB",17,4,1530,8.89429344480791,8.05139447184005,3.02941176470588,4.21176470588235,3.75,5.4,51.5,71.6,90
"136","WAT","RW",12,3,966,9.54207191146851,7.56019780885996,10.375,9.475,7,7,124.5,113.7,80.5
"137","WAT","WB",16,4,1379,6.86383563201606,4.52442662113112,8.265625,6.893125,6.5,6.7,132.25,110.29,86.1875
"138","WHU","AM",11,4,853,6.74671637303524,4.825613479605,9.22727272727273,8.16363636363636,7,9.1,101.5,89.8,77.5454545454545
"139","WHU","CB",61,4,5464,6.85319567673407,5.54120432846832,5.29918032786885,4.76508196721311,5.5,3.95,323.25,290.67,89.5737704918033
"140","WHU","CM",56,8,4627,7.50028138000307,5.43222915904361,9.73214285714286,8.9875,7.75,7.95,545,503.3,82.625
"141","WHU","DM",29,2,2582,4.27517176217039,4.30912081142867,6.70689655172414,6.70689655172414,6,6.4,194.5,194.5,89.0344827586207
"142","WHU","FW",30,3,2640,7.45530745143366,7.01479880672643,11.7333333333333,12.0533333333333,9.75,11.6,352,361.6,88
"143","WHU","LB",23,2,2064,8.97082997909524,5.445132503823,5.84782608695652,4.7895652173913,4.25,3.55,134.5,110.16,89.7391304347826
"144","WHU","RB",22,2,1952,7.99757302201263,5.54380682887167,6.01136363636364,5.25681818181818,6,4.655,132.25,115.65,88.7272727272727
"145","WOL","CB",74,4,6642,6.26740818882937,5.14475945700267,4.47972972972973,4.86378378378378,3,4.79,331.5,359.92,89.7567567567568
"146","WOL","CM",19,3,1710,5.51831082723372,5.14924624018946,8.42105263157895,8.51578947368421,8,8,160,161.8,90
"147","WOL","DM",35,3,3068,6.45970054200943,5.47452772223437,8.01428571428571,7.26857142857143,6.5,6.4,280.5,254.4,87.6571428571429
"148","WOL","FW",34,3,2903,8.60627439730936,6.36559449119888,13.0147058823529,12.6264705882353,11.75,11.65,442.5,429.3,85.3823529411765
"149","WOL","LW",11,2,886,7.32895875030255,6.6224000043928,11.1818181818182,11.3727272727273,12,9.1,123,125.1,80.5454545454545
"150","WOL","RW",12,2,1042,8.97587254136264,6.70058794344786,15.7916666666667,14.7166666666667,14.25,12.5,189.5,176.6,86.8333333333333
"151","WOL","WB",51,4,4508,6.89849727881967,5.82070815043574,11.4558823529412,10.5774509803922,10.25,10.72,584.25,539.45,88.3921568627451
