Player,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PrgDist,Carries,PrgDist,Succ,Att,Match Report
Wilfried Zaha,2/8/20,Sat,Matchweek 26,Away,L 1–3,Crystal Palace,Everton,Y,CM,90,0,1,0,0,1,0,0,0,51,20,2,0,2,0.2,0.2,0.1,3,1,26,31,83.9,216,45,176,5,7,Match Report
Wilfried Zaha,2/22/20,Sat,Matchweek 27,Home,W 1–0,Crystal Palace,Newcastle Utd,Y,LW,90,0,0,0,0,1,0,0,0,65,27,2,0,2,0,0,0.1,6,0,34,42,81,149,56,315,3,10,Match Report
Wilfried Zaha,2/29/20,Sat,Matchweek 28,Away,W 1–0,Crystal Palace,Brighton,Y,CM,90,0,0,0,0,3,0,0,0,46,23,4,0,2,1,1,0,3,0,17,22,77.3,88,36,233,4,8,Match Report
Wilfried Zaha,3/7/20,Sat,Matchweek 29,Home,W 1–0,Crystal Palace,Watford,Y,LW,90,0,0,0,0,3,1,1,0,54,25,3,0,1,0.3,0.3,0,3,0,23,31,74.2,103,48,343,3,4,Match Report
Adama Traore,8/11/19,Sun,Matchweek 1,Away,D 0–0,Wolves,Leicester City,N,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,Match Report
Adama Traore,8/19/19,Mon,Matchweek 2,Home,D 1–1,Wolves,Manchester Utd,N,WB,45,0,0,0,0,1,0,0,0,36,8,0,1,1,0.1,0.1,0,3,0,18,28,64.3,86,26,145,2,5,Match Report
Adama Traore,8/25/19,Sun,Matchweek 3,Home,D 1–1,Wolves,Burnley,N,WB,15,0,0,0,0,1,0,0,0,18,1,0,0,0,0,0,0,0,0,8,11,72.7,27,16,154,2,3,Match Report
Adama Traore,9/1/19,Sun,Matchweek 4,Away,L 2–3,Wolves,Everton,Y,WB,90,0,0,0,0,0,0,0,0,42,6,2,2,2,0,0,0,0,0,16,29,55.2,143,28,140,5,5,Match Report
Adama Traore,9/14/19,Sat,Matchweek 5,Home,L 2–5,Wolves,Chelsea,Y,WB,55,0,0,0,0,0,0,0,0,39,9,1,2,2,0,0,0.1,2,0,25,31,80.6,191,29,181,2,3,Match Report
Adama Traore,9/22/19,Sun,Matchweek 6,Away,D 1–1,Wolves,Crystal Palace,Y,RWWB,90,0,1,0,0,3,0,0,0,49,16,0,1,0,0.1,0.1,0.4,3,1,22,33,66.7,67,39,299,3,5,Match Report
Adama Traore,9/28/19,Sat,Matchweek 7,Home,W 2–0,Wolves,Watford,Y,RW,86,0,0,0,0,0,0,0,0,42,13,2,0,3,0,0,0.1,2,0,17,25,68,99,37,203,4,7,Match Report
Adama Traore,10/6/19,Sun,Matchweek 8,Away,W 2–0,Wolves,Manchester City,Y,WBFW,90,2,0,0,0,2,2,0,0,45,26,5,2,2,0.9,0.9,0.4,1,0,12,25,48,78,26,213,3,4,Match Report
Adama Traore,10/19/19,Sat,Matchweek 9,Home,D 1–1,Wolves,Southampton,Y,WBRW,90,0,0,0,0,1,0,0,0,44,13,3,0,1,0,0,0.1,1,0,16,30,53.3,94,32,127,2,4,Match Report
Adama Traore,10/27/19,Sun,Matchweek 10,Away,D 1–1,Wolves,Newcastle Utd,Y,WBAM,90,0,0,0,0,1,0,0,0,53,10,3,0,1,0,0,0.2,6,1,26,39,66.7,136,42,217,5,8,Match Report
Adama Traore,11/2/19,Sat,Matchweek 11,Away,D 1–1,Wolves,Arsenal,Y,RW,90,0,0,0,0,0,0,0,0,43,21,1,1,2,0,0,0,1,0,17,31,54.8,34,34,180,1,4,Match Report
Adama Traore,11/10/19,Sun,Matchweek 12,Home,W 2–1,Wolves,Aston Villa,Y,AM,90,0,1,0,0,1,0,0,0,40,15,1,1,0,0,0,0.8,4,3,23,34,67.6,77,45,386,10,11,Match Report
Adama Traore,11/23/19,Sat,Matchweek 13,Away,W 2–1,Wolves,Bournemouth,Y,RW,90,0,1,0,0,0,0,0,0,44,12,1,0,3,0,0,0.5,3,1,20,30,66.7,86,34,349,2,2,Match Report
Adama Traore,12/1/19,Sun,Matchweek 14,Home,D 1–1,Wolves,Sheffield Utd,Y,AM,90,0,0,0,0,0,0,0,0,50,15,2,0,0,0,0,0.2,2,0,22,34,64.7,53,52,407,6,6,Match Report
Adama Traore,12/4/19,Wed,Matchweek 15,Home,W 2–0,Wolves,West Ham,Y,RW,88,0,0,0,0,0,0,0,0,53,24,2,3,1,0,0,0.2,3,0,26,37,70.3,126,57,385,8,12,Match Report
Adama Traore,12/8/19,Sun,Matchweek 16,Away,D 2–2,Wolves,Brighton,Y,AM,89,0,0,0,0,3,0,0,0,38,14,4,0,0,0.1,0.1,0,1,0,15,21,71.4,55,39,376,8,8,Match Report
Adama Traore,12/15/19,Sun,Matchweek 17,Home,L 1–2,Wolves,Tottenham,Y,RW,90,1,0,0,0,3,3,0,0,60,10,0,2,0,0.1,0.1,0,4,0,26,42,61.9,48,57,417,2,3,Match Report
Adama Traore,12/21/19,Sat,Matchweek 18,Away,W 2–1,Wolves,Norwich City,Y,RW,90,0,0,0,0,3,0,0,0,48,11,2,0,0,0.2,0.2,0.3,5,0,24,34,70.6,148,43,324,2,4,Match Report
Adama Traore,12/27/19,Fri,Matchweek 19,Home,W 3–2,Wolves,Manchester City,Y,RW,90,1,1,0,0,5,2,0,0,54,17,1,0,0,0.3,0.3,0.6,4,1,28,38,73.7,87,54,336,6,8,Match Report
Adama Traore,12/29/19,Sun,Matchweek 20,Away,L 0–1,Wolves,Liverpool,N,CM,33,0,0,0,0,1,0,0,0,21,3,1,0,1,0,0,0,1,0,9,14,64.3,37,21,114,5,5,Match Report
Adama Traore,1/1/20,Wed,Matchweek 21,Away,L 1–2,Wolves,Watford,Y,RW,90,0,0,0,0,0,0,0,0,49,13,0,0,2,0,0,0.2,3,0,17,39,43.6,71,58,351,14,18,Match Report
Adama Traore,1/11/20,Sat,Matchweek 22,Home,D 1–1,Wolves,Newcastle Utd,Y,RW,90,0,0,0,0,0,0,0,0,38,10,2,0,0,0,0,0.4,2,0,19,26,73.1,73,37,307,4,7,Match Report
Adama Traore,1/18/20,Sat,Matchweek 23,Away,W 3–2,Wolves,Southampton,Y,LWFW,90,0,2,0,0,1,0,0,0,39,23,2,0,3,0,0,0.3,5,3,12,19,63.2,76,35,175,9,11,Match Report
Adama Traore,1/23/20,Thu,Matchweek 24,Home,L 1–2,Wolves,Liverpool,Y,FWRW,90,0,1,0,0,2,1,0,0,38,21,1,0,0,0.1,0.1,0.3,4,1,17,25,68,94,40,271,4,4,Match Report
Adama Traore,2/1/20,Sat,Matchweek 25,Away,D 0–0,Wolves,Manchester Utd,Y,RW,75,0,0,0,0,2,0,0,0,29,17,0,1,0,0.1,0.1,0.2,4,0,9,17,52.9,39,27,235,3,3,Match Report
Adama Traore,2/14/20,Fri,Matchweek 26,Home,D 0–0,Wolves,Leicester City,N,AM,27,0,0,0,0,1,1,0,0,23,1,0,0,1,0,0,0.2,3,0,7,15,46.7,5,25,262,3,5,Match Report
Adama Traore,2/23/20,Sun,Matchweek 27,Home,W 3–0,Wolves,Norwich City,N,FW,19,0,0,0,0,1,0,0,0,12,5,1,0,0,0,0,0,0,0,6,6,100,8,10,37,0,1,Match Report
Adama Traore,3/1/20,Sun,Matchweek 28,Away,W 3–2,Wolves,Tottenham,Y,RW,73,0,0,0,0,2,0,0,0,28,8,1,1,1,0.1,0.1,0,3,0,9,14,64.3,37,29,250,4,6,Match Report
Adama Traore,3/7/20,Sat,Matchweek 29,Home,D 0–0,Wolves,Brighton,N,DMCM,27,0,0,0,0,0,0,0,0,16,2,0,0,0,0,0,0.1,2,0,8,11,72.7,32,19,121,4,5,Match Report
Alexandre Lacazette,8/11/19,Sun,Matchweek 1,Away,W 1–0,Arsenal,Newcastle Utd,N,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,Match Report
Alexandre Lacazette,8/17/19,Sat,Matchweek 2,Home,W 2–1,Arsenal,Burnley,Y,FW,70,1,0,0,0,3,2,0,0,27,5,0,0,0,0.3,0.3,0,5,1,11,17,64.7,48,19,13,0,1,Match Report
Alexandre Lacazette,8/24/19,Sat,Matchweek 3,Away,L 1–3,Arsenal,Liverpool,N,FW,10,0,0,0,0,0,0,0,0,10,3,0,0,1,0,0,0,1,0,2,3,66.7,0,8,5,0,0,Match Report
Alexandre Lacazette,9/1/19,Sun,Matchweek 4,Home,D 2–2,Arsenal,Tottenham,Y,FW,66,1,0,0,0,6,3,1,0,42,11,1,0,1,0.5,0.5,0,3,1,17,22,77.3,56,30,70,2,2,Match Report
Alexandre Lacazette,10/21/19,Mon,Matchweek 9,Away,L 0–1,Arsenal,Sheffield Utd,N,FW,22,0,0,0,0,0,0,0,0,14,1,0,0,0,0,0,0,2,0,6,8,75,10,12,10,0,2,Match Report
Alexandre Lacazette,10/27/19,Sun,Matchweek 10,Home,D 2–2,Arsenal,Crystal Palace,Y,FW,90,0,0,0,0,5,2,0,0,41,10,1,0,0,0.3,0.3,0.2,3,1,20,23,87,48,31,82,0,0,Match Report
Alexandre Lacazette,11/2/19,Sat,Matchweek 11,Home,D 1–1,Arsenal,Wolves,Y,FW,59,0,1,0,0,2,1,0,0,38,8,1,1,0,0.3,0.3,0.3,3,1,21,27,77.8,45,32,61,2,4,Match Report
Alexandre Lacazette,11/9/19,Sat,Matchweek 12,Away,L 0–2,Arsenal,Leicester City,Y,FW,90,0,0,0,0,4,1,0,0,40,31,4,0,0,0.6,0.6,0,1,0,19,26,73.1,74,33,129,0,3,Match Report
Alexandre Lacazette,11/23/19,Sat,Matchweek 13,Home,D 2–2,Arsenal,Southampton,Y,FW,90,2,0,0,0,2,2,1,0,40,20,1,1,1,0.5,0.5,0,2,0,17,25,68,95,34,115,4,5,Match Report
Alexandre Lacazette,12/1/19,Sun,Matchweek 14,Away,D 2–2,Arsenal,Norwich City,Y,FW,90,0,0,0,0,3,1,0,0,39,18,0,0,0,0.4,0.4,0.1,2,0,21,27,77.8,39,25,34,1,2,Match Report
Alexandre Lacazette,12/5/19,Thu,Matchweek 15,Home,L 1–2,Arsenal,Brighton,Y,FW,76,1,0,0,0,2,1,0,0,23,23,2,0,1,0.1,0.1,0.2,2,0,11,13,84.6,14,13,7,0,0,Match Report
Alexandre Lacazette,12/9/19,Mon,Matchweek 16,Away,W 3–1,Arsenal,West Ham,N,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,Match Report
Alexandre Lacazette,12/15/19,Sun,Matchweek 17,Home,L 0–3,Arsenal,Manchester City,N,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,Match Report
Alexandre Lacazette,12/21/19,Sat,Matchweek 18,Away,D 0–0,Arsenal,Everton,N,FW,13,0,0,0,0,0,0,0,0,4,3,1,0,0,0,0,0,0,0,1,2,50,3,2,4,0,0,Match Report
Alexandre Lacazette,12/26/19,Thu,Matchweek 19,Away,D 1–1,Arsenal,Bournemouth,Y,FW,90,0,0,0,0,4,0,1,0,34,25,0,0,3,0.5,0.5,0.2,6,0,22,23,95.7,57,27,166,2,3,Match Report
Alexandre Lacazette,12/29/19,Sun,Matchweek 20,Home,L 1–2,Arsenal,Chelsea,Y,FW,90,0,0,0,0,0,0,1,0,42,24,0,1,2,0,0,0,1,0,20,27,74.1,28,28,68,1,2,Match Report
Alexandre Lacazette,1/1/20,Wed,Matchweek 21,Home,W 2–0,Arsenal,Manchester Utd,Y,FW,81,0,0,0,0,3,1,0,0,36,42,1,1,1,0.3,0.3,0,2,1,14,19,73.7,50,27,64,3,3,Match Report
Alexandre Lacazette,1/11/20,Sat,Matchweek 22,Away,D 1–1,Arsenal,Crystal Palace,Y,FW,89,0,1,0,0,2,2,1,0,35,34,1,1,0,0.7,0.7,0.5,3,1,13,19,68.4,49,18,20,0,2,Match Report
Alexandre Lacazette,1/18/20,Sat,Matchweek 23,Home,D 1–1,Arsenal,Sheffield Utd,Y*,FW,73,0,0,0,0,1,0,0,0,23,19,0,0,0,0.1,0.1,0,3,1,12,16,75,60,19,50,2,2,Match Report
Alexandre Lacazette,1/21/20,Tue,Matchweek 24,Away,D 2–2,Arsenal,Chelsea,Y,FW,90,0,0,0,0,0,0,0,0,38,28,3,0,0,0,0,0,0,0,19,25,76,65,25,42,1,2,Match Report
