,Player,#,Nation,Pos,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Date,Team,Opponent
11,Michael Hector,3.0,jm JAM,CB,90,1,0,0,3,1,0,0,0,3,0,0,0,6,1,1,50.0,09/12/20,Fulham,Arsenal
12,Denis Odoi,4.0,be BEL,RB,90,0,0,0,0,1,1,1,0,0,0,0,0,7,1,1,50.0,09/12/20,Fulham,Arsenal
13,Marek RodÃ¡k,12.0,sk SVK,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,09/12/20,Fulham,Arsenal
14,Alexandre Lacazette,9.0,fr FRA,FW,86,0,0,0,2,3,1,0,0,1,0,0,0,2,0,0,,09/12/20,Arsenal,Fulham
15,Eddie Nketiah,30.0,eng ENG,FW,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,09/12/20,Arsenal,Fulham
16,Pierre-Emerick Aubameyang,14.0,ga GAB,LW,90,1,0,0,2,2,1,3,0,0,0,0,0,4,1,0,100.0,09/12/20,Arsenal,Fulham
17,Willian,12.0,br BRA,RW,75,0,0,0,1,2,0,1,0,1,0,0,0,4,0,1,0.0,09/12/20,Arsenal,Fulham
18,Nicolas Pepe,19.0,ci CIV,RW,15,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,,09/12/20,Arsenal,Fulham
19,Granit Xhaka,34.0,ch SUI,CM,78,0,0,0,0,1,0,1,0,2,0,0,0,14,0,0,,09/12/20,Arsenal,Fulham
20,Dani Ceballos,8.0,es ESP,CM,12,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,,09/12/20,Arsenal,Fulham
