,Player,#,Nation,Pos,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos,Date,Team,Opponent
155,Jonjo Shelvey,8.0,eng ENG,CM,90,43,1,13,22,10,2,38,2,2,100.0,2,0,24,144,60,29,27,93.1,1,0,09/27/20,Newcastle Utd,Tottenham
156,Matt Ritchie,11.0,sco SCO,WB,68,44,2,16,18,11,1,34,0,0,,0,0,23,105,53,24,24,100.0,0,2,09/27/20,Newcastle Utd,Tottenham
157,Jamal Lewis,15.0,nir NIR,WB,22,6,0,0,4,3,0,6,0,0,,0,0,4,10,2,4,4,100.0,0,0,09/27/20,Newcastle Utd,Tottenham
158,Javier Manquillo,19.0,es ESP,"WB,CB",90,53,3,19,20,14,1,48,0,0,,0,0,27,150,74,37,32,86.5,2,3,09/27/20,Newcastle Utd,Tottenham
159,Federico Fernandez,18.0,ar ARG,CB,90,43,5,25,18,1,1,38,0,0,,0,0,20,81,17,24,23,95.8,1,0,09/27/20,Newcastle Utd,Tottenham
160,Jamaal Lascelles,6.0,eng ENG,CB,90,43,12,26,15,2,0,42,1,1,100.0,1,0,20,78,36,18,18,100.0,0,0,09/27/20,Newcastle Utd,Tottenham
161,Isaac Hayden,14.0,eng ENG,"CB,CM",90,45,5,27,17,2,0,44,0,0,,0,0,24,70,23,28,27,96.4,1,1,09/27/20,Newcastle Utd,Tottenham
162,Karl Darlow,26.0,eng ENG,GK,90,42,39,41,1,0,0,33,0,0,,0,0,16,106,65,11,11,100.0,0,0,09/27/20,Newcastle Utd,Tottenham
163,Raheem Sterling,7.0,eng ENG,"FW,LW,AM",90,41,0,0,16,26,6,38,1,2,50.0,1,0,29,167,88,52,30,57.7,2,6,09/27/20,Manchester City,Leicester City
164,Phil Foden,47.0,eng ENG,LW,63,20,0,2,7,11,0,19,1,1,100.0,1,0,10,39,10,29,15,51.7,0,2,09/27/20,Manchester City,Leicester City
165,Ferran Torres,21.0,es ESP,"RW,LW",27,25,0,0,6,19,0,23,2,4,50.0,2,0,19,123,75,22,20,90.9,1,1,09/27/20,Manchester City,Leicester City
166,Riyad Mahrez,26.0,dz ALG,"RW,CM",90,66,0,1,20,51,4,63,0,0,,0,0,46,267,104,62,54,87.1,1,2,09/27/20,Manchester City,Leicester City
167,Kevin De Bruyne,17.0,be BEL,"AM,CM,DM",90,77,0,3,30,54,7,74,2,4,50.0,2,1,56,458,328,68,62,91.2,2,1,09/27/20,Manchester City,Leicester City
168,Rodrigo,16.0,es ESP,DM,90,91,1,10,67,17,1,89,3,3,100.0,3,0,60,329,156,67,65,97.0,1,0,09/27/20,Manchester City,Leicester City
169,Fernandinho,25.0,br BRA,DM,50,78,0,4,72,13,1,73,0,0,,0,0,57,371,283,65,64,98.5,0,0,09/27/20,Manchester City,Leicester City
170,Liam Delap,48.0,eng ENG,"FW,DM",40,11,0,1,7,3,1,7,0,0,,0,0,6,7,1,16,7,43.8,2,1,09/27/20,Manchester City,Leicester City
171,Benjamin Mendy,22.0,fr FRA,LB,90,75,0,9,34,37,0,69,0,0,,0,0,43,145,79,64,60,93.8,2,1,09/27/20,Manchester City,Leicester City
172,Nathan Ake,6.0,nl NED,CB,90,110,3,19,90,10,1,108,0,0,,0,0,83,482,326,89,89,100.0,0,0,09/27/20,Manchester City,Leicester City
173,Eric Garcia,50.0,es ESP,CB,90,100,4,12,89,5,0,100,0,0,,0,0,77,555,342,86,84,97.7,0,0,09/27/20,Manchester City,Leicester City
174,Kyle Walker,2.0,eng ENG,RB,90,103,3,18,59,41,1,93,2,2,100.0,2,0,64,491,319,78,75,96.2,0,1,09/27/20,Manchester City,Leicester City
175,Ederson,31.0,br BRA,GK,90,19,15,19,0,0,0,17,0,0,,0,0,5,29,23,7,7,100.0,0,0,09/27/20,Manchester City,Leicester City
176,Jamie Vardy,9.0,eng ENG,FW,84,18,2,4,8,6,3,14,0,0,,0,0,2,5,1,26,10,38.5,4,0,09/27/20,Leicester City,Manchester City
177,Kelechi Iheanacho,14.0,ng NGA,FW,6,3,0,0,2,1,0,2,0,0,,0,0,0,0,0,2,1,50.0,0,0,09/27/20,Leicester City,Manchester City
178,Harvey Barnes,15.0,eng ENG,LW,90,26,0,8,12,12,2,26,1,2,50.0,1,0,21,262,215,33,20,60.6,0,3,09/27/20,Leicester City,Manchester City
179,Dennis Praet,26.0,be BEL,RW,68,25,2,8,14,4,0,25,1,2,50.0,2,0,16,59,29,21,14,66.7,1,3,09/27/20,Leicester City,Manchester City
180,James Maddison,10.0,eng ENG,RW,22,9,0,5,1,3,1,9,1,1,100.0,1,0,7,54,34,5,5,100.0,0,1,09/27/20,Leicester City,Manchester City
181,Nampalys Mendy,24.0,fr FRA,DM,90,37,7,21,17,0,0,36,1,1,100.0,1,0,20,81,24,19,18,94.7,3,0,09/27/20,Leicester City,Manchester City
182,Youri Tielemans,8.0,be BEL,DM,90,44,1,20,19,11,1,38,3,3,100.0,3,0,25,119,72,25,25,100.0,0,1,09/27/20,Leicester City,Manchester City
183,James Justin,2.0,eng ENG,"WB,CB",90,45,5,25,14,7,1,43,1,2,50.0,1,0,23,143,99,23,21,91.3,1,0,09/27/20,Leicester City,Manchester City
184,Timothy Castagne,27.0,be BEL,WB,90,34,2,11,12,12,2,32,0,1,0.0,0,0,18,92,69,23,19,82.6,0,1,09/27/20,Leicester City,Manchester City
185,Caglar Soyuncu,4.0,tr TUR,CB,90,32,6,17,16,1,0,32,0,0,,0,0,17,142,89,20,19,95.0,0,0,09/27/20,Leicester City,Manchester City
186,Jonny Evans,6.0,nir NIR,CB,79,31,11,24,7,1,0,31,0,0,,0,0,16,53,15,16,16,100.0,0,1,09/27/20,Leicester City,Manchester City
187,Christian Fuchs,28.0,at AUT,"WB,CB",11,9,0,5,4,0,0,9,0,0,,0,0,2,6,0,7,4,57.1,1,0,09/27/20,Leicester City,Manchester City
188,Daniel Amartey,18.0,gh GHA,CB,90,37,8,20,17,1,0,35,0,0,,0,0,12,36,6,21,19,90.5,0,1,09/27/20,Leicester City,Manchester City
189,Kasper Schmeichel,1.0,dk DEN,GK,90,47,39,46,1,0,0,25,0,0,,0,0,18,128,83,15,15,100.0,0,0,09/27/20,Leicester City,Manchester City
190,Michail Antonio,30.0,eng ENG,FW,87,45,2,3,25,23,6,43,6,7,85.7,6,0,44,296,187,54,35,64.8,5,4,09/27/20,West Ham,Wolves
191,Sebastien Haller,22.0,fr FRA,FW,3,8,0,0,2,6,1,8,0,0,,0,0,6,11,7,8,7,87.5,1,0,09/27/20,West Ham,Wolves
192,Pablo Fornals,18.0,es ESP,AM,90,37,0,2,31,5,1,36,1,4,25.0,1,0,28,148,82,41,26,63.4,1,0,09/27/20,West Ham,Wolves
193,Jarrod Bowen,20.0,eng ENG,AM,87,30,0,2,18,13,5,30,2,4,50.0,2,0,23,228,98,39,19,48.7,1,2,09/27/20,West Ham,Wolves
194,Mark Noble,16.0,eng ENG,AM,3,6,0,0,4,2,0,6,0,0,,0,0,5,55,6,8,6,75.0,1,0,09/27/20,West Ham,Wolves
195,Declan Rice,41.0,eng ENG,DM,90,59,3,9,44,10,1,58,5,5,100.0,5,0,47,344,169,34,33,97.1,0,1,09/27/20,West Ham,Wolves
196,Tomas Soucek,28.0,cz CZE,DM,90,49,2,10,31,9,4,48,0,0,,0,0,22,81,26,36,31,86.1,0,1,09/27/20,West Ham,Wolves
197,Arthur Masuaku,26.0,cd COD,WB,90,67,2,20,42,9,1,62,3,5,60.0,3,1,46,283,206,46,42,91.3,1,1,09/27/20,West Ham,Wolves
198,Ryan Fredericks,24.0,eng ENG,WB,48,38,3,11,18,11,0,32,1,1,100.0,1,0,18,124,63,20,18,90.0,0,0,09/27/20,West Ham,Wolves
199,Ben Johnson,31.0,eng ENG,WB,42,19,1,4,11,6,0,17,0,0,,0,0,12,81,57,11,10,90.9,0,1,09/27/20,West Ham,Wolves
200,Aaron Cresswell,3.0,eng ENG,CB,90,51,10,23,25,4,0,42,0,0,,0,0,28,88,39,29,29,100.0,0,0,09/27/20,West Ham,Wolves
201,Angelo Ogbonna,21.0,it ITA,CB,90,36,8,26,9,1,1,36,1,1,100.0,1,0,22,105,37,19,18,94.7,0,0,09/27/20,West Ham,Wolves
202,Fabian Balbuena,4.0,py PAR,CB,90,37,5,24,16,2,0,36,0,0,,0,0,21,150,38,22,21,95.5,0,0,09/27/20,West Ham,Wolves
203,Åukasz FabiaÅski,1.0,pl POL,GK,90,30,28,30,0,0,0,19,0,0,,0,0,14,56,36,10,10,100.0,0,0,09/27/20,West Ham,Wolves
204,Raul Jimenez,9.0,mx MEX,FW,90,50,1,4,29,18,6,49,3,5,60.0,4,0,33,159,85,60,42,70.0,3,3,09/27/20,Wolves,West Ham
205,Pedro Neto,7.0,pt POR,LW,90,59,0,4,31,32,6,55,5,10,50.0,6,0,50,559,417,61,47,77.0,5,3,09/27/20,Wolves,West Ham
206,Adama Traore,37.0,es ESP,RW,61,39,0,0,23,23,0,39,9,11,81.8,9,0,40,389,237,43,36,83.7,1,2,09/27/20,Wolves,West Ham
207,Fabio Silva,17.0,pt POR,RW,29,26,0,1,16,12,3,24,1,3,33.3,1,0,18,91,40,26,22,84.6,2,2,09/27/20,Wolves,West Ham
208,Joao Moutinho,28.0,pt POR,CM,72,86,0,14,65,17,0,82,0,0,,0,0,66,345,206,75,71,94.7,1,0,09/27/20,Wolves,West Ham
209,Vitinha,20.0,pt POR,CM,18,26,0,1,23,5,0,26,2,2,100.0,2,0,22,162,92,24,21,87.5,1,0,09/27/20,Wolves,West Ham
210,Ruben Neves,8.0,pt POR,CM,90,120,6,15,87,25,1,115,0,0,,0,0,81,355,184,95,93,97.9,0,0,09/27/20,Wolves,West Ham
211,Ruben Vinagre,29.0,pt POR,WB,90,75,3,22,37,21,0,66,0,1,0.0,1,0,35,214,142,51,43,84.3,1,1,09/27/20,Wolves,West Ham
212,Nelson Semedo,22.0,pt POR,WB,72,63,0,8,37,21,4,52,6,7,85.7,6,0,50,257,118,48,44,91.7,1,0,09/27/20,Wolves,West Ham
213,Ki-Jana Hoever,2.0,nl NED,WB,18,21,0,1,16,6,1,19,0,0,,0,0,12,37,28,16,15,93.8,0,0,09/27/20,Wolves,West Ham
214,Romain Saiss,27.0,ma MAR,CB,90,80,4,30,51,1,0,80,0,0,,0,0,49,296,168,55,55,100.0,0,0,09/27/20,Wolves,West Ham
215,Conor Coady,16.0,eng ENG,CB,90,48,4,27,26,0,0,48,1,1,100.0,1,1,30,177,95,36,36,100.0,0,0,09/27/20,Wolves,West Ham
216,Willy Boly,15.0,fr FRA,CB,90,54,3,17,37,0,0,54,0,0,,0,0,34,130,64,42,40,95.2,0,0,09/27/20,Wolves,West Ham
217,Rui PatrÃ­cio,11.0,pt POR,GK,90,23,23,23,0,0,0,16,0,0,,0,0,10,46,24,5,5,100.0,0,0,09/27/20,Wolves,West Ham
218,Aleksandar Mitrovic,9.0,rs SRB,FW,90,33,0,0,16,17,13,29,0,1,0.0,0,0,12,16,2,50,22,44.0,4,1,09/28/20,Fulham,Aston Villa
219,Ivan Cavaleiro,17.0,pt POR,AM,90,62,0,2,25,37,8,58,4,7,57.1,4,0,53,412,206,57,45,78.9,6,5,09/28/20,Fulham,Aston Villa
220,Bobby De Cordova-Reid,14.0,jm JAM,AM,77,32,0,1,17,15,7,32,2,4,50.0,2,0,26,92,49,37,26,70.3,2,1,09/28/20,Fulham,Aston Villa
221,Neeskens Kebano,7.0,cd COD,AM,13,11,0,0,2,9,0,10,0,0,,0,0,10,43,25,13,10,76.9,0,1,09/28/20,Fulham,Aston Villa
222,Tom Cairney,10.0,sco SCO,DM,90,95,2,18,60,24,0,93,2,3,66.7,2,0,79,444,264,81,79,97.5,1,0,09/28/20,Fulham,Aston Villa
223,Andre-Frank Zambo Anguissa,29.0,cm CMR,DM,90,82,2,15,52,18,1,81,4,6,66.7,4,0,63,323,175,61,57,93.4,1,0,09/28/20,Fulham,Aston Villa
224,Joe Bryan,23.0,eng ENG,WB,90,78,2,15,38,32,2,63,3,3,100.0,3,0,46,315,196,51,44,86.3,1,0,09/28/20,Fulham,Aston Villa
225,Kenny Tete,2.0,nl NED,WB,38,31,1,2,13,17,1,28,0,1,0.0,0,0,24,141,85,27,23,85.2,0,0,09/28/20,Fulham,Aston Villa
226,Aboubakar Kamara,47.0,fr FRA,WB,52,42,1,3,19,24,1,41,1,1,100.0,1,1,33,237,160,33,29,87.9,1,0,09/28/20,Fulham,Aston Villa
227,Tim Ream,13.0,us USA,CB,90,56,9,37,22,0,0,55,0,1,0.0,0,0,40,168,104,41,41,100.0,0,0,09/28/20,Fulham,Aston Villa
228,Michael Hector,3.0,jm JAM,CB,57,52,9,34,23,1,0,48,0,0,,0,0,33,177,125,36,36,100.0,0,0,09/28/20,Fulham,Aston Villa
229,Maxime Le Marchand,20.0,fr FRA,CB,33,27,7,16,13,1,0,26,0,0,,0,0,18,105,82,20,19,95.0,0,0,09/28/20,Fulham,Aston Villa
230,Denis Odoi,4.0,be BEL,CB,90,82,5,39,40,11,0,78,0,0,,0,0,49,182,100,48,46,95.8,0,1,09/28/20,Fulham,Aston Villa
231,Alphonse Areola,1.0,fr FRA,GK,90,23,22,23,0,0,0,14,0,0,,0,0,9,50,33,7,7,100.0,0,0,09/28/20,Fulham,Aston Villa
232,Ollie Watkins,11.0,eng ENG,FW,90,34,0,1,18,17,6,34,2,2,100.0,2,0,23,109,58,50,29,58.0,4,2,09/28/20,Aston Villa,Fulham
233,Jack Grealish,10.0,eng ENG,LW,90,56,2,15,24,26,7,55,3,4,75.0,3,0,43,443,291,46,37,80.4,1,2,09/28/20,Aston Villa,Fulham
234,Trezeguet,17.0,eg EGY,RW,83,28,2,9,6,15,4,27,2,2,100.0,2,0,13,122,84,18,8,44.4,1,0,09/28/20,Aston Villa,Fulham
235,Bertrand Traore,15.0,bf BFA,RW,7,6,0,4,1,1,1,6,1,1,100.0,1,0,6,24,10,3,3,100.0,0,0,09/28/20,Aston Villa,Fulham
236,Conor Hourihane,14.0,ie IRL,CM,76,31,2,8,11,12,2,25,0,0,,0,0,12,20,3,18,14,77.8,0,0,09/28/20,Aston Villa,Fulham
237,Jacob Ramsey,41.0,eng ENG,CM,14,6,1,2,3,1,0,6,0,0,,0,0,5,15,9,5,4,80.0,0,0,09/28/20,Aston Villa,Fulham
238,John McGinn,7.0,sco SCO,CM,90,33,2,6,11,18,4,30,2,2,100.0,2,0,22,122,63,23,17,73.9,0,1,09/28/20,Aston Villa,Fulham
239,Douglas Luiz,6.0,br BRA,DM,86,31,3,9,19,4,0,29,0,1,0.0,0,0,16,60,28,13,12,92.3,0,0,09/28/20,Aston Villa,Fulham
240,Marvelous Nakamba,19.0,zw ZIM,DM,4,6,1,3,2,1,0,5,0,0,,0,0,3,1,0,3,3,100.0,0,1,09/28/20,Aston Villa,Fulham
241,Matt Targett,18.0,eng ENG,LB,90,62,4,26,29,10,0,50,0,0,,0,0,23,32,11,34,30,88.2,0,0,09/28/20,Aston Villa,Fulham
242,Tyrone Mings,5.0,eng ENG,CB,90,48,18,34,13,2,2,46,0,0,,0,0,19,90,41,26,25,96.2,0,0,09/28/20,Aston Villa,Fulham
243,Ezri Konsa Ngoyo,4.0,eng ENG,CB,90,31,13,26,6,0,0,30,0,0,,0,0,14,63,18,13,12,92.3,0,0,09/28/20,Aston Villa,Fulham
244,Matthew Cash,2.0,eng ENG,RB,90,48,9,25,22,5,1,42,0,0,,0,0,19,133,91,22,18,81.8,1,3,09/28/20,Aston Villa,Fulham
245,Emiliano MartÃ­nez,26.0,ar ARG,GK,90,41,38,41,0,0,0,28,0,0,,0,0,23,73,30,16,16,100.0,0,0,09/28/20,Aston Villa,Fulham
246,Roberto Firmino,9.0,br BRA,FW,89,52,0,1,35,18,3,50,0,1,0.0,0,0,39,165,73,59,44,74.6,1,3,09/28/20,Liverpool,Arsenal
247,Takumi Minamino,18.0,jp JPN,FW,1,1,0,0,1,0,0,1,0,0,,0,0,0,0,0,1,1,100.0,0,0,09/28/20,Liverpool,Arsenal
248,Sadio Mane,10.0,sn SEN,LW,79,54,0,0,19,39,10,53,1,2,50.0,1,0,49,345,168,53,39,73.6,1,3,09/28/20,Liverpool,Arsenal
249,Diogo Jota,20.0,pt POR,LW,11,16,0,0,5,11,5,16,0,0,,0,0,12,91,74,11,11,100.0,2,2,09/28/20,Liverpool,Arsenal
250,Mohamed Salah,11.0,eg EGY,RW,90,50,1,1,22,29,4,48,1,2,50.0,1,0,36,173,93,55,40,72.7,3,1,09/28/20,Liverpool,Arsenal
251,Georginio Wijnaldum,5.0,nl NED,CM,90,64,0,3,48,14,1,62,0,0,,0,0,56,270,76,61,57,93.4,1,1,09/28/20,Liverpool,Arsenal
252,Naby Keita,8.0,gn GUI,CM,78,54,0,4,33,21,5,54,1,1,100.0,1,0,42,219,146,47,44,93.6,1,3,09/28/20,Liverpool,Arsenal
253,James Milner,7.0,eng ENG,CM,12,11,0,1,9,1,0,11,0,0,,0,0,8,11,6,9,9,100.0,0,1,09/28/20,Liverpool,Arsenal
254,Fabinho,3.0,br BRA,DM,90,82,0,12,61,14,0,81,0,0,,0,0,44,210,122,64,61,95.3,0,2,09/28/20,Liverpool,Arsenal
255,Andrew Robertson,26.0,sco SCO,LB,90,121,3,15,64,45,5,106,0,0,,0,0,76,230,105,91,88,96.7,2,0,09/28/20,Liverpool,Arsenal
256,Virgil van Dijk,4.0,nl NED,CB,90,133,10,62,76,4,1,132,0,0,,0,0,108,331,149,118,116,98.3,0,0,09/28/20,Liverpool,Arsenal
257,Joseph Gomez,12.0,eng ENG,CB,90,127,7,46,86,3,0,124,2,2,100.0,2,0,97,349,194,101,101,100.0,0,1,09/28/20,Liverpool,Arsenal
258,Trent Alexander-Arnold,66.0,eng ENG,RB,90,103,1,19,48,36,2,84,1,1,100.0,1,0,58,175,87,64,60,93.8,0,0,09/28/20,Liverpool,Arsenal
259,Alisson,1.0,br BRA,GK,90,45,32,45,0,0,0,40,0,0,,0,0,28,62,31,33,33,100.0,0,0,09/28/20,Liverpool,Arsenal
260,Alexandre Lacazette,9.0,fr FRA,FW,72,22,2,4,13,6,5,19,0,0,,0,0,9,49,28,15,9,60.0,1,1,09/28/20,Arsenal,Liverpool
261,Eddie Nketiah,30.0,eng ENG,LW,18,2,0,0,2,0,0,2,0,0,,0,0,0,0,0,7,1,14.3,0,0,09/28/20,Arsenal,Liverpool
262,Pierre-Emerick Aubameyang,14.0,ga GAB,"LW,FW",90,27,0,6,14,10,2,26,0,1,0.0,0,0,14,136,91,39,22,56.4,0,0,09/28/20,Arsenal,Liverpool
263,Willian,12.0,br BRA,RW,67,14,1,4,6,4,0,14,0,0,,0,0,11,69,37,18,11,61.1,0,2,09/28/20,Arsenal,Liverpool
264,Nicolas Pepe,19.0,ci CIV,RW,23,10,0,2,4,5,1,8,0,1,0.0,0,0,6,51,46,9,5,55.6,0,1,09/28/20,Arsenal,Liverpool
265,Granit Xhaka,34.0,ch SUI,DM,59,40,8,21,18,3,0,40,0,1,0.0,0,0,20,57,36,24,24,100.0,1,1,09/28/20,Arsenal,Liverpool
266,Dani Ceballos,8.0,es ESP,DM,31,23,2,15,10,3,0,22,0,0,,0,0,15,130,78,14,12,85.7,0,1,09/28/20,Arsenal,Liverpool
267,Mohamed Elneny,25.0,eg EGY,DM,90,42,6,23,20,2,1,42,1,1,100.0,1,0,26,157,61,29,26,89.7,1,1,09/28/20,Arsenal,Liverpool
268,Ainsley Maitland-Niles,15.0,eng ENG,WB,90,46,2,19,25,7,2,46,0,1,0.0,0,0,23,187,123,34,26,76.5,2,1,09/28/20,Arsenal,Liverpool
269,Hector Bellerin,2.0,es ESP,WB,90,48,5,28,15,7,1,41,2,2,100.0,2,0,22,163,119,24,21,87.5,0,0,09/28/20,Arsenal,Liverpool
270,Kieran Tierney,3.0,sco SCO,CB,90,73,11,47,25,5,0,67,0,0,,0,0,33,151,92,41,39,95.1,1,0,09/28/20,Arsenal,Liverpool
271,David Luiz,23.0,br BRA,CB,90,72,27,61,13,0,0,71,0,0,,0,0,43,231,112,51,50,98.0,0,0,09/28/20,Arsenal,Liverpool
272,Rob Holding,16.0,eng ENG,CB,90,60,22,54,8,0,0,58,0,0,,0,0,35,182,82,35,34,97.1,1,0,09/28/20,Arsenal,Liverpool
273,Bernd Leno,1.0,de GER,GK,90,43,38,43,0,0,0,31,0,0,,0,0,20,39,6,19,19,100.0,0,0,09/28/20,Arsenal,Liverpool
274,Tammy Abraham,9.0,eng ENG,FW,90,31,0,2,15,14,6,29,0,2,0.0,0,0,15,82,21,28,19,67.9,1,0,10/03/20,Chelsea,Crystal Palace
275,Timo Werner,11.0,de GER,LW,90,51,0,3,24,26,3,50,0,0,,0,0,35,161,60,61,43,70.5,2,2,10/03/20,Chelsea,Crystal Palace
276,Callum Hudson-Odoi,20.0,eng ENG,RW,82,50,0,1,18,34,3,49,0,0,,0,0,40,303,189,47,40,85.1,2,1,10/03/20,Chelsea,Crystal Palace
277,Christian Pulisic,10.0,us USA,RW,8,8,2,7,0,1,0,8,0,0,,0,0,4,41,24,2,2,100.0,0,0,10/03/20,Chelsea,Crystal Palace
278,Kai Havertz,29.0,de GER,AM,90,69,4,7,38,31,2,68,1,3,33.3,1,0,54,463,226,58,48,82.8,5,2,10/03/20,Chelsea,Crystal Palace
279,Jorginho,5.0,it ITA,DM,90,82,4,16,59,13,4,80,1,1,100.0,1,0,60,250,139,65,65,100.0,1,2,10/03/20,Chelsea,Crystal Palace
280,N'Golo Kante,7.0,fr FRA,DM,82,64,0,19,34,16,0,64,1,1,100.0,1,0,40,223,130,51,46,90.2,1,0,10/03/20,Chelsea,Crystal Palace
281,Mateo Kovacic,17.0,hr CRO,DM,8,11,0,4,7,1,0,11,0,0,,0,0,11,81,26,11,11,100.0,0,0,10/03/20,Chelsea,Crystal Palace
282,Ben Chilwell,21.0,eng ENG,LB,90,112,3,22,57,42,2,94,1,1,100.0,1,0,67,373,216,78,73,93.6,1,1,10/03/20,Chelsea,Crystal Palace
283,Kurt Zouma,15.0,fr FRA,CB,90,113,13,52,65,2,2,111,0,0,,0,0,87,388,191,95,95,100.0,0,0,10/03/20,Chelsea,Crystal Palace
284,Thiago Silva,6.0,br BRA,CB,90,123,17,62,68,2,1,121,0,0,,0,0,94,393,261,101,101,100.0,0,0,10/03/20,Chelsea,Crystal Palace
285,Cesar Azpilicueta,28.0,es ESP,RB,90,107,2,26,57,25,1,98,0,1,0.0,0,0,82,218,123,90,89,98.9,0,1,10/03/20,Chelsea,Crystal Palace
286,Edouard Mendy,16.0,sn SEN,GK,90,26,24,26,0,0,0,21,0,0,,0,0,16,52,12,17,17,100.0,0,0,10/03/20,Chelsea,Crystal Palace
287,Jordan Ayew,9.0,gh GHA,FW,90,33,1,6,18,9,4,28,1,4,25.0,2,0,22,84,44,48,21,43.8,2,3,10/03/20,Crystal Palace,Chelsea
288,Wilfried Zaha,11.0,ci CIV,FW,90,26,0,1,9,17,2,26,0,1,0.0,0,0,22,107,38,30,20,66.7,2,3,10/03/20,Crystal Palace,Chelsea
289,Eberechi Eze,25.0,eng ENG,LM,90,38,1,9,22,16,1,37,3,3,100.0,3,0,38,246,138,34,30,88.2,1,1,10/03/20,Crystal Palace,Chelsea
290,James McCarthy,22.0,ie IRL,CM,66,24,2,7,14,4,0,24,1,1,100.0,1,0,15,67,42,13,13,100.0,0,0,10/03/20,Crystal Palace,Chelsea
291,Luka Milivojevic,4.0,rs SRB,CM,24,24,3,3,17,4,0,21,1,1,100.0,1,0,14,48,17,15,14,93.3,0,0,10/03/20,Crystal Palace,Chelsea
292,James McArthur,18.0,sco SCO,CM,71,42,2,12,27,5,1,40,1,1,100.0,1,0,26,105,63,21,21,100.0,0,2,10/03/20,Crystal Palace,Chelsea
293,Jairo Riedewald,44.0,nl NED,CM,19,10,1,1,9,0,0,10,0,0,,0,0,7,42,14,8,7,87.5,0,0,10/03/20,Crystal Palace,Chelsea
294,Andros Townsend,10.0,eng ENG,RM,90,40,1,6,20,22,0,36,1,1,100.0,1,0,27,286,193,31,28,90.3,3,0,10/03/20,Crystal Palace,Chelsea
295,Tyrick Mitchell,27.0,eng ENG,LB,90,41,1,16,18,8,0,35,0,0,,0,0,21,52,22,22,21,95.5,1,1,10/03/20,Crystal Palace,Chelsea
296,Mamadou Sakho,12.0,fr FRA,CB,90,35,7,18,16,2,1,30,0,0,,0,0,19,74,40,17,17,100.0,0,1,10/03/20,Crystal Palace,Chelsea
297,Cheikhou Kouyate,8.0,sn SEN,CB,90,36,6,19,11,6,3,35,1,2,50.0,1,0,17,62,14,16,16,100.0,1,0,10/03/20,Crystal Palace,Chelsea
298,Joel Ward,2.0,eng ENG,RB,90,60,5,15,37,12,1,42,0,1,0.0,0,0,21,101,51,23,21,91.3,1,0,10/03/20,Crystal Palace,Chelsea
299,Vicente Guaita,31.0,es ESP,GK,90,24,20,24,0,0,0,12,0,0,,0,0,7,61,39,5,5,100.0,0,0,10/03/20,Crystal Palace,Chelsea
300,Dominic Calvert-Lewin,9.0,eng ENG,FW,90,37,1,1,17,19,5,34,1,2,50.0,1,0,20,130,23,36,27,75.0,2,3,10/03/20,Everton,Brighton
301,Richarlison,7.0,br BRA,LW,24,10,0,1,5,6,0,10,1,2,50.0,1,0,9,60,25,10,7,70.0,0,1,10/03/20,Everton,Brighton
302,Alex Iwobi,17.0,ng NGA,LW,66,36,4,8,16,15,2,36,0,1,0.0,0,0,27,150,89,29,25,86.2,3,5,10/03/20,Everton,Brighton
303,James Rodriguez,19.0,co COL,RW,77,67,2,8,36,24,3,62,3,4,75.0,3,0,50,237,87,53,49,92.5,1,2,10/03/20,Everton,Brighton
304,Theo Walcott,11.0,eng ENG,RW,13,2,0,1,1,1,0,2,0,0,,0,0,2,74,73,5,2,40.0,1,0,10/03/20,Everton,Brighton
305,Gylfi Sigurdsson,10.0,is ISL,CM,90,51,3,16,20,15,3,50,0,0,,0,0,22,65,28,30,29,96.7,2,1,10/03/20,Everton,Brighton
306,Abdoulaye Doucoure,16.0,fr FRA,CM,90,67,0,19,41,13,1,63,0,0,,0,0,40,151,102,51,49,96.1,4,3,10/03/20,Everton,Brighton
307,Tom Davies,26.0,eng ENG,"DM,RB",90,64,4,20,39,5,0,62,0,0,,0,0,39,106,50,46,44,95.7,0,1,10/03/20,Everton,Brighton
308,Lucas Digne,12.0,fr FRA,LB,90,70,4,26,34,17,3,60,1,2,50.0,1,0,40,207,107,50,44,88.0,1,2,10/03/20,Everton,Brighton
309,Michael Keane,5.0,eng ENG,CB,90,62,15,33,32,0,0,61,0,0,,0,0,45,237,148,48,48,100.0,0,1,10/03/20,Everton,Brighton
310,Yerry Mina,13.0,co COL,CB,90,57,7,33,25,3,2,56,0,0,,0,0,33,152,66,36,36,100.0,0,0,10/03/20,Everton,Brighton
311,Seamus Coleman,23.0,ie IRL,RB,57,45,3,15,22,10,1,43,3,3,100.0,3,0,33,245,99,30,27,90.0,0,3,10/03/20,Everton,Brighton
312,Fabian Delph,8.0,eng ENG,DM,33,25,5,12,12,2,0,25,0,0,,0,0,16,64,21,18,17,94.4,0,0,10/03/20,Everton,Brighton
313,Jordan Pickford,1.0,eng ENG,GK,90,35,31,35,0,0,0,23,0,0,,0,0,15,113,51,13,13,100.0,0,0,10/03/20,Everton,Brighton
314,Aaron Connolly,7.0,ie IRL,FW,65,13,0,0,6,8,3,10,0,1,0.0,0,0,6,78,46,22,7,31.8,2,1,10/03/20,Brighton,Everton
