,Player,#,Nation,Pos,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos,Date,Team,Opponent
35,Andros Townsend,10.0,eng ENG,RM,90,57,1,9,23,33,1,49,3,4,75.0,3,0,36,262,125,35,26,74.3,3,4,09/26/20,Crystal Palace,Everton
36,Tyrick Mitchell,27.0,eng ENG,LB,90,55,2,19,21,17,1,49,0,1,0.0,0,0,32,126,76,33,31,93.9,3,0,09/26/20,Crystal Palace,Everton
37,Mamadou Sakho,12.0,fr FRA,CB,90,40,8,25,17,2,1,39,0,0,,0,0,19,148,87,29,26,89.7,0,0,09/26/20,Crystal Palace,Everton
38,Cheikhou Kouyate,8.0,sn SEN,CB,90,48,4,26,18,4,3,46,1,1,100.0,1,0,19,108,38,28,25,89.3,0,0,09/26/20,Crystal Palace,Everton
39,Joel Ward,2.0,eng ENG,RB,90,54,4,19,23,15,0,44,2,2,100.0,2,0,24,99,60,25,20,80.0,2,0,09/26/20,Crystal Palace,Everton
40,Vicente Guaita,31.0,es ESP,GK,90,18,15,18,0,0,0,11,0,0,,0,0,3,7,2,6,6,100.0,0,0,09/26/20,Crystal Palace,Everton
41,Dominic Calvert-Lewin,9.0,eng ENG,FW,90,33,1,1,15,17,4,32,0,0,,0,0,16,53,8,44,23,52.3,4,6,09/26/20,Everton,Crystal Palace
42,Richarlison,7.0,br BRA,LW,89,56,1,11,29,20,4,54,3,5,60.0,3,1,38,285,133,45,38,84.4,1,2,09/26/20,Everton,Crystal Palace
43,Tom Davies,26.0,eng ENG,LW,1,3,0,1,1,1,0,3,0,0,,0,0,2,7,0,2,2,100.0,0,2,09/26/20,Everton,Crystal Palace
44,James Rodriguez,19.0,co COL,RW,85,66,0,6,39,22,1,58,4,6,66.7,5,1,41,178,55,57,49,86.0,2,2,09/26/20,Everton,Crystal Palace
45,Alex Iwobi,17.0,ng NGA,RW,5,5,1,2,2,1,0,5,0,0,,0,0,4,24,4,3,3,100.0,0,1,09/26/20,Everton,Crystal Palace
46,Andre Gomes,21.0,pt POR,CM,75,43,1,7,33,4,0,43,1,2,50.0,1,0,33,153,84,31,31,100.0,0,2,09/26/20,Everton,Crystal Palace
47,Gylfi Sigurdsson,10.0,is ISL,CM,15,11,0,2,7,3,0,11,0,0,,0,0,9,38,13,8,8,100.0,0,0,09/26/20,Everton,Crystal Palace
48,Abdoulaye Doucoure,16.0,fr FRA,CM,90,62,1,17,40,8,1,62,1,2,50.0,1,0,39,200,99,57,51,89.5,1,0,09/26/20,Everton,Crystal Palace
49,Allan,6.0,br BRA,DM,90,55,7,19,33,5,0,55,1,1,100.0,1,0,24,82,37,37,36,97.3,1,0,09/26/20,Everton,Crystal Palace
50,Lucas Digne,12.0,fr FRA,LB,90,99,8,35,39,26,2,83,0,2,0.0,0,0,40,173,103,58,50,86.2,0,1,09/26/20,Everton,Crystal Palace
51,Michael Keane,5.0,eng ENG,CB,90,72,8,43,30,2,1,71,0,0,,0,0,46,312,194,58,58,100.0,0,0,09/26/20,Everton,Crystal Palace
52,Yerry Mina,13.0,co COL,CB,90,65,16,53,16,0,0,62,0,0,,0,0,37,194,118,48,48,100.0,0,0,09/26/20,Everton,Crystal Palace
53,Seamus Coleman,23.0,ie IRL,RB,90,71,7,23,42,13,1,57,0,4,0.0,0,0,37,237,146,45,40,88.9,0,1,09/26/20,Everton,Crystal Palace
54,Jordan Pickford,1.0,eng ENG,GK,90,35,31,35,0,0,0,25,0,0,,0,0,16,111,44,16,16,100.0,0,0,09/26/20,Everton,Crystal Palace
55,Callum Robinson,7.0,ie IRL,FW,65,14,0,1,4,10,2,13,2,2,100.0,2,0,7,49,38,15,9,60.0,2,0,09/26/20,West Brom,Chelsea
56,Hal Robson-Kanu,4.0,wal WAL,FW,25,17,1,2,6,9,3,16,1,2,50.0,1,0,13,78,47,15,12,80.0,3,1,09/26/20,West Brom,Chelsea
57,Grady Diangana,11.0,eng ENG,AM,73,36,2,10,12,16,2,36,0,3,0.0,0,0,24,202,99,31,27,87.1,2,3,09/26/20,West Brom,Chelsea
58,Matt Phillips,10.0,sco SCO,AM,17,9,2,6,1,2,0,8,0,0,,0,0,6,23,10,4,3,75.0,0,1,09/26/20,West Brom,Chelsea
59,Matheus Pereira,12.0,br BRA,AM,89,62,3,15,26,25,1,55,3,5,60.0,3,0,31,199,122,36,32,88.9,0,4,09/26/20,West Brom,Chelsea
60,Sam Field,28.0,eng ENG,AM,1,1,1,1,0,0,0,1,0,0,,0,0,0,0,0,0,0,,0,0,09/26/20,West Brom,Chelsea
61,Romaine Sawyers,19.0,kn SKN,CM,90,40,1,13,22,7,0,36,1,1,100.0,1,0,18,91,42,16,15,93.8,0,0,09/26/20,West Brom,Chelsea
62,Jake Livermore,8.0,eng ENG,CM,90,29,4,10,19,1,0,29,0,0,,0,0,13,48,20,10,10,100.0,0,0,09/26/20,West Brom,Chelsea
63,Conor Townsend,14.0,eng ENG,WB,90,39,4,14,17,10,1,35,1,1,100.0,1,0,20,87,62,25,24,96.0,0,0,09/26/20,West Brom,Chelsea
64,Darnell Furlong,2.0,eng ENG,WB,90,50,6,15,19,19,2,42,0,1,0.0,0,0,16,127,80,23,19,82.6,1,0,09/26/20,West Brom,Chelsea
65,Dara O'Shea,27.0,ie IRL,CB,90,38,11,27,12,0,0,34,1,1,100.0,1,0,12,70,42,12,12,100.0,0,1,09/26/20,West Brom,Chelsea
66,Kyle Bartley,5.0,eng ENG,CB,90,25,17,22,2,1,1,25,0,0,,0,0,3,14,2,4,4,100.0,0,0,09/26/20,West Brom,Chelsea
67,Semi Ajayi,6.0,ng NGA,CB,90,27,6,21,7,0,0,24,1,2,50.0,1,0,7,42,32,7,7,100.0,0,0,09/26/20,West Brom,Chelsea
68,Sam Johnstone,1.0,eng ENG,GK,90,33,29,33,0,0,0,21,0,0,,0,0,8,47,22,8,8,100.0,0,0,09/26/20,West Brom,Chelsea
69,Tammy Abraham,9.0,eng ENG,FW,90,29,2,5,10,14,7,28,0,1,0.0,0,0,10,50,10,21,19,90.5,0,0,09/26/20,Chelsea,West Brom
70,Timo Werner,11.0,de GER,"LW,WB",90,59,0,3,21,37,10,59,0,2,0.0,0,0,41,185,93,57,49,86.0,1,6,09/26/20,Chelsea,West Brom
71,Mason Mount,19.0,eng ENG,"RW,CM",90,80,1,6,33,49,5,75,1,1,100.0,1,0,53,386,214,63,58,92.1,1,0,09/26/20,Chelsea,West Brom
72,Kai Havertz,29.0,de GER,"AM,CM",90,70,0,7,27,40,5,68,0,1,0.0,0,0,52,257,87,65,59,90.8,1,2,09/26/20,Chelsea,West Brom
73,Mateo Kovacic,17.0,hr CRO,CM,45,64,1,15,45,9,0,63,0,0,,0,0,52,395,254,52,51,98.1,1,0,09/26/20,Chelsea,West Brom
74,Callum Hudson-Odoi,20.0,eng ENG,"RW,WB",45,45,0,2,15,31,3,44,1,1,100.0,1,0,39,254,197,43,42,97.7,0,0,09/26/20,Chelsea,West Brom
75,N'Golo Kante,7.0,fr FRA,"CM,DM",90,112,2,23,78,22,1,107,2,2,100.0,2,0,72,447,258,84,83,98.8,1,3,09/26/20,Chelsea,West Brom
76,Marcos Alonso,3.0,es ESP,LB,45,41,0,11,20,12,0,38,0,0,,0,0,22,122,86,26,22,84.6,1,0,09/26/20,Chelsea,West Brom
77,Cesar Azpilicueta,28.0,es ESP,"LB,CB",45,71,2,18,43,18,0,66,0,0,,0,0,44,319,261,50,48,96.0,0,1,09/26/20,Chelsea,West Brom
78,Thiago Silva,6.0,br BRA,CB,72,89,7,34,62,2,0,88,0,0,,0,0,71,397,294,74,74,100.0,2,0,09/26/20,Chelsea,West Brom
79,Olivier Giroud,18.0,fr FRA,"FW,CB",18,9,0,1,3,6,2,9,0,0,,0,0,5,9,4,6,6,100.0,1,0,09/26/20,Chelsea,West Brom
80,Andreas Christensen,4.0,dk DEN,CB,90,125,10,44,82,5,0,125,0,0,,0,0,88,445,306,99,99,100.0,1,0,09/26/20,Chelsea,West Brom
81,Reece James,24.0,eng ENG,"RB,CB",90,133,2,20,67,59,1,120,0,0,,0,0,100,520,329,110,107,97.3,0,0,09/26/20,Chelsea,West Brom
82,Willy Caballero,13.0,ar ARG,GK,90,26,21,26,1,0,0,19,0,0,,0,0,12,77,20,15,15,100.0,0,0,09/26/20,Chelsea,West Brom
83,Matej Vydra,27.0,cz CZE,FW,90,25,0,1,10,14,3,25,0,1,0.0,1,0,10,34,10,69,19,27.5,1,2,09/26/20,Burnley,Southampton
84,Chris Wood,9.0,nz NZL,FW,90,27,0,0,15,13,3,26,0,0,,0,0,11,41,9,71,25,35.2,4,1,09/26/20,Burnley,Southampton
85,Dwight McNeil,11.0,eng ENG,LM,90,66,0,8,34,28,2,60,2,4,50.0,2,0,49,333,165,57,50,87.7,1,3,09/26/20,Burnley,Southampton
86,Josh Brownhill,8.0,eng ENG,RM,90,53,0,11,28,16,5,50,0,0,,0,0,22,68,34,38,27,71.1,2,1,09/26/20,Burnley,Southampton
87,Dale Stephens,16.0,eng ENG,DM,90,68,1,14,44,14,3,68,1,1,100.0,1,0,34,148,73,42,38,90.5,0,3,09/26/20,Burnley,Southampton
88,Ashley Westwood,18.0,eng ENG,DM,90,94,1,18,57,26,0,83,0,1,0.0,0,0,56,231,119,68,63,92.6,0,1,09/26/20,Burnley,Southampton
89,Charlie Taylor,3.0,eng ENG,LB,90,87,1,26,45,26,0,76,0,0,,0,0,46,373,175,64,60,93.8,0,0,09/26/20,Burnley,Southampton
90,Jimmy Dunne,34.0,ie IRL,CB,90,66,7,41,23,4,3,66,0,0,,0,0,34,176,20,39,36,92.3,0,0,09/26/20,Burnley,Southampton
91,Kevin Long,28.0,ie IRL,CB,90,72,7,37,33,2,2,71,0,0,,0,0,31,113,31,39,36,92.3,0,0,09/26/20,Burnley,Southampton
92,Phil Bardsley,26.0,sco SCO,RB,90,85,3,19,53,18,1,67,0,0,,0,0,37,192,69,44,40,90.9,0,1,09/26/20,Burnley,Southampton
93,Nick Pope,1.0,eng ENG,GK,90,38,35,38,0,0,0,31,0,0,,0,0,20,135,66,24,24,100.0,0,0,09/26/20,Burnley,Southampton
94,Danny Ings,9.0,eng ENG,FW,90,50,2,11,29,12,4,50,3,3,100.0,3,0,29,185,104,62,29,46.8,5,2,09/26/20,Southampton,Burnley
95,Che Adams,10.0,eng ENG,FW,76,31,3,4,13,14,3,31,0,0,,0,0,9,13,3,60,23,38.3,4,1,09/26/20,Southampton,Burnley
96,Michael Obafemi,14.0,ie IRL,FW,14,6,1,3,4,0,0,6,0,0,,0,0,4,4,2,9,3,33.3,1,0,09/26/20,Southampton,Burnley
97,Moussa Djenepo,12.0,ml MLI,LM,76,46,1,6,30,15,0,46,1,2,50.0,1,0,33,130,58,47,31,66.0,5,1,09/26/20,Southampton,Burnley
98,Nathan Tella,23.0,eng ENG,LM,14,9,0,1,8,1,0,9,0,0,,0,0,6,70,45,10,6,60.0,2,2,09/26/20,Southampton,Burnley
99,Oriol Romeu,6.0,es ESP,CM,90,89,2,14,73,6,0,89,0,0,,0,0,53,296,109,58,58,100.0,0,0,09/26/20,Southampton,Burnley
100,James Ward-Prowse,8.0,eng ENG,CM,90,62,1,13,46,6,0,61,0,0,,0,0,30,94,30,44,39,88.6,0,0,09/26/20,Southampton,Burnley
101,Stuart Armstrong,17.0,sco SCO,RM,90,59,1,9,33,21,5,57,0,2,0.0,0,0,35,283,170,52,39,75.0,5,4,09/26/20,Southampton,Burnley
102,Ryan Bertrand,3.0,eng ENG,LB,90,78,3,18,42,22,2,61,0,0,,0,0,42,175,70,54,48,88.9,1,0,09/26/20,Southampton,Burnley
103,Jannik Vestergaard,4.0,dk DEN,CB,90,67,11,32,37,2,0,62,1,1,100.0,1,0,26,132,55,24,24,100.0,0,0,09/26/20,Southampton,Burnley
104,Jan Bednarek,35.0,pl POL,CB,90,56,13,34,22,1,1,56,0,0,,0,0,17,80,42,21,20,95.2,0,0,09/26/20,Southampton,Burnley
