,Player,#,Nation,Pos,Min,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out.1,Int,Blocks,Date,Team,Opponent
32,James McArthur,18.0,sco SCO,CM,87,49,47,2,1,0,10,1,1,0,0,0,0,31,10,8,10,38,1,0,0,41,0,0,0,1,09/26/20,Crystal Palace,Everton
33,Jairo Riedewald,44.0,nl NED,CM,3,3,3,0,0,0,0,0,0,0,0,0,0,2,0,1,2,1,0,0,0,2,0,0,0,0,09/26/20,Crystal Palace,Everton
34,James McCarthy,22.0,ie IRL,CM,90,46,45,1,1,0,5,2,0,0,0,0,0,23,12,11,7,35,3,0,0,36,0,2,0,3,09/26/20,Crystal Palace,Everton
35,Andros Townsend,10.0,eng ENG,RM,90,38,30,8,2,0,9,5,5,6,5,1,0,17,6,15,26,11,1,0,0,23,1,0,0,1,09/26/20,Crystal Palace,Everton
36,Tyrick Mitchell,27.0,eng ENG,LB,90,40,34,6,0,0,6,0,3,0,0,0,0,25,4,11,33,1,0,6,0,30,0,2,1,0,09/26/20,Crystal Palace,Everton
37,Mamadou Sakho,12.0,fr FRA,CB,90,33,32,1,1,0,4,1,0,0,0,0,0,24,3,6,21,10,1,0,0,29,0,1,0,0,09/26/20,Crystal Palace,Everton
38,Cheikhou Kouyate,8.0,sn SEN,CB,90,36,34,2,2,0,10,1,0,0,0,0,0,16,8,12,5,28,2,0,0,24,0,1,0,1,09/26/20,Crystal Palace,Everton
39,Joel Ward,2.0,eng ENG,RB,90,39,29,10,2,0,8,2,0,0,0,0,0,17,11,11,2,26,1,8,0,32,0,2,0,3,09/26/20,Crystal Palace,Everton
40,Vicente Guaita,31.0,es ESP,GK,90,17,10,7,2,0,2,0,0,0,0,0,0,7,1,9,0,13,0,0,2,11,0,0,0,0,09/26/20,Crystal Palace,Everton
41,Dominic Calvert-Lewin,9.0,eng ENG,FW,90,15,14,1,0,0,5,0,0,0,0,0,0,7,5,3,0,8,0,0,5,12,0,0,1,1,09/26/20,Everton,Crystal Palace
42,Richarlison,7.0,br BRA,LW,89,39,38,1,0,0,3,0,0,0,0,0,0,30,3,6,5,30,2,0,0,29,0,1,1,2,09/26/20,Everton,Crystal Palace
43,Tom Davies,26.0,eng ENG,LW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09/26/20,Everton,Crystal Palace
44,James Rodriguez,19.0,co COL,RW,85,53,45,8,0,0,2,4,2,6,2,0,3,28,13,12,45,4,1,2,1,45,0,2,2,1,09/26/20,Everton,Crystal Palace
45,Alex Iwobi,17.0,ng NGA,RW,5,3,3,0,0,0,0,0,0,0,0,0,0,2,1,0,0,3,0,0,0,1,0,0,0,0,09/26/20,Everton,Crystal Palace
46,Andre Gomes,21.0,pt POR,CM,75,35,35,0,0,0,0,5,1,0,0,0,0,20,5,10,16,18,1,0,0,31,0,1,1,0,09/26/20,Everton,Crystal Palace
47,Gylfi Sigurdsson,10.0,is ISL,CM,15,9,9,0,0,0,0,0,0,0,0,0,0,8,1,0,4,5,0,0,0,8,0,0,0,1,09/26/20,Everton,Crystal Palace
48,Abdoulaye Doucoure,16.0,fr FRA,CM,90,55,55,0,0,0,3,1,0,0,0,0,0,42,12,1,4,51,0,0,0,49,0,0,2,1,09/26/20,Everton,Crystal Palace
49,Allan,6.0,br BRA,DM,90,42,42,0,0,0,1,0,0,0,0,0,0,31,6,5,8,32,2,0,0,37,0,0,0,2,09/26/20,Everton,Crystal Palace
50,Lucas Digne,12.0,fr FRA,LB,90,80,64,16,7,0,3,1,5,0,0,0,0,45,12,23,59,4,5,9,1,63,0,1,4,3,09/26/20,Everton,Crystal Palace
51,Michael Keane,5.0,eng ENG,CB,90,64,63,1,1,0,0,3,0,0,0,0,0,46,5,13,19,42,3,0,0,58,0,1,0,0,09/26/20,Everton,Crystal Palace
52,Yerry Mina,13.0,co COL,CB,90,55,52,3,3,0,2,2,0,0,0,0,0,46,5,4,8,46,0,0,0,53,0,0,1,0,09/26/20,Everton,Crystal Palace
53,Seamus Coleman,23.0,ie IRL,RB,90,57,43,14,0,0,2,1,1,0,0,0,0,29,16,12,8,35,0,14,0,47,0,1,0,2,09/26/20,Everton,Crystal Palace
54,Jordan Pickford,1.0,eng ENG,GK,90,32,22,10,3,0,1,0,0,0,0,0,0,12,1,19,23,4,0,0,4,20,0,0,1,0,09/26/20,Everton,Crystal Palace
