,Player,#,Nation,Pos,Min,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out.1,Int,Blocks,Date,Team,Opponent
32,Andros Townsend,10.0,eng ENG,RM,90,29,27,2,1,0,8,0,2,1,0,0,0,14,5,10,15,12,1,0,0,15,0,1,1,2,09/12/20,Crystal Palace,Southampton
33,James McCarthy,22.0,ie IRL,DM,73,21,17,4,1,0,3,3,1,3,3,0,0,5,4,12,5,13,2,0,0,14,0,0,0,1,09/12/20,Crystal Palace,Southampton
34,Luka Milivojevic,4.0,rs SRB,DM,17,11,9,2,1,0,3,1,1,1,1,0,0,4,1,6,1,8,1,0,0,8,0,0,0,1,09/12/20,Crystal Palace,Southampton
35,James McArthur,18.0,sco SCO,DM,90,32,30,2,1,0,6,1,0,0,0,0,0,9,0,23,8,15,6,0,0,17,1,4,1,0,09/12/20,Crystal Palace,Southampton
36,Tyrick Mitchell,27.0,eng ENG,LB,90,41,24,17,0,0,6,0,1,0,0,0,0,12,1,28,20,2,1,17,0,25,0,0,0,3,09/12/20,Crystal Palace,Southampton
37,Scott Dann,6.0,eng ENG,CB,90,26,25,1,1,0,11,0,0,0,0,0,0,6,1,19,3,7,7,0,1,17,0,4,0,0,09/12/20,Crystal Palace,Southampton
38,Cheikhou Kouyate,8.0,sn SEN,CB,90,14,13,1,1,0,2,0,0,0,0,0,0,4,2,8,0,7,6,0,0,9,1,0,0,0,09/12/20,Crystal Palace,Southampton
39,Joel Ward,2.0,eng ENG,RB,90,37,22,15,0,0,4,1,0,0,0,0,0,6,5,26,3,14,3,15,0,20,1,1,0,1,09/12/20,Crystal Palace,Southampton
40,Vicente Guaita,31.0,es ESP,GK,90,26,16,10,4,0,2,1,0,0,0,0,0,0,0,26,1,15,0,0,0,7,0,1,0,0,09/12/20,Crystal Palace,Southampton
41,Danny Ings,9.0,eng ENG,FW,90,18,18,0,0,0,4,0,1,0,0,0,0,11,5,2,3,12,2,0,1,11,0,0,0,2,09/12/20,Southampton,Crystal Palace
42,Che Adams,10.0,eng ENG,FW,84,18,18,0,0,0,1,0,1,0,0,0,0,10,6,2,1,12,4,0,0,14,0,0,0,0,09/12/20,Southampton,Crystal Palace
43,Shane Long,7.0,ie IRL,FW,6,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,09/12/20,Southampton,Crystal Palace
44,Nathan Redmond,11.0,eng ENG,LM,90,43,43,0,0,0,5,1,3,0,0,0,0,29,6,8,3,37,2,0,1,31,0,1,2,1,09/12/20,Southampton,Crystal Palace
45,William Smallbone,20.0,ie IRL,RM,76,22,22,0,0,0,2,1,2,0,0,0,0,12,5,5,6,16,0,0,0,15,0,0,0,1,09/12/20,Southampton,Crystal Palace
46,Moussa Djenepo,12.0,ml MLI,RM,14,7,7,0,0,0,2,0,0,0,0,0,0,5,1,1,2,4,0,0,0,4,0,0,0,1,09/12/20,Southampton,Crystal Palace
47,Oriol Romeu,6.0,es ESP,DM,90,75,74,1,1,0,14,2,0,0,0,0,0,50,6,19,12,53,4,0,0,59,0,1,1,1,09/12/20,Southampton,Crystal Palace
48,James Ward-Prowse,8.0,eng ENG,DM,90,66,58,8,2,0,7,3,1,3,1,2,0,40,12,14,11,45,5,1,0,54,0,0,0,3,09/12/20,Southampton,Crystal Palace
49,Ryan Bertrand,3.0,eng ENG,LB,90,70,56,14,5,0,6,4,1,0,0,0,0,42,15,13,48,5,5,9,0,56,0,1,0,3,09/12/20,Southampton,Crystal Palace
50,Jan Bednarek,35.0,pl POL,CB,45,51,48,3,3,0,6,1,0,0,0,0,0,41,1,9,13,34,2,0,0,46,0,2,0,0,09/12/20,Southampton,Crystal Palace
51,Jannik Vestergaard,4.0,dk DEN,CB,45,39,39,0,0,0,7,1,0,0,0,0,0,24,6,9,3,27,4,0,0,30,0,2,0,0,09/12/20,Southampton,Crystal Palace
52,Jack Stephens,5.0,eng ENG,CB,90,86,84,2,1,0,6,2,0,0,0,0,0,56,10,20,5,68,9,1,0,66,0,0,0,2,09/12/20,Southampton,Crystal Palace
53,Kyle Walker-Peters,2.0,eng ENG,RB,90,78,55,23,2,0,4,2,0,0,0,0,0,39,21,18,6,47,3,21,0,61,0,0,1,3,09/12/20,Southampton,Crystal Palace
54,Alex McCarthy,1.0,eng ENG,GK,90,51,42,9,2,0,5,1,0,0,0,0,0,32,1,18,12,30,0,0,8,39,0,1,0,0,09/12/20,Southampton,Crystal Palace
55,Roberto Firmino,9.0,br BRA,FW,90,35,34,1,0,0,13,0,2,0,0,0,0,26,7,2,4,26,3,0,2,30,0,0,1,1,09/12/20,Liverpool,Leeds United
56,Sadio Mane,10.0,sn SEN,LW,90,37,36,1,0,0,12,0,0,0,0,0,0,28,7,2,11,23,0,1,1,32,0,0,0,3,09/12/20,Liverpool,Leeds United
57,Mohamed Salah,11.0,eg EGY,RW,90,49,49,0,0,0,13,1,0,0,0,0,0,42,4,3,39,9,0,0,1,38,1,1,1,2,09/12/20,Liverpool,Leeds United
58,Georginio Wijnaldum,5.0,nl NED,CM,90,23,23,0,0,0,10,0,0,0,0,0,0,20,1,2,1,21,0,0,1,18,0,1,0,0,09/12/20,Liverpool,Leeds United
59,Naby Keita,8.0,gn GUI,CM,57,30,27,3,0,0,9,0,1,0,0,0,0,22,6,2,0,26,3,0,0,25,0,0,1,1,09/12/20,Liverpool,Leeds United
60,Fabinho,3.0,br BRA,CM,33,14,14,0,0,0,4,0,0,0,0,0,0,12,0,2,1,12,1,0,0,12,0,1,0,0,09/12/20,Liverpool,Leeds United
61,Jordan Henderson,14.0,eng ENG,DM,65,39,38,1,1,0,11,3,0,0,0,0,0,22,5,12,5,32,2,0,0,29,0,3,0,0,09/12/20,Liverpool,Leeds United
62,Curtis Jones,17.0,eng ENG,DM,25,21,21,0,0,0,8,0,0,0,0,0,0,15,1,5,4,13,3,0,0,15,0,0,0,2,09/12/20,Liverpool,Leeds United
63,Andrew Robertson,26.0,sco SCO,LB,90,60,44,16,1,0,13,0,3,5,1,0,4,25,19,16,42,5,2,10,0,39,0,2,0,5,09/12/20,Liverpool,Leeds United
64,Virgil van Dijk,4.0,nl NED,CB,90,33,33,0,0,0,6,0,0,0,0,0,0,19,5,9,5,25,2,0,0,25,0,0,1,0,09/12/20,Liverpool,Leeds United
65,Joseph Gomez,12.0,eng ENG,CB,90,48,46,2,2,0,14,2,0,0,0,0,0,32,3,13,3,39,2,0,0,42,1,0,0,0,09/12/20,Liverpool,Leeds United
66,Trent Alexander-Arnold,66.0,eng ENG,RB,88,67,38,29,2,0,10,2,5,4,1,1,1,22,20,25,9,32,2,23,0,42,0,2,2,3,09/12/20,Liverpool,Leeds United
67,Joel Matip,32.0,cm CMR,CB,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,09/12/20,Liverpool,Leeds United
68,Alisson,1.0,br BRA,GK,90,29,23,6,3,0,2,2,0,0,0,0,0,17,0,12,3,18,0,0,5,19,0,2,0,0,09/12/20,Liverpool,Leeds United
69,Patrick Bamford,9.0,eng ENG,FW,61,10,6,4,0,0,0,0,0,0,0,0,0,8,1,1,3,5,1,0,1,7,0,0,0,0,09/12/20,Leeds United,Liverpool
70,Rodrigo Moreno,20.0,es ESP,FW,29,3,2,1,0,0,1,0,0,0,0,0,0,3,0,0,2,1,0,0,0,2,0,0,0,0,09/12/20,Leeds United,Liverpool
71,Jack Harrison,22.0,eng ENG,LM,90,24,24,0,0,0,6,1,2,0,0,0,0,18,3,3,17,4,2,0,0,18,0,0,0,0,09/12/20,Leeds United,Liverpool
72,Mateusz Klich,43.0,pl POL,CM,80,34,34,0,0,0,7,0,0,0,0,0,0,23,6,5,2,30,1,0,0,27,0,0,0,1,09/12/20,Leeds United,Liverpool
73,Jamie Shackleton,46.0,eng ENG,CM,10,3,3,0,0,0,2,0,0,0,0,0,0,2,1,0,0,3,0,0,0,3,0,0,0,0,09/12/20,Leeds United,Liverpool
74,Pablo Hernandez,19.0,es ESP,CM,61,38,35,3,1,0,6,1,1,0,0,0,0,22,8,8,4,30,2,2,0,21,0,1,3,4,09/12/20,Leeds United,Liverpool
75,Tyler Roberts,11.0,wal WAL,CM,29,10,10,0,0,0,4,1,1,0,0,0,0,3,4,3,1,7,1,0,0,3,0,1,1,1,09/12/20,Leeds United,Liverpool
76,Helder Costa,17.0,pt POR,RM,90,15,15,0,0,0,3,0,2,0,0,0,0,11,3,1,13,2,0,0,0,11,0,0,0,0,09/12/20,Leeds United,Liverpool
77,Kalvin Phillips,23.0,eng ENG,DM,90,52,50,2,2,1,11,5,1,0,0,0,0,32,7,13,5,42,3,0,0,43,2,0,0,2,09/12/20,Leeds United,Liverpool
78,Stuart Dallas,15.0,nir NIR,LB,90,63,55,8,0,0,17,2,1,0,0,0,0,40,13,10,19,32,3,8,1,44,0,1,1,3,09/12/20,Leeds United,Liverpool
79,Pascal Struijk,21.0,nl NED,CB,90,59,55,4,4,0,5,2,0,0,0,0,0,38,4,17,45,10,4,0,0,52,0,3,0,0,09/12/20,Leeds United,Liverpool
80,Robin Koch,5.0,de GER,CB,90,57,56,1,1,0,6,0,0,0,0,0,0,38,4,15,6,45,3,0,1,46,1,0,0,0,09/12/20,Leeds United,Liverpool
81,Luke Ayling,2.0,eng ENG,RB,90,66,50,16,1,1,8,1,0,0,0,0,0,31,20,15,5,43,3,15,0,51,0,1,2,1,09/12/20,Leeds United,Liverpool
82,Illan Meslier,1.0,fr FRA,GK,90,59,46,13,1,0,10,1,0,0,0,0,0,31,1,27,44,3,0,0,10,45,0,3,0,0,09/12/20,Leeds United,Liverpool
83,Michail Antonio,30.0,eng ENG,"FW,AM",90,21,17,4,0,0,8,0,4,0,0,0,0,10,3,8,3,10,0,4,0,10,0,0,0,2,09/12/20,West Ham,Newcastle Utd
84,Pablo Fornals,18.0,es ESP,LW,66,18,18,0,0,0,4,1,1,0,0,0,0,15,2,1,2,15,1,0,0,15,0,0,0,1,09/12/20,West Ham,Newcastle Utd
85,Sebastien Haller,22.0,fr FRA,"FW,LW",24,9,9,0,0,0,4,1,1,0,0,0,0,5,1,3,0,7,0,0,1,5,0,0,0,0,09/12/20,West Ham,Newcastle Utd
86,Jarrod Bowen,20.0,eng ENG,"RW,LW",88,31,29,2,0,0,4,0,1,2,0,2,0,22,3,6,26,5,0,0,0,21,0,0,1,3,09/12/20,West Ham,Newcastle Utd
87,Felipe Anderson,8.0,br BRA,LW,2,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,1,2,0,0,0,2,0,0,0,0,09/12/20,West Ham,Newcastle Utd
88,Mark Noble,16.0,eng ENG,AM,66,44,39,5,2,0,3,2,0,1,0,1,0,34,2,8,1,40,3,0,0,37,0,0,1,0,09/12/20,West Ham,Newcastle Utd
89,Andriy Yarmolenko,7.0,ua UKR,"RW,AM",24,20,16,4,0,0,4,0,1,3,1,1,0,15,2,3,17,2,0,1,0,16,0,0,0,1,09/12/20,West Ham,Newcastle Utd
90,Declan Rice,41.0,eng ENG,DM,90,67,67,0,0,1,10,6,2,0,0,0,0,54,5,8,11,54,1,0,0,56,0,1,0,0,09/12/20,West Ham,Newcastle Utd
91,Tomas Soucek,28.0,cz CZE,DM,90,28,27,1,0,0,2,0,0,0,0,0,0,19,1,8,2,21,4,0,0,23,0,0,0,2,09/12/20,West Ham,Newcastle Utd
