Rank,Player,Team,Position,Valid_starts,total_min,mean_min,mean_xFpts,sd_xFpts,mean_fpts,sd_fpts,mean_xFpts - mean_fpts,total_xFpts,total_fpts,total_xFpts - total_fpts,total_xCS,CS
188,Willian,ARS,F,11,844,76.73,6.30,5.50,6.55,7.06,-0.25,69.30,72.00,-2.70,4.96,2
189,Aymeric Laporte,MCI,D,4,360,90.00,6.28,6.56,4.13,5.63,2.15,25.10,16.50,8.60,1.60,1
190,Ashley Westwood,BUR,M,13,1170,90.00,6.25,4.74,6.54,5.02,-0.28,81.30,85.00,-3.70,2.80,5
191,Lucas Moura,TOT,M,3,230,76.67,6.23,6.35,7.00,8.13,-0.77,18.68,21.00,-2.32,0.48,1
192,Caglar Soyuncu,LEI,D,4,360,90.00,6.23,2.90,4.25,5.18,1.98,24.90,17.00,7.90,1.20,1
193,Joao Moutinho,WOL,M,9,768,85.33,6.22,4.94,5.44,4.34,0.78,56.02,49.00,7.02,1.52,2
194,Ferran Torres,MCI,F,6,436,72.67,6.22,5.07,5.92,4.58,0.30,37.30,35.50,1.80,2.88,3
195,Toby Alderweireld,TOT,D,10,891,89.10,6.21,2.86,6.23,5.48,-0.01,62.13,62.25,-0.12,3.28,4
196,John Lundstram,SHU,M,8,653,81.63,6.20,4.79,5.00,4.14,1.20,49.60,40.00,9.60,1.60,1
197,Mario Lemina,FUL,M,4,318,79.50,6.12,3.67,5.50,2.94,0.62,24.48,22.00,2.48,0.08,0
198,Phil Bardsley,BUR,D,3,270,90.00,6.10,4.25,1.00,3.78,5.10,18.30,3.00,15.30,0.80,0
199,Conor Townsend,WBA,D,8,705,88.13,6.07,5.11,6.66,5.71,-0.59,48.57,53.25,-4.68,1.12,2
200,Jairo Riedewald,CRY,M,5,409,81.80,6.06,4.18,6.70,6.09,-0.64,30.32,33.50,-3.18,1.12,1
201,Ryan Bertrand,SOU,D,13,1159,89.15,6.06,6.33,4.63,7.18,1.43,78.81,60.25,18.56,5.16,4
202,Ben Davies,TOT,D,5,450,90.00,6.04,3.37,4.55,4.18,1.49,30.19,22.75,7.44,1.44,1
203,Georginio Wijnaldum,LIV,M,13,1149,88.38,6.00,3.74,5.19,3.37,0.80,77.94,67.50,10.44,4.24,4
204,Ruben Dias,MCI,D,11,970,88.18,5.96,2.98,4.91,3.98,1.05,65.52,54.00,11.52,6.52,6
205,Eric Dier,TOT,D,13,1170,90.00,5.95,2.60,5.87,5.00,0.08,77.31,76.25,1.06,4.56,5
206,Joel Ward,CRY,D,6,540,90.00,5.94,8.19,5.04,8.29,0.90,35.67,30.25,5.42,1.92,1
207,Nathan Redmond,SOU,M,3,257,85.67,5.91,4.40,4.33,3.52,1.57,17.72,13.00,4.72,1.52,1
208,Fred,MUN,M,8,665,83.13,5.90,3.84,4.69,3.02,1.21,47.18,37.50,9.68,4.68,4
209,James McArthur,CRY,M,12,1020,85.00,5.87,3.88,5.67,3.51,0.21,70.48,68.00,2.48,3.28,2
210,Sander Berge,SHU,M,11,990,90.00,5.83,3.35,5.55,3.63,0.29,64.16,61.00,3.16,1.36,0
211,Ben Mee,BUR,D,7,630,90.00,5.81,4.83,9.11,8.41,-3.30,40.65,63.75,-23.10,0.40,4
212,Sean Longstaff,NEW,M,7,630,90.00,5.79,4.21,4.57,4.02,1.22,40.52,32.00,8.52,2.32,1
213,Helder Costa,LEE,F,7,580,82.86,5.79,3.75,8.79,7.84,-3.00,40.50,61.50,-21.00,1.04,2
214,Charlie Taylor,BUR,D,13,1170,90.00,5.77,5.08,6.42,6.10,-0.65,75.00,83.50,-8.50,2.80,5
215,Marcal,WOL,D,5,450,90.00,5.76,2.37,4.20,5.33,1.56,28.78,21.00,7.78,1.68,1
216,Grady Diangana,WBA,M,10,799,79.90,5.73,2.11,6.20,4.20,-0.47,57.32,62.00,-4.68,1.12,1
217,Lewis Dunk,BHA,D,11,989,89.91,5.72,5.60,1.68,6.83,4.04,62.94,18.50,44.44,4.24,2
218,Chris Basham,SHU,D,14,1162,83.00,5.70,5.08,3.84,4.76,1.86,79.83,53.75,26.08,1.68,0
219,Wilfred Ndidi,LEI,M,5,440,88.00,5.67,1.51,5.80,1.47,-0.13,28.34,29.00,-0.66,1.44,3
220,Cesar Azpilicueta,CHE,D,4,360,90.00,5.60,4.20,6.44,5.83,-0.84,22.41,25.75,-3.34,2.36,3
221,Gary Cahill,CRY,D,5,450,90.00,5.60,4.06,1.20,6.56,4.40,27.98,6.00,21.98,0.88,0
222,Ola Aina,FUL,D,11,990,90.00,5.56,3.53,5.80,5.60,-0.23,61.21,63.75,-2.54,2.56,2
223,Dennis Praet,LEI,M,7,498,71.14,5.55,4.39,7.07,6.51,-1.53,38.82,49.50,-10.68,3.52,4
224,Angelo Ogbonna,WHU,D,14,1233,88.07,5.54,4.64,5.86,7.49,-0.32,77.56,82.00,-4.44,3.36,4
225,Aaron Connolly,BHA,F,6,446,74.33,5.50,2.82,4.50,4.81,1.00,33.00,27.00,6.00,2.88,1
226,Allan,EVE,M,11,989,89.91,5.48,2.76,5.05,2.78,0.43,60.28,55.50,4.78,4.08,2
227,Douglas Luiz,AVL,M,11,957,87.00,5.47,4.46,5.59,5.25,-0.12,60.18,61.50,-1.32,4.68,6
228,Virgil van Dijk,LIV,D,4,360,90.00,5.44,4.21,4.00,5.79,1.44,21.76,16.00,5.76,1.36,1
229,Conor Gallagher,WBA,M,10,890,89.00,5.42,2.42,6.45,3.98,-1.03,54.18,64.50,-10.32,1.28,2
230,Mason Greenwood,MUN,F,6,462,77.00,5.42,4.01,5.17,5.19,0.25,32.50,31.00,1.50,0.56,1
231,Mason Holgate,EVE,D,5,442,88.40,5.40,4.88,7.20,7.85,-1.80,27.02,36.00,-8.98,1.12,2
232,Rob Holding,ARS,D,10,900,90.00,5.39,5.19,3.83,5.60,1.56,53.87,38.25,15.62,4.12,3
233,Jay Rodriguez,BUR,F,5,390,78.00,5.38,2.44,4.00,2.00,1.38,26.90,20.00,6.90,0.16,2
234,Jamal Lewis,NEW,D,11,968,88.00,5.32,5.62,2.66,7.98,2.66,58.51,29.25,29.26,3.36,2
235,Pascal Struijk,LEE,D,3,236,78.67,5.24,2.54,1.08,1.25,4.16,15.73,3.25,12.48,1.28,0
236,Kevin Long,BUR,D,6,540,90.00,5.23,4.17,1.50,5.53,3.73,31.40,9.00,22.40,2.40,1
237,Fabian Balbuena,WHU,D,11,990,90.00,5.21,4.93,6.09,6.34,-0.88,57.30,67.00,-9.70,2.80,4
238,Ben Godfrey,EVE,M,7,630,90.00,5.14,3.19,5.07,3.03,0.07,35.98,35.50,0.48,2.48,2
239,Maximilian Kilman,WOL,D,7,630,90.00,5.06,5.65,6.18,8.67,-1.12,35.41,43.25,-7.84,2.36,3
240,Bobby De Cordova-Reid,FUL,F,9,730,81.11,5.06,4.29,5.39,5.47,-0.33,45.50,48.50,-3.00,2.48,3
241,George Baldock,SHU,D,14,1260,90.00,4.97,4.46,4.82,3.99,0.15,69.58,67.50,2.08,1.68,0
242,Davinson Sanchez,TOT,D,4,360,90.00,4.94,5.71,0.88,4.63,4.07,19.78,3.50,16.28,0.88,0
243,Harrison Reed,FUL,M,7,561,80.14,4.91,2.32,4.43,2.09,0.48,34.36,31.00,3.36,1.36,1
244,Christian Fuchs,LEI,D,8,692,86.50,4.90,4.30,5.13,5.01,-0.23,39.16,41.00,-1.84,2.96,3
245,Karlan Grant,WBA,F,9,683,75.89,4.89,3.12,3.89,4.13,1.00,44.00,35.00,9.00,0.96,3
246,Jonny Evans,LEI,D,10,890,89.00,4.79,6.36,4.58,5.32,0.21,47.87,45.75,2.12,3.92,4
247,Benjamin Mendy,MCI,D,6,506,84.33,4.78,5.00,3.96,8.78,0.82,28.69,23.75,4.94,3.24,2
248,Joseph Gomez,LIV,D,6,511,85.17,4.74,5.93,1.58,4.96,3.16,28.46,9.50,18.96,1.76,0
249,Pierre-Emile Hojbjerg,TOT,M,14,1260,90.00,4.73,3.01,4.93,3.47,-0.20,66.16,69.00,-2.84,4.56,5
250,Cheikhou Kouyate,CRY,M,14,1233,88.07,4.65,3.88,4.50,4.86,0.15,65.16,63.00,2.16,3.76,1
251,Fabinho,LIV,M,11,989,89.91,4.65,2.82,4.59,2.77,0.06,51.18,50.50,0.68,2.88,4
252,Yves Bissouma,BHA,M,13,1151,88.54,4.57,4.24,4.81,5.66,-0.24,59.40,62.50,-3.10,5.60,3
253,David Luiz,ARS,D,4,360,90.00,4.42,4.73,0.44,3.07,3.98,17.69,1.75,15.94,1.64,0
254,Jack Robinson,SHU,D,4,360,90.00,4.40,5.23,1.63,5.90,2.77,17.58,6.50,11.08,0.88,0
255,Matthew Lowton,BUR,D,9,810,90.00,4.36,4.58,5.86,6.29,-1.50,39.25,52.75,-13.50,1.60,4
256,Dara O'Shea,WBA,D,8,720,90.00,4.30,4.39,2.34,4.52,1.96,34.43,18.75,15.68,0.48,0
257,Joachim Andersen,FUL,D,8,692,86.50,4.24,5.41,5.16,4.69,-0.92,33.89,41.25,-7.36,2.24,3
258,Callum Robinson,WBA,F,6,408,68.00,4.23,4.77,6.33,9.00,-2.10,25.40,38.00,-12.60,0.16,2
259,Ethan Ampadu,SHU,D,7,577,82.43,4.19,3.58,6.79,3.78,-2.60,29.30,47.50,-18.20,0.00,0
260,James McCarthy,CRY,M,4,319,79.75,3.97,1.96,4.00,1.87,-0.03,15.88,16.00,-0.12,0.88,1
261,Andreas Christensen,CHE,D,3,270,90.00,3.89,1.97,0.83,1.89,3.06,11.68,2.50,9.18,0.48,0
262,Conor Coady,WOL,D,13,1170,90.00,3.88,3.99,2.96,6.14,0.92,50.44,38.50,11.94,4.04,4
263,Ruben Loftus-Cheek,CHE,M,7,526,75.14,3.80,2.95,3.29,2.66,0.51,26.58,23.00,3.58,1.28,4
264,Oliver Norwood,SHU,M,4,293,73.25,3.73,2.26,3.50,2.03,0.23,14.92,14.00,0.92,0.32,0
265,Kyle Bartley,WBA,D,8,720,90.00,3.70,3.98,3.16,7.10,0.54,29.61,25.25,4.36,0.16,1
266,Fabian Schar,NEW,D,3,270,90.00,3.69,2.39,-0.33,0.77,4.02,11.06,-1.00,12.06,1.36,0
267,Nathan Ake,MCI,D,4,360,90.00,3.67,4.43,3.06,0.82,0.61,14.69,12.25,2.44,1.84,1
268,Tyrick Mitchell,CRY,D,6,540,90.00,3.65,4.47,2.67,5.50,0.98,21.88,16.00,5.88,1.28,1
269,Jamaal Lascelles,NEW,D,7,628,89.71,3.63,3.30,1.86,4.55,1.77,25.38,13.00,12.38,1.68,1
270,Moussa Sissoko,TOT,M,11,978,88.91,3.56,2.37,3.59,2.03,-0.03,39.18,39.50,-0.32,4.08,5
271,Romaine Sawyers,WBA,M,10,827,82.70,3.51,2.64,3.50,2.67,0.01,35.08,35.00,0.08,0.48,1
272,Jeff Hendrick,NEW,M,10,825,82.50,3.50,3.51,4.85,6.78,-1.35,35.04,48.50,-13.46,2.64,2
273,Isaac Hayden,NEW,M,7,630,90.00,3.35,1.93,3.07,1.70,0.28,23.46,21.50,1.96,1.76,1
274,John Egan,SHU,D,12,1080,90.00,3.19,3.13,1.54,4.22,1.65,38.28,18.50,19.78,1.28,0
275,Denis Odoi,FUL,D,3,270,90.00,3.08,2.56,-0.92,2.97,4.00,9.25,-2.75,12.00,0.00,0
276,Mohamed Elneny,ARS,M,8,694,86.75,3.00,2.74,2.38,2.47,0.63,24.02,19.00,5.02,4.32,2
