,Date,Team,home,Opponent,sca_1_player,sca_1_pos,sca_1_event,sca_2_player,sca_2_pos,sca_2_event,shot_player,shot_pos,shot_outcome,shot_distance,shot_body_part,shot_notes,minute
0,August-9-2019,Norwich City,0,Liverpool,Teemu Pukki,FW,Pass (Live),,nan,,Marco Stiepermann,AM,Off Target,16.0,Left Foot,,5
1,August-9-2019,Norwich City,0,Liverpool,Teemu Pukki,FW,Pass (Live),Jamal Lewis,LB,Pass (Live),Marco Stiepermann,AM,Off Target,17.0,Left Foot,,10
2,August-9-2019,Norwich City,0,Liverpool,Jamal Lewis,LB,Pass (Live),Tom Trybull,CM,Pass (Live),Teemu Pukki,FW,Blocked,14.0,Left Foot,,15
3,August-9-2019,Norwich City,0,Liverpool,Todd Cantwell,LW,Pass (Live),Emi BuendÃ­a,RW,Pass (Live),Teemu Pukki,FW,Wayward,10.0,Left Foot,,15
4,August-9-2019,Liverpool,1,Norwich City,Divock Origi,LW,Pass (Live),,nan,,Andrew Robertson,LB,Off Target,20.0,Left Foot,,16
5,August-9-2019,Liverpool,1,Norwich City,Roberto Firmino,FW,Pass (Live),,nan,,Mohamed Salah,RW,Goal,9.0,Left Foot,,19
6,August-9-2019,Norwich City,0,Liverpool,Todd Cantwell,LW,Pass (Live),,nan,,Emi BuendÃ­a,RW,Saved,22.0,Left Foot,,25
7,August-9-2019,Norwich City,0,Liverpool,Emi BuendÃ­a,RW,Pass (Live),Max Aarons,RB,Pass (Live),Marco Stiepermann,AM,Saved,22.0,Left Foot,Half volley,26
8,August-9-2019,Liverpool,1,Norwich City,Mohamed Salah,RW,Pass (Dead),Georginio Wijnaldum,"CM,FW",Pass (Live),Virgil van Dijk,CB,Goal,8.0,Head,,28
9,August-9-2019,Liverpool,1,Norwich City,Trent Alexander-Arnold,RB,Pass (Live),,nan,,Roberto Firmino,FW,Saved,13.0,Left Foot,Volley,31
10,August-9-2019,Norwich City,0,Liverpool,Emi BuendÃ­a,RW,Pass (Dead),,nan,,Tom Trybull,CM,Off Target,11.0,Head,,35
11,August-9-2019,Liverpool,1,Norwich City,Trent Alexander-Arnold,RB,Pass (Live),Jordan Henderson,CM,Pass (Live),Divock Origi,LW,Goal,11.0,Head,,42
12,August-9-2019,Liverpool,1,Norwich City,,nan,,,nan,,Roberto Firmino,FW,Blocked,21.0,Left Foot,,45+2
13,August-9-2019,Liverpool,1,Norwich City,Roberto Firmino,FW,Pass (Live),Divock Origi,LW,Pass (Live),Jordan Henderson,CM,Saved to Post,13.0,Right Foot,,48
14,August-9-2019,Liverpool,1,Norwich City,Trent Alexander-Arnold,RB,Pass (Live),Mohamed Salah,RW,Pass (Live),Roberto Firmino,FW,Off Target,3.0,Left Foot,Half volley,48
15,August-9-2019,Liverpool,1,Norwich City,,nan,,,nan,,Mohamed Salah,RW,Off Target,16.0,Left Foot,,54
16,August-9-2019,Liverpool,1,Norwich City,Mohamed Salah,RW,Pass (Live),Divock Origi,LW,Pass (Live),Jordan Henderson,CM,Blocked,17.0,Right Foot,,55
17,August-9-2019,Liverpool,1,Norwich City,Jordan Henderson,CM,Shot,,nan,,Fabinho,DM,Saved,29.0,Right Foot,,55
18,August-9-2019,Liverpool,1,Norwich City,,nan,,,nan,,Andrew Robertson,LB,Off Target,24.0,Left Foot,,58
19,August-9-2019,Norwich City,0,Liverpool,Todd Cantwell,LW,Pass (Live),Moritz Leitner,AM,Pass (Live),Moritz Leitner,AM,Woodwork,15.0,Right Foot,,62
20,August-9-2019,Norwich City,0,Liverpool,Emi BuendÃ­a,RW,Pass (Live),Max Aarons,RB,Pass (Dead),Teemu Pukki,FW,Goal,11.0,Right Foot,,64
21,August-9-2019,Liverpool,1,Norwich City,Mohamed Salah,RW,Pass (Live),Fabinho,DM,Pass (Live),Roberto Firmino,FW,Blocked,17.0,Right Foot,,71
22,August-9-2019,Liverpool,1,Norwich City,Joe Gomez,CB,Pass (Live),,nan,,Trent Alexander-Arnold,RB,Off Target,33.0,Right Foot,,73
23,August-9-2019,Norwich City,0,Liverpool,Moritz Leitner,AM,Pass (Live),Max Aarons,RB,Pass (Live),Onel HernÃ¡ndez,CM,Saved,17.0,Right Foot,,79
24,August-9-2019,Norwich City,0,Liverpool,Teemu Pukki,FW,Fouled,,nan,,Emi BuendÃ­a,RW,Saved,29.0,Right Foot,Free kick,80
25,August-9-2019,Liverpool,1,Norwich City,Roberto Firmino,FW,Fouled,Roberto Firmino,FW,Dribble,Trent Alexander-Arnold,RB,Saved,20.0,Right Foot,Free kick,85
26,August-9-2019,Norwich City,0,Liverpool,Jamal Lewis,LB,Pass (Live),Onel HernÃ¡ndez,CM,Pass (Live),Ben Godfrey,CB,Saved,28.0,Right Foot,,90+1
27,August-9-2019,Norwich City,0,Liverpool,Ben Godfrey,CB,Shot,,nan,,Onel HernÃ¡ndez,CM,Blocked,10.0,Left Foot,,90+1
28,August-10-2019,Manchester City,0,West Ham,Kyle Walker,RB,Pass (Live),John Stones,CB,Pass (Live),Riyad Mahrez,RW,Saved,26.0,Left Foot,,9
29,August-10-2019,Manchester City,0,West Ham,Riyad Mahrez,RW,Pass (Live),David Silva,CM,Pass (Live),David Silva,CM,Off Target,20.0,Left Foot,,15
30,August-10-2019,Manchester City,0,West Ham,Kevin De Bruyne,CM,Pass (Live),Gabriel Jesus,FW,Pass (Live),Riyad Mahrez,RW,Blocked,16.0,Right Foot,,19
31,August-10-2019,Manchester City,0,West Ham,Riyad Mahrez,RW,Dribble,Kevin De Bruyne,CM,Pass (Live),Riyad Mahrez,RW,Off Target,11.0,Left Foot,,21
32,August-10-2019,Manchester City,0,West Ham,Kyle Walker,RB,Pass (Live),Riyad Mahrez,RW,Pass (Live),Gabriel Jesus,FW,Goal,5.0,Left Foot,Half volley,25
33,August-10-2019,Manchester City,0,West Ham,Kevin De Bruyne,CM,Pass (Live),Kyle Walker,RB,Pass (Live),David Silva,CM,Off Target,8.0,Left Foot,Volley,28
34,August-10-2019,West Ham,1,Manchester City,Michail Antonio,LW,Pass (Live),Ryan Fredericks,RB,Pass (Dead),SÃ©bastien Haller,FW,Saved,12.0,Right Foot,Half volley,35
35,August-10-2019,Manchester City,0,West Ham,David Silva,CM,Pass (Live),Kevin De Bruyne,CM,Pass (Live),Kevin De Bruyne,CM,Saved,18.0,Right Foot,,38
36,August-10-2019,Manchester City,0,West Ham,,nan,,,nan,,Gabriel Jesus,FW,Saved,19.0,Right Foot,Half volley,45+1
37,August-10-2019,Manchester City,0,West Ham,Oleksandr Zinchenko,LB,Pass (Live),David Silva,CM,Pass (Live),Raheem Sterling,LW,Saved,11.0,Head,,50
38,August-10-2019,Manchester City,0,West Ham,Kevin De Bruyne,CM,Pass (Live),Riyad Mahrez,RW,Pass (Live),Raheem Sterling,LW,Goal,13.0,Left Foot,,51
39,August-10-2019,Manchester City,0,West Ham,David Silva,CM,Pass (Live),Kevin De Bruyne,CM,Pass (Live),Oleksandr Zinchenko,LB,Off Target,23.0,Left Foot,,57
40,August-10-2019,West Ham,1,Manchester City,Robert Snodgrass,"DM,CM",Pass (Dead),Aaron Cresswell,LB,Fouled,Issa Diop,CB,Off Target,4.0,Head,,60
41,August-10-2019,West Ham,1,Manchester City,Pablo Fornals,"CM,LW",Pass (Live),Javier HernÃ¡ndez,"FW,RW",Pass (Live),Javier HernÃ¡ndez,"FW,RW",Saved,6.0,Left Foot,Volley,73
42,August-10-2019,West Ham,1,Manchester City,Javier HernÃ¡ndez,"FW,RW",Shot,,nan,,Manuel Lanzini,"AM,CM",Saved,8.0,Head,,73
43,August-10-2019,Manchester City,0,West Ham,Riyad Mahrez,RW,Pass (Live),Raheem Sterling,LW,Pass (Live),Raheem Sterling,LW,Goal,8.0,Right Foot,Lob,75
44,August-10-2019,Manchester City,0,West Ham,Riyad Mahrez,RW,Fouled,,nan,,Sergio AgÃ¼ero,FW,Goal,12.0,Right Foot,,86
45,August-10-2019,Manchester City,0,West Ham,Riyad Mahrez,RW,Pass (Live),,nan,,Raheem Sterling,LW,Goal,13.0,Right Foot,,90+2
46,August-10-2019,West Ham,1,Manchester City,Robert Snodgrass,"DM,CM",Fouled,Manuel Lanzini,"AM,CM",Pass (Live),Javier HernÃ¡ndez,"FW,RW",Off Target,28.0,Right Foot,Free kick,90+4
47,August-10-2019,Watford,1,Brighton,Abdoulaye DoucourÃ©,CM,Pass (Live),Andre Gray,FW,Pass (Live),Gerard Deulofeu,AM,Off Target,23.0,Left Foot,,3.0
48,August-10-2019,Brighton,0,Watford,MartÃ­n Montoya,WB,Pass (Live),Pascal GroÃ,AM,Pass (Live),JÃ¼rgen Locadia,AM,Saved,14.0,Right Foot,Half volley,9.0
49,August-10-2019,Watford,1,Brighton,,nan,,,nan,,Troy Deeney,FW,Saved,21.0,Right Foot,,10.0
50,August-10-2019,Brighton,0,Watford,Dale Stephens,DM,Pass (Live),JÃ¼rgen Locadia,AM,Pass (Live),Davy PrÃ¶pper,DM,Off Target,30.0,Left Foot,,13.0
51,August-10-2019,Watford,1,Brighton,Abdoulaye DoucourÃ©,CM,Pass (Live),Gerard Deulofeu,AM,Pass (Live),Will Hughes,AM,Off Target,15.0,Left Foot,,29.0
52,August-10-2019,Watford,1,Brighton,,nan,,,nan,,Ãtienne Capoue,CM,Off Target,34.0,Right Foot,,32.0
53,August-10-2019,Watford,1,Brighton,,nan,,,nan,,Kiko FemenÃ­a,RB,Off Target,32.0,Right Foot,Half volley,35.0
54,August-10-2019,Watford,1,Brighton,Kiko FemenÃ­a,RB,Pass (Live),,nan,,Andre Gray,FW,Saved,11.0,Right Foot,,54.0
55,August-10-2019,Watford,1,Brighton,Will Hughes,AM,Fouled,Kiko FemenÃ­a,RB,Pass (Live),Roberto Pereyra,AM,Blocked,24.0,Right Foot,Free kick,59.0
56,August-10-2019,Brighton,0,Watford,Davy PrÃ¶pper,DM,Pass (Live),MartÃ­n Montoya,WB,Pass (Live),Florin Andone,AM,Goal,7.0,Right Foot,Half volley,65.0
57,August-10-2019,Watford,1,Brighton,Kiko FemenÃ­a,RB,Pass (Live),Roberto Pereyra,AM,Pass (Dead),Craig Dawson,CB,Saved,7.0,Head,,67.0
58,August-10-2019,Brighton,0,Watford,Neal Maupay,FW,Dribble,Lewis Dunk,CB,Pass (Live),Neal Maupay,FW,Goal,13.0,Left Foot,,77.0
59,August-10-2019,Watford,1,Brighton,Roberto Pereyra,AM,Fouled,Will Hughes,AM,Pass (Live),Roberto Pereyra,AM,Blocked,25.0,Right Foot,Free kick,90.0
60,August-10-2019,Watford,1,Brighton,Roberto Pereyra,AM,Shot,,nan,,Roberto Pereyra,AM,Blocked,21.0,Left Foot,Half volley,90.0
61,August-10-2019,Watford,1,Brighton,Troy Deeney,FW,Pass (Live),Kiko FemenÃ­a,RB,Pass (Live),Craig Dawson,CB,Blocked,15.0,Right Foot,Half volley,90.0
62,August-10-2019,Southampton,0,Burnley,Yan Valery,"WB,RB",Pass (Live),Nathan Redmond,"AM,FW",Pass (Live),Che Adams,FW,Off Target,6.0,Right Foot,Volley,2
63,August-10-2019,Southampton,0,Burnley,,nan,,,nan,,Oriol Romeu,DM,Off Target,22.0,Left Foot,Half volley,9
64,August-10-2019,Southampton,0,Burnley,,nan,,,nan,,Che Adams,FW,Blocked,25.0,Right Foot,,12
65,August-10-2019,Southampton,0,Burnley,,nan,,,nan,,James Ward-Prowse,"DM,CM",Saved,29.0,Right Foot,,13
66,August-10-2019,Southampton,0,Burnley,,nan,,,nan,,James Ward-Prowse,"DM,CM",Blocked,21.0,Right Foot,Volley,21
67,August-10-2019,Burnley,1,Southampton,Matthew Lowton,RB,Pass (Live),Jack Cork,CM,Pass (Live),JÃ³hann Berg GuÃ°mundsson,CM,Off Target,24.0,Left Foot,,27
68,August-10-2019,Southampton,0,Burnley,Oriol Romeu,DM,Pass (Live),Che Adams,FW,Dribble,Nathan Redmond,"AM,FW",Saved,15.0,Right Foot,,43
69,August-10-2019,Southampton,0,Burnley,James Ward-Prowse,"DM,CM",Pass (Dead),Nathan Redmond,"AM,FW",Shot,Oriol Romeu,DM,Wayward,10.0,Head,,44
70,August-10-2019,Burnley,1,Southampton,,nan,,,nan,,Ashley Barnes,FW,Off Target,13.0,Left Foot,Half volley,45+1
71,August-10-2019,Burnley,1,Southampton,Ashley Westwood,CM,Pass (Live),,nan,,Erik Pieters,LB,Off Target,34.0,Left Foot,,48
72,August-10-2019,Southampton,0,Burnley,Nathan Redmond,"AM,FW",Fouled,Nathan Redmond,"AM,FW",Dribble,Ryan Bertrand,"WB,LB",Off Target,20.0,Left Foot,Free kick,53
73,August-10-2019,Burnley,1,Southampton,Nick Pope,GK,Pass (Dead),,nan,,Chris Wood,FW,Off Target,20.0,Right Foot,Half volley,54
74,August-10-2019,Burnley,1,Southampton,Ashley Westwood,CM,Pass (Dead),,nan,,James Tarkowski,CB,Blocked,9.0,Head,,58
75,August-10-2019,Southampton,0,Burnley,Danny Ings,AM,Pass (Live),,nan,,Nathan Redmond,"AM,FW",Off Target,21.0,Right Foot,,59
76,August-10-2019,Burnley,1,Southampton,Erik Pieters,LB,Pass (Live),James Tarkowski,CB,Pass (Live),Ashley Barnes,FW,Goal,16.0,Right Foot,Half volley,63
77,August-10-2019,Southampton,0,Burnley,,nan,,,nan,,Oriol Romeu,DM,Blocked,24.0,Right Foot,,67
78,August-10-2019,Burnley,1,Southampton,Erik Pieters,LB,Pass (Live),Ashley Westwood,CM,Pass (Live),Ashley Barnes,FW,Goal,6.0,Right Foot,Volley,70
79,August-10-2019,Burnley,1,Southampton,,nan,,,nan,,JÃ³hann Berg GuÃ°mundsson,CM,Goal,14.0,Left Foot,,75
80,August-10-2019,Burnley,1,Southampton,Ashley Barnes,FW,Dribble,,nan,,Ashley Barnes,FW,Saved,6.0,Left Foot,,79
81,August-10-2019,Southampton,0,Burnley,Jan Bednarek,CB,Pass (Live),,nan,,Jannik Vestergaard,CB,Saved,6.0,Right Foot,,82
82,August-10-2019,Southampton,0,Burnley,Sofiane Boufal,LW,Pass (Live),James Ward-Prowse,"DM,CM",Pass (Dead),Jan Bednarek,CB,Off Target,14.0,Right Foot,,90
83,August-10-2019,Sheffield Utd,0,Bournemouth,John Lundstram,CM,Pass (Live),Enda Stevens,"WB,LB",Pass (Dead),David McGoldrick,FW,Saved,22.0,Right Foot,Half volley,1
84,August-10-2019,Bournemouth,1,Sheffield Utd,Jefferson Lerma,DM,Dribble,Nathan AkÃ©,CB,Pass (Live),Jefferson Lerma,DM,Off Target,32.0,Right Foot,Half volley,5
85,August-10-2019,Sheffield Utd,0,Bournemouth,John Fleck,CM,Pass (Live),Jack O'Connell,CB,Pass (Live),Callum Robinson,"FW,AM",Saved,26.0,Right Foot,,21
86,August-10-2019,Bournemouth,1,Sheffield Utd,Diego Rico,WB,Pass (Live),Ryan Fraser,AM,Pass (Live),Philip Billing,DM,Off Target,31.0,Left Foot,,26
87,August-10-2019,Sheffield Utd,0,Bournemouth,John Fleck,CM,Pass (Live),,nan,,John Lundstram,CM,Off Target,29.0,Left Foot,,42
88,August-10-2019,Bournemouth,1,Sheffield Utd,Philip Billing,DM,Pass (Live),,nan,,Chris Mepham,CB,Off Target,13.0,Right Foot,,45
89,August-10-2019,Sheffield Utd,0,Bournemouth,Oliver Norwood,DM,Pass (Live),John Lundstram,CM,Pass (Live),Callum Robinson,"FW,AM",Blocked,13.0,Left Foot,,45+2
90,August-10-2019,Sheffield Utd,0,Bournemouth,,nan,,,nan,,George Baldock,"WB,RB",Off Target,24.0,Right Foot,Half volley,47
91,August-10-2019,Sheffield Utd,0,Bournemouth,John Lundstram,CM,Pass (Live),Chris Basham,CB,Pass (Live),David McGoldrick,FW,Off Target,23.0,Right Foot,Half volley,49
92,August-10-2019,Bournemouth,1,Sheffield Utd,Joshua King,AM,Pass (Live),Ryan Fraser,AM,Pass (Live),Jefferson Lerma,DM,Blocked,25.0,Right Foot,,53
93,August-10-2019,Bournemouth,1,Sheffield Utd,,nan,,,nan,,Joshua King,AM,Blocked,16.0,Right Foot,Volley,56
94,August-10-2019,Bournemouth,1,Sheffield Utd,,nan,,,nan,,Philip Billing,DM,Saved,26.0,Left Foot,,59
95,August-10-2019,Bournemouth,1,Sheffield Utd,Ryan Fraser,AM,Pass (Dead),Philip Billing,DM,Shot,Nathan AkÃ©,CB,Wayward,12.0,Head,,61
96,August-10-2019,Bournemouth,1,Sheffield Utd,Philip Billing,DM,Pass (Live),Ryan Fraser,AM,Pass (Dead),Nathan AkÃ©,CB,Blocked,7.0,Left Foot,Overhead kick,62
97,August-10-2019,Bournemouth,1,Sheffield Utd,Nathan AkÃ©,CB,Shot,,nan,,Callum Wilson,FW,Saved,3.0,Left Foot,Volley,62
98,August-10-2019,Bournemouth,1,Sheffield Utd,Callum Wilson,FW,Shot,,nan,,Chris Mepham,CB,Goal,5.0,Right Foot,Half volley,62
99,August-10-2019,Bournemouth,1,Sheffield Utd,,nan,,,nan,,Steve Cook,CB,Wayward,17.0,Right Foot,Overhead kick,76
100,August-10-2019,Bournemouth,1,Sheffield Utd,,nan,,,nan,,Diego Rico,WB,Off Target,29.0,Left Foot,Half volley,78
101,August-10-2019,Sheffield Utd,0,Bournemouth,George Baldock,"WB,RB",Pass (Live),Oliver Norwood,DM,Pass (Dead),Oliver McBurnie,FW,Wayward,8.0,Right Foot,,88
102,August-10-2019,Sheffield Utd,0,Bournemouth,Oliver McBurnie,FW,Shot,,nan,,Billy Sharp,FW,Goal,5.0,Left Foot,Half volley,88
103,August-10-2019,Bournemouth,1,Sheffield Utd,Dominic Solanke,FW,Fouled,,nan,,Ryan Fraser,AM,Off Target,21.0,Right Foot,Free kick,90+3
104,August-10-2019,Everton,0,Crystal Palace,,nan,,,nan,,Gylfi SigurÃ°sson,AM,Off Target,14.0,Right Foot,Half volley,2.0
105,August-10-2019,Everton,0,Crystal Palace,Gylfi SigurÃ°sson,AM,Pass (Dead),,nan,,Richarlison,RW,Blocked,12.0,Left Foot,,14.0
106,August-10-2019,Crystal Palace,1,Everton,Luka MilivojeviÄ,CM,Pass (Dead),Jordan Ayew,FW,Fouled,Christian Benteke,FW,Blocked,18.0,Right Foot,,28.0
107,August-10-2019,Crystal Palace,1,Everton,Jordan Ayew,FW,Pass (Live),,nan,,Max Meyer,CM,Blocked,16.0,Left Foot,,29.0
108,August-10-2019,Everton,0,Crystal Palace,Morgan Schneiderlin,"CM,AM",Pass (Live),Bernard,LW,Pass (Live),Lucas Digne,LB,Blocked,16.0,Left Foot,,31.0
109,August-10-2019,Everton,0,Crystal Palace,Lucas Digne,LB,Shot,,nan,,SÃ©amus Coleman,RB,Saved,7.0,Right Foot,,31.0
110,August-10-2019,Everton,0,Crystal Palace,Bernard,LW,Pass (Live),SÃ©amus Coleman,RB,Shot,Dominic Calvert-Lewin,FW,Off Target,6.0,Head,,31.0
111,August-10-2019,Everton,0,Crystal Palace,AndrÃ© Gomes,CM,Pass (Live),,nan,,Gylfi SigurÃ°sson,AM,Blocked,24.0,Right Foot,,38.0
112,August-10-2019,Crystal Palace,1,Everton,Luka MilivojeviÄ,CM,Pass (Dead),Andros Townsend,CM,Fouled,Max Meyer,CM,Blocked,11.0,Right Foot,,40.0
113,August-10-2019,Crystal Palace,1,Everton,Luka MilivojeviÄ,CM,Pass (Dead),,nan,,Scott Dann,CB,Blocked,3.0,Head,,42.0
114,August-10-2019,Everton,0,Crystal Palace,Lucas Digne,LB,Pass (Live),Dominic Calvert-Lewin,FW,Pass (Live),Gylfi SigurÃ°sson,AM,Blocked,7.0,Right Foot,Volley,52.0
115,August-10-2019,Everton,0,Crystal Palace,Dominic Calvert-Lewin,FW,Pass (Live),SÃ©amus Coleman,RB,Pass (Live),Richarlison,RW,Blocked,27.0,Left Foot,,54.0
116,August-10-2019,Crystal Palace,1,Everton,Christian Benteke,FW,Pass (Live),,nan,,Jordan Ayew,FW,Saved,16.0,Right Foot,,56.0
117,August-10-2019,Crystal Palace,1,Everton,Andros Townsend,CM,Pass (Live),Christian Benteke,FW,Pass (Live),Max Meyer,CM,Saved,10.0,Left Foot,,57.0
118,August-10-2019,Everton,0,Crystal Palace,Richarlison,RW,Pass (Live),Morgan Schneiderlin,"CM,AM",Pass (Live),Gylfi SigurÃ°sson,AM,Saved,24.0,Left Foot,,62.0
119,August-10-2019,Everton,0,Crystal Palace,,nan,,,nan,,Richarlison,RW,Off Target,18.0,Left Foot,,68.0
120,August-10-2019,Crystal Palace,1,Everton,,nan,,,nan,,Wilfried Zaha,FW,Blocked,14.0,Left Foot,,74.0
121,August-10-2019,Tottenham,1,Aston Villa,Lucas Moura,"FW,RW",Fouled,,nan,,Lucas Moura,"FW,RW",Off Target,22,Right Foot,,1
122,August-10-2019,Tottenham,1,Aston Villa,Danny Rose,LB,Pass (Live),Moussa Sissoko,CM,Pass (Live),Lucas Moura,"FW,RW",Saved,7,Head,,5
123,August-10-2019,Tottenham,1,Aston Villa,Kyle Walker-Peters,RB,Fouled,Lucas Moura,"FW,RW",Pass (Live),Ãrik Lamela,"AM,LW",Off Target,24,Left Foot,Free kick,8
124,August-10-2019,Aston Villa,0,Tottenham,John McGinn,CM,Dribble,Tyrone Mings,CB,Pass (Live),John McGinn,CM,Goal,10,Left Foot,,9
125,August-10-2019,Aston Villa,0,Tottenham,John McGinn,CM,Pass (Live),Conor Hourihane,DM,Pass (Live),TrÃ©zÃ©guet,CM,Blocked,12,Left Foot,,21
126,August-10-2019,Aston Villa,0,Tottenham,Jack Grealish,CM,Pass (Live),,nan,,TrÃ©zÃ©guet,CM,Saved,16,Right Foot,,32
127,August-10-2019,Tottenham,1,Aston Villa,Davinson SÃ¡nchez,CB,Pass (Live),,nan,,Harry Kane,FW,Off Target,21,Left Foot,,34
128,August-10-2019,Aston Villa,0,Tottenham,TrÃ©zÃ©guet,CM,Pass (Live),Jack Grealish,CM,Pass (Live),Wesley Moraes,FW,Saved,13,Head,,36
129,August-10-2019,Tottenham,1,Aston Villa,Lucas Moura,"FW,RW",Pass (Live),Tanguy Ndombele,CM,Pass (Live),Harry Winks,DM,Off Target,27,Left Foot,,39
130,August-10-2019,Tottenham,1,Aston Villa,Danny Rose,LB,Pass (Live),Harry Winks,DM,Pass (Live),Moussa Sissoko,CM,Off Target,31,Right Foot,,42
131,August-10-2019,Aston Villa,0,Tottenham,Conor Hourihane,DM,Pass (Live),,nan,,Anwar El Ghazi,CM,Saved,28,Right Foot,,43
132,August-10-2019,Tottenham,1,Aston Villa,Tanguy Ndombele,CM,Pass (Live),Kyle Walker-Peters,RB,Pass (Live),Harry Kane,FW,Off Target,5,Head,,45
133,August-10-2019,Tottenham,1,Aston Villa,,nan,,,nan,,Ãrik Lamela,"AM,LW",Blocked,10,Left Foot,,46
134,August-10-2019,Tottenham,1,Aston Villa,Ãrik Lamela,"AM,LW",Pass (Live),Harry Kane,FW,Pass (Live),Moussa Sissoko,CM,Wayward,8,Right Foot,,50
135,August-10-2019,Tottenham,1,Aston Villa,Ãrik Lamela,"AM,LW",Pass (Live),Lucas Moura,"FW,RW",Pass (Live),Harry Kane,FW,Blocked,19,Left Foot,,55
136,August-10-2019,Tottenham,1,Aston Villa,Harry Winks,DM,Pass (Live),Kyle Walker-Peters,RB,Pass (Live),Tanguy Ndombele,CM,Off Target,31,Right Foot,,58
137,August-10-2019,Tottenham,1,Aston Villa,Toby Alderweireld,CB,Pass (Live),Lucas Moura,"FW,RW",Pass (Live),Kyle Walker-Peters,RB,Blocked,22,Right Foot,,64
138,August-10-2019,Tottenham,1,Aston Villa,Ãrik Lamela,"AM,LW",Pass (Dead),Kyle Walker-Peters,RB,Shot,Toby Alderweireld,CB,Off Target,8,Head,,65
139,August-10-2019,Tottenham,1,Aston Villa,,nan,,,nan,,Harry Kane,FW,Blocked,16,Right Foot,,65
140,August-10-2019,Tottenham,1,Aston Villa,Ãrik Lamela,"AM,LW",Pass (Live),,nan,,Ãrik Lamela,"AM,LW",Blocked,37,Left Foot,Half volley,67
141,August-10-2019,Tottenham,1,Aston Villa,Harry Kane,FW,Pass (Live),Ãrik Lamela,"AM,LW",Pass (Live),Christian Eriksen,AM,Off Target,19,Right Foot,,69
142,August-10-2019,Tottenham,1,Aston Villa,Kyle Walker-Peters,RB,Pass (Live),Moussa Sissoko,CM,Pass (Live),Christian Eriksen,AM,Blocked,26,Left Foot,,72
143,August-10-2019,Tottenham,1,Aston Villa,,nan,,,nan,,Moussa Sissoko,CM,Blocked,15,Right Foot,,72
144,August-10-2019,Tottenham,1,Aston Villa,Christian Eriksen,AM,Pass (Live),Moussa Sissoko,CM,Pass (Live),Davinson SÃ¡nchez,CB,Saved,7,Right Foot,Half volley,73
145,August-10-2019,Tottenham,1,Aston Villa,Lucas Moura,"FW,RW",Pass (Live),Lucas Moura,"FW,RW",Dribble,Tanguy Ndombele,CM,Goal,24,Right Foot,Deflected,73
146,August-10-2019,Tottenham,1,Aston Villa,Christian Eriksen,AM,Pass (Live),,nan,,Harry Kane,FW,Blocked,14,Right Foot,,74
147,August-10-2019,Tottenham,1,Aston Villa,Danny Rose,LB,Fouled,,nan,,Christian Eriksen,AM,Saved,23,Right Foot,Free kick,78
148,August-10-2019,Tottenham,1,Aston Villa,Tanguy Ndombele,CM,Pass (Live),Christian Eriksen,AM,Pass (Live),Davinson SÃ¡nchez,CB,Wayward,5,Right Foot,Overhead kick,78
149,August-10-2019,Tottenham,1,Aston Villa,Danny Rose,LB,Pass (Live),Lucas Moura,"FW,RW",Pass (Live),Toby Alderweireld,CB,Saved,18,Left Foot,"Deflected, Half volley",80
150,August-10-2019,Tottenham,1,Aston Villa,Harry Kane,FW,Pass (Live),Lucas Moura,"FW,RW",Pass (Live),Moussa Sissoko,CM,Blocked,21,Right Foot,,84
151,August-10-2019,Tottenham,1,Aston Villa,,nan,,,nan,,Ãrik Lamela,"AM,LW",Blocked,25,Left Foot,,86
152,August-10-2019,Tottenham,1,Aston Villa,Ãrik Lamela,"AM,LW",Shot,,nan,,Harry Kane,FW,Goal,11,Left Foot,,86
153,August-10-2019,Aston Villa,0,Tottenham,,nan,,,nan,,Anwar El Ghazi,CM,Off Target,38,Right Foot,,88
154,August-10-2019,Tottenham,1,Aston Villa,,nan,,,nan,,Lucas Moura,"FW,RW",Off Target,20,Right Foot,,89
155,August-10-2019,Tottenham,1,Aston Villa,Moussa Sissoko,CM,Pass (Live),,nan,,Harry Kane,FW,Goal,18,Right Foot,,90
156,August-10-2019,Aston Villa,0,Tottenham,,nan,,,nan,,John McGinn,CM,Off Target,18,Left Foot,,90+2
157,August-10-2019,Tottenham,1,Aston Villa,Harry Kane,FW,Pass (Live),Lucas Moura,"FW,RW",Pass (Live),Georges-KÃ©vin N'Koudou,LW,Blocked,21,Right Foot,,90+3
158,August-11-2019,Newcastle Utd,1,Arsenal,Matt Ritchie,"WB,CM",Pass (Live),Miguel AlmirÃ³n,FW,Pass (Live),Joelinton,FW,Off Target,8.0,Head,,17
159,August-11-2019,Newcastle Utd,1,Arsenal,Matt Ritchie,"WB,CM",Pass (Dead),,nan,,Jonjo Shelvey,DM,Woodwork,22.0,Right Foot,Half volley,20
160,August-11-2019,Newcastle Utd,1,Arsenal,,nan,,,nan,,Jonjo Shelvey,DM,Blocked,22.0,Right Foot,Half volley,22
161,August-11-2019,Arsenal,0,Newcastle Utd,Nacho Monreal,LB,Pass (Live),Granit Xhaka,DM,Pass (Live),Henrikh Mkhitaryan,RW,Off Target,15.0,Left Foot,,23
162,August-11-2019,Newcastle Utd,1,Arsenal,Joelinton,FW,Dribble,Isaac Hayden,"CM,DM",Pass (Live),Joelinton,FW,Saved,15.0,Left Foot,,26
