,Player,#,Nation,Pos,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Date,Team,Opponent
28,Sebastien Haller,22.0,fr FRA,FW,90.0,0,0,0,0,0,2,0,2,3,0.0,0.0,0,4.0,2.0,5.0,28.6,08/10/19,West Ham,Manchester City
29,Michail Antonio,30.0,eng ENG,LW,45.0,0,0,0,0,0,0,1,1,1,0.0,0.0,0,3.0,5.0,3.0,62.5,08/10/19,West Ham,Manchester City
30,Pablo Fornals,18.0,es ESP,"CM,LW",45.0,0,0,0,0,2,0,1,0,3,0.0,0.0,0,3.0,0.0,1.0,0.0,08/10/19,West Ham,Manchester City
31,Felipe Anderson,8.0,br BRA,RW,65.0,1,0,0,1,1,0,2,0,0,0.0,0.0,0,3.0,0.0,1.0,0.0,08/10/19,West Ham,Manchester City
32,Javier HernÃ¡ndez,9.0,mx MEX,"FW,RW",25.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,2.0,0.0,1.0,0.0,08/10/19,West Ham,Manchester City
33,Manuel Lanzini,10.0,ar ARG,"AM,CM",90.0,0,0,0,0,1,0,1,0,1,0.0,0.0,0,7.0,0.0,1.0,0.0,08/10/19,West Ham,Manchester City
34,Declan Rice,41.0,eng ENG,"CM,DM",90.0,0,0,0,0,1,0,0,2,1,0.0,0.0,0,9.0,0.0,0.0,,08/10/19,West Ham,Manchester City
35,Jack Wilshere,19.0,eng ENG,CM,55.0,0,0,0,0,3,0,0,0,0,0.0,0.0,0,9.0,3.0,0.0,100.0,08/10/19,West Ham,Manchester City
36,Robert Snodgrass,11.0,sco SCO,"DM,CM",35.0,0,0,0,1,1,0,3,0,0,0.0,0.0,0,3.0,0.0,1.0,0.0,08/10/19,West Ham,Manchester City
37,Aaron Cresswell,3.0,eng ENG,LB,90.0,0,0,0,0,1,0,1,0,0,0.0,0.0,0,2.0,0.0,2.0,0.0,08/10/19,West Ham,Manchester City
38,Issa Diop,23.0,fr FRA,CB,90.0,0,0,0,1,1,0,0,2,2,0.0,1.0,0,10.0,2.0,0.0,100.0,08/10/19,West Ham,Manchester City
39,Fabian Balbuena,4.0,py PAR,CB,90.0,1,0,0,2,0,0,0,0,0,0.0,0.0,0,7.0,2.0,1.0,66.7,08/10/19,West Ham,Manchester City
40,Ryan Fredericks,24.0,eng ENG,RB,90.0,0,0,0,1,2,0,3,1,2,0.0,0.0,0,5.0,2.0,0.0,100.0,08/10/19,West Ham,Manchester City
41,Åukasz FabiaÅski,1.0,pl POL,GK,90.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,5.0,0.0,0.0,,08/10/19,West Ham,Manchester City
42,Gabriel Jesus,9.0,br BRA,FW,68.0,0,0,0,3,2,0,0,0,1,0.0,0.0,0,3.0,1.0,3.0,25.0,08/10/19,Manchester City,West Ham
43,Sergio Aguero,10.0,ar ARG,FW,22.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,2.0,0.0,0.0,,08/10/19,Manchester City,West Ham
44,Raheem Sterling,7.0,eng ENG,LW,90.0,1,0,0,3,2,2,0,1,1,0.0,0.0,0,3.0,2.0,1.0,66.7,08/10/19,Manchester City,West Ham
45,Riyad Mahrez,26.0,dz ALG,RW,90.0,0,0,0,1,1,1,0,2,3,1.0,0.0,0,7.0,0.0,0.0,,08/10/19,Manchester City,West Ham
46,David Silva,21.0,es ESP,CM,79.0,0,0,0,1,0,1,1,0,1,0.0,0.0,0,5.0,0.0,3.0,0.0,08/10/19,Manchester City,West Ham
47,Phil Foden,47.0,eng ENG,"AM,CM",11.0,0,0,0,0,0,0,0,1,0,0.0,0.0,0,0.0,0.0,0.0,,08/10/19,Manchester City,West Ham
48,Kevin De Bruyne,17.0,be BEL,CM,78.0,0,0,0,1,0,0,2,2,2,0.0,0.0,0,6.0,0.0,0.0,,08/10/19,Manchester City,West Ham
49,Ilkay Gundogan,8.0,de GER,"DM,CM",12.0,0,0,0,0,0,0,0,1,1,0.0,0.0,0,1.0,0.0,0.0,,08/10/19,Manchester City,West Ham
50,Rodrigo,16.0,es ESP,DM,90.0,0,0,0,3,0,0,0,0,2,0.0,0.0,0,15.0,4.0,0.0,100.0,08/10/19,Manchester City,West Ham
51,Oleksandr Zinchenko,11.0,ua UKR,LB,90.0,0,0,0,0,0,0,3,0,1,0.0,0.0,0,6.0,2.0,3.0,40.0,08/10/19,Manchester City,West Ham
52,Aymeric Laporte,14.0,fr FRA,CB,90.0,0,0,0,0,1,0,0,4,1,0.0,0.0,0,7.0,5.0,3.0,62.5,08/10/19,Manchester City,West Ham
53,John Stones,5.0,eng ENG,CB,90.0,0,0,0,0,0,0,0,0,3,0.0,0.0,0,8.0,0.0,0.0,,08/10/19,Manchester City,West Ham
54,Kyle Walker,2.0,eng ENG,RB,90.0,1,0,0,1,0,0,0,1,1,0.0,0.0,0,13.0,2.0,3.0,40.0,08/10/19,Manchester City,West Ham
55,Ederson,31.0,br BRA,GK,90.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,4.0,0.0,0.0,,08/10/19,Manchester City,West Ham
56,Troy Deeney,9.0,eng ENG,FW,90.0,0,0,0,2,1,0,0,0,0,0.0,0.0,0,5.0,0.0,10.0,0.0,08/10/19,Watford,Brighton
57,Andre Gray,18.0,eng ENG,FW,74.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0,2.0,1.0,3.0,25.0,08/10/19,Watford,Brighton
58,Isaac Success,22.0,ng NGA,FW,16.0,0,0,0,0,0,0,1,0,0,0.0,0.0,0,0.0,0.0,2.0,0.0,08/10/19,Watford,Brighton
59,Gerard Deulofeu,7.0,es ESP,AM,45.0,0,0,0,1,0,0,1,0,0,0.0,0.0,0,7.0,0.0,0.0,,08/10/19,Watford,Brighton
60,Roberto Pereyra,37.0,ar ARG,AM,45.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0,6.0,0.0,0.0,,08/10/19,Watford,Brighton
61,Will Hughes,19.0,eng ENG,AM,90.0,0,0,0,3,3,0,2,4,1,0.0,0.0,0,7.0,0.0,0.0,,08/10/19,Watford,Brighton
62,Etienne Capoue,29.0,fr FRA,CM,90.0,0,0,0,1,3,0,0,3,0,0.0,0.0,0,9.0,1.0,0.0,100.0,08/10/19,Watford,Brighton
63,Abdoulaye Doucoure,16.0,fr FRA,CM,90.0,0,0,0,1,2,0,0,1,1,0.0,0.0,1,10.0,1.0,0.0,100.0,08/10/19,Watford,Brighton
64,Jose Holebas,25.0,gr GRE,LB,90.0,0,0,0,4,0,0,6,0,3,0.0,0.0,0,9.0,2.0,1.0,66.7,08/10/19,Watford,Brighton
65,Craig Cathcart,15.0,nir NIR,CB,90.0,0,0,0,1,1,0,0,0,0,0.0,0.0,0,16.0,2.0,2.0,50.0,08/10/19,Watford,Brighton
66,Craig Dawson,4.0,eng ENG,CB,90.0,0,0,0,1,0,0,0,3,1,0.0,0.0,0,6.0,2.0,0.0,100.0,08/10/19,Watford,Brighton
67,Kiko Femenia,21.0,es ESP,RB,90.0,0,0,0,0,0,0,4,1,1,0.0,0.0,0,10.0,0.0,0.0,,08/10/19,Watford,Brighton
68,Ben Foster,26.0,eng ENG,GK,90.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,,08/10/19,Watford,Brighton
69,Glenn Murray,17.0,eng ENG,FW,63.0,0,0,0,2,2,3,0,0,0,0.0,0.0,0,2.0,2.0,2.0,50.0,08/10/19,Brighton,Watford
70,Neal Maupay,7.0,fr FRA,FW,27.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0,2.0,0.0,1.0,0.0,08/10/19,Brighton,Watford
71,JÃ¼rgen Locadia,9.0,nl NED,AM,63.0,0,0,0,0,1,0,1,0,0,0.0,0.0,0,5.0,0.0,2.0,0.0,08/10/19,Brighton,Watford
72,Florin Andone,10.0,ro ROU,AM,27.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0,2.0,0.0,1.0,0.0,08/10/19,Brighton,Watford
73,Pascal Gross,13.0,de GER,AM,90.0,0,0,0,1,2,0,5,0,1,0.0,0.0,0,7.0,0.0,0.0,,08/10/19,Brighton,Watford
74,Dale Stephens,6.0,eng ENG,DM,90.0,0,0,0,3,2,0,0,1,2,0.0,0.0,0,4.0,0.0,1.0,0.0,08/10/19,Brighton,Watford
75,Davy Propper,24.0,nl NED,DM,90.0,0,0,0,0,0,0,2,0,0,0.0,0.0,0,6.0,0.0,0.0,,08/10/19,Brighton,Watford
76,Solly March,20.0,eng ENG,WB,89.0,0,0,0,0,0,0,2,3,2,0.0,0.0,0,12.0,0.0,0.0,,08/10/19,Brighton,Watford
77,Bernardo,30.0,br BRA,WB,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,,08/10/19,Brighton,Watford
78,Martin Montoya,22.0,es ESP,WB,90.0,0,0,0,0,2,0,2,1,1,0.0,0.0,0,6.0,0.0,0.0,,08/10/19,Brighton,Watford
79,Dan Burn,33.0,eng ENG,CB,90.0,0,0,0,1,0,0,0,1,0,0.0,0.0,0,9.0,5.0,1.0,83.3,08/10/19,Brighton,Watford
80,Lewis Dunk,5.0,eng ENG,CB,90.0,1,0,0,2,2,0,0,2,2,0.0,0.0,0,8.0,3.0,0.0,100.0,08/10/19,Brighton,Watford
81,Shane Duffy,4.0,ie IRL,CB,90.0,0,0,0,2,2,0,0,2,3,0.0,0.0,0,9.0,8.0,1.0,88.9,08/10/19,Brighton,Watford
82,Mathew Ryan,1.0,au AUS,GK,90.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,7.0,0.0,0.0,,08/10/19,Brighton,Watford
83,Ashley Barnes,10.0,at AUT,FW,83.0,0,0,0,1,1,2,0,0,0,0.0,0.0,0,6.0,3.0,9.0,25.0,08/10/19,Burnley,Southampton
84,Jay Rodriguez,19.0,eng ENG,FW,7.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1.0,0.0,3.0,0.0,08/10/19,Burnley,Southampton
85,Chris Wood,9.0,nz NZL,FW,90.0,0,0,0,1,1,3,2,0,0,0.0,0.0,0,3.0,3.0,6.0,33.3,08/10/19,Burnley,Southampton
86,Dwight McNeil,11.0,eng ENG,CM,83.0,0,0,0,0,1,0,3,1,2,0.0,0.0,0,6.0,2.0,0.0,100.0,08/10/19,Burnley,Southampton
87,Aaron Lennon,25.0,eng ENG,CM,7.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0,1.0,0.0,1.0,0.0,08/10/19,Burnley,Southampton
88,Ashley Westwood,18.0,eng ENG,CM,90.0,0,0,0,0,0,0,1,0,1,0.0,0.0,0,15.0,0.0,0.0,,08/10/19,Burnley,Southampton
89,Jack Cork,4.0,eng ENG,CM,90.0,0,0,0,1,0,0,0,1,1,0.0,0.0,0,18.0,4.0,2.0,66.7,08/10/19,Burnley,Southampton
90,Johann Gudmundsson,7.0,is ISL,CM,90.0,0,0,0,1,1,0,3,2,2,0.0,0.0,0,6.0,0.0,2.0,0.0,08/10/19,Burnley,Southampton
91,Erik Pieters,23.0,nl NED,LB,90.0,0,0,0,0,1,0,2,2,3,0.0,0.0,0,10.0,1.0,0.0,100.0,08/10/19,Burnley,Southampton
92,Ben Mee,6.0,eng ENG,CB,90.0,0,0,0,0,1,0,0,3,1,0.0,0.0,0,6.0,11.0,2.0,84.6,08/10/19,Burnley,Southampton
93,James Tarkowski,5.0,eng ENG,CB,90.0,0,0,0,1,3,0,0,2,2,0.0,0.0,0,14.0,5.0,0.0,100.0,08/10/19,Burnley,Southampton
94,Matthew Lowton,2.0,eng ENG,RB,90.0,0,0,0,1,1,0,3,2,2,0.0,0.0,0,11.0,1.0,0.0,100.0,08/10/19,Burnley,Southampton
95,Nick Pope,1.0,eng ENG,GK,90.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,10.0,0.0,0.0,,08/10/19,Burnley,Southampton
96,Che Adams,10.0,eng ENG,FW,72.0,0,0,0,4,0,0,0,0,0,0.0,0.0,0,4.0,2.0,11.0,15.4,08/10/19,Southampton,Burnley
97,Sofiane Boufal,19.0,ma MAR,LW,18.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1.0,0.0,1.0,0.0,08/10/19,Southampton,Burnley
98,Nathan Redmond,22.0,eng ENG,"AM,FW",90.0,0,0,0,2,2,0,0,0,0,0.0,0.0,0,8.0,0.0,2.0,0.0,08/10/19,Southampton,Burnley
99,Danny Ings,9.0,eng ENG,AM,65.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,3.0,1.0,3.0,25.0,08/10/19,Southampton,Burnley
100,Michael Obafemi,20.0,ie IRL,"RW,AM",25.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0,0.0,0.0,1.0,0.0,08/10/19,Southampton,Burnley
101,James Ward-Prowse,16.0,eng ENG,"DM,CM",90.0,0,0,0,0,1,0,4,1,1,0.0,0.0,0,15.0,2.0,1.0,66.7,08/10/19,Southampton,Burnley
102,Oriol Romeu,14.0,es ESP,DM,90.0,0,0,0,2,1,0,0,2,1,0.0,0.0,0,18.0,2.0,3.0,40.0,08/10/19,Southampton,Burnley
103,Ryan Bertrand,21.0,eng ENG,"WB,LB",90.0,0,0,0,1,1,0,3,1,0,0.0,0.0,0,10.0,6.0,0.0,100.0,08/10/19,Southampton,Burnley
104,Yan Valery,43.0,fr FRA,"WB,RB",90.0,0,0,0,1,0,1,3,0,1,0.0,0.0,0,6.0,2.0,4.0,33.3,08/10/19,Southampton,Burnley
105,Jannik Vestergaard,4.0,dk DEN,CB,90.0,0,0,0,0,0,0,0,1,1,0.0,0.0,0,13.0,2.0,2.0,50.0,08/10/19,Southampton,Burnley
106,Jack Stephens,5.0,eng ENG,CB,72.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,13.0,3.0,1.0,75.0,08/10/19,Southampton,Burnley
107,Pierre-Emile Hojbjerg,23.0,dk DEN,"CM,CB",18.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0.0,0.0,0.0,,08/10/19,Southampton,Burnley
108,Jan Bednarek,35.0,pl POL,CB,90.0,0,0,0,1,1,0,0,3,0,0.0,0.0,0,14.0,5.0,1.0,83.3,08/10/19,Southampton,Burnley
109,Angus Gunn,28.0,eng ENG,GK,90.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,7.0,0.0,0.0,,08/10/19,Southampton,Burnley
110,Callum Wilson,13.0,eng ENG,FW,89.0,0,0,0,2,1,1,1,0,0,0.0,0.0,0,0.0,0.0,7.0,0.0,08/10/19,Bournemouth,Sheffield Utd
111,Dominic Solanke,9.0,eng ENG,FW,1.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0,1.0,0.0,1.0,0.0,08/10/19,Bournemouth,Sheffield Utd
112,Ryan Fraser,24.0,sco SCO,AM,90.0,1,0,0,1,4,0,7,0,0,0.0,0.0,0,3.0,0.0,0.0,,08/10/19,Bournemouth,Sheffield Utd
113,Joshua King,7.0,no NOR,AM,90.0,0,0,0,1,1,0,0,0,0,0.0,0.0,0,9.0,3.0,2.0,60.0,08/10/19,Bournemouth,Sheffield Utd
114,Jefferson Lerma,8.0,co COL,DM,90.0,0,0,0,0,3,0,0,0,1,0.0,0.0,0,21.0,0.0,1.0,0.0,08/10/19,Bournemouth,Sheffield Utd
115,Philip Billing,29.0,dk DEN,DM,90.0,0,0,0,2,0,0,0,4,3,0.0,0.0,0,15.0,1.0,3.0,25.0,08/10/19,Bournemouth,Sheffield Utd
116,Diego Rico,21.0,es ESP,WB,90.0,0,0,0,0,0,0,4,3,0,0.0,0.0,0,14.0,0.0,0.0,,08/10/19,Bournemouth,Sheffield Utd
117,Adam Smith,15.0,eng ENG,WB,90.0,1,0,0,1,2,0,2,0,1,0.0,0.0,0,6.0,0.0,0.0,,08/10/19,Bournemouth,Sheffield Utd
118,Nathan Ake,5.0,nl NED,CB,90.0,0,0,0,1,0,0,0,2,3,0.0,0.0,0,5.0,1.0,2.0,33.3,08/10/19,Bournemouth,Sheffield Utd
119,Steve Cook,3.0,eng ENG,CB,90.0,0,0,0,0,1,0,0,2,0,0.0,0.0,0,14.0,0.0,0.0,,08/10/19,Bournemouth,Sheffield Utd
120,Chris Mepham,33.0,wal WAL,CB,90.0,0,0,0,2,3,0,0,1,0,0.0,0.0,0,16.0,2.0,2.0,50.0,08/10/19,Bournemouth,Sheffield Utd
121,Aaron Ramsdale,12.0,eng ENG,GK,90.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0,5.0,0.0,0.0,,08/10/19,Bournemouth,Sheffield Utd
122,David McGoldrick,17.0,ie IRL,FW,62.0,0,0,0,3,3,0,0,0,1,0.0,0.0,0,3.0,4.0,2.0,66.7,08/10/19,Sheffield Utd,Bournemouth
123,Oliver McBurnie,9.0,sco SCO,FW,28.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,2.0,2.0,0.0,100.0,08/10/19,Sheffield Utd,Bournemouth
124,Callum Robinson,11.0,ie IRL,"FW,AM",90.0,0,0,0,4,0,0,0,2,1,0.0,0.0,0,5.0,0.0,1.0,0.0,08/10/19,Sheffield Utd,Bournemouth
125,John Fleck,4.0,sco SCO,CM,90.0,1,0,0,2,0,0,4,0,1,0.0,0.0,0,9.0,0.0,0.0,,08/10/19,Sheffield Utd,Bournemouth
126,John Lundstram,7.0,eng ENG,CM,77.0,0,0,0,0,0,0,3,1,0,0.0,0.0,0,5.0,0.0,0.0,,08/10/19,Sheffield Utd,Bournemouth
127,Luke Freeman,8.0,eng ENG,CM,13.0,0,0,0,0,1,0,2,0,0,0.0,0.0,0,3.0,0.0,0.0,,08/10/19,Sheffield Utd,Bournemouth
128,Oliver Norwood,16.0,nir NIR,DM,90.0,0,0,0,2,1,0,7,4,2,0.0,0.0,0,16.0,0.0,1.0,0.0,08/10/19,Sheffield Utd,Bournemouth
129,Enda Stevens,3.0,ie IRL,"WB,LB",90.0,0,0,0,4,0,0,1,0,0,0.0,0.0,0,6.0,1.0,1.0,50.0,08/10/19,Sheffield Utd,Bournemouth
130,George Baldock,2.0,eng ENG,"WB,RB",90.0,0,0,0,1,0,1,1,1,0,0.0,0.0,0,4.0,0.0,2.0,0.0,08/10/19,Sheffield Utd,Bournemouth
131,Jack O'Connell,5.0,eng ENG,CB,90.0,0,0,0,0,2,0,0,2,2,0.0,0.0,0,10.0,4.0,0.0,100.0,08/10/19,Sheffield Utd,Bournemouth
132,John Egan,12.0,ie IRL,CB,90.0,0,0,0,1,1,0,0,3,3,0.0,0.0,0,6.0,6.0,0.0,100.0,08/10/19,Sheffield Utd,Bournemouth
133,Chris Basham,6.0,eng ENG,CB,81.0,0,0,0,1,1,0,0,2,1,0.0,0.0,0,10.0,0.0,0.0,,08/10/19,Sheffield Utd,Bournemouth
134,Billy Sharp,10.0,eng ENG,FW,9.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0,2.0,1.0,0.0,100.0,08/10/19,Sheffield Utd,Bournemouth
135,Dean Henderson,1.0,eng ENG,GK,90.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,6.0,0.0,0.0,,08/10/19,Sheffield Utd,Bournemouth
136,Jordan Ayew,9.0,gh GHA,FW,64.0,0,0,0,0,5,0,0,1,0,0.0,0.0,0,10.0,0.0,1.0,0.0,08/10/19,Crystal Palace,Everton
137,Wilfried Zaha,11.0,ci CIV,FW,26.0,0,0,0,0,1,1,0,0,0,0.0,0.0,0,3.0,0.0,0.0,,08/10/19,Crystal Palace,Everton
138,Christian Benteke,17.0,be BEL,FW,82.0,0,0,0,2,0,2,0,1,2,0.0,0.0,0,3.0,7.0,6.0,53.8,08/10/19,Crystal Palace,Everton
139,Connor Wickham,21.0,eng ENG,FW,8.0,0,0,0,1,0,1,0,0,0,0.0,0.0,0,0.0,2.0,2.0,50.0,08/10/19,Crystal Palace,Everton
140,Max Meyer,7.0,de GER,CM,90.0,1,0,0,1,0,0,3,2,1,0.0,0.0,0,10.0,0.0,1.0,0.0,08/10/19,Crystal Palace,Everton
141,Luka Milivojevic,4.0,rs SRB,CM,90.0,1,0,0,7,1,0,3,1,1,0.0,0.0,0,10.0,4.0,0.0,100.0,08/10/19,Crystal Palace,Everton
142,James McArthur,18.0,sco SCO,CM,90.0,0,0,0,4,0,0,0,3,5,0.0,0.0,0,16.0,1.0,0.0,100.0,08/10/19,Crystal Palace,Everton
143,Andros Townsend,10.0,eng ENG,CM,90.0,0,0,0,1,2,0,6,0,3,0.0,0.0,0,7.0,0.0,0.0,,08/10/19,Crystal Palace,Everton
144,Patrick van Aanholt,3.0,nl NED,LB,90.0,0,0,0,0,1,0,1,1,1,0.0,0.0,0,5.0,1.0,3.0,25.0,08/10/19,Crystal Palace,Everton
145,Scott Dann,6.0,eng ENG,CB,90.0,0,0,0,0,0,0,0,1,0,0.0,0.0,0,5.0,3.0,3.0,50.0,08/10/19,Crystal Palace,Everton
146,Martin Kelly,34.0,eng ENG,CB,90.0,0,0,0,0,0,0,1,0,2,0.0,0.0,0,3.0,3.0,1.0,75.0,08/10/19,Crystal Palace,Everton
147,Joel Ward,2.0,eng ENG,RB,90.0,0,0,0,0,2,0,0,2,2,0.0,0.0,0,8.0,6.0,1.0,85.7,08/10/19,Crystal Palace,Everton
148,Vicente Guaita,31.0,es ESP,GK,90.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,6.0,0.0,0.0,,08/10/19,Crystal Palace,Everton
149,Dominic Calvert-Lewin,9.0,eng ENG,FW,68.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0,2.0,6.0,8.0,42.9,08/10/19,Everton,Crystal Palace
150,Moise Kean,27.0,it ITA,FW,22.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0,0.0,0.0,1.0,0.0,08/10/19,Everton,Crystal Palace
151,Bernard,20.0,br BRA,LW,90.0,1,0,0,2,0,0,1,0,0,0.0,0.0,0,12.0,0.0,2.0,0.0,08/10/19,Everton,Crystal Palace
152,Richarlison,7.0,br BRA,RW,90.0,0,0,0,2,4,0,3,1,3,0.0,0.0,0,10.0,1.0,2.0,33.3,08/10/19,Everton,Crystal Palace
153,Gylfi Sigurdsson,10.0,is ISL,AM,78.0,0,0,0,1,1,0,1,0,0,0.0,0.0,0,4.0,0.0,0.0,,08/10/19,Everton,Crystal Palace
154,Tom Davies,26.0,eng ENG,"CM,AM",12.0,0,0,0,1,2,0,0,0,1,0.0,0.0,0,1.0,0.0,0.0,,08/10/19,Everton,Crystal Palace
155,Andre Gomes,21.0,pt POR,CM,44.0,0,0,0,0,3,0,0,0,0,0.0,0.0,0,7.0,0.0,0.0,,08/10/19,Everton,Crystal Palace
