,Player,#,Nation,Pos,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xA,KP,1/3,PPA,CrsPA,Prog,Date,Team,Opponent
188,BjÃ¶rn Engels,22.0,be BEL,CB,90.0,13.0,15.0,86.7,275.0,99.0,0.0,0.0,,11.0,12.0,91.7,2.0,3.0,66.7,0,0.0,0.0,1.0,0.0,0.0,0.0,August-10-2019,Aston Villa,Tottenham
189,Ahmed Elmohamady,27.0,eg EGY,RB,90.0,31.0,37.0,83.8,730.0,395.0,0.0,0.0,,21.0,22.0,95.5,10.0,15.0,66.7,0,0.0,0.0,4.0,0.0,0.0,3.0,August-10-2019,Aston Villa,Tottenham
190,Tom Heaton,1.0,eng ENG,GK,90.0,16.0,35.0,45.7,640.0,431.0,0.0,0.0,,9.0,9.0,100.0,7.0,26.0,26.9,0,0.0,0.0,1.0,0.0,0.0,0.0,August-10-2019,Aston Villa,Tottenham
191,Joelinton,9.0,br BRA,FW,90.0,29.0,33.0,87.9,398.0,81.0,1.0,2.0,50.0,24.0,26.0,92.3,4.0,5.0,80.0,0,0.0,0.0,2.0,0.0,0.0,2.0,August-11-2019,Newcastle Utd,Arsenal
192,Miguel AlmirÃ³n,24.0,py PAR,FW,90.0,21.0,31.0,67.7,323.0,69.0,0.0,2.0,0.0,19.0,23.0,82.6,2.0,6.0,33.3,0,0.0,1.0,1.0,0.0,0.0,1.0,August-11-2019,Newcastle Utd,Arsenal
193,Sean Longstaff,36.0,eng ENG,CM,66.0,21.0,29.0,72.4,358.0,87.0,0.0,2.0,0.0,18.0,23.0,78.3,3.0,4.0,75.0,0,0.0,0.0,2.0,0.0,0.0,3.0,August-11-2019,Newcastle Utd,Arsenal
194,Allan Saint-Maximin,10.0,fr FRA,CM,24.0,7.0,8.0,87.5,92.0,2.0,0.0,0.0,,6.0,6.0,100.0,1.0,2.0,50.0,0,0.0,0.0,0.0,0.0,0.0,0.0,August-11-2019,Newcastle Utd,Arsenal
195,Isaac Hayden,14.0,eng ENG,"CM,DM",90.0,28.0,38.0,73.7,410.0,182.0,0.0,1.0,0.0,28.0,33.0,84.8,0.0,4.0,0.0,0,0.1,1.0,4.0,0.0,0.0,5.0,August-11-2019,Newcastle Utd,Arsenal
196,Jonjo Shelvey,8.0,eng ENG,DM,53.0,17.0,22.0,77.3,344.0,128.0,0.0,2.0,0.0,13.0,14.0,92.9,4.0,6.0,66.7,0,0.0,0.0,3.0,1.0,0.0,4.0,August-11-2019,Newcastle Utd,Arsenal
197,Jetro Willems,15.0,nl NED,"WB,DM",37.0,14.0,18.0,77.8,242.0,132.0,0.0,0.0,,12.0,14.0,85.7,2.0,4.0,50.0,0,0.0,1.0,0.0,1.0,0.0,3.0,August-11-2019,Newcastle Utd,Arsenal
