,Player,#,Nation,Pos,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xA,KP,1/3,PPA,CrsPA,Prog,Date,Team,Opponent
1782,Tom Heaton,1.0,eng ENG,GK,90.0,11.0,23.0,47.8,351.0,226.0,0.0,0.0,,4.0,4.0,100.0,7.0,19.0,36.8,0,0.0,0.0,0.0,0.0,0.0,0.0,September-28-2019,Aston Villa,Burnley
1783,Ashley Barnes,10.0,at AUT,"FW,CM",82.0,10.0,15.0,66.7,138.0,60.0,1.0,1.0,100.0,9.0,14.0,64.3,0.0,0.0,,0,0.1,1.0,1.0,1.0,0.0,4.0,September-28-2019,Burnley,Aston Villa
1784,Robbie Brady,12.0,ie IRL,CM,8.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,September-28-2019,Burnley,Aston Villa
1785,Chris Wood,9.0,nz NZL,FW,90.0,11.0,13.0,84.6,210.0,22.0,1.0,1.0,100.0,5.0,6.0,83.3,5.0,6.0,83.3,0,0.0,0.0,1.0,0.0,0.0,1.0,September-28-2019,Burnley,Aston Villa
1786,Dwight McNeil,11.0,eng ENG,CM,90.0,15.0,22.0,68.2,259.0,107.0,1.0,2.0,50.0,11.0,16.0,68.8,3.0,4.0,75.0,0,0.3,2.0,2.0,0.0,0.0,3.0,September-28-2019,Burnley,Aston Villa
1787,Jeff Hendrick,13.0,ie IRL,"CM,DM",90.0,19.0,27.0,70.4,282.0,72.0,1.0,4.0,25.0,16.0,17.0,94.1,2.0,6.0,33.3,0,0.0,0.0,2.0,0.0,0.0,2.0,September-28-2019,Burnley,Aston Villa
1788,Jack Cork,4.0,eng ENG,DM,45.0,12.0,19.0,63.2,144.0,35.0,0.0,0.0,,12.0,17.0,70.6,0.0,2.0,0.0,0,0.0,0.0,1.0,0.0,0.0,1.0,September-28-2019,Burnley,Aston Villa
1789,Jay Rodriguez,19.0,eng ENG,CM,45.0,3.0,6.0,50.0,44.0,4.0,0.0,0.0,,2.0,5.0,40.0,1.0,1.0,100.0,0,0.1,1.0,0.0,0.0,0.0,0.0,September-28-2019,Burnley,Aston Villa
1790,Ashley Westwood,18.0,eng ENG,DM,90.0,32.0,43.0,74.4,648.0,220.0,1.0,1.0,100.0,22.0,26.0,84.6,9.0,16.0,56.3,0,0.0,1.0,5.0,2.0,0.0,9.0,September-28-2019,Burnley,Aston Villa
1791,Erik Pieters,23.0,nl NED,LB,90.0,24.0,33.0,72.7,379.0,141.0,1.0,2.0,50.0,21.0,28.0,75.0,2.0,3.0,66.7,1,0.5,2.0,0.0,1.0,1.0,3.0,September-28-2019,Burnley,Aston Villa
1792,Ben Mee,6.0,eng ENG,CB,90.0,16.0,32.0,50.0,342.0,80.0,0.0,1.0,0.0,10.0,14.0,71.4,6.0,17.0,35.3,0,0.0,0.0,0.0,0.0,0.0,1.0,September-28-2019,Burnley,Aston Villa
1793,James Tarkowski,5.0,eng ENG,CB,90.0,18.0,24.0,75.0,416.0,150.0,0.0,0.0,,12.0,13.0,92.3,6.0,11.0,54.5,0,0.0,0.0,0.0,0.0,0.0,2.0,September-28-2019,Burnley,Aston Villa
1794,Matthew Lowton,2.0,eng ENG,RB,90.0,24.0,33.0,72.7,624.0,263.0,1.0,2.0,50.0,11.0,15.0,73.3,12.0,16.0,75.0,1,0.2,1.0,5.0,1.0,1.0,6.0,September-28-2019,Burnley,Aston Villa
1795,Nick Pope,1.0,eng ENG,GK,90.0,16.0,35.0,45.7,892.0,729.0,0.0,0.0,,1.0,1.0,100.0,15.0,34.0,44.1,0,0.0,0.0,1.0,0.0,0.0,0.0,September-28-2019,Burnley,Aston Villa
1796,Dominic Solanke,9.0,eng ENG,FW,90.0,21.0,27.0,77.8,289.0,74.0,0.0,0.0,,21.0,26.0,80.8,0.0,1.0,0.0,0,0.0,0.0,1.0,0.0,0.0,2.0,September-28-2019,Bournemouth,West Ham
1797,Callum Wilson,13.0,eng ENG,FW,90.0,11.0,19.0,57.9,164.0,20.0,0.0,1.0,0.0,10.0,16.0,62.5,1.0,2.0,50.0,0,0.0,1.0,0.0,1.0,0.0,1.0,September-28-2019,Bournemouth,West Ham
1798,Joshua King,7.0,no NOR,CM,90.0,19.0,28.0,67.9,257.0,80.0,0.0,1.0,0.0,18.0,25.0,72.0,1.0,2.0,50.0,1,0.3,1.0,3.0,0.0,0.0,4.0,September-28-2019,Bournemouth,West Ham
1799,Jefferson Lerma,8.0,co COL,CM,90.0,41.0,52.0,78.8,801.0,245.0,3.0,7.0,42.9,28.0,32.0,87.5,10.0,13.0,76.9,0,0.1,1.0,3.0,1.0,0.0,4.0,September-28-2019,Bournemouth,West Ham
1800,Philip Billing,29.0,dk DEN,CM,88.0,33.0,43.0,76.7,674.0,135.0,0.0,1.0,0.0,22.0,28.0,78.6,11.0,14.0,78.6,0,0.0,0.0,2.0,0.0,0.0,5.0,September-28-2019,Bournemouth,West Ham
1801,Simon Francis,2.0,eng ENG,RB,2.0,4.0,5.0,80.0,96.0,52.0,0.0,0.0,,2.0,3.0,66.7,2.0,2.0,100.0,0,0.0,0.0,1.0,1.0,0.0,1.0,September-28-2019,Bournemouth,West Ham
1802,Harry Wilson,22.0,wal WAL,CM,76.0,20.0,29.0,69.0,440.0,144.0,1.0,2.0,50.0,12.0,16.0,75.0,7.0,11.0,63.6,0,0.5,1.0,3.0,1.0,0.0,5.0,September-28-2019,Bournemouth,West Ham
1803,Arnaut Groeneveld,14.0,nl NED,CM,14.0,9.0,10.0,90.0,162.0,47.0,0.0,1.0,0.0,7.0,7.0,100.0,2.0,2.0,100.0,0,0.0,0.0,0.0,0.0,0.0,1.0,September-28-2019,Bournemouth,West Ham
1804,Diego Rico,21.0,es ESP,LB,90.0,55.0,64.0,85.9,1229.0,761.0,0.0,0.0,,38.0,41.0,92.7,17.0,23.0,73.9,0,0.5,6.0,2.0,4.0,2.0,24.0,September-28-2019,Bournemouth,West Ham
1805,Nathan AkÃ©,5.0,nl NED,CB,90.0,49.0,53.0,92.5,1036.0,275.0,0.0,1.0,0.0,33.0,35.0,94.3,16.0,17.0,94.1,1,0.5,1.0,1.0,0.0,0.0,1.0,September-28-2019,Bournemouth,West Ham
1806,Steve Cook,3.0,eng ENG,CB,90.0,51.0,60.0,85.0,1256.0,285.0,0.0,0.0,,27.0,29.0,93.1,24.0,31.0,77.4,0,0.0,0.0,1.0,0.0,0.0,4.0,September-28-2019,Bournemouth,West Ham
1807,Jack Stacey,17.0,eng ENG,RB,88.0,41.0,55.0,74.5,734.0,265.0,0.0,3.0,0.0,38.0,44.0,86.4,3.0,8.0,37.5,0,0.1,1.0,1.0,0.0,0.0,4.0,September-28-2019,Bournemouth,West Ham
1808,Lewis Cook,16.0,eng ENG,"CM,RB",2.0,3.0,3.0,100.0,86.0,16.0,0.0,0.0,,1.0,1.0,100.0,2.0,2.0,100.0,0,0.0,0.0,1.0,0.0,0.0,1.0,September-28-2019,Bournemouth,West Ham
1809,Aaron Ramsdale,12.0,eng ENG,GK,90.0,18.0,29.0,62.1,314.0,140.0,0.0,0.0,,17.0,17.0,100.0,1.0,12.0,8.3,0,0.0,0.0,0.0,0.0,0.0,0.0,September-28-2019,Bournemouth,West Ham
1810,SÃ©bastien Haller,22.0,fr FRA,FW,90.0,31.0,42.0,73.8,374.0,93.0,0.0,2.0,0.0,29.0,37.0,78.4,2.0,3.0,66.7,1,0.5,5.0,3.0,3.0,0.0,6.0,September-28-2019,West Ham,Bournemouth
1811,Felipe Anderson,8.0,br BRA,CM,90.0,41.0,56.0,73.2,754.0,259.0,0.0,1.0,0.0,32.0,42.0,76.2,9.0,13.0,69.2,1,0.4,3.0,3.0,4.0,1.0,10.0,September-28-2019,West Ham,Bournemouth
1812,Pablo Fornals,18.0,es ESP,CM,66.0,28.0,34.0,82.4,515.0,104.0,1.0,1.0,100.0,22.0,24.0,91.7,5.0,9.0,55.6,0,0.1,2.0,3.0,2.0,1.0,4.0,September-28-2019,West Ham,Bournemouth
1813,Manuel Lanzini,10.0,ar ARG,CM,24.0,13.0,17.0,76.5,228.0,47.0,0.0,0.0,,11.0,14.0,78.6,2.0,3.0,66.7,0,0.1,2.0,1.0,0.0,0.0,3.0,September-28-2019,West Ham,Bournemouth
1814,Mark Noble,16.0,eng ENG,CM,74.0,35.0,42.0,83.3,644.0,175.0,0.0,2.0,0.0,26.0,31.0,83.9,9.0,9.0,100.0,0,0.0,0.0,5.0,0.0,0.0,3.0,September-28-2019,West Ham,Bournemouth
1815,Jack Wilshere,19.0,eng ENG,CM,16.0,2.0,5.0,40.0,30.0,0.0,0.0,0.0,,2.0,4.0,50.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,September-28-2019,West Ham,Bournemouth
1816,Andriy Yarmolenko,7.0,ua UKR,CM,90.0,42.0,46.0,91.3,711.0,268.0,1.0,2.0,50.0,33.0,34.0,97.1,8.0,10.0,80.0,0,0.2,2.0,0.0,3.0,1.0,8.0,September-28-2019,West Ham,Bournemouth
1817,Declan Rice,41.0,eng ENG,DM,90.0,56.0,60.0,93.3,952.0,207.0,2.0,2.0,100.0,44.0,47.0,93.6,10.0,11.0,90.9,0,0.0,0.0,5.0,0.0,0.0,3.0,September-28-2019,West Ham,Bournemouth
1818,Aaron Cresswell,3.0,eng ENG,LB,90.0,39.0,53.0,73.6,598.0,168.0,1.0,3.0,33.3,33.0,39.0,84.6,5.0,11.0,45.5,0,0.0,0.0,2.0,0.0,0.0,4.0,September-28-2019,West Ham,Bournemouth
1819,Angelo Ogbonna,21.0,it ITA,CB,90.0,39.0,46.0,84.8,819.0,267.0,1.0,2.0,50.0,26.0,29.0,89.7,12.0,15.0,80.0,0,0.0,0.0,5.0,0.0,0.0,2.0,September-28-2019,West Ham,Bournemouth
1820,Issa Diop,23.0,fr FRA,CB,90.0,30.0,36.0,83.3,639.0,173.0,1.0,2.0,50.0,16.0,20.0,80.0,13.0,14.0,92.9,0,0.0,0.0,1.0,0.0,0.0,3.0,September-28-2019,West Ham,Bournemouth
1821,Ryan Fredericks,24.0,eng ENG,RB,90.0,40.0,55.0,72.7,588.0,311.0,3.0,4.0,75.0,33.0,40.0,82.5,4.0,11.0,36.4,0,0.1,1.0,1.0,1.0,0.0,3.0,September-28-2019,West Ham,Bournemouth
1822,Åukasz FabiaÅski,1.0,pl POL,GK,33.0,5.0,11.0,45.5,270.0,212.0,0.0,0.0,,0.0,0.0,,5.0,11.0,45.5,0,0.0,0.0,0.0,0.0,0.0,0.0,September-28-2019,West Ham,Bournemouth
1823,Roberto,13.0,es ESP,GK,57.0,2.0,21.0,9.5,89.0,70.0,0.0,0.0,,1.0,1.0,100.0,1.0,20.0,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,September-28-2019,West Ham,Bournemouth
1824,RaÃºl JimÃ©nez,9.0,mx MEX,FW,79.0,14.0,18.0,77.8,225.0,60.0,0.0,1.0,0.0,11.0,12.0,91.7,3.0,5.0,60.0,0,0.1,1.0,3.0,0.0,0.0,3.0,September-28-2019,Wolves,Watford
1825,Patrick Cutrone,10.0,it ITA,FW,11.0,2.0,3.0,66.7,29.0,1.0,0.0,0.0,,2.0,3.0,66.7,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,September-28-2019,Wolves,Watford
1826,Pedro Neto,7.0,pt POR,LW,56.0,16.0,23.0,69.6,266.0,65.0,0.0,1.0,0.0,14.0,18.0,77.8,2.0,4.0,50.0,1,1.1,2.0,1.0,0.0,0.0,2.0,September-28-2019,Wolves,Watford
1827,Morgan Gibbs-White,17.0,eng ENG,LW,34.0,11.0,16.0,68.8,183.0,28.0,0.0,0.0,,9.0,11.0,81.8,2.0,5.0,40.0,0,0.0,0.0,1.0,0.0,0.0,1.0,September-28-2019,Wolves,Watford
1828,Adama TraorÃ©,37.0,es ESP,RW,86.0,17.0,25.0,68.0,361.0,99.0,0.0,2.0,0.0,12.0,14.0,85.7,5.0,9.0,55.6,0,0.1,1.0,3.0,1.0,1.0,3.0,September-28-2019,Wolves,Watford
1829,RÃºben Neves,8.0,pt POR,RW,4.0,4.0,5.0,80.0,78.0,22.0,0.0,0.0,,3.0,4.0,75.0,1.0,1.0,100.0,0,0.0,0.0,0.0,0.0,0.0,1.0,September-28-2019,Wolves,Watford
1830,JoÃ£o Moutinho,28.0,pt POR,CM,90.0,52.0,63.0,82.5,1071.0,206.0,2.0,4.0,50.0,36.0,39.0,92.3,14.0,20.0,70.0,0,0.1,1.0,4.0,0.0,0.0,4.0,September-28-2019,Wolves,Watford
1831,Leander Dendoncker,32.0,be BEL,CM,90.0,33.0,37.0,89.2,545.0,131.0,2.0,3.0,66.7,29.0,32.0,90.6,2.0,2.0,100.0,0,0.0,0.0,3.0,0.0,0.0,4.0,September-28-2019,Wolves,Watford
1832,Jonny Castro,19.0,es ESP,WB,90.0,36.0,43.0,83.7,574.0,201.0,0.0,0.0,,33.0,38.0,86.8,3.0,5.0,60.0,0,0.0,0.0,2.0,1.0,0.0,3.0,September-28-2019,Wolves,Watford
1833,Matt Doherty,2.0,ie IRL,WB,90.0,41.0,55.0,74.5,563.0,360.0,1.0,3.0,33.3,36.0,43.0,83.7,4.0,9.0,44.4,0,0.0,1.0,1.0,1.0,1.0,9.0,September-28-2019,Wolves,Watford
1834,Romain SaÃ¯ss,27.0,ma MAR,CB,90.0,30.0,37.0,81.1,612.0,270.0,0.0,0.0,,23.0,25.0,92.0,7.0,12.0,58.3,0,0.0,0.0,2.0,1.0,0.0,4.0,September-28-2019,Wolves,Watford
1835,Conor Coady,16.0,eng ENG,CB,90.0,34.0,37.0,91.9,907.0,437.0,0.0,0.0,,16.0,17.0,94.1,18.0,20.0,90.0,0,0.0,0.0,3.0,0.0,0.0,1.0,September-28-2019,Wolves,Watford
1836,Willy Boly,15.0,fr FRA,CB,90.0,35.0,42.0,83.3,652.0,270.0,0.0,0.0,,31.0,33.0,93.9,4.0,9.0,44.4,0,0.1,1.0,2.0,1.0,0.0,2.0,September-28-2019,Wolves,Watford
1837,Rui PatrÃ­cio,11.0,pt POR,GK,90.0,10.0,20.0,50.0,376.0,213.0,0.0,0.0,,2.0,2.0,100.0,8.0,18.0,44.4,0,0.0,0.0,0.0,0.0,0.0,0.0,September-28-2019,Wolves,Watford
1838,Danny Welbeck,10.0,eng ENG,FW,90.0,15.0,18.0,83.3,189.0,40.0,0.0,0.0,,14.0,17.0,82.4,1.0,1.0,100.0,0,0.0,1.0,2.0,1.0,0.0,1.0,September-28-2019,Watford,Wolves
1839,Gerard Deulofeu,7.0,es ESP,LW,45.0,13.0,17.0,76.5,225.0,62.0,0.0,1.0,0.0,11.0,12.0,91.7,2.0,4.0,50.0,0,0.1,1.0,1.0,2.0,0.0,3.0,September-28-2019,Watford,Wolves
1840,Roberto Pereyra,37.0,ar ARG,CM,45.0,27.0,32.0,84.4,479.0,125.0,0.0,0.0,,23.0,25.0,92.0,4.0,7.0,57.1,0,0.2,3.0,0.0,3.0,1.0,5.0,September-28-2019,Watford,Wolves
1841,Ismaila Sarr,23.0,sn SEN,"RW,FW",70.0,16.0,18.0,88.9,212.0,48.0,0.0,0.0,,16.0,18.0,88.9,0.0,0.0,,0,0.0,1.0,2.0,0.0,0.0,2.0,September-28-2019,Watford,Wolves
1842,Andre Gray,18.0,eng ENG,FW,20.0,6.0,7.0,85.7,74.0,9.0,0.0,0.0,,5.0,6.0,83.3,1.0,1.0,100.0,0,0.1,1.0,1.0,0.0,0.0,0.0,September-28-2019,Watford,Wolves
1843,Ãtienne Capoue,29.0,fr FRA,CM,90.0,82.0,90.0,91.1,1381.0,215.0,0.0,0.0,,72.0,76.0,94.7,10.0,14.0,71.4,0,0.0,0.0,10.0,0.0,0.0,2.0,September-28-2019,Watford,Wolves
1844,Tom Cleverley,8.0,eng ENG,CM,90.0,45.0,56.0,80.4,701.0,194.0,1.0,5.0,20.0,40.0,43.0,93.0,4.0,8.0,50.0,0,0.1,2.0,4.0,3.0,0.0,7.0,September-28-2019,Watford,Wolves
1845,Abdoulaye DoucourÃ©,16.0,fr FRA,"DM,CM",90.0,92.0,108.0,85.2,1628.0,333.0,1.0,3.0,33.3,76.0,85.0,89.4,15.0,20.0,75.0,0,0.0,0.0,5.0,0.0,0.0,4.0,September-28-2019,Watford,Wolves
1846,JosÃ© Holebas,25.0,gr GRE,LB,90.0,53.0,75.0,70.7,1056.0,310.0,0.0,2.0,0.0,38.0,46.0,82.6,15.0,27.0,55.6,0,0.0,1.0,7.0,1.0,0.0,9.0,September-28-2019,Watford,Wolves
1847,Craig Cathcart,15.0,nir NIR,CB,90.0,59.0,62.0,95.2,1168.0,395.0,0.0,1.0,0.0,41.0,41.0,100.0,18.0,20.0,90.0,0,0.0,0.0,1.0,0.0,0.0,2.0,September-28-2019,Watford,Wolves
1848,Craig Dawson,4.0,eng ENG,CB,90.0,73.0,79.0,92.4,1404.0,462.0,0.0,1.0,0.0,51.0,51.0,100.0,22.0,27.0,81.5,0,0.0,0.0,4.0,0.0,0.0,3.0,September-28-2019,Watford,Wolves
1849,Daryl Janmaat,2.0,nl NED,RB,90.0,69.0,88.0,78.4,1169.0,401.0,0.0,1.0,0.0,59.0,64.0,92.2,10.0,23.0,43.5,0,0.0,1.0,7.0,2.0,1.0,13.0,September-28-2019,Watford,Wolves
1850,Ben Foster,26.0,eng ENG,GK,90.0,16.0,28.0,57.1,455.0,326.0,0.0,0.0,,9.0,9.0,100.0,7.0,19.0,36.8,0,0.0,0.0,0.0,0.0,0.0,0.0,September-28-2019,Watford,Wolves
1851,Dominic Calvert-Lewin,9.0,eng ENG,FW,90.0,9.0,14.0,64.3,159.0,19.0,0.0,0.0,,7.0,11.0,63.6,2.0,3.0,66.7,0,0.0,0.0,0.0,0.0,0.0,1.0,September-28-2019,Everton,Manchester City
1852,Richarlison,7.0,br BRA,"RW,LW",90.0,17.0,23.0,73.9,279.0,82.0,0.0,2.0,0.0,15.0,18.0,83.3,2.0,3.0,66.7,0,0.0,0.0,1.0,0.0,0.0,2.0,September-28-2019,Everton,Manchester City
1853,Theo Walcott,11.0,eng ENG,RW,6.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,September-28-2019,Everton,Manchester City
1854,Alex Iwobi,17.0,ng NGA,LW,67.0,22.0,23.0,95.7,415.0,114.0,2.0,3.0,66.7,14.0,14.0,100.0,6.0,6.0,100.0,0,0.0,1.0,2.0,2.0,0.0,3.0,September-28-2019,Everton,Manchester City
1855,Moise Kean,27.0,it ITA,"RW,LW",17.0,1.0,5.0,20.0,4.0,1.0,1.0,4.0,25.0,0.0,0.0,,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,September-28-2019,Everton,Manchester City
1856,Gylfi SigurÃ°sson,10.0,is ISL,AM,90.0,21.0,31.0,67.7,423.0,200.0,1.0,1.0,100.0,14.0,19.0,73.7,6.0,11.0,54.5,0,0.6,5.0,0.0,2.0,0.0,7.0,September-28-2019,Everton,Manchester City
1857,Fabian Delph,8.0,eng ENG,DM,90.0,43.0,47.0,91.5,932.0,236.0,0.0,1.0,0.0,32.0,34.0,94.1,11.0,12.0,91.7,0,0.0,0.0,3.0,1.0,1.0,3.0,September-28-2019,Everton,Manchester City
1858,Morgan Schneiderlin,18.0,fr FRA,DM,80.0,29.0,33.0,87.9,590.0,162.0,1.0,1.0,100.0,19.0,23.0,82.6,9.0,9.0,100.0,0,0.0,0.0,4.0,1.0,0.0,4.0,September-28-2019,Everton,Manchester City
1859,Tom Davies,26.0,eng ENG,DM,10.0,7.0,9.0,77.8,138.0,63.0,0.0,1.0,0.0,5.0,5.0,100.0,2.0,3.0,66.7,0,0.0,0.0,2.0,1.0,0.0,2.0,September-28-2019,Everton,Manchester City
1860,Lucas Digne,12.0,fr FRA,LB,90.0,30.0,39.0,76.9,517.0,208.0,0.0,3.0,0.0,25.0,26.0,96.2,5.0,10.0,50.0,0,0.3,2.0,1.0,0.0,0.0,2.0,September-28-2019,Everton,Manchester City
1861,Yerry Mina,13.0,co COL,CB,90.0,35.0,38.0,92.1,860.0,320.0,0.0,0.0,,20.0,20.0,100.0,15.0,18.0,83.3,0,0.0,0.0,2.0,0.0,0.0,4.0,September-28-2019,Everton,Manchester City
1862,Michael Keane,5.0,eng ENG,CB,90.0,35.0,44.0,79.5,846.0,338.0,0.0,1.0,0.0,26.0,26.0,100.0,9.0,17.0,52.9,0,0.0,0.0,4.0,0.0,0.0,1.0,September-28-2019,Everton,Manchester City
1863,SÃ©amus Coleman,23.0,ie IRL,RB,90.0,35.0,44.0,79.5,557.0,215.0,1.0,4.0,25.0,28.0,32.0,87.5,6.0,8.0,75.0,1,0.0,0.0,2.0,1.0,0.0,3.0,September-28-2019,Everton,Manchester City
1864,Jordan Pickford,1.0,eng ENG,GK,90.0,27.0,39.0,69.2,934.0,582.0,0.0,0.0,,16.0,16.0,100.0,11.0,23.0,47.8,0,0.0,0.0,2.0,0.0,0.0,0.0,September-28-2019,Everton,Manchester City
1865,Gabriel Jesus,9.0,br BRA,FW,65.0,20.0,21.0,95.2,289.0,31.0,3.0,4.0,75.0,15.0,15.0,100.0,2.0,2.0,100.0,0,0.0,0.0,1.0,1.0,0.0,2.0,September-28-2019,Manchester City,Everton
1866,Sergio AgÃ¼ero,10.0,ar ARG,FW,25.0,8.0,8.0,100.0,135.0,38.0,0.0,0.0,,7.0,7.0,100.0,1.0,1.0,100.0,0,0.0,0.0,0.0,1.0,0.0,1.0,September-28-2019,Manchester City,Everton
1867,Raheem Sterling,7.0,eng ENG,LW,85.0,33.0,47.0,70.2,581.0,115.0,1.0,4.0,25.0,27.0,35.0,77.1,5.0,8.0,62.5,0,0.3,4.0,1.0,1.0,1.0,3.0,September-28-2019,Manchester City,Everton
1868,David Silva,21.0,es ESP,"CM,LW",5.0,2.0,4.0,50.0,20.0,5.0,0.0,0.0,,2.0,2.0,100.0,0.0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,September-28-2019,Manchester City,Everton
1869,Riyad Mahrez,26.0,dz ALG,RW,90.0,53.0,58.0,91.4,1147.0,297.0,0.0,0.0,,42.0,43.0,97.7,11.0,15.0,73.3,0,1.5,4.0,3.0,6.0,0.0,9.0,September-28-2019,Manchester City,Everton
1870,Ä°lkay GÃ¼ndoÄan,8.0,de GER,CM,90.0,60.0,69.0,87.0,1091.0,215.0,0.0,2.0,0.0,47.0,53.0,88.7,13.0,14.0,92.9,0,0.0,0.0,0.0,3.0,1.0,7.0,September-28-2019,Manchester City,Everton
1871,Kevin De Bruyne,17.0,be BEL,CM,79.0,30.0,38.0,78.9,654.0,260.0,0.0,2.0,0.0,19.0,21.0,90.5,11.0,15.0,73.3,1,0.6,2.0,4.0,4.0,0.0,10.0,September-28-2019,Manchester City,Everton
1872,Bernardo Silva,20.0,pt POR,"CM,LW",11.0,2.0,3.0,66.7,19.0,11.0,1.0,1.0,100.0,1.0,1.0,100.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,September-28-2019,Manchester City,Everton
1873,Rodri,16.0,es ESP,DM,90.0,54.0,56.0,96.4,1225.0,173.0,1.0,1.0,100.0,31.0,32.0,96.9,22.0,23.0,95.7,0,0.1,2.0,5.0,0.0,0.0,4.0,September-28-2019,Manchester City,Everton
1874,Oleksandr Zinchenko,11.0,ua UKR,LB,90.0,78.0,81.0,96.3,1466.0,480.0,1.0,1.0,100.0,61.0,63.0,96.8,16.0,17.0,94.1,0,0.1,1.0,9.0,1.0,1.0,13.0,September-28-2019,Manchester City,Everton
1875,Fernandinho,25.0,br BRA,CB,90.0,85.0,89.0,95.5,1986.0,567.0,2.0,2.0,100.0,53.0,54.0,98.1,30.0,33.0,90.9,0,0.0,1.0,10.0,1.0,0.0,8.0,September-28-2019,Manchester City,Everton
1876,NicolÃ¡s Otamendi,30.0,ar ARG,CB,90.0,77.0,82.0,93.9,1877.0,372.0,0.0,0.0,,44.0,47.0,93.6,33.0,35.0,94.3,0,0.0,1.0,4.0,0.0,0.0,3.0,September-28-2019,Manchester City,Everton
1877,Kyle Walker,2.0,eng ENG,RB,90.0,65.0,71.0,91.5,1157.0,265.0,1.0,2.0,50.0,52.0,54.0,96.3,12.0,15.0,80.0,0,0.3,1.0,6.0,1.0,0.0,4.0,September-28-2019,Manchester City,Everton
1878,Ederson,31.0,br BRA,GK,90.0,26.0,32.0,81.3,718.0,400.0,0.0,0.0,,16.0,16.0,100.0,10.0,16.0,62.5,0,0.0,0.0,0.0,0.0,0.0,0.0,September-28-2019,Manchester City,Everton
1879,Jamie Vardy,9.0,eng ENG,FW,90.0,10.0,13.0,76.9,122.0,14.0,3.0,3.0,100.0,6.0,8.0,75.0,1.0,2.0,50.0,0,0.1,1.0,0.0,0.0,0.0,0.0,September-29-2019,Leicester City,Newcastle Utd
1880,Harvey Barnes,15.0,eng ENG,CM,57.0,23.0,32.0,71.9,316.0,85.0,0.0,1.0,0.0,21.0,26.0,80.8,2.0,5.0,40.0,1,0.3,2.0,2.0,4.0,0.0,5.0,September-29-2019,Leicester City,Newcastle Utd
1881,Marc Albrighton,11.0,eng ENG,CM,33.0,33.0,38.0,86.8,542.0,122.0,0.0,0.0,,28.0,30.0,93.3,5.0,8.0,62.5,1,0.3,2.0,0.0,5.0,1.0,5.0,September-29-2019,Leicester City,Newcastle Utd
1882,Youri Tielemans,8.0,be BEL,CM,90.0,62.0,76.0,81.6,1241.0,318.0,1.0,1.0,100.0,43.0,47.0,91.5,18.0,28.0,64.3,0,0.0,1.0,10.0,4.0,1.0,11.0,September-29-2019,Leicester City,Newcastle Utd
1883,Dennis Praet,26.0,be BEL,CM,78.0,56.0,66.0,84.8,1094.0,175.0,2.0,3.0,66.7,37.0,44.0,84.1,17.0,19.0,89.5,0,0.0,0.0,8.0,0.0,0.0,2.0,September-29-2019,Leicester City,Newcastle Utd
1884,Hamza Choudhury,20.0,eng ENG,CM,12.0,10.0,11.0,90.9,147.0,28.0,0.0,0.0,,9.0,10.0,90.0,1.0,1.0,100.0,0,0.0,0.0,1.0,0.0,0.0,0.0,September-29-2019,Leicester City,Newcastle Utd
1885,Ayoze PÃ©rez,17.0,es ESP,CM,83.0,36.0,41.0,87.8,519.0,88.0,3.0,3.0,100.0,28.0,31.0,90.3,5.0,7.0,71.4,0,0.0,1.0,1.0,1.0,1.0,3.0,September-29-2019,Leicester City,Newcastle Utd
1886,Demarai Gray,7.0,eng ENG,CM,7.0,4.0,4.0,100.0,67.0,0.0,0.0,0.0,,4.0,4.0,100.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,September-29-2019,Leicester City,Newcastle Utd
1887,Wilfred Ndidi,25.0,ng NGA,DM,90.0,58.0,62.0,93.5,1188.0,257.0,4.0,5.0,80.0,35.0,37.0,94.6,19.0,20.0,95.0,0,0.0,1.0,7.0,0.0,0.0,5.0,September-29-2019,Leicester City,Newcastle Utd
1888,Ben Chilwell,3.0,eng ENG,LB,90.0,100.0,115.0,87.0,1770.0,515.0,2.0,6.0,33.3,77.0,82.0,93.9,21.0,27.0,77.8,0,0.1,1.0,11.0,3.0,2.0,12.0,September-29-2019,Leicester City,Newcastle Utd
1889,ÃaÄlar SÃ¶yÃ¼ncÃ¼,4.0,tr TUR,CB,90.0,79.0,81.0,97.5,1634.0,443.0,0.0,1.0,0.0,59.0,60.0,98.3,20.0,20.0,100.0,0,0.0,0.0,2.0,0.0,0.0,2.0,September-29-2019,Leicester City,Newcastle Utd
