"","Date","X1","Player","#","Nation","Pos","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Press","Tkl","Int","Blocks","xG","npxG","xA","SCA","GCA","Cmp","Att","Cmp%","PrgDist","Carries","PrgDist.1","Succ","Att.1","Team","Opponent","game_week"
"29","01/01/20",5503,"Leandro Trossard",11,"be BEL","FW",90,0,0,0,0,2,1,0,0,52,26,4,1,0,0.1,0.1,0.2,7,1,24,37,64.9,208,37,59,0,1,"Brighton","Chelsea",21
"30","01/01/20",5504,"Aaron Mooy",18,"au AUS","AM",67,0,0,0,0,0,0,0,0,44,15,1,0,3,0,0,0.1,3,0,19,33,57.6,140,20,14,1,1,"Brighton","Chelsea",21
"31","01/01/20",5505,"Alireza Jahanbakhsh",16,"ir IRN","AM",23,1,0,0,0,2,1,0,0,11,4,0,0,0,0.1,0.1,0,2,0,7,7,100,47,10,8,1,1,"Brighton","Chelsea",21
"32","01/01/20",5506,"Yves Bissouma",8,"ml MLI","CM",45,0,0,0,0,0,0,0,0,29,12,0,0,0,0,0,0,0,0,14,24,58.3,24,18,54,0,1,"Brighton","Chelsea",21
"33","01/01/20",5507,"Aaron Connolly",44,"ie IRL","CM",45,0,0,0,0,2,1,0,0,12,7,0,0,1,0.2,0.2,0,1,0,4,5,80,24,7,16,0,0,"Brighton","Chelsea",21
"34","01/01/20",5508,"Steven Alzate",46,"co COL","CM",90,0,0,0,0,3,0,0,0,57,21,3,2,2,0.1,0.1,0,0,0,28,37,75.7,94,36,77,1,3,"Brighton","Chelsea",21
"35","01/01/20",5509,"Davy Propper",24,"nl NED","DM",90,0,0,0,0,1,0,0,0,75,12,3,0,3,0,0,0,1,0,47,58,81,306,44,150,2,3,"Brighton","Chelsea",21
"36","01/01/20",5510,"Dan Burn",33,"eng ENG","LB",21,0,0,0,0,0,0,0,0,12,6,0,1,0,0,0,0,1,0,6,10,60,52,4,20,0,0,"Brighton","Chelsea",21
"37","01/01/20",5511,"Bernardo",30,"br BRA","LB",69,0,0,0,0,0,0,0,0,62,13,1,0,2,0,0,0,1,0,45,53,84.9,394,39,152,1,1,"Brighton","Chelsea",21
"38","01/01/20",5512,"Lewis Dunk",5,"eng ENG","CB",90,0,1,0,0,1,1,1,0,82,10,2,0,2,0.1,0.1,0,1,1,60,68,88.2,389,47,112,0,0,"Brighton","Chelsea",21
"39","01/01/20",5513,"Adam Webster",15,"eng ENG","CB",90,0,0,0,0,2,0,0,0,69,11,2,1,4,0.1,0.1,0,0,0,42,51,82.4,402,37,147,0,0,"Brighton","Chelsea",21
"40","01/01/20",5514,"Martin Montoya",22,"es ESP","RB",90,0,0,0,0,1,0,0,0,76,22,3,1,2,0.1,0.1,0.3,3,0,50,65,76.9,230,39,98,0,2,"Brighton","Chelsea",21
"41","01/01/20",5515,"Mathew Ryan",1,"au AUS","GK",90,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,37,44,84.1,580,31,41,0,0,"Brighton","Chelsea",21
