,Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Past,Press,Succ,%,Def 3rd.1,Mid 3rd.1,Att 3rd.1,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Date,Team,Opponent
0,Alexandre Lacazette,9.0,fr FRA,"FW,LW",26-075,90.0,1.0,1,0.0,0.0,1.0,0.0,0.0,,0.0,20.0,5.0,25.0,3.0,8.0,9.0,1.0,0.0,0.0,1.0,0,,0.0,0.0,08/11/2017,Arsenal,Leicester City
1,Danny Welbeck,23.0,eng ENG,"AM,RW",26-258,75.0,1.0,1,1.0,0.0,0.0,0.0,0.0,,0.0,16.0,7.0,43.8,2.0,6.0,8.0,1.0,0.0,0.0,1.0,3,,1.0,0.0,08/11/2017,Arsenal,Leicester City
2,Theo Walcott,14.0,eng ENG,RW,28-148,15.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,2.0,100.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,,1.0,0.0,08/11/2017,Arsenal,Leicester City
3,Mesut Ãzil,11.0,de GER,AM,28-300,90.0,1.0,0,1.0,0.0,0.0,0.0,0.0,,0.0,20.0,5.0,25.0,10.0,5.0,5.0,2.0,0.0,0.0,2.0,0,,0.0,0.0,08/11/2017,Arsenal,Leicester City
4,Granit Xhaka,29.0,ch SUI,DM,24-318,90.0,1.0,0,0.0,1.0,0.0,1.0,2.0,50.0,1.0,19.0,8.0,42.1,6.0,8.0,5.0,0.0,0.0,0.0,0.0,0,,1.0,0.0,08/11/2017,Arsenal,Leicester City
5,Mohamed Elneny,35.0,eg EGY,DM,25-031,67.0,5.0,3,2.0,2.0,1.0,3.0,3.0,100.0,0.0,18.0,9.0,50.0,6.0,7.0,5.0,2.0,0.0,0.0,2.0,1,,2.0,0.0,08/11/2017,Arsenal,Leicester City
6,Aaron Ramsey,8.0,wal WAL,DM,26-228,23.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,6.0,4.0,66.7,2.0,0.0,4.0,1.0,0.0,0.0,1.0,0,,0.0,0.0,08/11/2017,Arsenal,Leicester City
7,Alex Oxlade-Chamberlain,15.0,eng ENG,"WB,RB",23-361,90.0,3.0,2,2.0,1.0,0.0,2.0,2.0,100.0,0.0,13.0,4.0,30.8,8.0,3.0,2.0,2.0,0.0,0.0,2.0,1,,2.0,0.0,08/11/2017,Arsenal,Leicester City
8,HÃ©ctor BellerÃ­n,24.0,es ESP,"WB,LB",22-145,90.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,15.0,2.0,13.3,6.0,5.0,4.0,0.0,0.0,0.0,0.0,1,,1.0,0.0,08/11/2017,Arsenal,Leicester City
9,Sead KolaÅ¡inac,31.0,ba BIH,CB,24-052,90.0,4.0,2,1.0,3.0,0.0,1.0,2.0,50.0,1.0,12.0,7.0,58.3,6.0,5.0,1.0,0.0,0.0,0.0,0.0,2,,3.0,0.0,08/11/2017,Arsenal,Leicester City
10,Nacho Monreal,18.0,es ESP,CB,31-166,90.0,2.0,2,1.0,0.0,1.0,1.0,1.0,100.0,0.0,5.0,3.0,60.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,1,,8.0,0.0,08/11/2017,Arsenal,Leicester City
11,Rob Holding,16.0,eng ENG,CB,21-325,67.0,2.0,2,1.0,1.0,0.0,1.0,1.0,100.0,0.0,8.0,4.0,50.0,7.0,1.0,0.0,1.0,0.0,0.0,1.0,0,,7.0,0.0,08/11/2017,Arsenal,Leicester City
12,Olivier Giroud,12.0,fr FRA,"FW,CB",30-315,23.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,8.0,3.0,37.5,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,08/11/2017,Arsenal,Leicester City
13,Petr Äech,33.0,cz CZE,GK,35-083,90.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,08/11/2017,Arsenal,Leicester City
14,Jamie Vardy,9.0,eng ENG,FW,30-212,90.0,2.0,2,0.0,0.0,2.0,1.0,1.0,100.0,0.0,16.0,3.0,18.8,0.0,5.0,11.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,08/11/2017,Leicester City,Arsenal
15,Marc Albrighton,11.0,eng ENG,LW,27-266,88.0,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,11.0,2.0,18.2,2.0,3.0,6.0,2.0,1.0,0.0,1.0,0,,1.0,0.0,08/11/2017,Leicester City,Arsenal
16,Demarai Gray,7.0,eng ENG,LW,21-044,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,08/11/2017,Leicester City,Arsenal
17,Shinji Okazaki,20.0,jp JPN,FW,31-117,72.0,1.0,0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,19.0,4.0,21.1,7.0,5.0,7.0,1.0,0.0,0.0,1.0,0,,0.0,0.0,08/11/2017,Leicester City,Arsenal
18,Daniel Amartey,18.0,gh GHA,FW,22-233,18.0,2.0,0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,25.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0,,1.0,0.0,08/11/2017,Leicester City,Arsenal
19,Riyad Mahrez,26.0,dz ALG,RW,26-171,90.0,1.0,1,1.0,0.0,0.0,0.0,4.0,0.0,4.0,11.0,2.0,18.2,7.0,2.0,2.0,5.0,0.0,0.0,5.0,0,,0.0,0.0,08/11/2017,Leicester City,Arsenal
20,Wilfred Ndidi,25.0,ng NGA,DM,20-238,90.0,1.0,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,18.0,4.0,22.2,13.0,3.0,2.0,4.0,1.0,0.0,3.0,1,,1.0,0.0,08/11/2017,Leicester City,Arsenal
21,Matty James,22.0,eng ENG,DM,26-020,82.0,1.0,1,1.0,0.0,0.0,1.0,2.0,50.0,1.0,20.0,3.0,15.0,8.0,9.0,3.0,1.0,0.0,0.0,1.0,3,,1.0,0.0,08/11/2017,Leicester City,Arsenal
