,Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xA,KP,1/3,PPA,CrsPA,Prog,Date,Team,Opponent
10,Nacho Monreal,18.0,es ESP,CB,31-166,90.0,55.0,58.0,94.8,1301.0,429.0,11.0,12.0,91.7,30.0,32.0,93.8,14.0,14.0,100.0,0,0.0,0.0,3.0,0.0,0.0,3.0,08/11/2017,Arsenal,Leicester City
11,Rob Holding,16.0,eng ENG,CB,21-325,67.0,50.0,62.0,80.6,1131.0,349.0,14.0,18.0,77.8,26.0,28.0,92.9,10.0,14.0,71.4,0,0.0,0.0,6.0,0.0,0.0,4.0,08/11/2017,Arsenal,Leicester City
12,Olivier Giroud,12.0,fr FRA,"FW,CB",30-315,23.0,7.0,7.0,100.0,66.0,0.0,6.0,6.0,100.0,1.0,1.0,100.0,0.0,0.0,,0,0.1,1.0,0.0,0.0,0.0,0.0,08/11/2017,Arsenal,Leicester City
13,Petr Äech,33.0,cz CZE,GK,35-083,90.0,12.0,13.0,92.3,360.0,185.0,0.0,0.0,,8.0,8.0,100.0,4.0,5.0,80.0,0,0.0,0.0,0.0,0.0,0.0,1.0,08/11/2017,Arsenal,Leicester City
14,Jamie Vardy,9.0,eng ENG,FW,30-212,90.0,10.0,13.0,76.9,146.0,23.0,5.0,7.0,71.4,4.0,5.0,80.0,0.0,0.0,,0,0.0,0.0,0.0,1.0,0.0,1.0,08/11/2017,Leicester City,Arsenal
15,Marc Albrighton,11.0,eng ENG,LW,27-266,88.0,15.0,26.0,57.7,307.0,134.0,7.0,8.0,87.5,4.0,6.0,66.7,4.0,10.0,40.0,1,0.5,1.0,4.0,2.0,2.0,3.0,08/11/2017,Leicester City,Arsenal
16,Demarai Gray,7.0,eng ENG,LW,21-044,2.0,1.0,3.0,33.3,26.0,0.0,0.0,0.0,,1.0,3.0,33.3,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,08/11/2017,Leicester City,Arsenal
17,Shinji Okazaki,20.0,jp JPN,FW,31-117,72.0,8.0,18.0,44.4,87.0,20.0,6.0,12.0,50.0,2.0,4.0,50.0,0.0,2.0,0.0,0,0.0,0.0,1.0,0.0,0.0,1.0,08/11/2017,Leicester City,Arsenal
18,Daniel Amartey,18.0,gh GHA,FW,22-233,18.0,4.0,5.0,80.0,103.0,54.0,1.0,1.0,100.0,2.0,3.0,66.7,1.0,1.0,100.0,0,0.0,0.0,1.0,0.0,0.0,0.0,08/11/2017,Leicester City,Arsenal
19,Riyad Mahrez,26.0,dz ALG,RW,26-171,90.0,23.0,32.0,71.9,465.0,171.0,13.0,14.0,92.9,3.0,5.0,60.0,6.0,10.0,60.0,1,0.2,1.0,2.0,0.0,0.0,1.0,08/11/2017,Leicester City,Arsenal
20,Wilfred Ndidi,25.0,ng NGA,DM,20-238,90.0,15.0,27.0,55.6,255.0,85.0,6.0,9.0,66.7,8.0,12.0,66.7,1.0,4.0,25.0,0,0.0,0.0,1.0,0.0,0.0,1.0,08/11/2017,Leicester City,Arsenal
21,Matty James,22.0,eng ENG,DM,26-020,82.0,11.0,15.0,73.3,155.0,48.0,5.0,5.0,100.0,4.0,5.0,80.0,1.0,3.0,33.3,0,0.0,0.0,2.0,0.0,0.0,2.0,08/11/2017,Leicester City,Arsenal
22,Kelechi Iheanacho,8.0,ng NGA,DM,20-312,8.0,1.0,2.0,50.0,31.0,0.0,0.0,1.0,0.0,0.0,0.0,,1.0,1.0,100.0,0,0.0,0.0,0.0,0.0,0.0,0.0,08/11/2017,Leicester City,Arsenal
23,Christian Fuchs,28.0,at AUT,LB,31-126,90.0,24.0,47.0,51.1,473.0,216.0,8.0,10.0,80.0,11.0,17.0,64.7,5.0,19.0,26.3,0,0.1,1.0,1.0,2.0,1.0,2.0,08/11/2017,Leicester City,Arsenal
24,Harry Maguire,15.0,eng ENG,CB,24-159,90.0,17.0,28.0,60.7,335.0,143.0,8.0,11.0,72.7,6.0,9.0,66.7,3.0,8.0,37.5,1,0.7,1.0,2.0,0.0,0.0,0.0,08/11/2017,Leicester City,Arsenal
25,Wes Morgan,5.0,jm JAM,CB,33-202,90.0,10.0,15.0,66.7,235.0,122.0,3.0,4.0,75.0,5.0,7.0,71.4,2.0,3.0,66.7,0,0.0,0.0,4.0,0.0,0.0,4.0,08/11/2017,Leicester City,Arsenal
26,Danny Simpson,2.0,eng ENG,RB,30-219,90.0,30.0,45.0,66.7,532.0,244.0,13.0,16.0,81.3,13.0,19.0,68.4,4.0,8.0,50.0,0,0.0,0.0,2.0,0.0,0.0,1.0,08/11/2017,Leicester City,Arsenal
27,Kasper Schmeichel,1.0,dk DEN,GK,30-279,90.0,10.0,29.0,34.5,674.0,564.0,0.0,0.0,,0.0,0.0,,10.0,29.0,34.5,0,0.0,0.0,1.0,0.0,0.0,0.0,08/11/2017,Leicester City,Arsenal
28,Stefano Okaka,33.0,it ITA,FW,28-003,63.0,11.0,16.0,68.8,134.0,60.0,8.0,11.0,72.7,3.0,4.0,75.0,0.0,0.0,,0,0.0,0.0,2.0,0.0,0.0,1.0,08/12/2017,Watford,Liverpool
29,Andre Gray,18.0,eng ENG,FW,26-047,27.0,6.0,7.0,85.7,70.0,6.0,5.0,5.0,100.0,1.0,1.0,100.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,08/12/2017,Watford,Liverpool
30,Roberto Pereyra,37.0,ar ARG,LW,26-217,49.0,3.0,3.0,100.0,129.0,8.0,0.0,0.0,,1.0,1.0,100.0,2.0,2.0,100.0,0,0.0,0.0,0.0,0.0,0.0,0.0,08/12/2017,Watford,Liverpool
31,Richarlison,11.0,br BRA,LW,20-094,41.0,4.0,8.0,50.0,55.0,12.0,2.0,4.0,50.0,2.0,2.0,100.0,0.0,1.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,08/12/2017,Watford,Liverpool
32,Nordin Amrabat,7.0,ma MAR,RW,30-134,90.0,19.0,36.0,52.8,237.0,44.0,15.0,19.0,78.9,4.0,10.0,40.0,0.0,4.0,0.0,0,0.0,1.0,2.0,1.0,1.0,1.0,08/12/2017,Watford,Liverpool
33,Nathaniel Chalobah,14.0,eng ENG,CM,22-243,90.0,17.0,23.0,73.9,321.0,61.0,4.0,5.0,80.0,13.0,15.0,86.7,0.0,3.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,08/12/2017,Watford,Liverpool
34,Tom Cleverley,8.0,eng ENG,CM,28-000,90.0,33.0,47.0,70.2,575.0,166.0,16.0,18.0,88.9,13.0,19.0,68.4,4.0,8.0,50.0,0,0.0,0.0,7.0,0.0,0.0,3.0,08/12/2017,Watford,Liverpool
35,Abdoulaye DoucourÃ©,16.0,fr FRA,DM,24-223,90.0,59.0,70.0,84.3,1176.0,291.0,23.0,26.0,88.5,29.0,33.0,87.9,7.0,10.0,70.0,0,0.1,1.0,0.0,1.0,0.0,4.0,08/12/2017,Watford,Liverpool
36,JosÃ© Holebas,25.0,gr GRE,LB,33-046,90.0,26.0,44.0,59.1,569.0,205.0,10.0,14.0,71.4,11.0,16.0,68.8,5.0,12.0,41.7,1,0.2,1.0,2.0,0.0,0.0,4.0,08/12/2017,Watford,Liverpool
37,Miguel Britos,3.0,uy URU,CB,32-026,90.0,28.0,43.0,65.1,729.0,199.0,4.0,6.0,66.7,14.0,18.0,77.8,10.0,19.0,52.6,0,0.0,0.0,3.0,0.0,0.0,2.0,08/12/2017,Watford,Liverpool
38,YounÃ¨s Kaboul,4.0,fr FRA,CB,31-220,90.0,31.0,55.0,56.4,950.0,435.0,5.0,12.0,41.7,12.0,16.0,75.0,14.0,25.0,56.0,0,0.0,0.0,6.0,0.0,0.0,2.0,08/12/2017,Watford,Liverpool
39,Daryl Janmaat,2.0,nl NED,RB,28-021,18.0,9.0,12.0,75.0,196.0,16.0,4.0,4.0,100.0,3.0,4.0,75.0,2.0,3.0,66.7,0,0.0,0.0,0.0,0.0,0.0,0.0,08/12/2017,Watford,Liverpool
40,Kiko FemenÃ­a,21.0,es ESP,RB,26-191,72.0,33.0,45.0,73.3,547.0,299.0,16.0,20.0,80.0,15.0,17.0,88.2,1.0,5.0,20.0,0,0.0,0.0,4.0,0.0,0.0,5.0,08/12/2017,Watford,Liverpool
41,Heurelho Gomes,1.0,br BRA,GK,36-178,90.0,22.0,41.0,53.7,992.0,723.0,2.0,2.0,100.0,5.0,5.0,100.0,15.0,34.0,44.1,0,0.0,0.0,1.0,0.0,0.0,0.0,08/12/2017,Watford,Liverpool
42,Mohamed Salah,11.0,eg EGY,"FW,RW",25-058,86.0,15.0,21.0,71.4,268.0,72.0,6.0,9.0,66.7,8.0,8.0,100.0,1.0,1.0,100.0,0,0.0,0.0,2.0,0.0,0.0,1.0,08/12/2017,Liverpool,Watford
43,James Milner,7.0,eng ENG,"RM,RW",31-220,4.0,2.0,5.0,40.0,18.0,0.0,2.0,3.0,66.7,0.0,1.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,08/12/2017,Liverpool,Watford
44,Sadio ManÃ©,19.0,sn SEN,"LW,FW",25-124,90.0,19.0,30.0,63.3,287.0,79.0,11.0,12.0,91.7,8.0,11.0,72.7,0.0,4.0,0.0,0,0.3,2.0,0.0,2.0,0.0,3.0,08/12/2017,Liverpool,Watford
45,Roberto Firmino,9.0,br BRA,RW,25-314,81.0,20.0,30.0,66.7,273.0,113.0,12.0,16.0,75.0,5.0,8.0,62.5,1.0,2.0,50.0,1,0.1,1.0,2.0,1.0,0.0,4.0,08/12/2017,Liverpool,Watford
46,Divock Origi,27.0,be BEL,"FW,RW",22-116,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,08/12/2017,Liverpool,Watford
47,Georginio Wijnaldum,5.0,nl NED,"CM,LM",26-274,90.0,29.0,43.0,67.4,517.0,132.0,13.0,17.0,76.5,13.0,19.0,68.4,3.0,7.0,42.9,0,0.0,1.0,1.0,2.0,0.0,3.0,08/12/2017,Liverpool,Watford
48,Jordan Henderson,14.0,eng ENG,CM,27-056,90.0,46.0,64.0,71.9,1340.0,368.0,6.0,9.0,66.7,24.0,33.0,72.7,16.0,20.0,80.0,0,0.0,1.0,5.0,2.0,0.0,4.0,08/12/2017,Liverpool,Watford
49,Emre Can,23.0,de GER,CM,23-212,90.0,33.0,40.0,82.5,665.0,131.0,9.0,12.0,75.0,18.0,20.0,90.0,5.0,6.0,83.3,1,0.4,1.0,0.0,1.0,0.0,3.0,08/12/2017,Liverpool,Watford
50,Alberto Moreno,18.0,es ESP,LB,25-038,90.0,40.0,55.0,72.7,733.0,279.0,15.0,16.0,93.8,21.0,27.0,77.8,4.0,11.0,36.4,0,0.0,1.0,2.0,1.0,0.0,1.0,08/12/2017,Liverpool,Watford
51,Dejan Lovren,6.0,hr CRO,CB,28-038,90.0,50.0,61.0,82.0,1059.0,361.0,16.0,21.0,76.2,24.0,26.0,92.3,8.0,12.0,66.7,0,0.2,1.0,4.0,0.0,0.0,4.0,08/12/2017,Liverpool,Watford
52,JoÃ«l Matip,32.0,cm CMR,CB,26-004,90.0,45.0,54.0,83.3,969.0,338.0,12.0,13.0,92.3,24.0,25.0,96.0,9.0,16.0,56.3,0,0.0,0.0,4.0,0.0,0.0,3.0,08/12/2017,Liverpool,Watford
53,Trent Alexander-Arnold,66.0,eng ENG,RB,18-309,90.0,43.0,60.0,71.7,896.0,431.0,15.0,18.0,83.3,19.0,21.0,90.5,8.0,17.0,47.1,0,0.2,2.0,1.0,1.0,0.0,3.0,08/12/2017,Liverpool,Watford
54,Joe Gomez,12.0,eng ENG,RB,20-081,,2.0,2.0,100.0,65.0,41.0,0.0,0.0,,1.0,1.0,100.0,1.0,1.0,100.0,0,0.0,0.0,1.0,1.0,1.0,1.0,08/12/2017,Liverpool,Watford
55,Simon Mignolet,22.0,be BEL,GK,29-159,90.0,25.0,39.0,64.1,624.0,376.0,2.0,2.0,100.0,18.0,19.0,94.7,5.0,18.0,27.8,0,0.0,0.0,0.0,0.0,0.0,0.0,08/12/2017,Liverpool,Watford
56,Jay Rodriguez,19.0,eng ENG,"FW,RW",28-014,88.0,15.0,25.0,60.0,203.0,27.0,9.0,13.0,69.2,6.0,9.0,66.7,0.0,2.0,0.0,0,0.1,2.0,0.0,1.0,0.0,1.0,08/12/2017,West Brom,Bournemouth
57,SalomÃ³n RondÃ³n,9.0,ve VEN,RW,27-330,2.0,1.0,1.0,100.0,13.0,0.0,1.0,1.0,100.0,0.0,0.0,,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,08/12/2017,West Brom,Bournemouth
58,James McClean,14.0,ie IRL,LW,28-112,90.0,12.0,17.0,70.6,250.0,60.0,5.0,6.0,83.3,5.0,5.0,100.0,2.0,5.0,40.0,0,0.0,1.0,1.0,1.0,1.0,0.0,08/12/2017,West Brom,Bournemouth
59,Matt Phillips,10.0,sco SCO,RW,26-152,72.0,17.0,25.0,68.0,401.0,208.0,8.0,9.0,88.9,4.0,9.0,44.4,5.0,6.0,83.3,0,0.2,3.0,1.0,2.0,0.0,4.0,08/12/2017,West Brom,Bournemouth
60,Hal Robson-Kanu,4.0,wal WAL,"FW,RW",28-083,18.0,2.0,4.0,50.0,27.0,0.0,1.0,1.0,100.0,1.0,3.0,33.3,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,08/12/2017,West Brom,Bournemouth
61,Sam Field,28.0,eng ENG,CM,19-096,70.0,11.0,13.0,84.6,169.0,58.0,4.0,4.0,100.0,4.0,5.0,80.0,1.0,2.0,50.0,0,0.0,0.0,1.0,0.0,0.0,2.0,08/12/2017,West Brom,Bournemouth
62,Rekeem Harper,34.0,eng ENG,CM,17-157,20.0,4.0,5.0,80.0,102.0,37.0,1.0,1.0,100.0,2.0,3.0,66.7,1.0,1.0,100.0,0,0.0,2.0,0.0,0.0,0.0,0.0,08/12/2017,West Brom,Bournemouth
63,Jake Livermore,8.0,eng ENG,CM,27-271,90.0,22.0,33.0,66.7,463.0,205.0,9.0,10.0,90.0,6.0,8.0,75.0,6.0,13.0,46.2,0,0.4,4.0,3.0,0.0,0.0,2.0,08/12/2017,West Brom,Bournemouth
64,Claudio Yacob,5.0,ar ARG,DM,30-025,90.0,16.0,19.0,84.2,300.0,71.0,6.0,7.0,85.7,9.0,9.0,100.0,1.0,2.0,50.0,0,0.0,0.0,2.0,0.0,0.0,1.0,08/12/2017,West Brom,Bournemouth
65,Chris Brunt,11.0,nir NIR,LB,32-241,90.0,19.0,45.0,42.2,519.0,291.0,3.0,6.0,50.0,9.0,15.0,60.0,7.0,22.0,31.8,1,0.2,2.0,3.0,1.0,0.0,2.0,08/12/2017,West Brom,Bournemouth
66,Ahmed Hegazi,26.0,eg EGY,CB,26-199,90.0,20.0,28.0,71.4,424.0,196.0,7.0,8.0,87.5,11.0,14.0,78.6,2.0,5.0,40.0,0,0.0,0.0,1.0,0.0,0.0,0.0,08/12/2017,West Brom,Bournemouth
67,Craig Dawson,25.0,eng ENG,CB,27-098,90.0,15.0,25.0,60.0,385.0,190.0,8.0,8.0,100.0,1.0,3.0,33.3,6.0,13.0,46.2,0,0.0,1.0,2.0,1.0,0.0,1.0,08/12/2017,West Brom,Bournemouth
68,Allan Nyom,2.0,cm CMR,RB,29-094,90.0,28.0,40.0,70.0,557.0,310.0,10.0,10.0,100.0,14.0,19.0,73.7,4.0,9.0,44.4,0,0.0,0.0,2.0,0.0,0.0,1.0,08/12/2017,West Brom,Bournemouth
69,Ben Foster,1.0,eng ENG,GK,34-131,90.0,6.0,14.0,42.9,391.0,336.0,0.0,0.0,,1.0,1.0,100.0,5.0,13.0,38.5,0,0.0,0.0,2.0,0.0,0.0,0.0,08/12/2017,West Brom,Bournemouth
70,Benik Afobe,9.0,cd COD,FW,24-181,64.0,5.0,6.0,83.3,76.0,0.0,2.0,3.0,66.7,3.0,3.0,100.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,08/12/2017,Bournemouth,West Brom
71,Jermain Defoe,18.0,eng ENG,FW,34-309,26.0,3.0,3.0,100.0,35.0,3.0,3.0,3.0,100.0,0.0,0.0,,0.0,0.0,,0,0.1,1.0,0.0,0.0,0.0,0.0,08/12/2017,Bournemouth,West Brom
72,Joshua King,17.0,no NOR,AM,25-209,90.0,20.0,26.0,76.9,285.0,26.0,10.0,14.0,71.4,6.0,8.0,75.0,1.0,1.0,100.0,0,0.0,1.0,0.0,0.0,0.0,0.0,08/12/2017,Bournemouth,West Brom
73,Marc Pugh,7.0,eng ENG,LM,30-132,45.0,20.0,23.0,87.0,276.0,30.0,13.0,14.0,92.9,7.0,8.0,87.5,0.0,0.0,,0,0.0,1.0,0.0,1.0,0.0,1.0,08/12/2017,Bournemouth,West Brom
74,Jordon Ibe,33.0,eng ENG,RM,21-247,45.0,24.0,31.0,77.4,338.0,57.0,16.0,17.0,94.1,7.0,11.0,63.6,0.0,2.0,0.0,0,0.0,0.0,1.0,1.0,1.0,0.0,08/12/2017,Bournemouth,West Brom
75,Harry Arter,8.0,ie IRL,CM,27-227,90.0,95.0,105.0,90.5,1989.0,379.0,25.0,25.0,100.0,54.0,58.0,93.1,16.0,21.0,76.2,0,0.0,0.0,12.0,1.0,0.0,9.0,08/12/2017,Bournemouth,West Brom
76,Andrew Surman,6.0,eng ENG,CM,30-357,90.0,90.0,105.0,85.7,1706.0,481.0,31.0,35.0,88.6,50.0,56.0,89.3,9.0,12.0,75.0,0,0.1,2.0,12.0,2.0,1.0,12.0,08/12/2017,Bournemouth,West Brom
77,Ryan Fraser,24.0,sco SCO,"RM,LM",23-169,90.0,43.0,49.0,87.8,734.0,198.0,21.0,22.0,95.5,20.0,22.0,90.9,2.0,5.0,40.0,0,0.1,2.0,3.0,2.0,0.0,5.0,08/12/2017,Bournemouth,West Brom
78,Charlie Daniels,11.0,eng ENG,LB,30-339,90.0,62.0,74.0,83.8,963.0,249.0,36.0,39.0,92.3,23.0,25.0,92.0,3.0,8.0,37.5,0,0.0,0.0,3.0,0.0,0.0,3.0,08/12/2017,Bournemouth,West Brom
79,Nathan AkÃ©,5.0,nl NED,CB,22-175,90.0,54.0,60.0,90.0,1079.0,435.0,11.0,13.0,84.6,38.0,41.0,92.7,5.0,6.0,83.3,0,0.0,0.0,4.0,0.0,0.0,4.0,08/12/2017,Bournemouth,West Brom
80,Steve Cook,3.0,eng ENG,CB,26-115,90.0,47.0,64.0,73.4,998.0,370.0,15.0,16.0,93.8,23.0,28.0,82.1,9.0,18.0,50.0,0,0.0,1.0,8.0,1.0,0.0,6.0,08/12/2017,Bournemouth,West Brom
81,Simon Francis,2.0,eng ENG,RB,32-177,80.0,48.0,70.0,68.6,798.0,159.0,22.0,28.0,78.6,24.0,28.0,85.7,2.0,9.0,22.2,0,0.0,0.0,0.0,1.0,1.0,1.0,08/12/2017,Bournemouth,West Brom
82,Adam Smith,15.0,eng ENG,RB,26-105,10.0,4.0,6.0,66.7,65.0,0.0,3.0,4.0,75.0,0.0,1.0,0.0,1.0,1.0,100.0,0,0.0,0.0,0.0,0.0,0.0,0.0,08/12/2017,Bournemouth,West Brom
83,Asmir BegoviÄ,27.0,ba BIH,GK,30-053,90.0,15.0,20.0,75.0,396.0,240.0,4.0,4.0,100.0,8.0,8.0,100.0,3.0,8.0,37.5,0,0.0,0.0,0.0,0.0,0.0,0.0,08/12/2017,Bournemouth,West Brom
84,Sandro RamÃ­rez,9.0,es ESP,"FW,AM",22-034,77.0,13.0,20.0,65.0,165.0,69.0,5.0,9.0,55.6,6.0,8.0,75.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,1.0,08/12/2017,Everton,Stoke City
85,Kevin Mirallas,11.0,be BEL,AM,29-311,13.0,4.0,9.0,44.4,80.0,16.0,2.0,5.0,40.0,1.0,1.0,100.0,1.0,2.0,50.0,0,0.0,0.0,0.0,0.0,0.0,0.0,08/12/2017,Everton,Stoke City
86,Davy Klaassen,20.0,nl NED,"AM,CM",24-172,60.0,19.0,23.0,82.6,384.0,48.0,6.0,7.0,85.7,9.0,11.0,81.8,3.0,3.0,100.0,0,0.0,1.0,1.0,0.0,0.0,1.0,08/12/2017,Everton,Stoke City
87,Tom Davies,26.0,eng ENG,CM,19-043,30.0,11.0,18.0,61.1,156.0,55.0,5.0,8.0,62.5,2.0,5.0,40.0,1.0,1.0,100.0,0,0.0,0.0,2.0,0.0,0.0,1.0,08/12/2017,Everton,Stoke City
88,Wayne Rooney,10.0,eng ENG,AM,31-292,90.0,46.0,59.0,78.0,961.0,315.0,16.0,18.0,88.9,12.0,15.0,80.0,13.0,21.0,61.9,0,0.1,2.0,5.0,2.0,1.0,4.0,08/12/2017,Everton,Stoke City
89,Leighton Baines,3.0,eng ENG,"LM,LB",32-244,90.0,25.0,35.0,71.4,458.0,163.0,14.0,17.0,82.4,7.0,9.0,77.8,4.0,5.0,80.0,0,0.0,0.0,1.0,1.0,0.0,2.0,08/12/2017,Everton,Stoke City
90,Idrissa Gana Gueye,17.0,sn SEN,CM,27-320,90.0,58.0,71.0,81.7,1016.0,300.0,25.0,26.0,96.2,29.0,34.0,85.3,3.0,9.0,33.3,0,0.0,0.0,9.0,0.0,0.0,5.0,08/12/2017,Everton,Stoke City
91,Morgan Schneiderlin,2.0,fr FRA,"DM,CM",27-277,90.0,44.0,52.0,84.6,735.0,117.0,22.0,25.0,88.0,15.0,18.0,83.3,6.0,8.0,75.0,0,0.0,0.0,4.0,0.0,0.0,1.0,08/12/2017,Everton,Stoke City
92,Dominic Calvert-Lewin,29.0,eng ENG,"RM,FW",20-149,90.0,19.0,23.0,82.6,290.0,91.0,12.0,13.0,92.3,3.0,4.0,75.0,3.0,5.0,60.0,1,0.2,2.0,0.0,3.0,1.0,2.0,08/12/2017,Everton,Stoke City
93,Phil Jagielka,6.0,eng ENG,CB,34-360,90.0,52.0,71.0,73.2,1155.0,329.0,15.0,20.0,75.0,28.0,33.0,84.8,8.0,17.0,47.1,0,0.0,0.0,1.0,0.0,0.0,2.0,08/12/2017,Everton,Stoke City
94,Ashley Williams,5.0,wal WAL,CB,32-354,45.0,40.0,41.0,97.6,998.0,163.0,7.0,7.0,100.0,16.0,16.0,100.0,16.0,17.0,94.1,0,0.0,0.0,0.0,0.0,0.0,0.0,08/12/2017,Everton,Stoke City
95,Cuco Martina,15.0,cw CUW,RB,27-321,45.0,23.0,31.0,74.2,435.0,217.0,11.0,13.0,84.6,8.0,9.0,88.9,4.0,7.0,57.1,0,0.0,1.0,1.0,2.0,2.0,3.0,08/12/2017,Everton,Stoke City
96,Michael Keane,4.0,eng ENG,CB,24-213,90.0,60.0,73.0,82.2,1407.0,501.0,12.0,14.0,85.7,35.0,42.0,83.3,11.0,11.0,100.0,0,0.0,0.0,5.0,0.0,0.0,3.0,08/12/2017,Everton,Stoke City
97,Jordan Pickford,1.0,eng ENG,GK,23-158,90.0,15.0,27.0,55.6,661.0,357.0,1.0,1.0,100.0,3.0,3.0,100.0,11.0,22.0,50.0,0,0.0,0.0,0.0,0.0,0.0,0.0,08/12/2017,Everton,Stoke City
98,Saido Berahino,9.0,bi BDI,FW,24-008,72.0,9.0,15.0,60.0,148.0,19.0,5.0,9.0,55.6,3.0,4.0,75.0,1.0,2.0,50.0,0,0.0,1.0,0.0,0.0,0.0,1.0,08/12/2017,Stoke City,Everton
99,Peter Crouch,25.0,eng ENG,FW,36-194,18.0,6.0,9.0,66.7,78.0,25.0,4.0,5.0,80.0,1.0,2.0,50.0,0.0,0.0,,0,0.1,1.0,1.0,0.0,0.0,1.0,08/12/2017,Stoke City,Everton
100,Bojan KrkiÄ,27.0,es ESP,AM,26-349,72.0,21.0,25.0,84.0,323.0,68.0,11.0,12.0,91.7,7.0,8.0,87.5,2.0,2.0,100.0,0,0.0,1.0,1.0,0.0,0.0,2.0,08/12/2017,Stoke City,Everton
101,Eric Maxim Choupo-Moting,10.0,cm CMR,"LW,AM",28-142,18.0,6.0,10.0,60.0,68.0,1.0,4.0,6.0,66.7,2.0,3.0,66.7,0.0,1.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,08/12/2017,Stoke City,Everton
102,Xherdan Shaqiri,22.0,ch SUI,AM,25-306,90.0,18.0,35.0,51.4,375.0,91.0,5.0,7.0,71.4,10.0,13.0,76.9,3.0,14.0,21.4,0,0.0,0.0,1.0,2.0,0.0,4.0,08/12/2017,Stoke City,Everton
