,Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xA,KP,1/3,PPA,CrsPA,Prog,Date,Team,Opponent
0,Alexandre Lacazette,9.0,fr FRA,"FW,LW",26-075,90.0,19.0,24.0,79.2,287.0,48.0,10.0,12.0,83.3,7.0,9.0,77.8,1.0,1.0,100.0,0,0.3,4.0,0.0,2.0,1.0,1.0,08/11/2017,Arsenal,Leicester City
1,Danny Welbeck,23.0,eng ENG,"AM,RW",26-258,75.0,16.0,21.0,76.2,208.0,31.0,12.0,13.0,92.3,4.0,5.0,80.0,0.0,0.0,,0,0.2,2.0,0.0,2.0,0.0,2.0,08/11/2017,Arsenal,Leicester City
2,Theo Walcott,14.0,eng ENG,RW,28-148,15.0,1.0,2.0,50.0,10.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,08/11/2017,Arsenal,Leicester City
3,Mesut Ãzil,11.0,de GER,AM,28-300,90.0,69.0,85.0,81.2,1171.0,173.0,35.0,38.0,92.1,25.0,31.0,80.6,8.0,11.0,72.7,0,0.4,5.0,4.0,2.0,0.0,3.0,08/11/2017,Arsenal,Leicester City
4,Granit Xhaka,29.0,ch SUI,DM,24-318,90.0,83.0,102.0,81.4,2059.0,636.0,21.0,26.0,80.8,43.0,48.0,89.6,19.0,28.0,67.9,2,0.3,5.0,20.0,5.0,1.0,15.0,08/11/2017,Arsenal,Leicester City
5,Mohamed Elneny,35.0,eg EGY,DM,25-031,67.0,64.0,72.0,88.9,1096.0,235.0,33.0,38.0,86.8,25.0,27.0,92.6,6.0,6.0,100.0,1,0.1,2.0,6.0,1.0,0.0,5.0,08/11/2017,Arsenal,Leicester City
6,Aaron Ramsey,8.0,wal WAL,DM,26-228,23.0,9.0,11.0,81.8,155.0,65.0,3.0,4.0,75.0,6.0,6.0,100.0,0.0,0.0,,0,0.2,2.0,0.0,1.0,0.0,1.0,08/11/2017,Arsenal,Leicester City
7,Alex Oxlade-Chamberlain,15.0,eng ENG,"WB,RB",23-361,90.0,46.0,64.0,71.9,1061.0,327.0,17.0,22.0,77.3,16.0,18.0,88.9,13.0,21.0,61.9,0,0.1,2.0,4.0,2.0,1.0,4.0,08/11/2017,Arsenal,Leicester City
8,HÃ©ctor BellerÃ­n,24.0,es ESP,"WB,LB",22-145,90.0,56.0,65.0,86.2,857.0,200.0,33.0,36.0,91.7,21.0,25.0,84.0,2.0,4.0,50.0,0,0.0,2.0,2.0,0.0,0.0,4.0,08/11/2017,Arsenal,Leicester City
9,Sead KolaÅ¡inac,31.0,ba BIH,CB,24-052,90.0,59.0,73.0,80.8,973.0,481.0,30.0,34.0,88.2,22.0,26.0,84.6,6.0,9.0,66.7,1,0.5,1.0,12.0,0.0,0.0,7.0,08/11/2017,Arsenal,Leicester City
